Date,Stock,Market,joined date
2020-01-02,112.05,3257.85,2022-05-19
2020-01-03,111.88,3234.85,2022-05-19
2020-01-06,111.91,3246.28,2022-05-19
2020-01-07,111.57,3237.18,2022-05-19
2020-01-08,111.24,3253.05,2022-05-19
2020-01-09,112.03,3274.7,2022-05-19
2020-01-10,111.7,3265.35,2022-05-19
2020-01-13,112.0,3288.13,2022-05-19
2020-01-14,111.51,3283.15,2022-05-19
2020-01-15,112.21,3289.29,2022-05-19
2020-01-16,112.82,3316.81,2022-05-19
2020-01-17,114.15,3329.62,2022-05-19
2020-01-21,113.96,3320.79,2022-05-19
2020-01-22,113.61,3321.75,2022-05-19
2020-01-23,114.23,3325.54,2022-05-19
2020-01-24,113.87,3295.47,2022-05-19
2020-01-27,113.0,3243.63,2022-05-19
2020-01-28,115.14,3276.24,2022-05-19
2020-01-29,115.94,3273.4,2022-05-19
2020-01-30,114.6,3283.66,2022-05-19
2020-01-31,111.86,3225.52,2022-05-19
2020-02-03,113.45,3248.92,2022-05-19
2020-02-04,114.73,3297.59,2022-05-19
2020-02-05,116.69,3334.69,2022-05-19
2020-02-06,116.45,3345.78,2022-05-19
2020-02-07,116.68,3327.71,2022-05-19
2020-02-10,117.57,3352.09,2022-05-19
2020-02-11,118.15,3357.75,2022-05-19
2020-02-12,118.75,3379.45,2022-05-19
2020-02-13,119.37,3373.94,2022-05-19
2020-02-14,118.78,3380.16,2022-05-19
2020-02-18,119.45,3370.29,2022-05-19
2020-02-19,118.48,3386.15,2022-05-19
2020-02-20,117.08,3373.23,2022-05-19
2020-02-21,116.35,3337.75,2022-05-19
2020-02-24,113.33,3225.89,2022-05-19
2020-02-25,111.11,3128.21,2022-05-19
2020-02-26,112.59,3116.39,2022-05-19
2020-02-27,106.88,2978.76,2022-05-19
2020-02-28,104.56,2954.22,2022-05-19
2020-03-02,108.01,3090.23,2022-05-19
2020-03-03,106.52,3003.37,2022-05-19
2020-03-04,110.6,3130.12,2022-05-19
2020-03-05,106.56,3023.94,2022-05-19
2020-03-06,105.67,2972.37,2022-05-19
2020-03-09,99.88,2746.56,2022-05-19
2020-03-10,103.09,2882.23,2022-05-19
2020-03-11,98.95,2741.38,2022-05-19
2020-03-12,93.0,2480.64,2022-05-19
2020-03-13,98.64,2711.02,2022-05-19
2020-03-16,87.86,2386.13,2022-05-19
2020-03-17,91.9,2529.19,2022-05-19
2020-03-18,80.81,2398.1,2022-05-19
2020-03-19,79.03,2409.39,2022-05-19
2020-03-20,79.87,2304.92,2022-05-19
2020-03-23,76.69,2237.4,2022-05-19
2020-03-24,86.93,2447.33,2022-05-19
2020-03-25,86.86,2475.56,2022-05-19
2020-03-26,85.86,2630.07,2022-05-19
2020-03-27,85.45,2541.47,2022-05-19
2020-03-30,89.55,2626.65,2022-05-19
2020-03-31,86.46,2584.59,2022-05-19
2020-04-01,82.02,2470.5,2022-05-19
2020-04-02,82.75,2526.9,2022-05-19
2020-04-03,79.9,2488.65,2022-05-19
2020-04-06,87.33,2663.68,2022-05-19
2020-04-07,87.4,2659.41,2022-05-19
2020-04-08,93.61,2749.98,2022-05-19
2020-04-09,96.61,2789.82,2022-05-19
2020-04-13,95.02,2761.63,2022-05-19
2020-04-14,99.44,2846.06,2022-05-19
2020-04-15,96.3,2783.36,2022-05-19
2020-04-16,97.22,2799.55,2022-05-19
2020-04-17,98.54,2874.56,2022-05-19
2020-04-20,95.76,2823.16,2022-05-19
2020-04-21,92.7,2736.56,2022-05-19
2020-04-22,94.08,2799.31,2022-05-19
2020-04-23,92.59,2797.8,2022-05-19
2020-04-24,93.29,2836.74,2022-05-19
2020-04-27,94.7,2878.48,2022-05-19
2020-04-28,93.26,2863.39,2022-05-19
2020-04-29,94.62,2939.51,2022-05-19
2020-04-30,97.33,2912.43,2022-05-19
2020-05-01,97.1,2830.71,2022-05-19
2020-05-04,98.74,2842.74,2022-05-19
2020-05-05,100.26,2868.44,2022-05-19
2020-05-06,98.88,2848.42,2022-05-19
2020-05-07,101.65,2881.19,2022-05-19
2020-05-08,103.98,2929.8,2022-05-19
2020-05-11,104.09,2930.32,2022-05-19
2020-05-12,104.3,2870.12,2022-05-19
2020-05-13,105.1,2820.0,2022-05-19
2020-05-14,106.1,2852.5,2022-05-19
2020-05-15,104.47,2863.7,2022-05-19
2020-05-18,107.0,2953.91,2022-05-19
2020-05-19,105.53,2922.94,2022-05-19
2020-05-20,103.98,2971.61,2022-05-19
2020-05-21,104.54,2948.51,2022-05-19
2020-05-22,104.5,2955.45,2022-05-19
2020-05-26,105.75,2991.77,2022-05-19
2020-05-27,105.96,3036.13,2022-05-19
2020-05-28,106.59,3029.73,2022-05-19
2020-05-29,105.92,3044.31,2022-05-19
2020-06-01,106.7,3055.73,2022-05-19
2020-06-02,108.02,3080.82,2022-05-19
2020-06-03,109.23,3122.87,2022-05-19
2020-06-04,108.72,3112.35,2022-05-19
2020-06-05,111.49,3193.93,2022-05-19
2020-06-08,111.41,3232.39,2022-05-19
2020-06-09,110.44,3207.18,2022-05-19
2020-06-10,110.12,3190.14,2022-05-19
2020-06-11,104.23,3002.1,2022-05-19
2020-06-12,104.34,3041.31,2022-05-19
2020-06-15,106.0,3066.59,2022-05-19
2020-06-16,107.37,3124.74,2022-05-19
2020-06-17,108.54,3113.49,2022-05-19
2020-06-18,108.42,3115.34,2022-05-19
2020-06-19,103.58,3097.74,2022-05-19
2020-06-22,105.56,3117.86,2022-05-19
2020-06-23,105.76,3131.29,2022-05-19
2020-06-24,103.93,3050.33,2022-05-19
2020-06-25,106.98,3083.76,2022-05-19
2020-06-26,104.75,3009.05,2022-05-19
2020-06-29,105.28,3053.24,2022-05-19
2020-06-30,107.37,3100.29,2022-05-19
2020-07-01,107.53,3115.86,2022-05-19
2020-07-02,107.89,3130.01,2022-05-19
2020-07-06,107.92,3179.72,2022-05-19
2020-07-07,107.35,3145.32,2022-05-19
2020-07-08,109.08,3169.94,2022-05-19
2020-07-09,108.23,3152.05,2022-05-19
2020-07-10,109.46,3185.04,2022-05-19
2020-07-13,108.76,3155.22,2022-05-19
2020-07-14,110.24,3197.52,2022-05-19
2020-07-15,111.58,3226.56,2022-05-19
2020-07-16,111.83,3215.57,2022-05-19
2020-07-17,113.69,3224.73,2022-05-19
2020-07-20,113.48,3251.84,2022-05-19
2020-07-21,114.4,3257.3,2022-05-19
2020-07-22,115.51,3276.02,2022-05-19
2020-07-23,115.28,3235.66,2022-05-19
2020-07-24,114.62,3215.63,2022-05-19
2020-07-27,114.61,3239.41,2022-05-19
2020-07-28,114.21,3218.44,2022-05-19
2020-07-29,115.58,3258.44,2022-05-19
2020-07-30,116.71,3246.22,2022-05-19
2020-07-31,116.6,3271.12,2022-05-19
2020-08-03,115.82,3294.61,2022-05-19
2020-08-04,117.39,3306.51,2022-05-19
2020-08-05,118.43,3327.77,2022-05-19
2020-08-06,118.77,3349.16,2022-05-19
2020-08-07,117.74,3351.28,2022-05-19
2020-08-10,116.41,3360.47,2022-05-19
2020-08-11,116.98,3333.69,2022-05-19
2020-08-12,116.65,3380.35,2022-05-19
2020-08-13,117.15,3373.43,2022-05-19
2020-08-14,116.61,3372.85,2022-05-19
2020-08-17,116.51,3381.99,2022-05-19
2020-08-18,116.93,3389.78,2022-05-19
2020-08-19,116.1,3374.85,2022-05-19
2020-08-20,116.05,3385.51,2022-05-19
2020-08-21,113.47,3397.16,2022-05-19
2020-08-24,112.62,3431.28,2022-05-19
2020-08-25,112.99,3443.62,2022-05-19
2020-08-26,114.22,3478.73,2022-05-19
2020-08-27,114.68,3484.55,2022-05-19
2020-08-28,114.0,3508.01,2022-05-19
2020-08-31,114.91,3500.31,2022-05-19
2020-09-01,115.48,3526.65,2022-05-19
2020-09-02,118.91,3580.84,2022-05-19
2020-09-03,116.58,3455.06,2022-05-19
2020-09-04,115.41,3426.96,2022-05-19
2020-09-08,113.48,3331.84,2022-05-19
2020-09-09,116.75,3398.96,2022-05-19
2020-09-10,115.61,3339.19,2022-05-19
2020-09-11,115.78,3340.97,2022-05-19
2020-09-14,117.8,3383.54,2022-05-19
2020-09-15,118.62,3401.2,2022-05-19
2020-09-16,118.83,3385.49,2022-05-19
2020-09-17,117.88,3357.01,2022-05-19
2020-09-18,117.67,3319.47,2022-05-19
2020-09-21,116.27,3281.06,2022-05-19
2020-09-22,116.27,3315.57,2022-05-19
2020-09-23,114.54,3236.92,2022-05-19
2020-09-24,112.73,3246.59,2022-05-19
2020-09-25,112.96,3298.46,2022-05-19
2020-09-28,114.54,3351.6,2022-05-19
2020-09-29,114.05,3335.47,2022-05-19
2020-09-30,114.7,3363.0,2022-05-19
2020-10-01,114.23,3380.8,2022-05-19
2020-10-02,114.56,3348.44,2022-05-19
2020-10-05,115.66,3408.63,2022-05-19
2020-10-06,114.88,3360.95,2022-05-19
2020-10-07,114.69,3419.45,2022-05-19
2020-10-08,114.26,3446.83,2022-05-19
2020-10-09,115.71,3477.13,2022-05-19
2020-10-12,116.59,3534.22,2022-05-19
2020-10-13,114.95,3511.93,2022-05-19
2020-10-14,114.51,3488.67,2022-05-19
2020-10-15,114.36,3483.34,2022-05-19
2020-10-16,114.94,3483.81,2022-05-19
2020-10-19,113.03,3426.92,2022-05-19
2020-10-20,112.47,3443.12,2022-05-19
2020-10-21,112.3,3435.56,2022-05-19
2020-10-22,113.38,3453.49,2022-05-19
2020-10-23,113.7,3465.39,2022-05-19
2020-10-26,111.09,3400.97,2022-05-19
2020-10-27,110.41,3390.68,2022-05-19
2020-10-28,107.53,3271.03,2022-05-19
2020-10-29,102.95,3310.11,2022-05-19
2020-10-30,103.46,3269.96,2022-05-19
2020-11-02,104.89,3310.24,2022-05-19
2020-11-03,106.57,3369.02,2022-05-19
2020-11-04,109.0,3443.44,2022-05-19
2020-11-05,108.4,3510.45,2022-05-19
2020-11-06,109.56,3509.44,2022-05-19
2020-11-09,110.58,3550.5,2022-05-19
2020-11-10,112.51,3545.53,2022-05-19
2020-11-11,113.36,3572.66,2022-05-19
2020-11-12,112.33,3537.01,2022-05-19
2020-11-13,113.31,3585.15,2022-05-19
2020-11-16,115.66,3626.91,2022-05-19
2020-11-17,114.24,3609.53,2022-05-19
2020-11-18,112.0,3567.79,2022-05-19
2020-11-19,114.48,3581.87,2022-05-19
2020-11-20,112.98,3557.54,2022-05-19
