Date,Stock,Market,joined date
2020-01-02,23.2447781151423,7604.3,2021-08-12
2020-01-03,23.1092698709729,7622.4,2021-08-12
2020-01-06,22.7262121347786,7575.34,2021-08-12
2020-01-07,22.7813150704698,7573.85,2021-08-12
2020-01-08,22.5857335271705,7574.93,2021-08-12
2020-01-09,22.354277841652,7598.12,2021-08-12
2020-01-10,21.9000255432518,7587.85,2021-08-12
2020-01-13,21.7162283684438,7617.6,2021-08-12
2020-01-14,21.2051663434124,7622.35,2021-08-12
2020-01-15,20.9755604541716,7642.8,2021-08-12
2020-01-16,20.8178537449651,7609.81,2021-08-12
2020-01-17,20.8525383084453,7674.56,2021-08-12
2020-01-20,21.0946909197353,7651.44,2021-08-12
2020-01-21,20.9737898520475,7610.7,2021-08-12
2020-01-22,21.5171280221794,7571.92,2021-08-12
2020-01-23,21.2565902590076,7507.67,2021-08-12
2020-01-24,21.2621770620842,7585.98,2021-08-12
2020-01-27,20.5920126744195,7412.05,2021-08-12
2020-01-28,20.6486150669584,7480.69,2021-08-12
2020-01-29,21.0279630362611,7483.57,2021-08-12
2020-01-30,20.8399323958047,7381.96,2021-08-12
2020-01-31,20.3937771075595,7286.01,2021-08-12
2020-02-03,20.3479688819598,7326.31,2021-08-12
2020-02-04,20.5346513836779,7439.82,2021-08-12
2020-02-05,21.5348903968904,7482.48,2021-08-12
2020-02-06,21.5384779123742,7504.79,2021-08-12
2020-02-07,21.251102985537,7466.7,2021-08-12
2020-02-10,21.4682772174942,7446.88,2021-08-12
2020-02-11,21.9391093713582,7499.44,2021-08-12
2020-02-12,22.3365616640749,7534.37,2021-08-12
2020-02-13,21.7983755641942,7452.03,2021-08-12
2020-02-14,21.6762177503526,7409.13,2021-08-12
2020-02-17,21.6031856206427,7433.25,2021-08-12
2020-02-18,21.3496663417177,7382.01,2021-08-12
2020-02-19,21.5686422453325,7457.02,2021-08-12
2020-02-20,21.8363536048211,7436.64,2021-08-12
2020-02-21,22.2547044366918,7403.92,2021-08-12
2020-02-24,21.1363028168106,7156.83,2021-08-12
2020-02-25,20.937276583571,7017.88,2021-08-12
2020-02-26,20.8907027780292,7042.47,2021-08-12
2020-02-27,20.8533118042671,6796.4,2021-08-12
2020-02-28,20.0131322641431,6580.61,2021-08-12
2020-03-02,20.0313459473938,6654.89,2021-08-12
2020-03-03,20.62481594589,6718.2,2021-08-12
2020-03-04,21.3452664221366,6815.59,2021-08-12
2020-03-05,21.0768131250327,6705.43,2021-08-12
2020-03-06,20.7456012838248,6462.55,2021-08-12
2020-03-09,19.5339492751714,5965.77,2021-08-12
2020-03-10,19.2574474788017,5960.23,2021-08-12
2020-03-11,18.6678192761811,5876.52,2021-08-12
2020-03-12,16.332754311862,5237.48,2021-08-12
2020-03-13,16.6180455683777,5366.11,2021-08-12
2020-03-16,15.6667914039689,5151.08,2021-08-12
2020-03-17,16.0772331300906,5294.9,2021-08-12
2020-03-18,14.2234538613407,5080.58,2021-08-12
2020-03-19,14.2273274951193,5151.61,2021-08-12
2020-03-20,14.6183886476601,5190.78,2021-08-12
2020-03-23,13.653288584791,4993.89,2021-08-12
2020-03-24,14.8403361197325,5446.01,2021-08-12
2020-03-25,15.7502103517949,5688.2,2021-08-12
2020-03-26,16.9068720595411,5815.73,2021-08-12
2020-03-27,16.5193392499029,5510.33,2021-08-12
2020-03-30,16.6091229435945,5563.74,2021-08-12
2020-03-31,17.1392615984504,5671.96,2021-08-12
2020-04-01,16.4812614662997,5454.57,2021-08-12
2020-04-02,15.6481571309956,5480.22,2021-08-12
2020-04-03,14.9913295245572,5415.5,2021-08-12
2020-04-06,15.6622453010165,5582.39,2021-08-12
2020-04-07,16.2567957733453,5704.45,2021-08-12
2020-04-08,16.6913479682445,5677.73,2021-08-12
2020-04-09,16.8044019728728,5842.66,2021-08-12
2020-04-14,16.8482344105019,5791.31,2021-08-12
2020-04-15,15.9584038367678,5597.65,2021-08-12
2020-04-16,15.9268387574883,5628.43,2021-08-12
2020-04-17,16.7576633377494,5786.96,2021-08-12
2020-04-20,16.4791800218862,5812.83,2021-08-12
2020-04-21,16.1005542306419,5641.03,2021-08-12
2020-04-22,16.34877797509,5770.63,2021-08-12
2020-04-23,16.6272931723939,5826.61,2021-08-12
2020-04-24,16.3149420727179,5752.23,2021-08-12
2020-04-27,17.1779486844881,5846.79,2021-08-12
2020-04-28,17.5777856016096,5958.5,2021-08-12
2020-04-29,18.2179292667418,6115.25,2021-08-12
2020-04-30,17.7442008915075,5901.21,2021-08-12
2020-05-01,16.986548576644,5763.06,2021-08-12
2020-05-04,16.836578017493,5753.78,2021-08-12
2020-05-05,16.6144389306805,5849.42,2021-08-12
2020-05-06,16.4655184188762,5853.76,2021-08-12
2020-05-07,16.813376786156,5935.98,2021-08-12
2020-05-11,16.8089393857165,5939.73,2021-08-12
2020-05-12,16.6562840768387,5994.77,2021-08-12
2020-05-13,15.967790468737,5904.05,2021-08-12
2020-05-14,15.6645249838004,5741.54,2021-08-12
2020-05-15,15.6776484863893,5799.77,2021-08-12
2020-05-18,16.7561790080573,6048.59,2021-08-12
2020-05-19,16.639347193296,6002.23,2021-08-12
2020-05-20,17.0205897118941,6067.16,2021-08-12
2020-05-21,16.9480157418717,6015.25,2021-08-12
2020-05-22,17.0925167619505,5993.28,2021-08-12
2020-05-26,18.3563536425971,6067.76,2021-08-12
2020-05-27,18.5600348021017,6144.25,2021-08-12
2020-05-28,18.9309492456436,6218.79,2021-08-12
2020-05-29,18.603844045871,6076.6,2021-08-12
2020-06-01,19.164035215051,6166.42,2021-08-12
2020-06-02,19.3265819947802,6220.14,2021-08-12
2020-06-03,19.8709225943535,6382.41,2021-08-12
2020-06-04,19.9560543052529,6341.44,2021-08-12
2020-06-05,19.8946244649871,6484.3,2021-08-12
2020-06-08,19.8283270698691,6472.59,2021-08-12
2020-06-09,19.1267759829938,6335.72,2021-08-12
2020-06-10,19.1063279039539,6329.13,2021-08-12
2020-06-11,17.9570853524859,6076.7,2021-08-12
2020-06-12,17.965511091604,6105.18,2021-08-12
2020-06-15,18.130055512148,6064.7,2021-08-12
2020-06-16,18.7306047982502,6242.79,2021-08-12
2020-06-17,19.0583203022992,6253.25,2021-08-12
2020-06-18,18.9293734299093,6224.07,2021-08-12
2020-06-19,19.1777001803987,6292.6,2021-08-12
2020-06-22,19.216143214953,6244.62,2021-08-12
2020-06-23,19.485347612192,6320.12,2021-08-12
2020-06-24,18.6781960187762,6123.69,2021-08-12
2020-06-25,18.3061680611767,6147.14,2021-08-12
2020-06-26,18.4024370459894,6159.3,2021-08-12
2020-06-29,18.6790238912053,6225.77,2021-08-12
2020-06-30,18.7176331027124,6169.74,2021-08-12
2020-07-01,18.6567545266365,6157.96,2021-08-12
2020-07-02,18.4949735221528,6240.36,2021-08-12
2020-07-03,18.5388521514433,6157.3,2021-08-12
2020-07-06,18.8877198905786,6285.94,2021-08-12
2020-07-07,18.4229517336505,6189.9,2021-08-12
2020-07-08,18.2976350179056,6156.16,2021-08-12
2020-07-09,18.1013061633472,6049.62,2021-08-12
2020-07-10,18.2063607566979,6095.41,2021-08-12
2020-07-13,18.4091648194405,6176.19,2021-08-12
2020-07-14,18.3720382588397,6179.75,2021-08-12
2020-07-15,18.6138321445189,6292.65,2021-08-12
2020-07-16,18.5991700757962,6250.69,2021-08-12
2020-07-17,19.0248524489234,6290.3,2021-08-12
2020-07-20,19.1876214156403,6261.52,2021-08-12
2020-07-21,19.1316755762603,6269.73,2021-08-12
2020-07-22,19.0232440095745,6207.1,2021-08-12
2020-07-23,18.8299597447108,6211.44,2021-08-12
2020-07-24,18.4309737569065,6123.82,2021-08-12
2020-07-27,18.5183907952705,6104.88,2021-08-12
2020-07-28,18.4401796353762,6129.26,2021-08-12
2020-07-29,18.8121436331266,6131.46,2021-08-12
2020-07-30,18.2408688086729,5989.99,2021-08-12
2020-07-31,17.8284559982199,5897.76,2021-08-12
2020-08-03,18.4012122642122,6032.85,2021-08-12
2020-08-04,18.586460114927,6036.0,2021-08-12
2020-08-05,18.6736509716,6104.72,2021-08-12
2020-08-06,19.3066634108503,6026.94,2021-08-12
2020-08-07,19.3825390488366,6032.18,2021-08-12
2020-08-10,19.3910651540305,6050.59,2021-08-12
2020-08-11,19.8148391049055,6154.34,2021-08-12
2020-08-12,20.1422243334112,6280.12,2021-08-12
2020-08-13,20.0921966506434,6185.62,2021-08-12
2020-08-14,19.9937680723286,6090.04,2021-08-12
2020-08-17,20.3551799171948,6127.44,2021-08-12
2020-08-18,20.2046743518145,6076.62,2021-08-12
2020-08-19,20.0673410567402,6111.98,2021-08-12
2020-08-20,19.1593154091078,6013.34,2021-08-12
2020-08-21,19.1153649819395,6001.89,2021-08-12
2020-08-24,19.4720671308398,6104.73,2021-08-12
2020-08-25,19.5227783183866,6037.01,2021-08-12
2020-08-26,19.8729062235847,6045.6,2021-08-12
2020-08-27,19.5809603663765,5999.99,2021-08-12
2020-08-28,19.4914507956,5963.57,2021-08-12
2020-09-01,19.4378381437917,5862.05,2021-08-12
2020-09-02,19.6159728419783,5940.95,2021-08-12
2020-09-03,19.0854974568727,5850.86,2021-08-12
2020-09-04,19.1015600743789,5799.08,2021-08-12
2020-09-07,19.1453540873956,5937.4,2021-08-12
2020-09-08,19.1056768051948,5930.3,2021-08-12
2020-09-09,19.3976418366418,6012.84,2021-08-12
2020-09-10,19.0524171713165,6003.32,2021-08-12
2020-09-11,19.3827566395456,6032.09,2021-08-12
