Date,Stock,Market,joined date
2020-01-02,52.04,3257.85,2021-04-21
2020-01-03,51.2,3234.85,2021-04-21
2020-01-06,51.02,3246.28,2021-04-21
2020-01-07,50.92,3237.18,2021-04-21
2020-01-08,51.57,3253.05,2021-04-21
2020-01-09,52.06,3274.7,2021-04-21
2020-01-10,52.21,3265.35,2021-04-21
2020-01-13,52.78,3288.13,2021-04-21
2020-01-14,52.86,3283.15,2021-04-21
2020-01-15,52.94,3289.29,2021-04-21
2020-01-16,56.44,3316.81,2021-04-21
2020-01-17,57.51,3329.62,2021-04-21
2020-01-21,55.92,3320.79,2021-04-21
2020-01-22,55.86,3321.75,2021-04-21
2020-01-23,55.53,3325.54,2021-04-21
2020-01-24,54.55,3295.47,2021-04-21
2020-01-27,53.11,3243.63,2021-04-21
2020-01-28,54.02,3276.24,2021-04-21
2020-01-29,53.68,3273.4,2021-04-21
2020-01-30,53.82,3283.66,2021-04-21
2020-01-31,52.26,3225.52,2021-04-21
2020-02-03,52.6,3248.92,2021-04-21
2020-02-04,54.02,3297.59,2021-04-21
2020-02-05,54.99,3334.69,2021-04-21
2020-02-06,55.01,3345.78,2021-04-21
2020-02-07,55.03,3327.71,2021-04-21
2020-02-10,55.35,3352.09,2021-04-21
2020-02-11,55.78,3357.75,2021-04-21
2020-02-12,56.18,3379.45,2021-04-21
2020-02-13,55.93,3373.94,2021-04-21
2020-02-14,55.84,3380.16,2021-04-21
2020-02-18,55.52,3370.29,2021-04-21
2020-02-19,56.31,3386.15,2021-04-21
2020-02-20,53.75,3373.23,2021-04-21
2020-02-21,52.42,3337.75,2021-04-21
2020-02-24,49.68,3225.89,2021-04-21
2020-02-25,48.03,3128.21,2021-04-21
2020-02-26,47.24,3116.39,2021-04-21
2020-02-27,45.41,2978.76,2021-04-21
2020-02-28,45.03,2954.22,2021-04-21
2020-03-02,46.48,3090.23,2021-04-21
2020-03-03,44.4,3003.37,2021-04-21
2020-03-04,45.24,3130.12,2021-04-21
2020-03-05,42.59,3023.94,2021-04-21
2020-03-06,41.84,2972.37,2021-04-21
2020-03-09,37.5,2746.56,2021-04-21
2020-03-10,39.5,2882.23,2021-04-21
2020-03-11,36.87,2741.38,2021-04-21
2020-03-12,31.31,2480.64,2021-04-21
2020-03-13,37.5,2711.02,2021-04-21
2020-03-16,31.65,2386.13,2021-04-21
2020-03-17,33.79,2529.19,2021-04-21
2020-03-18,30.75,2398.1,2021-04-21
2020-03-19,30.92,2409.39,2021-04-21
2020-03-20,29.67,2304.92,2021-04-21
2020-03-23,27.81,2237.4,2021-04-21
2020-03-24,33.22,2447.33,2021-04-21
2020-03-25,33.99,2475.56,2021-04-21
2020-03-26,35.71,2630.07,2021-04-21
2020-03-27,34.01,2541.47,2021-04-21
2020-03-30,34.84,2626.65,2021-04-21
2020-03-31,34.0,2584.59,2021-04-21
2020-04-01,31.62,2470.5,2021-04-21
2020-04-02,33.9,2526.9,2021-04-21
2020-04-03,33.85,2488.65,2021-04-21
2020-04-06,37.01,2663.68,2021-04-21
2020-04-07,36.94,2659.41,2021-04-21
2020-04-08,39.37,2749.98,2021-04-21
2020-04-09,41.08,2789.82,2021-04-21
2020-04-13,39.58,2761.63,2021-04-21
2020-04-14,39.86,2846.06,2021-04-21
2020-04-15,38.4,2783.36,2021-04-21
2020-04-16,38.36,2799.55,2021-04-21
