Date,Stock,Market,joined date
2020-01-02,266.05,3257.85,2022-10-03
2020-01-03,260.75,3234.85,2022-10-03
2020-01-06,262.05,3246.28,2022-10-03
2020-01-07,262.41,3237.18,2022-10-03
2020-01-08,266.56,3253.05,2022-10-03
2020-01-09,267.83,3274.7,2022-10-03
2020-01-10,265.72,3265.35,2022-10-03
2020-01-13,271.99,3288.13,2022-10-03
2020-01-14,266.67,3283.15,2022-10-03
2020-01-15,269.74,3289.29,2022-10-03
2020-01-16,277.29,3316.81,2022-10-03
2020-01-17,279.07,3329.62,2022-10-03
2020-01-21,278.03,3320.79,2022-10-03
2020-01-22,279.23,3321.75,2022-10-03
2020-01-23,279.15,3325.54,2022-10-03
2020-01-24,276.11,3295.47,2022-10-03
2020-01-27,273.94,3243.63,2022-10-03
2020-01-28,278.17,3276.24,2022-10-03
2020-01-29,282.28,3273.4,2022-10-03
2020-01-30,292.77,3283.66,2022-10-03
2020-01-31,285.8,3225.52,2022-10-03
2020-02-03,292.65,3248.92,2022-10-03
2020-02-04,301.15,3297.59,2022-10-03
2020-02-05,295.18,3334.69,2022-10-03
2020-02-06,296.9,3345.78,2022-10-03
2020-02-07,297.83,3327.71,2022-10-03
2020-02-10,301.47,3352.09,2022-10-03
2020-02-11,303.57,3357.75,2022-10-03
2020-02-12,308.18,3379.45,2022-10-03
2020-02-13,313.4,3373.94,2022-10-03
2020-02-14,322.56,3380.16,2022-10-03
2020-02-18,327.09,3370.29,2022-10-03
2020-02-19,332.11,3386.15,2022-10-03
2020-02-20,321.71,3373.23,2022-10-03
2020-02-21,309.08,3337.75,2022-10-03
2020-02-24,303.53,3225.89,2022-10-03
2020-02-25,300.31,3128.21,2022-10-03
2020-02-26,305.61,3116.39,2022-10-03
2020-02-27,297.36,2978.76,2022-10-03
2020-02-28,295.44,2954.22,2022-10-03
2020-03-02,315.53,3090.23,2022-10-03
2020-03-03,308.65,3003.37,2022-10-03
2020-03-04,318.47,3130.12,2022-10-03
2020-03-05,300.89,3023.94,2022-10-03
2020-03-06,285.84,2972.37,2022-10-03
2020-03-09,257.85,2746.56,2022-10-03
2020-03-10,274.51,2882.23,2022-10-03
2020-03-11,262.58,2741.38,2022-10-03
2020-03-12,256.69,2480.64,2022-10-03
2020-03-13,283.4,2711.02,2022-10-03
2020-03-16,246.4,2386.13,2022-10-03
2020-03-17,257.6,2529.19,2022-10-03
2020-03-18,224.65,2398.1,2022-10-03
2020-03-19,237.35,2409.39,2022-10-03
2020-03-20,243.07,2304.92,2022-10-03
2020-03-23,231.55,2237.4,2022-10-03
2020-03-24,273.31,2447.33,2022-10-03
2020-03-25,263.77,2475.56,2022-10-03
2020-03-26,291.86,2630.07,2022-10-03
2020-03-27,275.74,2541.47,2022-10-03
2020-03-30,293.72,2626.65,2022-10-03
2020-03-31,288.96,2584.59,2022-10-03
2020-04-01,271.28,2470.5,2022-10-03
2020-04-02,286.99,2526.9,2022-10-03
2020-04-03,270.61,2488.65,2022-10-03
2020-04-06,302.49,2663.68,2022-10-03
2020-04-07,286.08,2659.41,2022-10-03
2020-04-08,297.18,2749.98,2022-10-03
2020-04-09,310.69,2789.82,2022-10-03
2020-04-13,309.52,2761.63,2022-10-03
2020-04-14,313.41,2846.06,2022-10-03
2020-04-15,309.62,2783.36,2022-10-03
2020-04-16,309.4,2799.55,2022-10-03
2020-04-17,317.18,2874.56,2022-10-03
2020-04-20,321.95,2823.16,2022-10-03
2020-04-21,311.32,2736.56,2022-10-03
2020-04-22,320.62,2799.31,2022-10-03
2020-04-23,317.44,2797.8,2022-10-03
2020-04-24,324.89,2836.74,2022-10-03
2020-04-27,331.61,2878.48,2022-10-03
2020-04-28,319.16,2863.39,2022-10-03
2020-04-29,334.7,2939.51,2022-10-03
2020-04-30,327.0,2912.43,2022-10-03
2020-05-01,319.94,2830.71,2022-10-03
2020-05-04,321.46,2842.74,2022-10-03
2020-05-05,337.34,2868.44,2022-10-03
2020-05-06,330.25,2848.42,2022-10-03
2020-05-07,334.1,2881.19,2022-10-03
2020-05-08,333.58,2929.8,2022-10-03
2020-05-11,347.25,2930.32,2022-10-03
2020-05-12,347.12,2870.12,2022-10-03
2020-05-13,335.62,2820.0,2022-10-03
2020-05-14,342.05,2852.5,2022-10-03
2020-05-15,341.22,2863.7,2022-10-03
2020-05-18,346.75,2953.91,2022-10-03
2020-05-19,337.53,2922.94,2022-10-03
2020-05-20,341.51,2971.61,2022-10-03
2020-05-21,333.35,2948.51,2022-10-03
2020-05-22,337.97,2955.45,2022-10-03
2020-05-26,326.17,2991.77,2022-10-03
2020-05-27,315.17,3036.13,2022-10-03
2020-05-28,322.68,3029.73,2022-10-03
2020-05-29,328.85,3044.31,2022-10-03
2020-06-01,335.37,3055.73,2022-10-03
2020-06-02,324.92,3080.82,2022-10-03
2020-06-03,318.58,3122.87,2022-10-03
2020-06-04,311.58,3112.35,2022-10-03
2020-06-05,330.88,3193.93,2022-10-03
2020-06-08,331.09,3232.39,2022-10-03
2020-06-09,327.16,3207.18,2022-10-03
2020-06-10,331.27,3190.14,2022-10-03
2020-06-11,299.94,3002.1,2022-10-03
2020-06-12,320.95,3041.31,2022-10-03
2020-06-15,322.12,3066.59,2022-10-03
2020-06-16,322.9,3124.74,2022-10-03
2020-06-17,325.9,3113.49,2022-10-03
2020-06-18,330.07,3115.34,2022-10-03
2020-06-19,333.46,3097.74,2022-10-03
2020-06-22,337.55,3117.86,2022-10-03
2020-06-23,334.82,3131.29,2022-10-03
2020-06-24,328.36,3050.33,2022-10-03
2020-06-25,342.17,3083.76,2022-10-03
2020-06-26,332.2,3009.05,2022-10-03
2020-06-29,325.75,3053.24,2022-10-03
2020-06-30,333.82,3100.29,2022-10-03
2020-07-01,340.93,3115.86,2022-10-03
2020-07-02,342.13,3130.01,2022-10-03
2020-07-06,351.21,3179.72,2022-10-03
2020-07-07,352.61,3145.32,2022-10-03
2020-07-08,370.71,3169.94,2022-10-03
2020-07-09,375.14,3152.05,2022-10-03
2020-07-10,370.95,3185.04,2022-10-03
2020-07-13,363.87,3155.22,2022-10-03
2020-07-14,369.08,3197.52,2022-10-03
2020-07-15,376.25,3226.56,2022-10-03
2020-07-16,370.16,3215.57,2022-10-03
2020-07-17,379.62,3224.73,2022-10-03
2020-07-20,389.02,3251.84,2022-10-03
2020-07-21,389.05,3257.3,2022-10-03
2020-07-22,390.12,3276.02,2022-10-03
2020-07-23,384.98,3235.66,2022-10-03
2020-07-24,385.65,3215.63,2022-10-03
2020-07-27,394.0,3239.41,2022-10-03
2020-07-28,376.25,3218.44,2022-10-03
2020-07-29,383.02,3258.44,2022-10-03
2020-07-30,374.54,3246.22,2022-10-03
2020-07-31,375.98,3271.12,2022-10-03
2020-08-03,371.91,3294.61,2022-10-03
2020-08-04,364.35,3306.51,2022-10-03
2020-08-05,364.58,3327.77,2022-10-03
2020-08-06,372.72,3349.16,2022-10-03
2020-08-07,362.37,3351.28,2022-10-03
2020-08-10,354.31,3360.47,2022-10-03
2020-08-11,350.53,3333.69,2022-10-03
2020-08-12,354.77,3380.35,2022-10-03
2020-08-13,359.87,3373.43,2022-10-03
2020-08-14,356.41,3372.85,2022-10-03
2020-08-17,361.66,3381.99,2022-10-03
2020-08-18,366.2,3389.78,2022-10-03
2020-08-19,371.4,3374.85,2022-10-03
2020-08-20,368.74,3385.51,2022-10-03
2020-08-21,363.69,3397.16,2022-10-03
2020-08-24,363.99,3431.28,2022-10-03
2020-08-25,365.53,3443.62,2022-10-03
2020-08-26,371.6,3478.73,2022-10-03
2020-08-27,369.89,3484.55,2022-10-03
2020-08-28,373.68,3508.01,2022-10-03
2020-08-31,373.27,3500.31,2022-10-03
2020-09-01,377.56,3526.65,2022-10-03
2020-09-02,378.59,3580.84,2022-10-03
2020-09-03,360.46,3455.06,2022-10-03
2020-09-04,348.18,3426.96,2022-10-03
2020-09-08,339.64,3331.84,2022-10-03
2020-09-09,348.69,3398.96,2022-10-03
2020-09-10,342.53,3339.19,2022-10-03
2020-09-11,339.25,3340.97,2022-10-03
2020-09-14,342.37,3383.54,2022-10-03
2020-09-15,346.0,3401.2,2022-10-03
2020-09-16,344.47,3385.49,2022-10-03
2020-09-17,340.36,3357.01,2022-10-03
2020-09-18,344.96,3319.47,2022-10-03
2020-09-21,351.73,3281.06,2022-10-03
2020-09-22,351.24,3315.57,2022-10-03
2020-09-23,345.46,3236.92,2022-10-03
2020-09-24,346.12,3246.59,2022-10-03
2020-09-25,352.96,3298.46,2022-10-03
2020-09-28,354.47,3351.6,2022-10-03
2020-09-29,356.03,3335.47,2022-10-03
2020-09-30,356.78,3363.0,2022-10-03
