Date,Stock,Market,joined date
2018-01-02,85.95,2695.81,2020-01-14
2018-01-03,86.35,2713.06,2020-01-14
2018-01-04,87.11,2723.99,2020-01-14
2018-01-05,88.19,2743.15,2020-01-14
2018-01-08,88.28,2747.71,2020-01-14
2018-01-09,88.22,2751.29,2020-01-14
2018-01-10,87.82,2748.23,2020-01-14
2018-01-11,88.08,2767.56,2020-01-14
2018-01-12,89.6,2786.24,2020-01-14
2018-01-16,88.35,2776.42,2020-01-14
2018-01-17,90.14,2802.56,2020-01-14
2018-01-18,90.1,2798.03,2020-01-14
2018-01-19,90.0,2810.3,2020-01-14
2018-01-22,91.61,2832.97,2020-01-14
2018-01-23,91.9,2839.13,2020-01-14
2018-01-24,91.82,2837.54,2020-01-14
2018-01-25,92.33,2839.25,2020-01-14
2018-01-26,94.06,2872.87,2020-01-14
2018-01-29,93.92,2853.53,2020-01-14
2018-01-30,92.74,2822.43,2020-01-14
2018-01-31,95.01,2823.81,2020-01-14
2018-02-01,94.26,2821.98,2020-01-14
2018-02-02,91.78,2762.13,2020-01-14
2018-02-05,88.0,2648.94,2020-01-14
2018-02-06,91.33,2695.14,2020-01-14
2018-02-07,89.61,2681.66,2020-01-14
2018-02-08,85.01,2581.0,2020-01-14
2018-02-09,88.18,2619.55,2020-01-14
2018-02-12,89.13,2656.0,2020-01-14
2018-02-13,89.83,2662.94,2020-01-14
2018-02-14,90.81,2698.63,2020-01-14
2018-02-15,92.66,2731.2,2020-01-14
2018-02-16,92.0,2732.22,2020-01-14
2018-02-20,92.72,2716.26,2020-01-14
2018-02-21,91.49,2701.33,2020-01-14
2018-02-22,91.73,2703.96,2020-01-14
2018-02-23,94.06,2747.3,2020-01-14
2018-02-26,95.42,2779.6,2020-01-14
2018-02-27,94.2,2744.28,2020-01-14
2018-02-28,93.77,2713.83,2020-01-14
2018-03-01,92.85,2677.67,2020-01-14
2018-03-02,93.05,2691.25,2020-01-14
2018-03-05,93.64,2720.94,2020-01-14
2018-03-06,93.32,2728.12,2020-01-14
2018-03-07,93.86,2726.8,2020-01-14
2018-03-08,94.43,2738.97,2020-01-14
2018-03-09,96.54,2786.57,2020-01-14
2018-03-12,96.77,2783.02,2020-01-14
2018-03-13,94.41,2765.31,2020-01-14
2018-03-14,93.85,2749.48,2020-01-14
2018-03-15,94.18,2747.33,2020-01-14
2018-03-16,94.6,2752.01,2020-01-14
2018-03-19,92.89,2712.92,2020-01-14
2018-03-20,93.13,2716.94,2020-01-14
2018-03-21,92.48,2711.93,2020-01-14
2018-03-22,89.79,2643.69,2020-01-14
2018-03-23,87.18,2588.26,2020-01-14
2018-03-26,93.78,2658.55,2020-01-14
2018-03-27,89.47,2612.62,2020-01-14
2018-03-28,89.39,2605.0,2020-01-14
2018-03-29,91.27,2640.87,2020-01-14
2018-04-02,88.52,2581.88,2020-01-14
2018-04-03,89.71,2614.45,2020-01-14
2018-04-04,92.33,2644.69,2020-01-14
2018-04-05,92.38,2662.84,2020-01-14
2018-04-06,90.23,2604.47,2020-01-14
2018-04-09,90.77,2613.16,2020-01-14
2018-04-10,92.88,2656.87,2020-01-14
2018-04-11,91.86,2642.19,2020-01-14
2018-04-12,93.58,2663.99,2020-01-14
2018-04-13,93.08,2656.3,2020-01-14
2018-04-16,94.17,2677.84,2020-01-14
2018-04-17,96.07,2706.39,2020-01-14
2018-04-18,96.44,2708.64,2020-01-14
2018-04-19,96.11,2693.13,2020-01-14
2018-04-20,95.0,2670.14,2020-01-14
2018-04-23,95.35,2670.29,2020-01-14
2018-04-24,93.12,2634.56,2020-01-14
2018-04-25,92.31,2639.4,2020-01-14
2018-04-26,94.26,2666.94,2020-01-14
2018-04-27,95.82,2669.91,2020-01-14
2018-04-30,93.52,2648.05,2020-01-14
2018-05-01,95.0,2654.8,2020-01-14
2018-05-02,93.51,2635.67,2020-01-14
2018-05-03,94.07,2629.73,2020-01-14
2018-05-04,95.16,2663.42,2020-01-14
2018-05-07,96.22,2672.63,2020-01-14
2018-05-08,95.81,2671.92,2020-01-14
2018-05-09,96.94,2697.79,2020-01-14
2018-05-10,97.91,2723.07,2020-01-14
2018-05-11,97.7,2727.72,2020-01-14
2018-05-14,98.03,2730.13,2020-01-14
2018-05-15,97.32,2711.45,2020-01-14
2018-05-16,97.15,2722.46,2020-01-14
2018-05-17,96.18,2720.13,2020-01-14
2018-05-18,96.36,2712.97,2020-01-14
2018-05-21,97.6,2733.01,2020-01-14
2018-05-22,97.5,2724.44,2020-01-14
2018-05-23,98.66,2733.29,2020-01-14
2018-05-24,98.31,2727.76,2020-01-14
2018-05-25,98.36,2721.33,2020-01-14
2018-05-29,98.01,2689.86,2020-01-14
2018-05-30,98.95,2724.01,2020-01-14
2018-05-31,98.84,2705.27,2020-01-14
2018-06-01,100.79,2734.62,2020-01-14
2018-06-04,101.67,2746.87,2020-01-14
2018-06-05,102.19,2748.8,2020-01-14
2018-06-06,102.49,2772.35,2020-01-14
2018-06-07,100.88,2770.37,2020-01-14
2018-06-08,101.63,2779.03,2020-01-14
2018-06-11,101.05,2782.0,2020-01-14
2018-06-12,101.31,2786.85,2020-01-14
2018-06-13,100.85,2775.63,2020-01-14
2018-06-14,101.42,2782.49,2020-01-14
2018-06-15,100.13,2779.66,2020-01-14
2018-06-18,100.86,2773.75,2020-01-14
2018-06-19,100.86,2762.59,2020-01-14
2018-06-20,101.87,2767.32,2020-01-14
2018-06-21,101.14,2749.76,2020-01-14
2018-06-22,100.41,2754.88,2020-01-14
2018-06-25,98.39,2717.07,2020-01-14
2018-06-26,99.08,2723.06,2020-01-14
2018-06-27,97.54,2699.63,2020-01-14
2018-06-28,98.63,2716.31,2020-01-14
2018-06-29,98.61,2718.37,2020-01-14
2018-07-02,100.01,2726.71,2020-01-14
2018-07-03,99.05,2713.22,2020-01-14
2018-07-05,99.76,2736.61,2020-01-14
2018-07-06,101.16,2759.82,2020-01-14
2018-07-09,101.85,2784.17,2020-01-14
2018-07-10,102.12,2793.84,2020-01-14
2018-07-11,101.98,2774.02,2020-01-14
2018-07-12,104.19,2798.29,2020-01-14
2018-07-13,105.43,2801.31,2020-01-14
2018-07-16,104.91,2798.43,2020-01-14
2018-07-17,105.95,2809.55,2020-01-14
2018-07-18,105.12,2815.62,2020-01-14
2018-07-19,104.4,2804.49,2020-01-14
2018-07-20,106.27,2801.83,2020-01-14
2018-07-23,107.97,2806.98,2020-01-14
2018-07-24,107.66,2820.4,2020-01-14
2018-07-25,110.83,2846.07,2020-01-14
2018-07-26,109.62,2837.44,2020-01-14
2018-07-27,107.68,2818.82,2020-01-14
2018-07-30,105.37,2802.6,2020-01-14
2018-07-31,106.08,2816.29,2020-01-14
2018-08-01,106.28,2813.36,2020-01-14
2018-08-02,107.57,2827.22,2020-01-14
2018-08-03,108.04,2840.35,2020-01-14
2018-08-06,108.13,2850.4,2020-01-14
2018-08-07,108.88,2858.45,2020-01-14
2018-08-08,109.49,2857.7,2020-01-14
2018-08-09,109.67,2853.58,2020-01-14
2018-08-10,109.0,2833.28,2020-01-14
2018-08-13,108.21,2821.93,2020-01-14
2018-08-14,109.56,2839.96,2020-01-14
2018-08-15,107.66,2818.37,2020-01-14
2018-08-16,107.64,2840.69,2020-01-14
2018-08-17,107.58,2850.13,2020-01-14
2018-08-20,106.87,2857.05,2020-01-14
2018-08-21,105.98,2862.96,2020-01-14
2018-08-22,107.06,2861.82,2020-01-14
2018-08-23,107.56,2856.98,2020-01-14
2018-08-24,108.4,2874.69,2020-01-14
2018-08-27,109.6,2896.74,2020-01-14
2018-08-28,110.26,2897.52,2020-01-14
2018-08-29,112.02,2914.04,2020-01-14
2018-08-30,111.95,2901.13,2020-01-14
2018-08-31,112.33,2901.52,2020-01-14
2018-09-04,111.71,2896.72,2020-01-14
2018-09-05,108.49,2888.6,2020-01-14
2018-09-06,108.74,2878.05,2020-01-14
2018-09-07,108.21,2871.68,2020-01-14
2018-09-10,109.38,2877.13,2020-01-14
2018-09-11,111.24,2887.89,2020-01-14
2018-09-12,111.71,2888.92,2020-01-14
2018-09-13,112.91,2904.18,2020-01-14
2018-09-14,113.37,2904.98,2020-01-14
2018-09-17,112.14,2888.8,2020-01-14
2018-09-18,113.21,2904.31,2020-01-14
2018-09-19,111.7,2907.95,2020-01-14
2018-09-20,113.57,2930.75,2020-01-14
2018-09-21,114.26,2929.67,2020-01-14
2018-09-24,114.67,2919.37,2020-01-14
2018-09-25,114.45,2915.56,2020-01-14
2018-09-26,113.98,2905.97,2020-01-14
2018-09-27,114.41,2914.0,2020-01-14
2018-09-28,114.37,2913.98,2020-01-14
2018-10-01,115.61,2924.59,2020-01-14
2018-10-02,115.15,2923.43,2020-01-14
2018-10-03,115.17,2925.51,2020-01-14
2018-10-04,112.79,2901.61,2020-01-14
2018-10-05,112.13,2885.57,2020-01-14
2018-10-08,110.85,2884.43,2020-01-14
2018-10-09,112.26,2880.34,2020-01-14
2018-10-10,106.16,2785.68,2020-01-14
2018-10-11,105.91,2728.37,2020-01-14
2018-10-12,109.57,2767.13,2020-01-14
2018-10-15,107.6,2750.79,2020-01-14
2018-10-16,111.0,2809.92,2020-01-14
2018-10-17,110.71,2809.21,2020-01-14
2018-10-18,108.5,2768.78,2020-01-14
2018-10-19,108.66,2767.78,2020-01-14
2018-10-22,109.63,2755.88,2020-01-14
2018-10-23,108.1,2740.69,2020-01-14
2018-10-24,102.32,2656.1,2020-01-14
2018-10-25,108.3,2705.57,2020-01-14
2018-10-26,106.96,2658.69,2020-01-14
2018-10-29,103.85,2641.25,2020-01-14
2018-10-30,103.73,2682.63,2020-01-14
2018-10-31,106.81,2711.74,2020-01-14
2018-11-01,105.92,2740.37,2020-01-14
2018-11-02,106.16,2723.06,2020-01-14
2018-11-05,107.51,2738.31,2020-01-14
2018-11-06,107.72,2755.45,2020-01-14
2018-11-07,111.96,2813.89,2020-01-14
2018-11-08,111.75,2806.83,2020-01-14
2018-11-09,109.57,2781.01,2020-01-14
2018-11-12,106.87,2726.22,2020-01-14
2018-11-13,106.94,2722.18,2020-01-14
2018-11-14,104.97,2701.58,2020-01-14
2018-11-15,107.28,2730.2,2020-01-14
2018-11-16,108.29,2736.27,2020-01-14
2018-11-19,104.62,2690.73,2020-01-14
2018-11-20,101.71,2641.89,2020-01-14
2018-11-21,103.11,2649.93,2020-01-14
2018-11-23,103.07,2632.56,2020-01-14
2018-11-26,106.47,2673.45,2020-01-14
2018-11-27,107.14,2682.17,2020-01-14
2018-11-28,111.12,2743.79,2020-01-14
2018-11-29,110.19,2737.76,2020-01-14
2018-11-30,110.89,2760.17,2020-01-14
2018-12-03,112.09,2790.37,2020-01-14
2018-12-04,108.52,2700.06,2020-01-14
2018-12-06,109.19,2695.95,2020-01-14
2018-12-07,104.82,2633.08,2020-01-14
2018-12-10,107.59,2637.72,2020-01-14
2018-12-11,108.59,2636.78,2020-01-14
2018-12-12,109.08,2651.07,2020-01-14
2018-12-13,109.45,2650.54,2020-01-14
2018-12-14,106.03,2599.95,2020-01-14
2018-12-17,102.89,2545.94,2020-01-14
2018-12-18,103.97,2546.16,2020-01-14
2018-12-19,103.69,2506.96,2020-01-14
2018-12-20,101.51,2467.42,2020-01-14
2018-12-21,98.23,2416.62,2020-01-14
2018-12-24,94.13,2351.1,2020-01-14
2018-12-26,100.56,2467.7,2020-01-14
2018-12-27,101.18,2488.83,2020-01-14
2018-12-28,100.39,2485.74,2020-01-14
2018-12-31,101.57,2506.85,2020-01-14
2019-01-02,101.12,2510.03,2020-01-14
2019-01-03,97.4,2447.89,2020-01-14
2019-01-04,101.93,2531.94,2020-01-14
2019-01-07,102.06,2549.69,2020-01-14
2019-01-08,102.8,2574.41,2020-01-14
2019-01-09,104.27,2584.96,2020-01-14
2019-01-10,103.6,2596.64,2020-01-14
2019-01-11,102.8,2596.26,2020-01-14
2019-01-14,102.05,2582.61,2020-01-14
2019-01-15,105.01,2610.3,2020-01-14
2019-01-16,105.38,2616.1,2020-01-14
2019-01-17,106.12,2635.96,2020-01-14
2019-01-18,107.71,2670.71,2020-01-14
2019-01-22,105.68,2632.9,2020-01-14
2019-01-23,106.71,2638.7,2020-01-14
2019-01-24,106.2,2642.33,2020-01-14
2019-01-25,107.17,2664.76,2020-01-14
2019-01-28,105.08,2643.85,2020-01-14
2019-01-29,102.94,2640.0,2020-01-14
2019-01-30,106.38,2681.05,2020-01-14
