Date,Stock,Market,joined date
2020-01-13,5.73730638327042,3467.74,2021-10-19
2020-01-14,5.76307215649633,3498.66,2021-10-19
2020-01-15,5.78593433798848,3512.41,2021-10-19
2020-01-16,5.84883398112156,3514.16,2021-10-19
2020-01-17,5.81238453075,3531.1,2021-10-19
2020-01-20,5.7653279582544,3537.25,2021-10-19
2020-01-21,5.71448285378812,3483.53,2021-10-19
2020-01-22,5.80954574965276,3480.6,2021-10-19
2020-01-23,5.71952770461611,3424.28,2021-10-19
2020-01-24,5.73470721566679,3448.05,2021-10-19
2020-01-27,5.53942249739626,3370.86,2021-10-19
2020-01-28,5.5687708828935,3352.54,2021-10-19
2020-01-29,5.58559543910576,3399.91,2021-10-19
2020-01-30,5.59590758181574,3419.25,2021-10-19
2020-01-31,5.38750850238358,3371.25,2021-10-19
2020-02-13,5.8786134903642,3491.59,2021-10-19
2020-02-14,5.85498801747712,3505.79,2021-10-19
2020-02-17,5.88855803768568,3521.16,2021-10-19
2020-02-18,5.87611893541931,3497.95,2021-10-19
2020-02-19,5.8772457089456,3526.73,2021-10-19
2020-02-20,5.86083493745676,3492.33,2021-10-19
2020-02-21,5.82813698356399,3459.62,2021-10-19
2020-02-24,5.46919900908056,3321.5,2021-10-19
2020-02-25,5.32915978930377,3303.1,2021-10-19
2020-02-26,5.25600303255732,3350.83,2021-10-19
2020-02-27,5.0639534883694,3238.54,2021-10-19
2020-02-28,4.70568704946153,3067.83,2021-10-19
2020-03-13,3.3425310808059,2708.11,2021-10-19
2020-03-16,2.85702304070014,2467.45,2021-10-19
2020-03-17,2.69017480409667,2513.24,2021-10-19
2020-03-18,2.27903220142534,2286.05,2021-10-19
2020-03-19,2.25182638590351,2248.2,2021-10-19
2020-03-20,2.02635511788152,2357.52,2021-10-19
2020-03-23,1.65429313760088,2235.49,2021-10-19
2020-03-24,1.8853695324288,2396.14,2021-10-19
2020-03-25,2.09004329004482,2554.73,2021-10-19
2020-03-26,2.27314739931052,2690.6,2021-10-19
2020-03-27,2.2695035461,2508.29,2021-10-19
2020-03-30,2.265081481565,2505.27,2021-10-19
2020-03-31,2.71241353796592,2582.75,2021-10-19
2020-04-14,2.83311199645862,2936.39,2021-10-19
2020-04-15,2.54847615786149,2837.38,2021-10-19
2020-04-16,2.60924870809436,2836.85,2021-10-19
2020-04-17,2.81584130932523,2848.14,2021-10-19
2020-04-20,2.30543419983882,2832.11,2021-10-19
2020-04-21,2.36027399427532,2778.65,2021-10-19
2020-04-22,2.27499868497232,2824.89,2021-10-19
2020-04-23,2.28651032228874,2912.15,2021-10-19
2020-04-24,2.2474804561191,2921.89,2021-10-19
2020-04-28,2.5866598046475,2929.65,2021-10-19
2020-04-29,2.60336230860912,2980.34,2021-10-19
2020-04-30,2.62521197195836,2967.17,2021-10-19
2020-05-13,2.68809934609272,2988.17,2021-10-19
2020-05-14,2.43303983410383,2912.5,2021-10-19
2020-05-15,2.5727509307701,2925.98,2021-10-19
2020-05-18,2.80637689058596,2998.08,2021-10-19
2020-05-19,3.09945541258896,3050.45,2021-10-19
2020-05-20,3.0693848394715,3066.22,2021-10-19
2020-05-21,3.06608871747486,3009.98,2021-10-19
2020-05-22,2.94104300672793,2965.25,2021-10-19
2020-05-25,2.87381415472665,2929.19,2021-10-19
2020-05-26,2.99572696269427,2971.36,2021-10-19
2020-05-27,3.17334254143541,2949.88,2021-10-19
2020-05-28,3.13362633091793,2986.55,2021-10-19
2020-05-29,3.07288845813873,2906.69,2021-10-19
2020-06-15,3.12193126023124,3023.63,2021-10-19
2020-06-17,3.30966653087323,3148.12,2021-10-19
2020-06-18,3.21350013747873,3136.77,2021-10-19
2020-06-19,3.2348812625304,3161.18,2021-10-19
2020-06-22,3.21027009233849,3168.4,2021-10-19
2020-06-23,3.25012185780899,3236.71,2021-10-19
2020-06-24,3.10064141283666,3177.58,2021-10-19
2020-06-25,3.24526804677234,3145.97,2021-10-19
2020-06-26,3.19384793964094,3121.98,2021-10-19
2020-06-29,3.19426676005758,3158.87,2021-10-19
2020-06-30,3.05005484671637,3164.95,2021-10-19
2020-07-13,3.54697123579942,3331.49,2021-10-19
2020-07-14,3.5264724516741,3278.72,2021-10-19
2020-07-15,3.49236986549439,3295.98,2021-10-19
2020-07-16,3.67296601687502,3305.69,2021-10-19
2020-07-17,3.82821306089121,3308.3,2021-10-19
2020-07-20,3.87014877783024,3335.95,2021-10-19
2020-07-21,3.84214536035651,3373.75,2021-10-19
2020-07-22,3.72291007572224,3337.83,2021-10-19
2020-07-23,3.60130432432737,3338.3,2021-10-19
2020-07-24,3.98308389070712,3300.33,2021-10-19
2020-07-27,3.92150890061363,3354.71,2021-10-19
2020-07-28,3.79704667417437,3376.92,2021-10-19
2020-07-29,3.88733790169275,3392.2,2021-10-19
2020-07-30,3.61829737713597,3317.9,2021-10-19
2020-07-31,3.47702365834255,3288.25,2021-10-19
2020-08-13,3.82008024751529,3298.54,2021-10-19
2020-08-14,3.97297250631427,3286.0,2021-10-19
2020-08-17,3.80389469476415,3285.74,2021-10-19
2020-08-18,3.83672291937095,3282.86,2021-10-19
2020-08-19,3.90560301143945,3248.1,2021-10-19
2020-08-20,3.6974828852425,3202.62,2021-10-19
2020-08-21,3.83197629657285,3259.85,2021-10-19
2020-08-24,3.99832345509787,3309.59,2021-10-19
2020-08-25,3.88878663919785,3292.53,2021-10-19
2020-08-26,3.83521043272081,3319.39,2021-10-19
2020-08-27,3.74582607113677,3335.96,2021-10-19
2020-08-28,3.79310968660162,3289.11,2021-10-19
2020-08-31,3.6059069089134,3224.37,2021-10-19
2020-09-14,3.4308457950384,3277.87,2021-10-19
2020-09-15,3.45795018166044,3260.3,2021-10-19
