Date,Stock,Market,joined date
2020-01-02,55.1856988750192,17099.95,2021-10-14
2020-01-03,55.1427032848681,17066.12,2021-10-14
2020-01-06,55.2032708477976,17105.47,2021-10-14
2020-01-07,55.1872644774283,17168.06,2021-10-14
2020-01-08,55.1814067653601,17167.82,2021-10-14
2020-01-09,55.1325264286808,17235.57,2021-10-14
2020-01-10,55.3103448275862,17234.49,2021-10-14
2020-01-13,55.5070465686275,17293.42,2021-10-14
2020-01-14,56.2098009188362,17352.9,2021-10-14
2020-01-15,56.176673567978,17415.17,2021-10-14
2020-01-16,56.2193251533743,17484.77,2021-10-14
2020-01-17,56.2810992880655,17559.02,2021-10-14
2020-01-20,56.2777862946497,17597.39,2021-10-14
2020-01-21,56.2485650876253,17572.28,2021-10-14
2020-01-22,55.8854880462921,17599.86,2021-10-14
2020-01-23,56.1728395061728,17621.78,2021-10-14
2020-01-24,56.1482270582864,17565.34,2021-10-14
2020-01-27,56.0567010309279,17442.52,2021-10-14
2020-01-28,56.1307487647282,17500.88,2021-10-14
2020-01-29,56.0169748408608,17511.75,2021-10-14
2020-01-30,56.1932162325863,17490.56,2021-10-14
2020-01-31,55.4816773706082,17318.49,2021-10-14
2020-02-03,55.1415236374586,17379.76,2021-10-14
2020-02-04,55.1235684147076,17512.73,2021-10-14
2020-02-05,55.1664407290254,17651.59,2021-10-14
2020-02-06,55.517916290274,17757.49,2021-10-14
2020-02-07,55.3226654646533,17655.49,2021-10-14
2020-02-10,55.2009012392039,17740.57,2021-10-14
2020-02-11,55.4493451753726,17777.11,2021-10-14
2020-02-12,55.7023171560118,17832.85,2021-10-14
2020-02-13,55.5664430541946,17821.17,2021-10-14
2020-02-14,55.6595230908542,17848.36,2021-10-14
2020-02-18,55.6653590826796,17858.34,2021-10-14
2020-02-19,56.3474050537146,17925.36,2021-10-14
2020-02-20,56.3315483822309,17944.06,2021-10-14
2020-02-21,56.5648162153986,17843.53,2021-10-14
2020-02-24,55.8080048149263,17562.74,2021-10-14
2020-02-25,55.3061685621752,17177.37,2021-10-14
2020-02-26,54.8312078019505,17041.92,2021-10-14
2020-02-27,52.9802808485211,16767.72,2021-10-14
2020-02-28,52.0827112570917,16263.05,2021-10-14
2020-03-02,52.4921183005555,16553.26,2021-10-14
2020-03-03,51.1542771759432,16423.62,2021-10-14
2020-03-04,51.4943215780036,16779.53,2021-10-14
2020-03-05,49.4516971279373,16553.99,2021-10-14
2020-03-06,46.4128734262087,16175.02,2021-10-14
2020-03-09,40.0408729289833,14514.24,2021-10-14
2020-03-10,40.5188747995919,14958.09,2021-10-14
2020-03-11,39.0316492450639,14270.09,2021-10-14
2020-03-12,33.7713629182824,12508.45,2021-10-14
2020-03-13,39.8174309932624,13716.33,2021-10-14
2020-03-16,32.6412671232877,12360.4,2021-10-14
2020-03-17,32.4741178956264,12685.21,2021-10-14
2020-03-18,30.3385506446942,11721.42,2021-10-14
2020-03-19,30.4617505168849,12170.52,2021-10-14
2020-03-20,29.9122684862833,11851.81,2021-10-14
2020-03-23,26.7177152317881,11228.49,2021-10-14
2020-03-24,32.0284943633723,12571.08,2021-10-14
2020-03-25,36.2508809020437,13139.23,2021-10-14
2020-03-26,38.5559360730594,13371.17,2021-10-14
2020-03-27,36.0878586248838,12687.74,2021-10-14
2020-03-30,36.7210106570682,13038.5,2021-10-14
2020-03-31,38.686962088342,13378.75,2021-10-14
2020-04-01,36.7564138708768,12876.37,2021-10-14
2020-04-02,36.5013091784021,13097.84,2021-10-14
2020-04-03,35.7862122385748,12938.3,2021-10-14
2020-04-06,37.7773052661422,13592.7,2021-10-14
2020-04-07,38.0761809476167,13614.14,2021-10-14
2020-04-08,39.9942906080503,13925.71,2021-10-14
2020-04-09,40.7500178916482,14166.63,2021-10-14
2020-04-13,40.1237232052942,14075.94,2021-10-14
2020-04-14,39.3631582738996,14258.43,2021-10-14
2020-04-15,37.1979306923677,13958.58,2021-10-14
2020-04-16,35.7695859080901,13899.32,2021-10-14
2020-04-17,38.83411915988,14359.88,2021-10-14
2020-04-20,38.0629197596324,14388.28,2021-10-14
2020-04-21,36.2075033434223,13940.06,2021-10-14
2020-04-22,36.6056924924076,14288.16,2021-10-14
