Date,Stock,Market,joined date
2020-01-02,329.81,3257.85,2021-05-03
2020-01-03,325.9,3234.85,2021-05-03
2020-01-06,335.83,3246.28,2021-05-03
2020-01-07,330.75,3237.18,2021-05-03
2020-01-08,339.26,3253.05,2021-05-03
2020-01-09,335.66,3274.7,2021-05-03
2020-01-10,329.05,3265.35,2021-05-03
2020-01-13,338.92,3288.13,2021-05-03
2020-01-14,338.69,3283.15,2021-05-03
2020-01-15,339.07,3289.29,2021-05-03
2020-01-16,338.62,3316.81,2021-05-03
2020-01-17,339.67,3329.62,2021-05-03
2020-01-21,338.11,3320.79,2021-05-03
2020-01-22,326.0,3321.75,2021-05-03
2020-01-23,349.6,3325.54,2021-05-03
2020-01-24,353.16,3295.47,2021-05-03
2020-01-27,342.88,3243.63,2021-05-03
2020-01-28,348.52,3276.24,2021-05-03
2020-01-29,343.16,3273.4,2021-05-03
2020-01-30,347.74,3283.66,2021-05-03
2020-01-31,345.09,3225.52,2021-05-03
2020-02-03,358.0,3248.92,2021-05-03
2020-02-04,369.01,3297.59,2021-05-03
2020-02-05,369.67,3334.69,2021-05-03
2020-02-06,366.95,3345.78,2021-05-03
2020-02-07,366.77,3327.71,2021-05-03
2020-02-10,371.07,3352.09,2021-05-03
2020-02-11,373.69,3357.75,2021-05-03
2020-02-12,380.01,3379.45,2021-05-03
2020-02-13,381.4,3373.94,2021-05-03
2020-02-14,380.4,3380.16,2021-05-03
2020-02-18,387.78,3370.29,2021-05-03
2020-02-19,386.19,3386.15,2021-05-03
2020-02-20,386.0,3373.23,2021-05-03
2020-02-21,380.07,3337.75,2021-05-03
2020-02-24,368.7,3225.89,2021-05-03
2020-02-25,360.09,3128.21,2021-05-03
2020-02-26,379.24,3116.39,2021-05-03
2020-02-27,371.71,2978.76,2021-05-03
2020-02-28,369.03,2954.22,2021-05-03
2020-03-02,381.05,3090.23,2021-05-03
2020-03-03,368.77,3003.37,2021-05-03
2020-03-04,383.79,3130.12,2021-05-03
2020-03-05,372.78,3023.94,2021-05-03
2020-03-06,368.97,2972.37,2021-05-03
2020-03-09,346.49,2746.56,2021-05-03
2020-03-10,364.13,2882.23,2021-05-03
2020-03-11,349.92,2741.38,2021-05-03
2020-03-12,315.25,2480.64,2021-05-03
2020-03-13,336.295,2711.02,2021-05-03
2020-03-16,298.84,2386.13,2021-05-03
2020-03-17,319.75,2529.19,2021-05-03
2020-03-18,315.47,2398.1,2021-05-03
2020-03-19,332.03,2409.39,2021-05-03
2020-03-20,332.83,2304.92,2021-05-03
2020-03-23,360.27,2237.4,2021-05-03
2020-03-24,357.32,2447.33,2021-05-03
2020-03-25,342.39,2475.56,2021-05-03
2020-03-26,362.99,2630.07,2021-05-03
2020-03-27,357.12,2541.47,2021-05-03
2020-03-30,370.96,2626.65,2021-05-03
2020-03-31,375.5,2584.59,2021-05-03
2020-04-01,364.08,2470.5,2021-05-03
2020-04-02,370.08,2526.9,2021-05-03
2020-04-03,361.76,2488.65,2021-05-03
2020-04-06,379.96,2663.68,2021-05-03
2020-04-07,372.28,2659.41,2021-05-03
2020-04-08,371.12,2749.98,2021-05-03
2020-04-09,370.72,2789.82,2021-05-03
2020-04-13,396.72,2761.63,2021-05-03
2020-04-14,413.55,2846.06,2021-05-03
2020-04-15,426.75,2783.36,2021-05-03
2020-04-16,439.17,2799.55,2021-05-03
2020-04-17,422.96,2874.56,2021-05-03
2020-04-20,437.49,2823.16,2021-05-03
2020-04-21,433.83,2736.56,2021-05-03
2020-04-22,421.42,2799.31,2021-05-03
2020-04-23,426.7,2797.8,2021-05-03
2020-04-24,424.99,2836.74,2021-05-03
2020-04-27,421.38,2878.48,2021-05-03
2020-04-28,403.83,2863.39,2021-05-03
2020-04-29,411.89,2939.51,2021-05-03
2020-04-30,419.85,2912.43,2021-05-03
2020-05-01,415.27,2830.71,2021-05-03
2020-05-04,428.15,2842.74,2021-05-03
2020-05-05,424.68,2868.44,2021-05-03
2020-05-06,434.26,2848.42,2021-05-03
2020-05-07,436.53,2881.19,2021-05-03
2020-05-08,435.55,2929.8,2021-05-03
2020-05-11,440.52,2930.32,2021-05-03
2020-05-12,431.82,2870.12,2021-05-03
2020-05-13,438.27,2820.0,2021-05-03
2020-05-14,441.95,2852.5,2021-05-03
2020-05-15,454.19,2863.7,2021-05-03
2020-05-18,452.58,2953.91,2021-05-03
2020-05-19,451.04,2922.94,2021-05-03
2020-05-20,447.67,2971.61,2021-05-03
2020-05-21,436.25,2948.51,2021-05-03
2020-05-22,429.32,2955.45,2021-05-03
2020-05-26,414.77,2991.77,2021-05-03
2020-05-27,419.89,3036.13,2021-05-03
2020-05-28,413.44,3029.73,2021-05-03
2020-05-29,419.73,3044.31,2021-05-03
2020-06-01,425.92,3055.73,2021-05-03
2020-06-02,427.31,3080.82,2021-05-03
2020-06-03,421.97,3122.87,2021-05-03
2020-06-04,414.33,3112.35,2021-05-03
2020-06-05,419.6,3193.93,2021-05-03
2020-06-08,419.49,3232.39,2021-05-03
2020-06-09,434.05,3207.18,2021-05-03
2020-06-10,434.48,3190.14,2021-05-03
2020-06-11,425.56,3002.1,2021-05-03
2020-06-12,418.07,3041.31,2021-05-03
2020-06-15,425.5,3066.59,2021-05-03
2020-06-16,436.13,3124.74,2021-05-03
2020-06-17,447.77,3113.49,2021-05-03
2020-06-18,449.87,3115.34,2021-05-03
2020-06-19,453.72,3097.74,2021-05-03
2020-06-22,468.04,3117.86,2021-05-03
2020-06-23,466.26,3131.29,2021-05-03
2020-06-24,457.85,3050.33,2021-05-03
2020-06-25,465.91,3083.76,2021-05-03
2020-06-26,443.4,3009.05,2021-05-03
2020-06-29,447.24,3053.24,2021-05-03
2020-06-30,455.04,3100.29,2021-05-03
2020-07-01,485.64,3115.86,2021-05-03
2020-07-02,476.89,3130.01,2021-05-03
2020-07-06,493.81,3179.72,2021-05-03
2020-07-07,493.16,3145.32,2021-05-03
2020-07-08,502.78,3169.94,2021-05-03
2020-07-09,507.76,3152.05,2021-05-03
2020-07-10,548.73,3185.04,2021-05-03
2020-07-13,525.5,3155.22,2021-05-03
2020-07-14,524.88,3197.52,2021-05-03
2020-07-15,523.26,3226.56,2021-05-03
2020-07-16,527.39,3215.57,2021-05-03
2020-07-17,492.99,3224.73,2021-05-03
2020-07-20,502.41,3251.84,2021-05-03
2020-07-21,490.1,3257.3,2021-05-03
2020-07-22,489.82,3276.02,2021-05-03
2020-07-23,477.58,3235.66,2021-05-03
2020-07-24,480.45,3215.63,2021-05-03
2020-07-27,495.65,3239.41,2021-05-03
2020-07-28,488.51,3218.44,2021-05-03
2020-07-29,484.48,3258.44,2021-05-03
2020-07-30,485.8,3246.22,2021-05-03
2020-07-31,488.88,3271.12,2021-05-03
2020-08-03,498.62,3294.61,2021-05-03
2020-08-04,509.64,3306.51,2021-05-03
2020-08-05,502.11,3327.77,2021-05-03
2020-08-06,509.08,3349.16,2021-05-03
2020-08-07,494.73,3351.28,2021-05-03
2020-08-10,483.38,3360.47,2021-05-03
2020-08-11,466.93,3333.69,2021-05-03
2020-08-12,475.47,3380.35,2021-05-03
2020-08-13,481.33,3373.43,2021-05-03
2020-08-14,482.68,3372.85,2021-05-03
2020-08-17,482.35,3381.99,2021-05-03
2020-08-18,491.87,3389.78,2021-05-03
2020-08-19,484.53,3374.85,2021-05-03
2020-08-20,497.9,3385.51,2021-05-03
2020-08-21,492.31,3397.16,2021-05-03
2020-08-24,488.81,3431.28,2021-05-03
2020-08-25,490.58,3443.62,2021-05-03
2020-08-26,547.53,3478.73,2021-05-03
2020-08-27,526.27,3484.55,2021-05-03
2020-08-28,523.89,3508.01,2021-05-03
2020-08-31,529.56,3500.31,2021-05-03
2020-09-01,556.55,3526.65,2021-05-03
2020-09-02,552.84,3580.84,2021-05-03
2020-09-03,525.75,3455.06,2021-05-03
2020-09-04,516.05,3426.96,2021-05-03
2020-09-08,507.02,3331.84,2021-05-03
2020-09-09,500.19,3398.96,2021-05-03
2020-09-10,480.67,3339.19,2021-05-03
2020-09-11,482.03,3340.97,2021-05-03
2020-09-14,476.26,3383.54,2021-05-03
2020-09-15,495.99,3401.2,2021-05-03
2020-09-16,483.86,3385.49,2021-05-03
2020-09-17,470.2,3357.01,2021-05-03
2020-09-18,469.96,3319.47,2021-05-03
2020-09-21,487.35,3281.06,2021-05-03
2020-09-22,491.17,3315.57,2021-05-03
2020-09-23,470.61,3236.92,2021-05-03
2020-09-24,473.08,3246.59,2021-05-03
2020-09-25,482.88,3298.46,2021-05-03
2020-09-28,490.65,3351.6,2021-05-03
2020-09-29,493.48,3335.47,2021-05-03
2020-09-30,500.03,3363.0,2021-05-03
2020-10-01,527.51,3380.8,2021-05-03
2020-10-02,503.06,3348.44,2021-05-03
2020-10-05,520.65,3408.63,2021-05-03
2020-10-06,505.87,3360.95,2021-05-03
2020-10-07,534.66,3419.45,2021-05-03
2020-10-08,531.79,3446.83,2021-05-03
2020-10-09,539.44,3477.13,2021-05-03
2020-10-12,539.81,3534.22,2021-05-03
2020-10-13,554.09,3511.93,2021-05-03
2020-10-14,541.45,3488.67,2021-05-03
2020-10-15,541.94,3483.34,2021-05-03
2020-10-16,530.79,3483.81,2021-05-03
2020-10-19,530.72,3426.92,2021-05-03
2020-10-20,525.42,3443.12,2021-05-03
2020-10-21,489.05,3435.56,2021-05-03
2020-10-22,485.23,3453.49,2021-05-03
2020-10-23,488.28,3465.39,2021-05-03
2020-10-26,488.24,3400.97,2021-05-03
2020-10-27,488.93,3390.68,2021-05-03
2020-10-28,486.24,3271.03,2021-05-03
2020-10-29,504.21,3310.11,2021-05-03
2020-10-30,475.74,3269.96,2021-05-03
2020-11-02,484.12,3310.24,2021-05-03
2020-11-03,487.22,3369.02,2021-05-03
2020-11-04,496.95,3443.44,2021-05-03
2020-11-05,513.76,3510.45,2021-05-03
2020-11-06,514.73,3509.44,2021-05-03
2020-11-09,470.5,3550.5,2021-05-03
2020-11-10,480.24,3545.53,2021-05-03
2020-11-11,490.76,3572.66,2021-05-03
2020-11-12,486.77,3537.01,2021-05-03
2020-11-13,482.84,3585.15,2021-05-03
2020-11-16,479.1,3626.91,2021-05-03
2020-11-17,480.63,3609.53,2021-05-03
2020-11-18,481.79,3567.79,2021-05-03
2020-11-19,484.67,3581.87,2021-05-03
2020-11-20,488.24,3557.54,2021-05-03
2020-11-23,476.62,3577.59,2021-05-03
2020-11-24,482.88,3635.41,2021-05-03
2020-11-25,485.0,3629.65,2021-05-03
2020-11-27,491.36,3638.35,2021-05-03
2020-11-30,490.7,3621.63,2021-05-03
2020-12-01,504.58,3662.45,2021-05-03
2020-12-02,503.38,3669.01,2021-05-03
2020-12-03,497.52,3666.72,2021-05-03
2020-12-04,498.31,3699.12,2021-05-03
2020-12-07,515.78,3691.96,2021-05-03
2020-12-08,512.66,3702.25,2021-05-03
2020-12-09,493.6,3672.82,2021-05-03
2020-12-10,501.09,3668.1,2021-05-03
2020-12-11,503.22,3663.46,2021-05-03
2020-12-14,522.42,3647.49,2021-05-03
2020-12-15,519.78,3694.62,2021-05-03
2020-12-16,524.83,3701.17,2021-05-03
2020-12-17,532.9,3722.48,2021-05-03
2020-12-18,534.45,3709.41,2021-05-03
2020-12-21,528.91,3694.92,2021-05-03
2020-12-22,527.33,3687.26,2021-05-03
2020-12-23,514.48,3690.01,2021-05-03
2020-12-24,513.97,3703.06,2021-05-03
2020-12-28,519.12,3735.36,2021-05-03
2020-12-29,530.87,3727.04,2021-05-03
2020-12-30,524.59,3732.04,2021-05-03
2020-12-31,540.73,3756.07,2021-05-03
2021-01-04,522.86,3700.65,2021-05-03
2021-01-05,520.8,3726.86,2021-05-03
2021-01-06,500.49,3748.14,2021-05-03
2021-01-07,508.89,3803.79,2021-05-03
2021-01-08,510.4,3824.68,2021-05-03
2021-01-11,499.1,3799.61,2021-05-03
2021-01-12,494.25,3801.19,2021-05-03
2021-01-13,507.79,3809.84,2021-05-03
2021-01-14,500.86,3795.54,2021-05-03
2021-01-15,497.98,3768.25,2021-05-03
2021-01-19,501.77,3798.91,2021-05-03
2021-01-20,586.34,3851.85,2021-05-03
2021-01-21,579.84,3853.07,2021-05-03
2021-01-22,565.17,3841.47,2021-05-03
2021-01-25,556.78,3855.36,2021-05-03
2021-01-26,561.93,3849.62,2021-05-03
2021-01-27,523.28,3750.77,2021-05-03
2021-01-28,538.6,3787.38,2021-05-03
2021-01-29,532.39,3714.24,2021-05-03
2021-02-01,539.04,3773.86,2021-05-03
2021-02-02,548.16,3826.31,2021-05-03
2021-02-03,539.45,3830.17,2021-05-03
2021-02-04,552.16,3871.74,2021-05-03
2021-02-05,550.79,3886.83,2021-05-03
2021-02-08,547.92,3915.59,2021-05-03
2021-02-09,559.07,3911.23,2021-05-03
2021-02-10,563.59,3909.88,2021-05-03
2021-02-11,557.59,3916.38,2021-05-03
2021-02-12,556.52,3934.83,2021-05-03
2021-02-16,557.28,3932.59,2021-05-03
2021-02-17,551.34,3931.33,2021-05-03
2021-02-18,548.22,3913.97,2021-05-03
2021-02-19,540.22,3906.71,2021-05-03
2021-02-22,533.78,3876.5,2021-05-03
2021-02-23,546.15,3881.37,2021-05-03
2021-02-24,553.41,3925.43,2021-05-03
2021-02-25,546.7,3829.34,2021-05-03
2021-02-26,538.85,3811.15,2021-05-03
2021-03-01,550.64,3901.82,2021-05-03
2021-03-02,547.82,3870.29,2021-05-03
2021-03-03,520.7,3819.72,2021-05-03
2021-03-04,511.29,3768.47,2021-05-03
2021-03-05,516.39,3841.94,2021-05-03
2021-03-08,493.33,3821.35,2021-05-03
2021-03-09,506.44,3875.44,2021-05-03
2021-03-10,504.54,3898.81,2021-05-03
2021-03-11,523.06,3939.34,2021-05-03
2021-03-12,518.02,3943.34,2021-05-03
2021-03-15,520.25,3968.94,2021-05-03
2021-03-16,524.03,3962.71,2021-05-03
2021-03-17,524.44,3974.12,2021-05-03
2021-03-18,504.79,3915.46,2021-05-03
2021-03-19,512.18,3913.1,2021-05-03
2021-03-22,523.11,3940.59,2021-05-03
2021-03-23,535.09,3910.52,2021-05-03
2021-03-24,520.81,3889.14,2021-05-03
2021-03-25,502.86,3909.52,2021-05-03
2021-03-26,508.05,3974.54,2021-05-03
2021-03-29,513.95,3971.09,2021-05-03
2021-03-30,513.39,3958.55,2021-05-03
2021-03-31,521.66,3972.89,2021-05-03
2021-04-01,539.42,4019.87,2021-05-03
2021-04-05,540.67,4077.91,2021-05-03
2021-04-06,544.53,4073.94,2021-05-03
2021-04-07,546.99,4079.95,2021-05-03
2021-04-08,554.58,4097.17,2021-05-03
2021-04-09,555.31,4128.8,2021-05-03
