Date,Stock,Market,joined date
2017-01-03,51.98,2257.83,2019-08-05
2017-01-04,53.07,2270.75,2019-08-05
2017-01-05,53.06,2269.0,2019-08-05
2017-01-06,53.91,2276.98,2019-08-05
2017-01-09,53.38,2268.9,2019-08-05
2017-01-10,53.11,2268.9,2019-08-05
2017-01-11,52.69,2275.32,2019-08-05
2017-01-12,52.4,2270.44,2019-08-05
2017-01-13,52.92,2274.64,2019-08-05
2017-01-17,53.65,2267.89,2019-08-05
2017-01-18,53.27,2271.89,2019-08-05
2017-01-19,52.93,2263.69,2019-08-05
2017-01-20,53.2,2271.31,2019-08-05
2017-01-23,53.24,2265.2,2019-08-05
2017-01-24,53.45,2280.07,2019-08-05
2017-01-25,53.86,2298.37,2019-08-05
2017-01-26,53.65,2296.68,2019-08-05
2017-01-27,53.19,2294.69,2019-08-05
2017-01-30,53.08,2280.9,2019-08-05
2017-01-31,52.9,2278.87,2019-08-05
2017-02-01,53.02,2279.55,2019-08-05
2017-02-02,52.8,2280.85,2019-08-05
2017-02-03,52.36,2297.42,2019-08-05
2017-02-06,52.8,2292.56,2019-08-05
2017-02-07,52.81,2293.08,2019-08-05
2017-02-08,53.88,2294.67,2019-08-05
2017-02-09,55.31,2307.87,2019-08-05
2017-02-10,56.22,2316.1,2019-08-05
2017-02-13,56.09,2328.25,2019-08-05
2017-02-14,56.45,2337.58,2019-08-05
2017-02-15,56.64,2349.25,2019-08-05
2017-02-16,56.29,2347.22,2019-08-05
2017-02-17,56.75,2351.16,2019-08-05
2017-02-21,57.36,2365.38,2019-08-05
2017-02-22,58.24,2362.82,2019-08-05
2017-02-23,57.39,2363.81,2019-08-05
2017-02-24,57.86,2367.34,2019-08-05
2017-02-27,57.69,2369.75,2019-08-05
2017-02-28,57.16,2363.64,2019-08-05
2017-03-01,57.95,2395.96,2019-08-05
2017-03-02,57.8,2381.92,2019-08-05
2017-03-03,56.7,2383.12,2019-08-05
2017-03-06,56.77,2375.31,2019-08-05
2017-03-07,56.55,2368.39,2019-08-05
2017-03-08,56.51,2362.98,2019-08-05
2017-03-09,56.36,2364.87,2019-08-05
2017-03-10,56.43,2372.6,2019-08-05
2017-03-13,56.67,2373.47,2019-08-05
2017-03-14,57.28,2365.45,2019-08-05
2017-03-15,57.66,2385.26,2019-08-05
2017-03-16,57.6,2381.38,2019-08-05
2017-03-17,57.8,2378.25,2019-08-05
2017-03-20,58.68,2373.47,2019-08-05
2017-03-21,58.01,2344.02,2019-08-05
2017-03-22,53.92,2348.45,2019-08-05
2017-03-23,55.37,2345.96,2019-08-05
2017-03-24,56.36,2343.98,2019-08-05
2017-03-27,55.93,2341.59,2019-08-05
2017-03-28,56.62,2358.57,2019-08-05
2017-03-29,56.68,2361.13,2019-08-05
2017-03-30,56.04,2368.06,2019-08-05
2017-03-31,55.73,2362.72,2019-08-05
2017-04-03,55.56,2358.84,2019-08-05
2017-04-04,55.04,2360.16,2019-08-05
2017-04-05,54.98,2352.95,2019-08-05
2017-04-06,55.14,2357.49,2019-08-05
2017-04-07,55.11,2355.54,2019-08-05
2017-04-10,54.9,2357.16,2019-08-05
2017-04-11,54.92,2353.78,2019-08-05
2017-04-12,55.57,2344.93,2019-08-05
2017-04-13,55.34,2328.95,2019-08-05
2017-04-17,56.24,2349.01,2019-08-05
2017-04-18,56.11,2342.19,2019-08-05
2017-04-19,55.86,2338.17,2019-08-05
2017-04-20,56.4,2355.84,2019-08-05
2017-04-21,55.85,2348.69,2019-08-05
2017-04-24,55.47,2374.15,2019-08-05
2017-04-25,55.45,2388.61,2019-08-05
2017-04-26,55.16,2387.45,2019-08-05
2017-04-27,55.47,2388.77,2019-08-05
2017-04-28,55.41,2384.2,2019-08-05
2017-05-01,54.99,2388.33,2019-08-05
2017-05-02,55.07,2391.17,2019-08-05
2017-05-03,54.53,2388.13,2019-08-05
2017-05-04,54.47,2389.52,2019-08-05
2017-05-05,53.95,2399.29,2019-08-05
2017-05-08,54.3,2399.38,2019-08-05
2017-05-09,54.89,2396.92,2019-08-05
2017-05-10,54.56,2399.63,2019-08-05
2017-05-11,54.24,2394.44,2019-08-05
2017-05-12,54.2,2390.9,2019-08-05
2017-05-15,53.77,2402.32,2019-08-05
2017-05-16,52.78,2400.67,2019-08-05
2017-05-17,51.8,2357.03,2019-08-05
2017-05-18,51.68,2365.72,2019-08-05
2017-05-19,51.77,2381.73,2019-08-05
2017-05-22,51.57,2394.02,2019-08-05
2017-05-23,52.2,2398.42,2019-08-05
2017-05-24,52.01,2404.39,2019-08-05
2017-05-25,52.35,2415.07,2019-08-05
2017-05-26,52.59,2415.82,2019-08-05
2017-05-30,52.92,2412.91,2019-08-05
2017-05-31,52.99,2411.8,2019-08-05
2017-06-01,52.3,2430.06,2019-08-05
2017-06-02,52.98,2439.07,2019-08-05
2017-06-05,53.01,2436.1,2019-08-05
2017-06-06,52.48,2429.33,2019-08-05
2017-06-07,53.23,2433.14,2019-08-05
2017-06-08,53.2,2433.79,2019-08-05
2017-06-09,53.46,2431.77,2019-08-05
2017-06-12,54.03,2429.39,2019-08-05
2017-06-13,54.31,2440.35,2019-08-05
2017-06-14,54.66,2437.92,2019-08-05
2017-06-15,52.9,2432.46,2019-08-05
2017-06-16,51.1,2433.15,2019-08-05
2017-06-19,52.02,2453.46,2019-08-05
2017-06-20,51.56,2437.03,2019-08-05
2017-06-21,52.59,2435.61,2019-08-05
2017-06-22,52.4,2434.5,2019-08-05
2017-06-23,52.85,2438.3,2019-08-05
2017-06-26,53.28,2439.07,2019-08-05
2017-06-27,52.95,2419.38,2019-08-05
2017-06-28,53.36,2440.69,2019-08-05
2017-06-29,53.17,2419.7,2019-08-05
2017-06-30,59.0,2423.41,2019-08-05
2017-07-03,58.65,2429.01,2019-08-05
2017-07-05,57.56,2432.54,2019-08-05
2017-07-06,57.16,2409.75,2019-08-05
2017-07-07,57.98,2425.18,2019-08-05
2017-07-10,58.73,2427.43,2019-08-05
2017-07-11,58.18,2425.53,2019-08-05
2017-07-12,58.22,2443.25,2019-08-05
2017-07-13,57.94,2447.83,2019-08-05
2017-07-14,58.0,2459.27,2019-08-05
2017-07-17,57.79,2459.14,2019-08-05
2017-07-18,57.65,2460.61,2019-08-05
2017-07-19,57.77,2473.83,2019-08-05
2017-07-20,59.1,2473.45,2019-08-05
2017-07-21,59.95,2472.54,2019-08-05
2017-07-24,58.95,2469.91,2019-08-05
2017-07-25,59.39,2477.13,2019-08-05
2017-07-26,58.36,2477.83,2019-08-05
2017-07-27,58.15,2475.42,2019-08-05
2017-07-28,58.67,2472.1,2019-08-05
2017-07-31,59.05,2470.3,2019-08-05
2017-08-01,59.84,2476.35,2019-08-05
2017-08-02,59.79,2477.57,2019-08-05
2017-08-03,60.14,2472.16,2019-08-05
2017-08-04,59.76,2476.83,2019-08-05
2017-08-07,59.79,2480.91,2019-08-05
2017-08-08,59.46,2474.92,2019-08-05
2017-08-09,59.9,2474.02,2019-08-05
2017-08-10,59.07,2438.21,2019-08-05
2017-08-11,58.97,2441.32,2019-08-05
2017-08-14,59.78,2465.84,2019-08-05
2017-08-15,58.56,2464.61,2019-08-05
2017-08-16,58.54,2468.11,2019-08-05
2017-08-17,57.46,2430.01,2019-08-05
2017-08-18,54.95,2425.55,2019-08-05
2017-08-21,53.61,2428.37,2019-08-05
2017-08-22,54.13,2452.51,2019-08-05
2017-08-23,53.61,2444.04,2019-08-05
2017-08-24,53.84,2438.97,2019-08-05
2017-08-25,53.9,2443.05,2019-08-05
2017-08-28,53.73,2444.24,2019-08-05
2017-08-29,52.73,2446.3,2019-08-05
