Date,Stock,Market,joined date
2017-01-02,4.84366830492525,3723.6,2019-09-17
2017-01-03,4.75462197113933,3724.69,2019-09-17
2017-01-04,4.80260053478738,3717.65,2019-09-17
2017-01-05,4.85192921442431,3711.22,2019-09-17
2017-01-09,4.83777183393417,3688.92,2019-09-17
2017-01-10,4.82059940903337,3681.72,2019-09-17
2017-01-11,4.77580989864362,3679.22,2019-09-17
2017-01-12,4.67050747472175,3646.06,2019-09-17
2017-01-13,4.78632842427855,3687.02,2019-09-17
2017-01-16,4.71698113207547,3668.21,2019-09-17
2017-01-17,4.73900142469979,3644.85,2019-09-17
2017-01-18,4.69847884090014,3664.51,2019-09-17
2017-01-19,4.71732315369689,3692.47,2019-09-17
2017-01-20,4.76531824066248,3711.15,2019-09-17
2017-01-23,4.63584710743804,3684.66,2019-09-17
2017-01-24,4.62890436387439,3720.99,2019-09-17
2017-01-25,4.57480526457158,3741.08,2019-09-17
2017-01-26,4.69065393611228,3735.13,2019-09-17
2017-01-27,4.62624318254733,3739.6,2019-09-17
2017-01-30,4.50132580617567,3689.76,2019-09-17
2017-01-31,4.47994818373185,3623.05,2019-09-17
2017-02-01,4.53077221241225,3651.69,2019-09-17
2017-02-02,4.78731415538868,3677.42,2019-09-17
2017-02-03,4.78028375522878,3654.06,2019-09-17
2017-02-06,4.72740562387137,3638.7,2019-09-17
2017-02-07,4.81454188160159,3654.82,2019-09-17
2017-02-08,4.86286423345172,3652.49,2019-09-17
2017-02-09,4.88168674955518,3681.93,2019-09-17
2017-02-10,4.84878142186953,3697.69,2019-09-17
2017-02-13,4.91914460716785,3723.44,2019-09-17
2017-02-14,4.92886985033583,3724.52,2019-09-17
2017-02-15,4.96200599849506,3749.43,2019-09-17
2017-02-16,5.03078876876942,3745.25,2019-09-17
2017-02-17,4.98503851785829,3728.24,2019-09-17
2017-02-20,5.00954805856141,3741.06,2019-09-17
2017-02-21,5.01885758833566,3759.42,2019-09-17
2017-02-22,5.04316987186254,3747.62,2019-09-17
2017-02-23,5.08003004432597,3738.49,2019-09-17
2017-02-24,5.08569437257781,3712.48,2019-09-17
2017-02-27,5.12739089475299,3716.96,2019-09-17
2017-02-28,5.11616594228185,3718.77,2019-09-17
2017-03-01,5.19916054121889,3761.42,2019-09-17
2017-03-02,5.18994789040174,3774.27,2019-09-17
2017-03-03,5.28663367388121,3774.62,2019-09-17
2017-03-06,5.22975374460524,3759.74,2019-09-17
2017-03-07,5.18953640704897,3760.47,2019-09-17
2017-03-08,5.14933709925594,3754.61,2019-09-17
2017-03-09,5.23460550109449,3751.0,2019-09-17
2017-03-10,5.32385921112997,3750.47,2019-09-17
2017-03-13,5.32438478747205,3756.33,2019-09-17
2017-03-14,5.27766586798411,3756.25,2019-09-17
2017-03-15,5.3552839159038,3780.25,2019-09-17
2017-03-16,5.43583561171988,3805.84,2019-09-17
2017-03-17,5.44849428310699,3814.3,2019-09-17
2017-03-20,5.5188112008246,3825.51,2019-09-17
2017-03-21,5.4202152954909,3772.38,2019-09-17
2017-03-22,5.36298375344092,3756.47,2019-09-17
2017-03-23,5.37708593851065,3787.83,2019-09-17
2017-03-24,5.35317108985294,3772.93,2019-09-17
2017-03-27,5.44830358403856,3759.15,2019-09-17
2017-03-28,5.37571629365336,3768.03,2019-09-17
2017-03-29,5.35500888195081,3776.42,2019-09-17
2017-03-30,5.33057233738233,3778.1,2019-09-17
2017-03-31,5.35642025003728,3789.14,2019-09-17
2017-04-03,5.28494313938849,3780.87,2019-09-17
2017-04-04,5.2954547880004,3789.1,2019-09-17
2017-04-05,5.20945506498493,3761.72,2019-09-17
2017-04-06,5.26354996967019,3779.97,2019-09-17
2017-04-07,5.24315224411574,3786.83,2019-09-17
2017-04-10,5.3070909514629,3797.77,2019-09-17
2017-04-11,5.22889675791435,3779.57,2019-09-17
2017-04-12,5.30856429889201,3811.96,2019-09-17
2017-04-13,5.25081447051459,3813.42,2019-09-17
2017-04-18,5.22220672039838,3779.76,2019-09-17
2017-04-19,5.19388727658253,3774.65,2019-09-17
2017-04-20,5.2541355961258,3816.37,2019-09-17
2017-04-21,5.18282545505252,3802.27,2019-09-17
2017-04-24,5.37045489122167,3889.67,2019-09-17
2017-04-25,5.4362907366742,3930.87,2019-09-17
2017-04-26,5.42314485706187,3954.99,2019-09-17
2017-04-27,5.64259233085816,3950.32,2019-09-17
2017-04-28,5.71988887073053,3930.03,2019-09-17
2017-05-02,5.86782639101359,3975.24,2019-09-17
2017-05-03,5.85994885467108,3956.36,2019-09-17
2017-05-04,6.03018387118033,3981.2,2019-09-17
2017-05-05,6.14623419461244,4008.97,2019-09-17
2017-05-08,6.11634155398762,3989.47,2019-09-17
2017-05-09,6.16988660455107,4007.95,2019-09-17
2017-05-10,6.12300336846678,4008.2,2019-09-17
2017-05-11,6.08213048342077,3999.14,2019-09-17
2017-05-12,6.16339555011582,3987.77,2019-09-17
2017-05-15,6.22716249876555,4002.51,2019-09-17
2017-05-16,6.28352320581585,4011.87,2019-09-17
2017-05-17,6.18151793086519,3940.55,2019-09-17
