Date,Stock,Market,joined date
2020-01-03,89.9354714652957,10699.82,2021-01-07
2020-01-06,90.1675258264463,10665.41,2021-01-07
2020-01-07,90.2165890114425,10686.8,2021-01-07
2020-01-08,89.4060747663555,10652.16,2021-01-07
2020-01-09,89.957937519268,10650.97,2021-01-07
2020-01-10,89.3301028489146,10639.49,2021-01-07
2020-01-13,88.9012691871846,10622.41,2021-01-07
2020-01-14,89.428761373036,10655.82,2021-01-07
2020-01-15,90.1193786951565,10670.74,2021-01-07
2020-01-16,90.0520333886356,10693.52,2021-01-07
2020-01-17,90.8431219008265,10841.82,2021-01-07
2020-01-20,90.7937534869304,10846.29,2021-01-07
2020-01-21,90.91325795126,10884.51,2021-01-07
2020-01-22,90.2542451172888,10895.07,2021-01-07
2020-01-23,89.8381965520799,10813.94,2021-01-07
2020-01-24,89.3618516992793,10849.75,2021-01-07
2020-01-27,88.6880668454714,10675.96,2021-01-07
2020-01-28,90.2097666529606,10781.98,2021-01-07
2020-01-29,91.301689619733,10859.88,2021-01-07
2020-01-30,90.1834891158567,10748.92,2021-01-07
2020-01-31,89.7302149532708,10627.88,2021-01-07
2020-02-03,89.7541451796627,10664.95,2021-01-07
2020-02-04,90.2016284829724,10800.64,2021-01-07
2020-02-05,91.1660593916975,10994.15,2021-01-07
2020-02-06,91.5012243431859,11012.36,2021-01-07
2020-02-07,90.9112549861922,11001.53,2021-01-07
2020-02-10,91.742772773797,11039.78,2021-01-07
2020-02-11,92.9335461719786,11101.17,2021-01-07
2020-02-12,92.7055117063696,11089.24,2021-01-07
2020-02-13,92.7465573937909,11092.35,2021-01-07
2020-02-14,92.2890743380852,11128.81,2021-01-07
2020-02-17,92.353425104517,11168.45,2021-01-07
2020-02-18,91.9737127453976,11146.28,2021-01-07
2020-02-19,92.3222821998578,11263.01,2021-01-07
2020-02-20,91.0897570891349,11154.53,2021-01-07
2020-02-21,91.4842177914108,11110.78,2021-01-07
2020-02-24,88.4070011239399,10712.84,2021-01-07
2020-02-25,84.2719159836069,10478.51,2021-01-07
2020-02-26,83.8815808334184,10512.15,2021-01-07
2020-02-27,83.3089189747832,10205.46,2021-01-07
2020-02-28,79.7763389619809,9831.03,2021-01-07
2020-03-02,81.0332019601708,9950.83,2021-01-07
2020-03-03,80.37395083682,10087.4,2021-01-07
2020-03-04,81.9497794501933,10251.39,2021-01-07
2020-03-05,82.3064053739556,10143.57,2021-01-07
2020-03-06,80.1658898847631,9736.82,2021-01-07
2020-03-09,77.9136259459459,9196.6,2021-01-07
2020-03-10,77.9656507395977,9195.93,2021-01-07
2020-03-11,78.3011292212636,9152.5,2021-01-07
2020-03-12,70.2633548797286,8270.44,2021-01-07
2020-03-13,70.8149136478517,8367.56,2021-01-07
2020-03-16,70.2561199704298,8227.08,2021-01-07
2020-03-17,72.9313560203977,8493.04,2021-01-07
2020-03-18,70.5310808018185,8338.74,2021-01-07
2020-03-19,72.7813491580443,8782.24,2021-01-07
2020-03-20,71.0964095286364,8623.86,2021-01-07
2020-03-23,67.4092392077197,8160.79,2021-01-07
2020-03-24,70.0777024961796,8733.32,2021-01-07
2020-03-25,72.3532015972149,8989.16,2021-01-07
2020-03-26,75.7052554517132,9203.98,2021-01-07
2020-03-27,75.7277039529016,8996.37,2021-01-07
2020-03-30,76.9469038923093,9174.39,2021-01-07
2020-03-31,78.7689331806831,9311.92,2021-01-07
2020-04-01,77.4609374352597,9168.98,2021-01-07
2020-04-02,78.6386996713231,9270.96,2021-01-07
2020-04-03,79.1523135931269,9242.44,2021-01-07
2020-04-06,80.6775740854278,9462.34,2021-01-07
2020-04-07,80.9710874948413,9514.6,2021-01-07
2020-04-08,80.421374909952,9432.39,2021-01-07
2020-04-09,80.5971616444032,9452.83,2021-01-07
2020-04-14,81.7470604166669,9538.61,2021-01-07
2020-04-15,80.8040833678973,9320.2,2021-01-07
2020-04-16,82.6375378748838,9439.91,2021-01-07
2020-04-17,84.2830234722367,9612.83,2021-01-07
2020-04-20,85.895792084324,9785.27,2021-01-07
2020-04-21,83.8984105208872,9547.85,2021-01-07
2020-04-22,84.4552640790697,9630.56,2021-01-07
2020-04-23,83.9783726173399,9625.48,2021-01-07
2020-04-24,83.7427317574514,9625.65,2021-01-07
2020-04-27,85.5559167350285,9758.82,2021-01-07
2020-04-28,84.329185641026,9889.46,2021-01-07
2020-04-29,82.813752439651,9865.32,2021-01-07
2020-04-30,80.7763883133026,9629.4,2021-01-07
2020-05-04,79.1218219504614,9390.27,2021-01-07
2020-05-05,80.3454724935733,9512.17,2021-01-07
2020-05-06,81.3129308576119,9571.7,2021-01-07
2020-05-07,81.0416724917764,9617.98,2021-01-07
2020-05-08,80.7468782196575,9665.35,2021-01-07
2020-05-11,81.4912128687426,9689.71,2021-01-07
2020-05-12,81.9601000722169,9733.53,2021-01-07
2020-05-13,81.0387025414134,9631.62,2021-01-07
2020-05-14,78.9014922918809,9448.14,2021-01-07
2020-05-15,79.1875633106854,9483.1,2021-01-07
2020-05-18,80.5769618949539,9740.77,2021-01-07
2020-05-19,80.8141021416802,9764.23,2021-01-07
2020-05-20,81.4890910975233,9790.85,2021-01-07
2020-05-22,80.2240673601813,9688.99,2021-01-07
2020-05-25,81.040116255144,9824.54,2021-01-07
2020-05-26,80.7792894137142,9830.83,2021-01-07
2020-05-27,79.460657853971,9716.52,2021-01-07
2020-05-28,81.9526049984444,9926.03,2021-01-07
2020-05-29,81.8717956720762,9831.49,2021-01-07
2020-06-02,81.3617513771959,9951.45,2021-01-07
2020-06-03,81.3294673325007,10183.77,2021-01-07
2020-06-04,81.1273442897522,10075.68,2021-01-07
2020-06-05,81.7795594347462,10190.37,2021-01-07
2020-06-08,81.6154218880532,10152.77,2021-01-07
2020-06-09,83.8914569745426,10184.82,2021-01-07
2020-06-10,84.0006247352813,10147.18,2021-01-07
2020-06-11,81.445854872881,9828.58,2021-01-07
2020-06-12,79.8800651055336,9796.37,2021-01-07
2020-06-15,80.7171222339307,9842.56,2021-01-07
2020-06-16,82.3426064556832,10034.29,2021-01-07
2020-06-17,85.0275131773141,10202.19,2021-01-07
2020-06-18,85.325189194871,10186.5,2021-01-07
2020-06-19,86.4289163078858,10266.29,2021-01-07
2020-06-22,85.3262881266488,10151.13,2021-01-07
2020-06-23,86.6509677077815,10246.56,2021-01-07
2020-06-24,84.4181945763431,10021.99,2021-01-07
2020-06-25,84.5546799536015,10089.83,2021-01-07
2020-06-26,83.160524316911,10041.91,2021-01-07
2020-06-29,83.080032593839,10060.46,2021-01-07
2020-06-30,82.4802206736353,10045.3,2021-01-07
2020-07-01,82.9931859997888,10089.67,2021-01-07
2020-07-02,83.2765294677811,10187.56,2021-01-07
2020-07-03,82.5622343237816,10125.84,2021-01-07
2020-07-06,83.9921414162862,10253.38,2021-01-07
2020-07-07,83.6020751512577,10207.96,2021-01-07
2020-07-08,83.3523504956831,10178.41,2021-01-07
2020-07-09,82.561332695171,10143.38,2021-01-07
2020-07-10,82.6094217687077,10229.97,2021-01-07
2020-07-13,82.7467831722086,10300.96,2021-01-07
2020-07-14,82.2193166577967,10259.5,2021-01-07
2020-07-15,83.3546975955939,10460.01,2021-01-07
2020-07-16,82.6272495504076,10433.43,2021-01-07
2020-07-17,83.1843020034098,10410.52,2021-01-07
2020-07-20,83.511106849899,10470.92,2021-01-07
2020-07-21,82.3972639588469,10444.05,2021-01-07
2020-07-22,82.0841915008066,10439.04,2021-01-07
2020-07-23,81.6885464173778,10383.38,2021-01-07
2020-07-24,80.375973278297,10214.21,2021-01-07
2020-07-27,80.2485190823093,10272.34,2021-01-07
2020-07-28,80.0031855321929,10277.2,2021-01-07
2020-07-29,80.1010971065324,10272.81,2021-01-07
2020-07-30,79.6449840431389,10095.34,2021-01-07
2020-07-31,78.3717125013699,10005.9,2021-01-07
2020-08-03,79.927670262613,10229.67,2021-01-07
2020-08-04,80.0101675427072,10162.04,2021-01-07
2020-08-05,79.2522316415278,10097.97,2021-01-07
2020-08-06,79.1927778388478,10067.13,2021-01-07
2020-08-07,78.4372421352628,10068.03,2021-01-07
2020-08-10,78.1441874180865,10090.91,2021-01-07
2020-08-11,78.794838005891,10153.24,2021-01-07
2020-08-12,80.4583958333337,10278.66,2021-01-07
2020-08-13,81.0562225153913,10260.11,2021-01-07
2020-08-14,80.5466798679868,10163.6,2021-01-07
2020-08-17,81.3737566195938,10228.06,2021-01-07
2020-08-18,81.0610202500827,10168.4,2021-01-07
2020-08-19,81.2200775956286,10310.01,2021-01-07
2020-08-20,81.5898953283386,10229.92,2021-01-07
2020-08-21,81.6463280307189,10218.2,2021-01-07
2020-08-24,81.7427717450913,10308.39,2021-01-07
2020-08-25,81.9644253443528,10231.25,2021-01-07
2020-08-26,82.2233828873475,10309.65,2021-01-07
2020-08-27,82.3373437500003,10240.46,2021-01-07
2020-08-28,81.9748849302946,10164.49,2021-01-07
2020-08-31,81.8657310459328,10135.56,2021-01-07
2020-09-01,82.3428178618566,10188.85,2021-01-07
2020-09-02,83.8075057660628,10384.84,2021-01-07
2020-09-03,82.5318057846696,10220.64,2021-01-07
2020-09-04,81.773139853247,10153.09,2021-01-07
2020-09-07,82.9408548968226,10297.8,2021-01-07
2020-09-08,82.7936040553801,10250.44,2021-01-07
2020-09-09,84.2758818371153,10406.57,2021-01-07
2020-09-10,84.3893014059753,10387.44,2021-01-07
2020-09-11,85.3284019370457,10439.52,2021-01-07
2020-09-14,85.4609325112845,10457.43,2021-01-07
