Date,Stock,Market,joined date
2020-01-02,29.0577716643741,1136.28,2021-01-09
2020-01-03,28.6106797276311,1121.66,2021-01-09
2020-01-06,28.620978979069,1119.71,2021-01-09
2020-01-07,28.4867753298705,1122.94,2021-01-09
2020-01-08,28.4247135234755,1122.67,2021-01-09
2020-01-09,28.8247183663763,1131.18,2021-01-09
2020-01-10,29.5636515165044,1138.73,2021-01-09
2020-01-13,29.5789442317149,1141.15,2021-01-09
2020-01-14,29.6815893724123,1145.77,2021-01-09
2020-01-15,31.2355442811312,1174.26,2021-01-09
2020-01-16,30.5681411708596,1167.69,2021-01-09
2020-01-17,30.6929002953881,1178.19,2021-01-09
2020-01-20,30.7613489553169,1180.73,2021-01-09
2020-01-21,30.624202687869,1179.24,2021-01-09
2020-01-22,30.6723874281811,1185.02,2021-01-09
2020-01-23,30.7456172793845,1183.79,2021-01-09
2020-01-24,30.9023166592887,1193.56,2021-01-09
2020-01-27,30.0901007181513,1165.06,2021-01-09
2020-01-28,30.1211039487853,1170.98,2021-01-09
2020-01-29,30.5030797795526,1188.05,2021-01-09
2020-01-30,30.317122862964,1171.62,2021-01-09
2020-01-31,30.6208800997683,1174.76,2021-01-09
2020-02-03,30.6320307874482,1176.74,2021-01-09
2020-02-04,30.7400673997872,1191.86,2021-01-09
2020-02-05,32.0130701638186,1227.44,2021-01-09
2020-02-06,32.30145080919,1238.96,2021-01-09
2020-02-07,31.683538184322,1232.47,2021-01-09
2020-02-10,31.5904378048425,1227.63,2021-01-09
2020-02-11,31.7028985507246,1240.89,2021-01-09
2020-02-12,31.5324165029469,1237.21,2021-01-09
2020-02-13,31.3243745283567,1234.64,2021-01-09
2020-02-14,31.6170712607675,1245.0,2021-01-09
2020-02-17,31.8098083868815,1246.22,2021-01-09
2020-02-18,31.9661590035546,1255.64,2021-01-09
2020-02-19,32.1278166109496,1265.84,2021-01-09
2020-02-20,31.9667514010053,1262.78,2021-01-09
2020-02-21,31.8586512904678,1251.95,2021-01-09
2020-02-24,30.9630361501802,1207.04,2021-01-09
2020-02-25,30.7255244755245,1188.16,2021-01-09
2020-02-26,30.6146968020038,1187.11,2021-01-09
2020-02-27,30.3688434072002,1157.51,2021-01-09
2020-02-28,29.210332103321,1124.07,2021-01-09
2020-03-02,30.0092370495077,1137.93,2021-01-09
2020-03-03,31.3453256773732,1174.03,2021-01-09
2020-03-04,31.9047477125741,1185.43,2021-01-09
2020-03-05,31.8620814152901,1176.41,2021-01-09
2020-03-06,30.9307176107854,1141.62,2021-01-09
2020-03-09,30.3556107127536,1085.6,2021-01-09
2020-03-10,29.5041135180013,1069.75,2021-01-09
2020-03-11,29.189923065319,1050.54,2021-01-09
2020-03-12,27.0893199233716,971.51,2021-01-09
2020-03-13,27.0029276701987,979.67,2021-01-09
2020-03-16,27.3138170498084,964.47,2021-01-09
2020-03-17,27.2920622304646,978.98,2021-01-09
2020-03-18,26.5189133927268,956.89,2021-01-09
2020-03-19,26.1102208996223,965.86,2021-01-09
2020-03-20,25.7358733796462,972.81,2021-01-09
2020-03-23,25.276098289555,939.76,2021-01-09
2020-03-24,25.6499183537811,969.53,2021-01-09
2020-03-25,26.5644350550011,993.08,2021-01-09
2020-03-26,28.3847313799119,1027.87,2021-01-09
2020-03-27,28.5561872360744,1019.6,2021-01-09
2020-03-30,29.9502862976608,1055.97,2021-01-09
2020-03-31,30.237972064149,1073.75,2021-01-09
2020-04-01,30.4755328994726,1074.05,2021-01-09
2020-04-02,29.6904083294555,1064.83,2021-01-09
2020-04-03,30.1979911425015,1082.55,2021-01-09
2020-04-06,30.1969033265386,1091.19,2021-01-09
2020-04-07,29.8348506069094,1096.14,2021-01-09
2020-04-08,29.556990560961,1088.72,2021-01-09
2020-04-14,29.9517299230327,1110.11,2021-01-09
2020-04-15,30.013891935366,1102.68,2021-01-09
2020-04-16,30.6748020629041,1120.88,2021-01-09
2020-04-17,31.4176384839651,1144.82,2021-01-09
2020-04-20,32.1427010648681,1162.47,2021-01-09
2020-04-21,32.1564829916123,1154.18,2021-01-09
2020-04-22,32.2728130397549,1158.18,2021-01-09
2020-04-23,32.2571321212822,1174.49,2021-01-09
2020-04-24,32.3974630634815,1163.79,2021-01-09
2020-04-27,32.3516595250199,1169.02,2021-01-09
2020-04-28,32.5099416562655,1179.54,2021-01-09
2020-04-29,31.5061400694222,1166.16,2021-01-09
2020-04-30,31.8771010407951,1167.16,2021-01-09
2020-05-01,31.7481344107387,1155.8,2021-01-09
2020-05-04,31.5762538382805,1144.41,2021-01-09
2020-05-05,31.2327533621867,1152.46,2021-01-09
2020-05-06,31.3047127085414,1158.72,2021-01-09
2020-05-07,31.372093361026,1170.32,2021-01-09
