Date,Stock,Market,joined date
2020-01-02,291.24,3257.85,2021-09-14
2020-01-03,291.1,3234.85,2021-09-14
2020-01-06,292.87,3246.28,2021-09-14
2020-01-07,292.91,3237.18,2021-09-14
2020-01-08,295.65,3253.05,2021-09-14
2020-01-09,299.31,3274.7,2021-09-14
2020-01-10,298.88,3265.35,2021-09-14
2020-01-13,303.85,3288.13,2021-09-14
2020-01-14,301.5,3283.15,2021-09-14
2020-01-15,304.87,3289.29,2021-09-14
2020-01-16,310.02,3316.81,2021-09-14
2020-01-17,312.52,3329.62,2021-09-14
2020-01-21,312.98,3320.79,2021-09-14
2020-01-22,312.85,3321.75,2021-09-14
2020-01-23,311.46,3325.54,2021-09-14
2020-01-24,309.39,3295.47,2021-09-14
2020-01-27,307.63,3243.63,2021-09-14
2020-01-28,314.05,3276.24,2021-09-14
2020-01-29,312.93,3273.4,2021-09-14
2020-01-30,341.62,3283.66,2021-09-14
2020-01-31,338.23,3225.52,2021-09-14
2020-02-03,343.2,3248.92,2021-09-14
2020-02-04,352.03,3297.59,2021-09-14
2020-02-05,338.5,3334.69,2021-09-14
2020-02-06,341.7,3345.78,2021-09-14
2020-02-07,341.06,3327.71,2021-09-14
2020-02-10,342.77,3352.09,2021-09-14
2020-02-11,343.57,3357.75,2021-09-14
2020-02-12,349.8,3379.45,2021-09-14
2020-02-13,351.81,3373.94,2021-09-14
2020-02-14,356.16,3380.16,2021-09-14
2020-02-18,357.49,3370.29,2021-09-14
2020-02-19,357.72,3386.15,2021-09-14
2020-02-20,352.94,3373.23,2021-09-14
2020-02-21,344.48,3337.75,2021-09-14
2020-02-24,333.56,3225.89,2021-09-14
2020-02-25,329.72,3128.21,2021-09-14
2020-02-26,334.27,3116.39,2021-09-14
2020-02-27,320.1,2978.76,2021-09-14
2020-02-28,326.09,2954.22,2021-09-14
2020-03-02,344.4,3090.23,2021-09-14
2020-03-03,329.63,3003.37,2021-09-14
2020-03-04,345.07,3130.12,2021-09-14
2020-03-05,329.33,3023.94,2021-09-14
2020-03-06,317.24,2972.37,2021-09-14
2020-03-09,292.09,2746.56,2021-09-14
2020-03-10,312.8,2882.23,2021-09-14
2020-03-11,290.63,2741.38,2021-09-14
2020-03-12,262.12,2480.64,2021-09-14
2020-03-13,287.67,2711.02,2021-09-14
2020-03-16,265.43,2386.13,2021-09-14
2020-03-17,287.42,2529.19,2021-09-14
2020-03-18,278.16,2398.1,2021-09-14
2020-03-19,277.66,2409.39,2021-09-14
2020-03-20,254.7,2304.92,2021-09-14
2020-03-23,255.32,2237.4,2021-09-14
2020-03-24,272.0,2447.33,2021-09-14
2020-03-25,264.67,2475.56,2021-09-14
2020-03-26,294.73,2630.07,2021-09-14
2020-03-27,274.0,2541.47,2021-09-14
2020-03-30,286.39,2626.65,2021-09-14
2020-03-31,286.58,2584.59,2021-09-14
2020-04-01,273.07,2470.5,2021-09-14
2020-04-02,259.0,2526.9,2021-09-14
2020-04-03,249.57,2488.65,2021-09-14
2020-04-06,269.95,2663.68,2021-09-14
2020-04-07,262.35,2659.41,2021-09-14
2020-04-08,274.05,2749.98,2021-09-14
2020-04-09,278.06,2789.82,2021-09-14
2020-04-13,283.56,2761.63,2021-09-14
2020-04-14,302.09,2846.06,2021-09-14
2020-04-15,295.92,2783.36,2021-09-14
2020-04-16,291.94,2799.55,2021-09-14
2020-04-17,299.59,2874.56,2021-09-14
2020-04-20,302.46,2823.16,2021-09-14
2020-04-21,288.77,2736.56,2021-09-14
2020-04-22,299.61,2799.31,2021-09-14
2020-04-23,297.31,2797.8,2021-09-14
2020-04-24,302.94,2836.74,2021-09-14
2020-04-27,308.6,2878.48,2021-09-14
2020-04-28,296.0,2863.39,2021-09-14
2020-04-29,321.99,2939.51,2021-09-14
2020-04-30,351.54,2912.43,2021-09-14
2020-05-01,339.51,2830.71,2021-09-14
2020-05-04,354.64,2842.74,2021-09-14
2020-05-05,370.64,2868.44,2021-09-14
2020-05-06,365.39,2848.42,2021-09-14
2020-05-07,381.83,2881.19,2021-09-14
2020-05-08,377.26,2929.8,2021-09-14
2020-05-11,383.65,2930.32,2021-09-14
2020-05-12,365.6,2870.12,2021-09-14
2020-05-13,361.29,2820.0,2021-09-14
2020-05-14,367.83,2852.5,2021-09-14
2020-05-15,370.46,2863.7,2021-09-14
2020-05-18,374.87,2953.91,2021-09-14
2020-05-19,382.88,2922.94,2021-09-14
2020-05-20,390.16,2971.61,2021-09-14
2020-05-21,383.64,2948.51,2021-09-14
2020-05-22,387.96,2955.45,2021-09-14
2020-05-26,380.67,2991.77,2021-09-14
2020-05-27,371.16,3036.13,2021-09-14
2020-05-28,377.98,3029.73,2021-09-14
2020-05-29,387.93,3044.31,2021-09-14
2020-06-01,383.37,3055.73,2021-09-14
2020-06-02,392.9,3080.82,2021-09-14
2020-06-03,388.09,3122.87,2021-09-14
2020-06-04,376.95,3112.35,2021-09-14
2020-06-05,390.46,3193.93,2021-09-14
2020-06-08,386.64,3232.39,2021-09-14
2020-06-09,388.83,3207.18,2021-09-14
2020-06-10,401.66,3190.14,2021-09-14
2020-06-11,375.05,3002.1,2021-09-14
2020-06-12,385.13,3041.31,2021-09-14
2020-06-15,392.5,3066.59,2021-09-14
2020-06-16,398.46,3124.74,2021-09-14
2020-06-17,400.65,3113.49,2021-09-14
2020-06-18,401.03,3115.34,2021-09-14
2020-06-19,399.87,3097.74,2021-09-14
2020-06-22,402.82,3117.86,2021-09-14
2020-06-23,400.94,3131.29,2021-09-14
2020-06-24,392.93,3050.33,2021-09-14
2020-06-25,401.64,3083.76,2021-09-14
2020-06-26,399.97,3009.05,2021-09-14
2020-06-29,394.55,3053.24,2021-09-14
2020-06-30,405.06,3100.29,2021-09-14
2020-07-01,416.79,3115.86,2021-09-14
2020-07-02,414.21,3130.01,2021-09-14
2020-07-06,416.44,3179.72,2021-09-14
2020-07-07,411.74,3145.32,2021-09-14
2020-07-08,425.2,3169.94,2021-09-14
2020-07-09,426.37,3152.05,2021-09-14
2020-07-10,422.91,3185.04,2021-09-14
2020-07-13,401.87,3155.22,2021-09-14
2020-07-14,413.23,3197.52,2021-09-14
2020-07-15,423.56,3226.56,2021-09-14
2020-07-16,413.88,3215.57,2021-09-14
2020-07-17,421.81,3224.73,2021-09-14
2020-07-20,449.27,3251.84,2021-09-14
2020-07-21,437.22,3257.3,2021-09-14
2020-07-22,441.6,3276.02,2021-09-14
2020-07-23,430.85,3235.66,2021-09-14
2020-07-24,425.19,3215.63,2021-09-14
2020-07-27,433.81,3239.41,2021-09-14
2020-07-28,435.04,3218.44,2021-09-14
2020-07-29,445.71,3258.44,2021-09-14
2020-07-30,431.4,3246.22,2021-09-14
2020-07-31,439.2,3271.12,2021-09-14
2020-08-03,439.96,3294.61,2021-09-14
2020-08-04,438.15,3306.51,2021-09-14
2020-08-05,435.74,3327.77,2021-09-14
2020-08-06,430.33,3349.16,2021-09-14
2020-08-07,431.21,3351.28,2021-09-14
2020-08-10,438.68,3360.47,2021-09-14
2020-08-11,421.36,3333.69,2021-09-14
2020-08-12,427.13,3380.35,2021-09-14
2020-08-13,438.42,3373.43,2021-09-14
2020-08-14,435.73,3372.85,2021-09-14
2020-08-17,442.37,3381.99,2021-09-14
2020-08-18,437.58,3389.78,2021-09-14
2020-08-19,437.13,3374.85,2021-09-14
2020-08-20,453.34,3385.51,2021-09-14
2020-08-21,449.42,3397.16,2021-09-14
2020-08-24,448.1,3431.28,2021-09-14
2020-08-25,457.93,3443.62,2021-09-14
2020-08-26,487.7,3478.73,2021-09-14
2020-08-27,480.55,3484.55,2021-09-14
2020-08-28,487.87,3508.01,2021-09-14
2020-08-31,482.02,3500.31,2021-09-14
2020-09-01,497.19,3526.65,2021-09-14
2020-09-02,499.69,3580.84,2021-09-14
2020-09-03,468.84,3455.06,2021-09-14
2020-09-04,450.35,3426.96,2021-09-14
2020-09-08,443.14,3331.84,2021-09-14
2020-09-09,458.2,3398.96,2021-09-14
2020-09-10,452.98,3339.19,2021-09-14
2020-09-11,445.9,3340.97,2021-09-14
2020-09-14,458.06,3383.54,2021-09-14
2020-09-15,473.96,3401.2,2021-09-14
2020-09-16,456.01,3385.49,2021-09-14
2020-09-17,453.8,3357.01,2021-09-14
2020-09-18,453.09,3319.47,2021-09-14
2020-09-21,461.88,3281.06,2021-09-14
2020-09-22,470.57,3315.57,2021-09-14
2020-09-23,460.47,3236.92,2021-09-14
2020-09-24,460.12,3246.59,2021-09-14
2020-09-25,479.97,3298.46,2021-09-14
2020-09-28,484.21,3351.6,2021-09-14
2020-09-29,487.98,3335.47,2021-09-14
2020-09-30,485.0,3363.0,2021-09-14
2020-10-01,492.52,3380.8,2021-09-14
2020-10-02,493.15,3348.44,2021-09-14
2020-10-05,501.79,3408.63,2021-09-14
2020-10-06,491.54,3360.95,2021-09-14
2020-10-07,500.0,3419.45,2021-09-14
2020-10-08,496.5,3446.83,2021-09-14
