Date,Stock,Market,joined date
2017-01-03,12.3,2257.83,2019-09-13
2017-01-04,13.03,2270.75,2019-09-13
2017-01-05,13.28,2269.0,2019-09-13
2017-01-06,13.36,2276.98,2019-09-13
2017-01-09,13.47,2268.9,2019-09-13
2017-01-10,13.62,2268.9,2019-09-13
2017-01-11,14.1,2275.32,2019-09-13
2017-01-12,14.38,2270.44,2019-09-13
2017-01-13,14.6,2274.64,2019-09-13
2017-01-17,15.34,2267.89,2019-09-13
2017-01-18,15.26,2271.89,2019-09-13
2017-01-19,15.56,2263.69,2019-09-13
2017-01-20,16.11,2271.31,2019-09-13
2017-01-23,16.21,2265.2,2019-09-13
2017-01-24,16.37,2280.07,2019-09-13
2017-01-25,16.44,2298.37,2019-09-13
2017-01-26,16.46,2296.68,2019-09-13
2017-01-27,16.45,2294.69,2019-09-13
2017-01-30,16.26,2280.9,2019-09-13
2017-01-31,16.54,2278.87,2019-09-13
2017-02-01,16.34,2279.55,2019-09-13
2017-02-02,16.71,2280.85,2019-09-13
2017-02-03,17.08,2297.42,2019-09-13
2017-02-06,16.7,2292.56,2019-09-13
2017-02-07,16.27,2293.08,2019-09-13
2017-02-08,16.36,2294.67,2019-09-13
2017-02-09,16.42,2307.87,2019-09-13
2017-02-10,16.66,2316.1,2019-09-13
2017-02-13,16.75,2328.25,2019-09-13
2017-02-14,16.79,2337.58,2019-09-13
2017-02-15,17.49,2349.25,2019-09-13
2017-02-16,17.11,2347.22,2019-09-13
2017-02-17,17.1,2351.16,2019-09-13
2017-02-21,17.12,2365.38,2019-09-13
2017-02-22,16.83,2362.82,2019-09-13
2017-02-23,17.04,2363.81,2019-09-13
2017-02-24,17.46,2367.34,2019-09-13
2017-02-27,16.77,2369.75,2019-09-13
2017-02-28,16.56,2363.64,2019-09-13
2017-03-01,16.85,2395.96,2019-09-13
2017-03-02,17.03,2381.92,2019-09-13
2017-03-03,17.3,2383.12,2019-09-13
2017-03-06,17.36,2375.31,2019-09-13
2017-03-07,17.1,2368.39,2019-09-13
2017-03-08,17.17,2362.98,2019-09-13
2017-03-09,17.86,2364.87,2019-09-13
2017-03-10,17.86,2372.6,2019-09-13
2017-03-13,17.33,2373.47,2019-09-13
2017-03-14,17.01,2365.45,2019-09-13
2017-03-15,17.46,2385.26,2019-09-13
2017-03-16,17.89,2381.38,2019-09-13
2017-03-17,18.06,2378.25,2019-09-13
2017-03-20,18.33,2373.47,2019-09-13
2017-03-21,18.24,2344.02,2019-09-13
2017-03-22,18.01,2348.45,2019-09-13
2017-03-23,18.14,2345.96,2019-09-13
2017-03-24,18.16,2343.98,2019-09-13
2017-03-27,18.18,2341.59,2019-09-13
2017-03-28,18.11,2358.57,2019-09-13
2017-03-29,18.73,2361.13,2019-09-13
2017-03-30,18.37,2368.06,2019-09-13
2017-03-31,18.7,2362.72,2019-09-13
2017-04-03,18.73,2358.84,2019-09-13
2017-04-04,18.88,2360.16,2019-09-13
2017-04-05,18.69,2352.95,2019-09-13
2017-04-06,18.9,2357.49,2019-09-13
2017-04-07,18.51,2355.54,2019-09-13
2017-04-10,18.76,2357.16,2019-09-13
2017-04-11,18.71,2353.78,2019-09-13
2017-04-12,18.73,2344.93,2019-09-13
2017-04-13,18.39,2328.95,2019-09-13
2017-04-17,18.45,2349.01,2019-09-13
2017-04-18,18.44,2342.19,2019-09-13
2017-04-19,17.88,2338.17,2019-09-13
2017-04-20,17.24,2355.84,2019-09-13
2017-04-21,17.07,2348.69,2019-09-13
2017-04-24,17.3,2374.15,2019-09-13
2017-04-25,17.01,2388.61,2019-09-13
2017-04-26,17.28,2387.45,2019-09-13
2017-04-27,16.84,2388.77,2019-09-13
2017-04-28,16.9,2384.2,2019-09-13
2017-05-01,16.67,2388.33,2019-09-13
2017-05-02,15.77,2391.17,2019-09-13
2017-05-03,14.98,2388.13,2019-09-13
2017-05-04,14.6,2389.52,2019-09-13
