Date,Stock,Market,joined date
2018-01-02,56.9271643338519,1025.85,2019-07-22
2018-01-03,56.8680609346759,1031.09,2019-07-22
2018-01-04,57.4448082471554,1031.0,2019-07-22
2018-01-05,57.648807600336,1039.54,2019-07-22
2018-01-08,57.0932587520495,1047.69,2019-07-22
2018-01-09,56.9056168248269,1050.34,2019-07-22
2018-01-10,55.5314881668672,1045.4,2019-07-22
2018-01-11,54.9864270941056,1036.62,2019-07-22
2018-01-12,55.6264520140046,1029.65,2019-07-22
2018-01-15,55.8848712375684,1028.13,2019-07-22
2018-01-16,55.1321096386532,1033.05,2019-07-22
2018-01-17,54.7362218257412,1038.09,2019-07-22
2018-01-18,55.0093709926678,1036.12,2019-07-22
2018-01-19,55.5263590080471,1047.24,2019-07-22
2018-01-22,55.8941750131788,1049.41,2019-07-22
2018-01-23,55.9447491904037,1051.7,2019-07-22
2018-01-24,55.9833333333334,1044.81,2019-07-22
2018-01-25,54.95969622277,1029.22,2019-07-22
2018-01-26,55.4267122716276,1038.48,2019-07-22
2018-01-29,55.0702936527743,1035.79,2019-07-22
2018-01-30,54.929671355243,1026.8,2019-07-22
2018-01-31,55.4656613341785,1017.79,2019-07-22
2018-02-01,55.0784073146546,986.4,2019-07-22
2018-02-02,53.8124100056926,969.28,2019-07-22
2018-02-05,53.5453216374268,969.19,2019-07-22
2018-02-06,53.2688054017197,952.22,2019-07-22
2018-02-07,50.5273566249176,968.98,2019-07-22
2018-02-08,49.7243932538049,961.24,2019-07-22
2018-02-09,48.7123440761255,959.04,2019-07-22
2018-02-12,49.5485830293629,979.44,2019-07-22
2018-02-13,49.8010610079575,970.15,2019-07-22
2018-02-14,51.0754934567881,979.77,2019-07-22
2018-02-15,52.5476370351718,985.81,2019-07-22
2018-02-16,53.6326992904493,1005.87,2019-07-22
2018-02-19,52.7008564097437,994.25,2019-07-22
2018-02-20,53.2001259174576,995.74,2019-07-22
2018-02-21,53.0621670212943,998.53,2019-07-22
2018-02-22,52.8189419653945,1011.52,2019-07-22
2018-02-23,52.5011973377813,1020.03,2019-07-22
2018-02-26,52.8510441142402,1030.41,2019-07-22
2018-02-27,51.9725923856783,1017.55,2019-07-22
2018-02-28,51.5886013756959,1011.81,2019-07-22
2018-03-01,51.1299993411084,996.77,2019-07-22
2018-03-02,50.7972740505491,981.41,2019-07-22
2018-03-05,50.9125840537943,984.85,2019-07-22
2018-03-06,51.8174400985731,985.39,2019-07-22
2018-03-07,51.9398310872715,987.76,2019-07-22
2018-03-08,52.1556569463732,998.65,2019-07-22
2018-03-09,52.7394091600025,998.09,2019-07-22
2018-03-12,53.167701863354,1000.2,2019-07-22
2018-03-13,53.2295357386429,991.71,2019-07-22
