Date,Stock,Market,joined date
2020-01-02,117.31,3257.85,2021-10-19
2020-01-03,118.29,3234.85,2021-10-19
2020-01-06,123.43,3246.28,2021-10-19
2020-01-07,122.89,3237.18,2021-10-19
2020-01-08,125.55,3253.05,2021-10-19
2020-01-09,128.52,3274.7,2021-10-19
2020-01-10,129.39,3265.35,2021-10-19
2020-01-13,131.16,3288.13,2021-10-19
2020-01-14,129.03,3283.15,2021-10-19
2020-01-15,128.57,3289.29,2021-10-19
2020-01-16,128.4,3316.81,2021-10-19
2020-01-17,125.83,3329.62,2021-10-19
2020-01-21,125.26,3320.79,2021-10-19
2020-01-22,125.02,3321.75,2021-10-19
2020-01-23,127.84,3325.54,2021-10-19
2020-01-24,129.66,3295.47,2021-10-19
2020-01-27,125.82,3243.63,2021-10-19
2020-01-28,127.47,3276.24,2021-10-19
2020-01-29,129.0,3273.4,2021-10-19
2020-01-30,132.94,3283.66,2021-10-19
2020-01-31,128.05,3225.52,2021-10-19
2020-02-03,129.35,3248.92,2021-10-19
2020-02-04,134.76,3297.59,2021-10-19
2020-02-05,129.67,3334.69,2021-10-19
2020-02-06,130.09,3345.78,2021-10-19
2020-02-07,132.79,3327.71,2021-10-19
2020-02-10,135.76,3352.09,2021-10-19
2020-02-11,137.27,3357.75,2021-10-19
2020-02-12,137.58,3379.45,2021-10-19
2020-02-13,135.31,3373.94,2021-10-19
2020-02-14,137.03,3380.16,2021-10-19
2020-02-18,137.9,3370.29,2021-10-19
2020-02-19,139.5,3386.15,2021-10-19
2020-02-20,138.55,3373.23,2021-10-19
2020-02-21,133.59,3337.75,2021-10-19
2020-02-24,126.8,3225.89,2021-10-19
2020-02-25,122.97,3128.21,2021-10-19
2020-02-26,127.82,3116.39,2021-10-19
2020-02-27,123.83,2978.76,2021-10-19
2020-02-28,128.06,2954.22,2021-10-19
2020-03-02,133.43,3090.23,2021-10-19
2020-03-03,131.34,3003.37,2021-10-19
2020-03-04,131.34,3130.12,2021-10-19
2020-03-05,129.05,3023.94,2021-10-19
2020-03-06,125.97,2972.37,2021-10-19
2020-03-09,114.85,2746.56,2021-10-19
2020-03-10,119.21,2882.23,2021-10-19
2020-03-11,114.75,2741.38,2021-10-19
2020-03-12,106.08,2480.64,2021-10-19
2020-03-13,107.29,2711.02,2021-10-19
2020-03-16,96.08,2386.13,2021-10-19
2020-03-17,109.11,2529.19,2021-10-19
2020-03-18,102.06,2398.1,2021-10-19
2020-03-19,113.95,2409.39,2021-10-19
2020-03-20,115.45,2304.92,2021-10-19
2020-03-23,118.4,2237.4,2021-10-19
2020-03-24,123.97,2447.33,2021-10-19
2020-03-25,117.77,2475.56,2021-10-19
2020-03-26,123.3,2630.07,2021-10-19
2020-03-27,121.05,2541.47,2021-10-19
2020-03-30,124.94,2626.65,2021-10-19
2020-03-31,122.26,2584.59,2021-10-19
2020-04-01,119.57,2470.5,2021-10-19
2020-04-02,115.99,2526.9,2021-10-19
2020-04-03,118.94,2488.65,2021-10-19
2020-04-06,128.12,2663.68,2021-10-19
2020-04-07,125.54,2659.41,2021-10-19
2020-04-08,128.09,2749.98,2021-10-19
2020-04-09,130.96,2789.82,2021-10-19
2020-04-13,134.26,2761.63,2021-10-19
2020-04-14,139.84,2846.06,2021-10-19
2020-04-15,142.47,2783.36,2021-10-19
2020-04-16,147.43,2799.55,2021-10-19
2020-04-17,148.09,2874.56,2021-10-19
2020-04-20,152.6,2823.16,2021-10-19
2020-04-21,148.41,2736.56,2021-10-19
2020-04-22,151.64,2799.31,2021-10-19
2020-04-23,152.01,2797.8,2021-10-19
2020-04-24,155.35,2836.74,2021-10-19
2020-04-27,151.94,2878.48,2021-10-19
2020-04-28,147.66,2863.39,2021-10-19
2020-04-29,149.56,2939.51,2021-10-19
2020-04-30,151.3,2912.43,2021-10-19
2020-05-01,148.84,2830.71,2021-10-19
2020-05-04,154.69,2842.74,2021-10-19
2020-05-05,158.73,2868.44,2021-10-19
2020-05-06,164.43,2848.42,2021-10-19
2020-05-07,170.29,2881.19,2021-10-19
2020-05-08,169.38,2929.8,2021-10-19
2020-05-11,174.33,2930.32,2021-10-19
2020-05-12,173.65,2870.12,2021-10-19
2020-05-13,177.36,2820.0,2021-10-19
2020-05-14,177.32,2852.5,2021-10-19
