Date,Stock,Market,joined date
2020-01-02,53.95,3257.85,2021-09-20
2020-01-03,53.76,3234.85,2021-09-20
2020-01-06,54.04,3246.28,2021-09-20
2020-01-07,54.16,3237.18,2021-09-20
2020-01-08,54.13,3253.05,2021-09-20
2020-01-09,54.38,3274.7,2021-09-20
2020-01-10,54.45,3265.35,2021-09-20
2020-01-13,54.58,3288.13,2021-09-20
2020-01-14,54.88,3283.15,2021-09-20
2020-01-15,54.76,3289.29,2021-09-20
2020-01-16,55.43,3316.81,2021-09-20
2020-01-17,55.13,3329.62,2021-09-20
2020-01-21,55.22,3320.79,2021-09-20
2020-01-22,54.72,3321.75,2021-09-20
2020-01-23,54.98,3325.54,2021-09-20
2020-01-24,54.07,3295.47,2021-09-20
2020-01-27,52.69,3243.63,2021-09-20
2020-01-28,53.46,3276.24,2021-09-20
2020-01-29,53.2,3273.4,2021-09-20
2020-01-30,53.31,3283.66,2021-09-20
2020-01-31,52.45,3225.52,2021-09-20
2020-02-03,53.09,3248.92,2021-09-20
2020-02-04,54.04,3297.59,2021-09-20
2020-02-05,54.74,3334.69,2021-09-20
2020-02-06,54.71,3345.78,2021-09-20
2020-02-07,54.72,3327.71,2021-09-20
2020-02-10,54.99,3352.09,2021-09-20
2020-02-11,55.15,3357.75,2021-09-20
2020-02-12,55.73,3379.45,2021-09-20
2020-02-13,55.31,3373.94,2021-09-20
2020-02-14,55.47,3380.16,2021-09-20
2020-02-18,55.45,3370.29,2021-09-20
2020-02-19,55.44,3386.15,2021-09-20
2020-02-20,55.51,3373.23,2021-09-20
2020-02-21,54.68,3337.75,2021-09-20
2020-02-24,52.65,3225.89,2021-09-20
2020-02-25,50.96,3128.21,2021-09-20
2020-02-26,52.05,3116.39,2021-09-20
2020-02-27,50.78,2978.76,2021-09-20
2020-02-28,49.46,2954.22,2021-09-20
2020-03-02,50.9,3090.23,2021-09-20
2020-03-03,48.85,3003.37,2021-09-20
2020-03-04,50.54,3130.12,2021-09-20
2020-03-05,48.0,3023.94,2021-09-20
2020-03-06,47.37,2972.37,2021-09-20
2020-03-09,46.01,2746.56,2021-09-20
2020-03-10,48.58,2882.23,2021-09-20
2020-03-11,44.72,2741.38,2021-09-20
2020-03-12,39.8,2480.64,2021-09-20
2020-03-13,47.93,2711.02,2021-09-20
2020-03-16,42.72,2386.13,2021-09-20
