Date,Stock,Market,joined date
2017-01-02,181.376137195442,4882.38,2019-09-16
2017-01-03,177.023835533776,4899.33,2019-09-16
2017-01-04,178.105174854506,4899.4,2019-09-16
2017-01-05,180.568956559541,4900.64,2019-09-16
2017-01-06,179.272800025271,4909.84,2019-09-16
2017-01-09,181.152142426709,4887.57,2019-09-16
2017-01-10,180.508653440271,4888.23,2019-09-16
2017-01-11,181.817220000422,4888.71,2019-09-16
2017-01-12,180.793837731164,4863.97,2019-09-16
2017-01-13,182.440197497234,4922.49,2019-09-16
2017-01-16,181.047275810897,4882.18,2019-09-16
2017-01-17,181.676003984874,4859.69,2019-09-16
2017-01-18,180.232372731814,4853.4,2019-09-16
2017-01-19,181.804610692884,4841.14,2019-09-16
2017-01-20,181.935870414157,4850.67,2019-09-16
2017-01-23,184.174845041323,4821.41,2019-09-16
2017-01-24,183.804199706,4830.03,2019-09-16
2017-01-25,184.313725490196,4877.67,2019-09-16
2017-01-26,182.94831950274,4867.24,2019-09-16
2017-01-27,183.188963747193,4839.98,2019-09-16
2017-01-30,182.832948421862,4784.64,2019-09-16
2017-01-31,181.734765477411,4748.9,2019-09-16
2017-02-01,181.855377061889,4794.58,2019-09-16
2017-02-02,183.531639305463,4794.29,2019-09-16
2017-02-03,184.408555780759,4825.42,2019-09-16
2017-02-06,182.947802906527,4778.08,2019-09-16
2017-02-07,183.161919408756,4754.47,2019-09-16
2017-02-08,185.432801334988,4766.6,2019-09-16
2017-02-09,185.380509476779,4826.24,2019-09-16
2017-02-10,180.951671755157,4828.32,2019-09-16
2017-02-13,184.070533878728,4888.19,2019-09-16
2017-02-14,182.505685123487,4895.82,2019-09-16
2017-02-15,184.194071452038,4924.86,2019-09-16
2017-02-16,183.398610503399,4899.46,2019-09-16
2017-02-17,186.859362067868,4867.58,2019-09-16
2017-02-20,183.163590070019,4864.99,2019-09-16
2017-02-21,182.728977476243,4888.76,2019-09-16
2017-02-22,186.295412805303,4895.88,2019-09-16
2017-02-23,187.142297967777,4891.29,2019-09-16
2017-02-24,185.380740678163,4845.24,2019-09-16
2017-02-27,185.555661405904,4845.18,2019-09-16
2017-02-28,185.64343347821,4858.58,2019-09-16
2017-03-01,186.241734600255,4960.83,2019-09-16
2017-03-02,184.957555891746,4963.8,2019-09-16
2017-03-03,187.389817548481,4995.13,2019-09-16
2017-03-06,186.489802826437,4972.19,2019-09-16
2017-03-07,185.416050374001,4955.0,2019-09-16
2017-03-08,184.53723415467,4960.48,2019-09-16
2017-03-09,186.542305129913,4981.51,2019-09-16
2017-03-10,189.215717654088,4993.32,2019-09-16
2017-03-13,187.972728241185,4999.6,2019-09-16
2017-03-14,188.238162888827,4974.26,2019-09-16
2017-03-15,190.278925508967,4985.48,2019-09-16
2017-03-16,191.330649501626,5013.38,2019-09-16
2017-03-17,190.509420795534,5029.24,2019-09-16
2017-03-20,189.937295997251,5012.16,2019-09-16
2017-03-21,191.734036574294,5002.43,2019-09-16
2017-03-22,192.475846062503,4994.7,2019-09-16
2017-03-23,192.423785089044,5032.76,2019-09-16
2017-03-24,192.025308255415,5020.9,2019-09-16
2017-03-27,195.009071452627,5017.43,2019-09-16
2017-03-28,193.210076765055,5046.2,2019-09-16
2017-03-29,193.572697421543,5069.04,2019-09-16
2017-03-30,191.117135964819,5089.64,2019-09-16
2017-03-31,191.84077694716,5122.51,2019-09-16
2017-04-03,191.491177537391,5085.91,2019-09-16
2017-04-04,192.416464787681,5101.13,2019-09-16
2017-04-05,190.689938266998,5091.85,2019-09-16
2017-04-06,190.864878095501,5121.44,2019-09-16
2017-04-07,191.324234756,5135.28,2019-09-16
2017-04-10,191.627296031864,5107.45,2019-09-16
2017-04-11,191.895846144059,5101.86,2019-09-16
2017-04-12,194.032397385175,5101.11,2019-09-16
2017-04-13,192.130145490434,5071.1,2019-09-16
2017-04-18,193.283894439734,4990.25,2019-09-16
2017-04-19,194.262093190118,5003.73,2019-09-16
2017-04-20,194.726579240592,5077.91,2019-09-16
2017-04-21,193.926912722164,5059.2,2019-09-16
2017-04-24,201.636565169199,5268.85,2019-09-16
2017-04-25,201.730523417783,5277.88,2019-09-16
2017-04-26,202.086831374431,5287.88,2019-09-16
2017-04-27,202.002631035346,5271.7,2019-09-16
2017-04-28,199.215558097729,5267.33,2019-09-16
2017-05-02,201.54945583286,5304.15,2019-09-16
2017-05-03,200.827030850427,5301.0,2019-09-16
2017-05-04,205.125107093429,5372.42,2019-09-16
2017-05-05,207.311709730622,5432.4,2019-09-16
2017-05-08,205.225103213263,5382.95,2019-09-16
2017-05-09,206.025288381044,5398.01,2019-09-16
2017-05-10,205.313484733238,5400.46,2019-09-16
2017-05-11,205.434818024828,5383.42,2019-09-16
2017-05-12,207.686759627573,5405.42,2019-09-16
2017-05-15,208.376768020366,5417.4,2019-09-16
2017-05-16,210.503568420586,5406.1,2019-09-16
2017-05-17,209.937292182723,5317.89,2019-09-16
2017-05-18,206.034501898271,5289.73,2019-09-16
2017-05-19,209.626459318351,5324.4,2019-09-16
2017-05-22,210.674157303371,5322.88,2019-09-16
2017-05-23,211.005378568473,5348.16,2019-09-16
2017-05-24,211.160964666292,5341.34,2019-09-16
2017-05-25,211.513887954805,5337.16,2019-09-16
2017-05-26,211.452660769996,5336.64,2019-09-16
2017-05-29,211.4452854623,5332.47,2019-09-16
2017-05-30,212.030731036334,5305.94,2019-09-16
2017-05-31,214.084982014388,5283.63,2019-09-16
2017-06-01,214.074306598802,5318.67,2019-09-16
2017-06-02,217.592383702567,5343.41,2019-09-16
2017-06-05,215.138455999009,5307.89,2019-09-16
2017-06-06,215.633879042077,5269.22,2019-09-16
2017-06-07,214.127339643665,5265.53,2019-09-16
2017-06-08,211.122323130396,5264.24,2019-09-16
2017-06-09,212.702853945159,5299.71,2019-09-16
2017-06-12,209.999328002151,5240.59,2019-09-16
2017-06-13,210.094870702223,5261.74,2019-09-16
2017-06-14,210.992708917554,5243.29,2019-09-16
2017-06-15,209.823716877271,5216.88,2019-09-16
2017-06-16,213.861829582354,5263.31,2019-09-16
2017-06-19,212.815767764374,5310.72,2019-09-16
2017-06-20,212.937705283082,5293.65,2019-09-16
2017-06-21,212.153018155833,5274.26,2019-09-16
2017-06-22,211.404232544656,5281.93,2019-09-16
2017-06-23,210.520425293788,5266.12,2019-09-16
2017-06-26,218.382837914882,5295.75,2019-09-16
2017-06-27,216.762841951319,5258.58,2019-09-16
2017-06-28,216.372406261377,5252.9,2019-09-16
2017-06-29,209.86580943338,5154.35,2019-09-16
2017-06-30,208.354751379321,5120.68,2019-09-16
2017-07-03,207.831599036671,5195.72,2019-09-16
2017-07-04,205.686870519916,5174.9,2019-09-16
2017-07-05,206.039278011125,5180.1,2019-09-16
2017-07-06,203.94060536836,5152.4,2019-09-16
2017-07-07,204.459695162964,5145.16,2019-09-16
2017-07-10,205.238980017555,5165.64,2019-09-16
2017-07-11,205.338102772236,5140.6,2019-09-16
2017-07-12,207.662992629105,5222.13,2019-09-16
2017-07-13,208.641947172908,5235.4,2019-09-16
2017-07-14,211.16424140264,5235.31,2019-09-16
2017-07-17,211.482616530653,5230.17,2019-09-16
2017-07-18,211.97943741697,5173.27,2019-09-16
2017-07-19,213.296335102647,5216.07,2019-09-16
2017-07-20,214.671132198344,5199.22,2019-09-16
2017-07-21,210.947338961706,5117.66,2019-09-16
2017-07-24,209.135874308991,5127.7,2019-09-16
