Date,Stock,Market,joined date
2018-07-25,8.42573697538908,885.2,2019-11-29
2018-07-26,8.37912423376558,883.35,2019-11-29
2018-07-27,8.48745449659182,892.82,2019-11-29
2018-07-30,8.50598172898403,891.5,2019-11-29
2018-07-31,8.46168939468266,896.4,2019-11-29
2018-08-01,8.50012233912407,894.47,2019-11-29
2018-08-02,8.42728673891674,892.46,2019-11-29
2018-08-03,8.39148977415913,891.83,2019-11-29
2018-08-06,8.34030379071657,892.64,2019-11-29
2018-08-07,8.41442891636789,905.36,2019-11-29
2018-08-08,8.46935670379158,906.86,2019-11-29
2018-08-09,8.39655193142335,908.71,2019-11-29
2018-08-10,8.37150340241817,898.23,2019-11-29
2018-08-13,8.37140328637375,897.17,2019-11-29
2018-08-14,8.37809573608404,895.81,2019-11-29
2018-08-15,8.23493220379088,882.73,2019-11-29
2018-08-16,8.29252752179912,887.97,2019-11-29
2018-08-17,8.35965690624073,889.88,2019-11-29
2018-08-20,8.41130350332803,902.33,2019-11-29
2018-08-21,8.46850492092017,904.31,2019-11-29
2018-08-22,8.55947141846437,906.99,2019-11-29
2018-08-23,8.43418024870935,906.37,2019-11-29
2018-08-24,8.51058718968065,907.41,2019-11-29
2018-08-27,8.48455714457399,912.45,2019-11-29
2018-08-28,8.45492584555251,914.51,2019-11-29
2018-08-29,8.45719774282629,915.09,2019-11-29
2018-08-30,8.26630545533009,912.41,2019-11-29
2018-08-31,8.22868591463632,906.69,2019-11-29
2018-09-03,8.27815758910931,908.59,2019-11-29
2018-09-04,8.19838177290004,904.9,2019-11-29
2018-09-05,8.13802471195208,897.91,2019-11-29
2018-09-06,8.15856352278938,899.22,2019-11-29
2018-09-07,8.10650887573963,892.97,2019-11-29
2018-09-10,8.15470087508045,897.11,2019-11-29
2018-09-11,8.19408045009736,899.96,2019-11-29
2018-09-12,8.22242943121135,906.2,2019-11-29
2018-09-13,8.25259262865766,905.82,2019-11-29
2018-09-14,8.22983436125481,906.89,2019-11-29
2018-09-17,8.39961819917275,910.02,2019-11-29
2018-09-18,8.46734653853698,915.81,2019-11-29
2018-09-19,8.42291267854512,913.02,2019-11-29
2018-09-20,8.52297149594113,917.97,2019-11-29
2018-09-21,8.62883725497414,923.94,2019-11-29
2018-09-24,8.55015847276479,931.96,2019-11-29
2018-09-25,8.56576891371482,946.43,2019-11-29
2018-09-26,8.53750262018962,941.54,2019-11-29
2018-09-27,8.54090780872486,941.6,2019-11-29
2018-09-28,8.44219624791279,938.26,2019-11-29
2018-10-01,8.42885545273802,942.11,2019-11-29
2018-10-02,8.48168948598419,944.56,2019-11-29
2018-10-03,8.52859279434832,940.3,2019-11-29
2018-10-04,8.22804762713098,929.95,2019-11-29
2018-10-05,8.22385547712162,927.22,2019-11-29
2018-10-08,8.23857800548593,920.28,2019-11-29
2018-10-09,8.30187766163378,923.91,2019-11-29
2018-10-10,8.26249574974497,914.2,2019-11-29
2018-10-11,8.15730200280027,890.91,2019-11-29
2018-10-12,8.21756851033621,893.54,2019-11-29
2018-10-15,8.20828681152841,893.81,2019-11-29
2018-10-16,8.33149171270721,904.42,2019-11-29
2018-10-17,8.19755972820924,903.39,2019-11-29
2018-10-18,7.97525254966407,890.53,2019-11-29
2018-10-19,8.06098628538078,900.55,2019-11-29
2018-10-22,8.063675902257,882.97,2019-11-29
2018-10-23,8.02326142560689,863.83,2019-11-29
2018-10-24,8.08775102084803,869.73,2019-11-29
2018-10-25,8.51487285239845,873.48,2019-11-29
2018-10-26,8.40758838746765,862.8,2019-11-29
2018-10-29,8.4532888465205,875.78,2019-11-29
2018-10-30,8.41377014882793,868.85,2019-11-29
2018-10-31,8.62441013966944,889.66,2019-11-29
2018-11-01,8.56975198495862,884.96,2019-11-29
2018-11-02,8.54482206256798,889.02,2019-11-29
2018-11-05,8.50804281528436,893.59,2019-11-29
2018-11-06,8.45323095690862,890.91,2019-11-29
2018-11-07,8.48698319136449,895.61,2019-11-29
2018-11-08,8.52512271733807,892.49,2019-11-29
2018-11-09,8.58358922071914,886.44,2019-11-29
2018-11-12,8.46082494804451,886.62,2019-11-29
2018-11-13,8.51579789989168,875.43,2019-11-29
2018-11-14,8.6258186649735,871.08,2019-11-29
2018-11-15,8.46155658710152,864.74,2019-11-29
2018-11-16,8.56499585258914,872.61,2019-11-29
2018-11-19,8.44306007834257,865.36,2019-11-29
2018-11-20,8.26188257222743,841.26,2019-11-29
2018-11-21,8.38844331879365,854.87,2019-11-29
2018-11-22,8.26025791324739,849.04,2019-11-29
2018-11-23,8.18497056017129,837.14,2019-11-29
2018-11-26,8.26180632388051,852.84,2019-11-29
2018-11-27,8.26309854570392,856.77,2019-11-29
2018-11-28,8.29223829667892,854.46,2019-11-29
2018-11-29,8.3260102874149,861.78,2019-11-29
2018-11-30,8.26484762414731,860.98,2019-11-29
2018-12-03,8.34682243648389,874.42,2019-11-29
2018-12-04,8.4088957884957,870.0,2019-11-29
2018-12-05,8.26413230139502,858.14,2019-11-29
2018-12-06,8.03071395864887,825.96,2019-11-29
2018-12-07,8.16326530612247,844.15,2019-11-29
2018-12-10,7.91665206676242,823.61,2019-11-29
2018-12-11,8.10401119402983,834.81,2019-11-29
2018-12-12,8.2137105244731,844.6,2019-11-29
2018-12-13,8.16111838414066,838.67,2019-11-29
2018-12-14,8.1269664356286,830.76,2019-11-29
2018-12-17,8.1499988433155,819.83,2019-11-29
2018-12-18,8.09971702544477,816.65,2019-11-29
2018-12-19,8.14463027967054,824.99,2019-11-29
2018-12-20,8.05962927548585,804.24,2019-11-29
2018-12-21,7.98529864971292,803.96,2019-11-29
2018-12-27,7.65282846715329,783.61,2019-11-29
2018-12-28,7.81027595390054,799.46,2019-11-29
2019-01-02,7.68842375837694,803.42,2019-11-29
2019-01-03,7.76880049720322,808.68,2019-11-29
2019-01-04,7.96506428496767,829.67,2019-11-29
2019-01-07,8.04502022392869,829.93,2019-11-29
2019-01-08,8.01909419569209,836.4,2019-11-29
2019-01-09,8.12186337604061,844.58,2019-11-29
2019-01-10,8.19561909480166,841.66,2019-11-29
2019-01-11,8.16723497498274,841.4,2019-11-29
2019-01-14,8.07215807391292,836.72,2019-11-29
2019-01-15,8.08177794431043,838.51,2019-11-29
2019-01-16,8.10222055654454,840.21,2019-11-29
2019-01-17,8.10368221587987,839.58,2019-11-29
2019-01-18,8.2695252679939,853.84,2019-11-29
2019-01-21,8.23277926386247,854.98,2019-11-29
2019-01-22,8.24699110413397,846.94,2019-11-29
2019-01-23,8.24243839775778,842.52,2019-11-29
2019-01-24,8.24317242182496,839.36,2019-11-29
2019-01-25,8.00648793502662,836.96,2019-11-29
2019-01-28,8.07219147661179,828.11,2019-11-29
2019-01-29,8.15999811656134,834.86,2019-11-29
2019-01-30,8.23618794368335,834.73,2019-11-29
2019-01-31,8.05447147720666,835.31,2019-11-29
2019-02-01,8.17274645049654,837.32,2019-11-29
2019-02-04,8.16939373876853,839.02,2019-11-29
2019-02-05,8.19747497966545,853.64,2019-11-29
2019-02-06,7.91026601723493,849.13,2019-11-29
2019-02-07,7.83282526237408,846.87,2019-11-29
2019-02-08,7.70103761348897,831.17,2019-11-29
2019-02-11,7.65189060205579,836.27,2019-11-29
2019-02-12,7.76818029393742,847.53,2019-11-29
2019-02-13,7.7621247113164,859.13,2019-11-29
2019-02-14,7.72424000647544,852.67,2019-11-29
2019-02-15,7.83986655546292,865.5,2019-11-29
2019-02-18,7.78605202318852,866.25,2019-11-29
2019-02-19,7.90134413938876,864.73,2019-11-29
2019-02-20,7.88870132138073,862.38,2019-11-29
2019-02-21,8.01567881620301,867.44,2019-11-29
2019-02-22,7.99135316062899,872.0,2019-11-29
2019-02-25,8.05714219238956,875.01,2019-11-29
2019-02-26,8.06298991834206,874.43,2019-11-29
2019-02-27,7.98268195647085,870.71,2019-11-29
2019-02-28,7.87561619512653,865.28,2019-11-29
2019-03-01,7.92605457321696,866.56,2019-11-29
2019-03-04,7.9047541913015,869.97,2019-11-29
2019-03-05,7.86070570847958,870.6,2019-11-29
2019-03-06,7.83756954544403,873.79,2019-11-29
2019-03-07,7.74725712918552,867.83,2019-11-29
2019-03-08,7.82738095238092,863.7,2019-11-29
2019-03-11,7.7984139992843,863.84,2019-11-29
2019-03-12,7.88793752679326,866.5,2019-11-29
2019-03-13,7.90291307496435,874.0,2019-11-29
2019-03-14,7.98599766627771,881.6,2019-11-29
2019-03-15,8.03058376527427,880.4,2019-11-29
2019-03-18,7.84001685018548,885.68,2019-11-29
2019-03-19,7.89433555031611,890.03,2019-11-29
2019-03-20,7.8529657477026,886.34,2019-11-29
2019-03-21,7.95051331787861,888.69,2019-11-29
2019-03-22,7.82585313957704,873.83,2019-11-29
2019-03-25,7.79455201837876,865.4,2019-11-29
2019-03-26,7.76542198291001,867.77,2019-11-29
2019-03-27,7.55373165472631,867.21,2019-11-29
2019-03-28,7.60296893273586,866.93,2019-11-29
2019-03-29,7.67838916210447,863.11,2019-11-29
2019-04-01,7.71238783358584,873.06,2019-11-29
2019-04-02,7.75940269346175,879.14,2019-11-29
2019-04-03,7.89516674834883,884.91,2019-11-29
2019-04-04,7.74553701226956,879.86,2019-11-29
2019-04-05,7.76121483925688,884.79,2019-11-29
2019-04-08,7.83914422480484,890.24,2019-11-29
2019-04-09,7.74552423689991,881.3,2019-11-29
2019-04-10,7.77762079683526,884.94,2019-11-29
2019-04-11,7.74719673802243,884.13,2019-11-29
2019-04-12,7.71306366282155,885.29,2019-11-29
2019-04-15,7.84244478975372,890.03,2019-11-29
2019-04-16,7.91416895337472,889.19,2019-11-29
2019-04-17,7.81524184145754,890.35,2019-11-29
2019-04-23,7.77135366681491,894.29,2019-11-29
2019-04-24,8.01713657152784,892.3,2019-11-29
2019-04-25,7.94297117414321,885.65,2019-11-29
2019-04-26,7.68477446857539,883.52,2019-11-29
2019-04-29,7.82605681805053,883.84,2019-11-29
2019-04-30,7.83986462208933,880.91,2019-11-29
2019-05-02,7.82235218861375,876.46,2019-11-29
2019-05-03,7.93847851575973,880.77,2019-11-29
2019-05-06,7.89032924171158,873.51,2019-11-29
2019-05-07,8.32608596145924,870.21,2019-11-29
2019-05-08,8.33342835965565,871.79,2019-11-29
2019-05-09,8.4451226455918,859.15,2019-11-29
2019-05-10,8.59035135042068,870.98,2019-11-29
2019-05-13,8.51296790528982,861.0,2019-11-29
2019-05-14,8.540518286407,864.4,2019-11-29
2019-05-15,8.65723367875052,866.55,2019-11-29
2019-05-16,8.57044830741077,882.49,2019-11-29
2019-05-20,8.59018557076377,885.09,2019-11-29
2019-05-21,8.62108340184524,889.76,2019-11-29
2019-05-22,8.66566168745143,888.74,2019-11-29
