Date,Stock,Market,joined date
2020-01-02,58.71,3257.85,2021-09-30
2020-01-03,58.7,3234.85,2021-09-30
2020-01-06,58.13,3246.28,2021-09-30
2020-01-07,57.6,3237.18,2021-09-30
2020-01-08,57.96,3253.05,2021-09-30
2020-01-09,58.42,3274.7,2021-09-30
2020-01-10,58.3,3265.35,2021-09-30
2020-01-13,58.25,3288.13,2021-09-30
2020-01-14,58.38,3283.15,2021-09-30
2020-01-15,59.09,3289.29,2021-09-30
2020-01-16,59.02,3316.81,2021-09-30
2020-01-17,59.16,3329.62,2021-09-30
2020-01-21,59.55,3320.79,2021-09-30
2020-01-22,60.3,3321.75,2021-09-30
2020-01-23,61.74,3325.54,2021-09-30
2020-01-24,61.66,3295.47,2021-09-30
2020-01-27,60.42,3243.63,2021-09-30
2020-01-28,59.67,3276.24,2021-09-30
2020-01-29,60.1,3273.4,2021-09-30
2020-01-30,60.0,3283.66,2021-09-30
2020-01-31,59.2,3225.52,2021-09-30
2020-02-03,59.33,3248.92,2021-09-30
2020-02-04,59.07,3297.59,2021-09-30
2020-02-05,59.28,3334.69,2021-09-30
2020-02-06,58.33,3345.78,2021-09-30
2020-02-07,57.7,3327.71,2021-09-30
2020-02-10,57.44,3352.09,2021-09-30
2020-02-11,57.82,3357.75,2021-09-30
2020-02-12,58.21,3379.45,2021-09-30
2020-02-13,58.36,3373.94,2021-09-30
2020-02-14,58.48,3380.16,2021-09-30
2020-02-18,59.02,3370.29,2021-09-30
2020-02-19,58.9,3386.15,2021-09-30
2020-02-20,59.18,3373.23,2021-09-30
2020-02-21,59.96,3337.75,2021-09-30
2020-02-24,59.11,3225.89,2021-09-30
2020-02-25,57.41,3128.21,2021-09-30
2020-02-26,55.57,3116.39,2021-09-30
2020-02-27,52.87,2978.76,2021-09-30
2020-02-28,51.31,2954.22,2021-09-30
2020-03-02,53.71,3090.23,2021-09-30
2020-03-03,53.05,3003.37,2021-09-30
2020-03-04,55.59,3130.12,2021-09-30
2020-03-05,53.99,3023.94,2021-09-30
2020-03-06,54.73,2972.37,2021-09-30
2020-03-09,50.76,2746.56,2021-09-30
2020-03-10,52.94,2882.23,2021-09-30
2020-03-11,48.75,2741.38,2021-09-30
2020-03-12,44.59,2480.64,2021-09-30
2020-03-13,44.14,2711.02,2021-09-30
2020-03-16,40.28,2386.13,2021-09-30
2020-03-17,43.08,2529.19,2021-09-30
2020-03-18,38.26,2398.1,2021-09-30
2020-03-19,39.14,2409.39,2021-09-30
2020-03-20,37.82,2304.92,2021-09-30
2020-03-23,36.86,2237.4,2021-09-30
2020-03-24,40.78,2447.33,2021-09-30
2020-03-25,40.89,2475.56,2021-09-30
2020-03-26,44.01,2630.07,2021-09-30
2020-03-27,44.48,2541.47,2021-09-30
2020-03-30,44.51,2626.65,2021-09-30
2020-03-31,44.91,2584.59,2021-09-30
2020-04-01,42.79,2470.5,2021-09-30
2020-04-02,45.28,2526.9,2021-09-30
2020-04-03,44.36,2488.65,2021-09-30
2020-04-06,46.85,2663.68,2021-09-30
2020-04-07,47.53,2659.41,2021-09-30
2020-04-08,50.86,2749.98,2021-09-30
2020-04-09,52.95,2789.82,2021-09-30
2020-04-13,51.66,2761.63,2021-09-30
2020-04-14,53.48,2846.06,2021-09-30
2020-04-15,52.01,2783.36,2021-09-30
2020-04-16,52.17,2799.55,2021-09-30
2020-04-17,54.62,2874.56,2021-09-30
2020-04-20,51.84,2823.16,2021-09-30
2020-04-21,50.01,2736.56,2021-09-30
2020-04-22,51.1,2799.31,2021-09-30
2020-04-23,50.37,2797.8,2021-09-30
2020-04-24,51.37,2836.74,2021-09-30
2020-04-27,52.01,2878.48,2021-09-30
2020-04-28,51.88,2863.39,2021-09-30
2020-04-29,52.3,2939.51,2021-09-30
2020-04-30,50.71,2912.43,2021-09-30
2020-05-01,49.41,2830.71,2021-09-30
2020-05-04,49.14,2842.74,2021-09-30
2020-05-05,49.84,2868.44,2021-09-30
2020-05-06,48.05,2848.42,2021-09-30
2020-05-07,47.82,2881.19,2021-09-30
2020-05-08,48.77,2929.8,2021-09-30
2020-05-11,48.2,2930.32,2021-09-30
2020-05-12,46.8,2870.12,2021-09-30
2020-05-13,44.96,2820.0,2021-09-30
2020-05-14,46.58,2852.5,2021-09-30
2020-05-15,45.46,2863.7,2021-09-30
2020-05-18,49.35,2953.91,2021-09-30
2020-05-19,48.5,2922.94,2021-09-30
2020-05-20,48.75,2971.61,2021-09-30
2020-05-21,48.07,2948.51,2021-09-30
2020-05-22,48.12,2955.45,2021-09-30
2020-05-26,49.4,2991.77,2021-09-30
2020-05-27,49.91,3036.13,2021-09-30
2020-05-28,51.03,3029.73,2021-09-30
2020-05-29,51.04,3044.31,2021-09-30
2020-06-01,52.22,3055.73,2021-09-30
2020-06-02,52.27,3080.82,2021-09-30
2020-06-03,52.75,3122.87,2021-09-30
2020-06-04,51.94,3112.35,2021-09-30
2020-06-05,53.48,3193.93,2021-09-30
2020-06-08,55.5,3232.39,2021-09-30
2020-06-09,53.67,3207.18,2021-09-30
2020-06-10,52.2,3190.14,2021-09-30
2020-06-11,50.0,3002.1,2021-09-30
2020-06-12,49.71,3041.31,2021-09-30
2020-06-15,49.9,3066.59,2021-09-30
2020-06-16,50.72,3124.74,2021-09-30
2020-06-17,50.46,3113.49,2021-09-30
2020-06-18,50.37,3115.34,2021-09-30
2020-06-19,48.71,3097.74,2021-09-30
2020-06-22,49.13,3117.86,2021-09-30
2020-06-23,49.04,3131.29,2021-09-30
2020-06-24,48.16,3050.33,2021-09-30
2020-06-25,47.97,3083.76,2021-09-30
2020-06-26,47.5,3009.05,2021-09-30
2020-06-29,49.21,3053.24,2021-09-30
2020-06-30,49.16,3100.29,2021-09-30
2020-07-01,49.75,3115.86,2021-09-30
2020-07-02,50.11,3130.01,2021-09-30
2020-07-06,50.62,3179.72,2021-09-30
2020-07-07,50.29,3145.32,2021-09-30
2020-07-08,50.87,3169.94,2021-09-30
2020-07-09,49.79,3152.05,2021-09-30
2020-07-10,50.59,3185.04,2021-09-30
2020-07-13,51.81,3155.22,2021-09-30
2020-07-14,51.52,3197.52,2021-09-30
2020-07-15,52.4,3226.56,2021-09-30
2020-07-16,52.91,3215.57,2021-09-30
2020-07-17,55.08,3224.73,2021-09-30
2020-07-20,52.82,3251.84,2021-09-30
2020-07-21,52.27,3257.3,2021-09-30
2020-07-22,52.99,3276.02,2021-09-30
2020-07-23,52.71,3235.66,2021-09-30
2020-07-24,52.27,3215.63,2021-09-30
2020-07-27,51.99,3239.41,2021-09-30
2020-07-28,52.41,3218.44,2021-09-30
2020-07-29,52.59,3258.44,2021-09-30
2020-07-30,52.39,3246.22,2021-09-30
2020-07-31,55.94,3271.12,2021-09-30
2020-08-03,54.47,3294.61,2021-09-30
2020-08-04,55.65,3306.51,2021-09-30
2020-08-05,54.58,3327.77,2021-09-30
2020-08-06,54.63,3349.16,2021-09-30
2020-08-07,55.65,3351.28,2021-09-30
2020-08-10,55.35,3360.47,2021-09-30
2020-08-11,54.47,3333.69,2021-09-30
2020-08-12,55.53,3380.35,2021-09-30
2020-08-13,55.46,3373.43,2021-09-30
2020-08-14,55.17,3372.85,2021-09-30
2020-08-17,54.72,3381.99,2021-09-30
2020-08-18,54.53,3389.78,2021-09-30
2020-08-19,54.34,3374.85,2021-09-30
2020-08-20,53.85,3385.51,2021-09-30
2020-08-21,53.28,3397.16,2021-09-30
2020-08-24,53.9,3431.28,2021-09-30
2020-08-25,53.6,3443.62,2021-09-30
2020-08-26,52.45,3478.73,2021-09-30
2020-08-27,52.29,3484.55,2021-09-30
2020-08-28,52.16,3508.01,2021-09-30
2020-08-31,52.24,3500.31,2021-09-30
2020-09-01,51.0,3526.65,2021-09-30
2020-09-02,52.92,3580.84,2021-09-30
2020-09-03,52.03,3455.06,2021-09-30
2020-09-04,52.52,3426.96,2021-09-30
2020-09-08,52.0,3331.84,2021-09-30
2020-09-09,53.43,3398.96,2021-09-30
2020-09-10,52.3,3339.19,2021-09-30
2020-09-11,52.39,3340.97,2021-09-30
2020-09-14,52.48,3383.54,2021-09-30
2020-09-15,51.65,3401.2,2021-09-30
2020-09-16,53.0,3385.49,2021-09-30
2020-09-17,52.24,3357.01,2021-09-30
2020-09-18,51.33,3319.47,2021-09-30
2020-09-21,51.17,3281.06,2021-09-30
2020-09-22,52.47,3315.57,2021-09-30
2020-09-23,51.92,3236.92,2021-09-30
2020-09-24,53.47,3246.59,2021-09-30
2020-09-25,54.13,3298.46,2021-09-30
2020-09-28,54.35,3351.6,2021-09-30
