Date,Stock,Market,joined date
2018-01-02,118.06,2695.81,2020-08-04
2018-01-03,117.75,2713.06,2020-08-04
2018-01-04,118.33,2723.99,2020-08-04
2018-01-05,118.67,2743.15,2020-08-04
2018-01-08,117.99,2747.71,2020-08-04
2018-01-09,118.08,2751.29,2020-08-04
2018-01-10,117.48,2748.23,2020-08-04
2018-01-11,116.88,2767.56,2020-08-04
2018-01-12,117.38,2786.24,2020-08-04
2018-01-16,117.86,2776.42,2020-08-04
2018-01-17,119.18,2802.56,2020-08-04
2018-01-18,119.05,2798.03,2020-08-04
2018-01-19,120.17,2810.3,2020-08-04
2018-01-22,121.51,2832.97,2020-08-04
2018-01-23,121.3,2839.13,2020-08-04
2018-01-24,121.14,2837.54,2020-08-04
2018-01-25,120.9,2839.25,2020-08-04
2018-01-26,121.76,2872.87,2020-08-04
2018-01-29,119.67,2853.53,2020-08-04
2018-01-30,119.89,2822.43,2020-08-04
2018-01-31,120.3,2823.81,2020-08-04
2018-02-01,120.3,2821.98,2020-08-04
2018-02-02,118.67,2762.13,2020-08-04
2018-02-05,114.46,2648.94,2020-08-04
2018-02-06,113.56,2695.14,2020-08-04
2018-02-07,113.5,2681.66,2020-08-04
2018-02-08,110.15,2581.0,2020-08-04
2018-02-09,111.18,2619.55,2020-08-04
2018-02-12,111.93,2656.0,2020-08-04
2018-02-13,112.14,2662.94,2020-08-04
2018-02-14,109.11,2698.63,2020-08-04
2018-02-15,110.97,2731.2,2020-08-04
2018-02-16,111.06,2732.22,2020-08-04
2018-02-20,109.48,2716.26,2020-08-04
2018-02-21,108.0,2701.33,2020-08-04
2018-02-22,109.26,2703.96,2020-08-04
2018-02-23,109.68,2747.3,2020-08-04
2018-02-26,110.94,2779.6,2020-08-04
2018-02-27,110.89,2744.28,2020-08-04
2018-02-28,109.73,2713.83,2020-08-04
2018-03-01,108.12,2677.67,2020-08-04
2018-03-02,109.04,2691.25,2020-08-04
2018-03-05,109.43,2720.94,2020-08-04
2018-03-06,109.58,2728.12,2020-08-04
2018-03-07,109.84,2726.8,2020-08-04
2018-03-08,112.08,2738.97,2020-08-04
2018-03-09,112.54,2786.57,2020-08-04
2018-03-12,112.75,2783.02,2020-08-04
2018-03-13,113.6,2765.31,2020-08-04
2018-03-14,112.61,2749.48,2020-08-04
2018-03-15,111.99,2747.33,2020-08-04
2018-03-16,111.64,2752.01,2020-08-04
2018-03-19,110.36,2712.92,2020-08-04
2018-03-20,109.9,2716.94,2020-08-04
2018-03-21,108.74,2711.93,2020-08-04
2018-03-22,107.94,2643.69,2020-08-04
2018-03-23,106.15,2588.26,2020-08-04
2018-03-26,106.81,2658.55,2020-08-04
2018-03-27,107.64,2612.62,2020-08-04
2018-03-28,109.18,2605.0,2020-08-04
2018-03-29,109.15,2640.87,2020-08-04
2018-04-02,107.05,2581.88,2020-08-04
2018-04-03,108.19,2614.45,2020-08-04
2018-04-04,110.18,2644.69,2020-08-04
2018-04-05,110.57,2662.84,2020-08-04
2018-04-06,109.3,2604.47,2020-08-04
2018-04-09,109.38,2613.16,2020-08-04
2018-04-10,109.4,2656.87,2020-08-04
2018-04-11,108.68,2642.19,2020-08-04
2018-04-12,108.31,2663.99,2020-08-04
2018-04-13,109.26,2656.3,2020-08-04
2018-04-16,109.92,2677.84,2020-08-04
2018-04-17,108.87,2706.39,2020-08-04
2018-04-18,106.98,2708.64,2020-08-04
2018-04-19,105.57,2693.13,2020-08-04
2018-04-20,102.48,2670.14,2020-08-04
2018-04-23,102.58,2670.29,2020-08-04
2018-04-24,101.44,2634.56,2020-08-04
2018-04-25,101.15,2639.4,2020-08-04
2018-04-26,103.26,2666.94,2020-08-04
2018-04-27,101.71,2669.91,2020-08-04
2018-04-30,100.94,2648.05,2020-08-04
2018-05-01,99.13,2654.8,2020-08-04
2018-05-02,97.23,2635.67,2020-08-04
2018-05-03,97.6,2629.73,2020-08-04
2018-05-04,98.99,2663.42,2020-08-04
2018-05-07,98.23,2672.63,2020-08-04
2018-05-08,96.79,2671.92,2020-08-04
2018-05-09,96.16,2697.79,2020-08-04
2018-05-10,97.27,2723.07,2020-08-04
2018-05-11,97.43,2727.72,2020-08-04
2018-05-14,97.15,2730.13,2020-08-04
2018-05-15,96.8,2711.45,2020-08-04
2018-05-16,97.19,2722.46,2020-08-04
2018-05-17,97.92,2720.13,2020-08-04
2018-05-18,97.51,2712.97,2020-08-04
2018-05-21,99.51,2733.01,2020-08-04
2018-05-22,99.93,2724.44,2020-08-04
2018-05-23,100.45,2733.29,2020-08-04
2018-05-24,100.18,2727.76,2020-08-04
2018-05-25,100.31,2721.33,2020-08-04
2018-05-29,101.1,2689.86,2020-08-04
2018-05-30,101.83,2724.01,2020-08-04
2018-05-31,100.25,2705.27,2020-08-04
2018-06-01,100.25,2734.62,2020-08-04
2018-06-04,100.12,2746.87,2020-08-04
2018-06-05,100.21,2748.8,2020-08-04
2018-06-06,100.83,2772.35,2020-08-04
2018-06-07,101.16,2770.37,2020-08-04
2018-06-08,102.49,2779.03,2020-08-04
2018-06-11,103.21,2782.0,2020-08-04
2018-06-12,104.48,2786.85,2020-08-04
2018-06-13,105.27,2775.63,2020-08-04
2018-06-14,105.13,2782.49,2020-08-04
2018-06-15,107.61,2779.66,2020-08-04
2018-06-18,105.38,2773.75,2020-08-04
2018-06-19,105.96,2762.59,2020-08-04
2018-06-20,105.81,2767.32,2020-08-04
2018-06-21,107.24,2749.76,2020-08-04
2018-06-22,108.37,2754.88,2020-08-04
2018-06-25,108.99,2717.07,2020-08-04
2018-06-26,108.05,2723.06,2020-08-04
2018-06-27,108.27,2699.63,2020-08-04
2018-06-28,108.68,2716.31,2020-08-04
2018-06-29,108.87,2718.37,2020-08-04
2018-07-02,109.53,2726.71,2020-08-04
2018-07-03,108.8,2713.22,2020-08-04
2018-07-05,109.55,2736.61,2020-08-04
2018-07-06,109.56,2759.82,2020-08-04
2018-07-09,107.76,2784.17,2020-08-04
2018-07-10,112.89,2793.84,2020-08-04
2018-07-11,112.54,2774.02,2020-08-04
2018-07-12,111.53,2798.29,2020-08-04
2018-07-13,112.69,2801.31,2020-08-04
2018-07-16,112.96,2798.43,2020-08-04
2018-07-17,114.88,2809.55,2020-08-04
2018-07-18,114.83,2815.62,2020-08-04
2018-07-19,115.77,2804.49,2020-08-04
2018-07-20,116.01,2801.83,2020-08-04
2018-07-23,114.39,2806.98,2020-08-04
2018-07-24,114.74,2820.4,2020-08-04
2018-07-25,115.21,2846.07,2020-08-04
2018-07-26,115.0,2837.44,2020-08-04
2018-07-27,114.28,2818.82,2020-08-04
2018-07-30,114.18,2802.6,2020-08-04
2018-07-31,115.0,2816.29,2020-08-04
2018-08-01,113.61,2813.36,2020-08-04
2018-08-02,114.69,2827.22,2020-08-04
2018-08-03,116.3,2840.35,2020-08-04
2018-08-06,117.38,2850.4,2020-08-04
2018-08-07,114.22,2858.45,2020-08-04
2018-08-08,113.49,2857.7,2020-08-04
2018-08-09,113.7,2853.58,2020-08-04
2018-08-10,112.87,2833.28,2020-08-04
2018-08-13,113.02,2821.93,2020-08-04
2018-08-14,113.1,2839.96,2020-08-04
2018-08-15,113.45,2818.37,2020-08-04
2018-08-16,114.25,2840.69,2020-08-04
2018-08-17,114.96,2850.13,2020-08-04
2018-08-20,114.84,2857.05,2020-08-04
2018-08-21,113.72,2862.96,2020-08-04
2018-08-22,112.24,2861.82,2020-08-04
2018-08-23,111.93,2856.98,2020-08-04
2018-08-24,112.15,2874.69,2020-08-04
2018-08-27,112.41,2896.74,2020-08-04
2018-08-28,111.17,2897.52,2020-08-04
2018-08-29,112.05,2914.04,2020-08-04
2018-08-30,111.96,2901.13,2020-08-04
2018-08-31,112.01,2901.52,2020-08-04
2018-09-04,111.0,2896.72,2020-08-04
2018-09-05,113.12,2888.6,2020-08-04
2018-09-06,113.5,2878.05,2020-08-04
2018-09-07,112.74,2871.68,2020-08-04
2018-09-10,113.57,2877.13,2020-08-04
2018-09-11,113.33,2887.89,2020-08-04
2018-09-12,113.85,2888.92,2020-08-04
2018-09-13,114.99,2904.18,2020-08-04
2018-09-14,114.57,2904.98,2020-08-04
2018-09-17,115.4,2888.8,2020-08-04
2018-09-18,113.98,2904.31,2020-08-04
2018-09-19,113.77,2907.95,2020-08-04
2018-09-20,115.22,2930.75,2020-08-04
2018-09-21,114.91,2929.67,2020-08-04
2018-09-24,112.27,2919.37,2020-08-04
2018-09-25,111.97,2915.56,2020-08-04
2018-09-26,111.5,2905.97,2020-08-04
2018-09-27,111.05,2914.0,2020-08-04
2018-09-28,111.8,2913.98,2020-08-04
2018-10-01,110.71,2924.59,2020-08-04
2018-10-02,108.72,2923.43,2020-08-04
2018-10-03,107.52,2925.51,2020-08-04
2018-10-04,106.61,2901.61,2020-08-04
2018-10-05,106.49,2885.57,2020-08-04
2018-10-08,108.19,2884.43,2020-08-04
2018-10-09,108.12,2880.34,2020-08-04
2018-10-10,107.34,2785.68,2020-08-04
2018-10-11,105.06,2728.37,2020-08-04
2018-10-12,105.28,2767.13,2020-08-04
2018-10-15,105.63,2750.79,2020-08-04
2018-10-16,107.39,2809.92,2020-08-04
2018-10-17,108.31,2809.21,2020-08-04
2018-10-18,107.93,2768.78,2020-08-04
2018-10-19,110.29,2767.78,2020-08-04
2018-10-22,109.4,2755.88,2020-08-04
2018-10-23,110.13,2740.69,2020-08-04
2018-10-24,112.96,2656.1,2020-08-04
2018-10-25,112.85,2705.57,2020-08-04
2018-10-26,110.45,2658.69,2020-08-04
2018-10-29,112.89,2641.25,2020-08-04
2018-10-30,113.77,2682.63,2020-08-04
2018-10-31,112.38,2711.74,2020-08-04
2018-11-01,111.51,2740.37,2020-08-04
2018-11-02,111.17,2723.06,2020-08-04
2018-11-05,114.39,2738.31,2020-08-04
2018-11-06,115.21,2755.45,2020-08-04
2018-11-07,115.61,2813.89,2020-08-04
2018-11-08,116.06,2806.83,2020-08-04
2018-11-09,117.48,2781.01,2020-08-04
2018-11-12,116.97,2726.22,2020-08-04
2018-11-13,117.14,2722.18,2020-08-04
2018-11-14,116.65,2701.58,2020-08-04
2018-11-15,116.8,2730.2,2020-08-04
2018-11-16,118.35,2736.27,2020-08-04
2018-11-19,119.01,2690.73,2020-08-04
2018-11-20,116.0,2641.89,2020-08-04
2018-11-21,115.28,2649.93,2020-08-04
2018-11-23,115.41,2632.56,2020-08-04
2018-11-26,115.86,2673.45,2020-08-04
2018-11-27,116.44,2682.17,2020-08-04
2018-11-28,118.5,2743.79,2020-08-04
2018-11-29,118.27,2737.76,2020-08-04
2018-11-30,121.94,2760.17,2020-08-04
2018-12-03,118.98,2790.37,2020-08-04
2018-12-04,117.8,2700.06,2020-08-04
2018-12-06,116.84,2695.95,2020-08-04
2018-12-07,115.82,2633.08,2020-08-04
2018-12-10,116.19,2637.72,2020-08-04
2018-12-11,117.29,2636.78,2020-08-04
2018-12-12,117.0,2651.07,2020-08-04
2018-12-13,118.35,2650.54,2020-08-04
2018-12-14,113.95,2599.95,2020-08-04
2018-12-17,112.87,2545.94,2020-08-04
2018-12-18,111.84,2546.16,2020-08-04
2018-12-19,110.04,2506.96,2020-08-04
2018-12-20,110.21,2467.42,2020-08-04
2018-12-21,109.42,2416.62,2020-08-04
2018-12-24,106.03,2351.1,2020-08-04
2018-12-26,108.33,2467.7,2020-08-04
2018-12-27,109.42,2488.83,2020-08-04
2018-12-28,110.36,2485.74,2020-08-04
2018-12-31,110.48,2506.85,2020-08-04
2019-01-02,109.28,2510.03,2020-08-04
2019-01-03,108.26,2447.89,2020-08-04
2019-01-04,110.48,2531.94,2020-08-04
2019-01-07,109.53,2549.69,2020-08-04
2019-01-08,110.58,2574.41,2020-08-04
2019-01-09,107.49,2584.96,2020-08-04
2019-01-10,108.15,2596.64,2020-08-04
2019-01-11,108.16,2596.26,2020-08-04
2019-01-14,107.32,2582.61,2020-08-04
