Date,Stock,Market,joined date
2020-01-02,179.109979223912,6041.5,2021-07-28
2020-01-03,179.866550623731,6044.16,2021-07-28
2020-01-06,180.430256766135,6013.59,2021-07-28
2020-01-07,179.029416356297,6012.35,2021-07-28
2020-01-08,177.036839650922,6031.0,2021-07-28
2020-01-09,177.345918933926,6042.55,2021-07-28
2020-01-10,176.696913086025,6037.11,2021-07-28
2020-01-13,181.245338053729,6036.14,2021-07-28
2020-01-14,184.375382492684,6040.89,2021-07-28
2020-01-15,186.467322228911,6032.61,2021-07-28
2020-01-16,186.511073747035,6039.03,2021-07-28
2020-01-17,189.160420455049,6100.72,2021-07-28
2020-01-20,187.654622305549,6078.54,2021-07-28
2020-01-21,186.843388448069,6045.99,2021-07-28
2020-01-22,185.66374233333,6010.98,2021-07-28
2020-01-23,183.242890772649,5971.79,2021-07-28
2020-01-24,180.998467796162,6024.26,2021-07-28
2020-01-27,174.713859237473,5863.02,2021-07-28
2020-01-28,174.116195010138,5925.82,2021-07-28
2020-01-29,174.437166290526,5954.89,2021-07-28
2020-01-30,172.674328825749,5871.77,2021-07-28
2020-01-31,173.605333510821,5806.34,2021-07-28
2020-02-03,173.61111111111,5832.51,2021-07-28
2020-02-04,175.899649967426,5935.05,2021-07-28
2020-02-05,174.082301449403,5985.4,2021-07-28
2020-02-06,177.216579741971,6038.18,2021-07-28
2020-02-07,176.509854130418,6029.75,2021-07-28
2020-02-10,175.417543936204,6015.67,2021-07-28
2020-02-11,174.624829467941,6054.76,2021-07-28
2020-02-12,174.64234465365,6104.73,2021-07-28
2020-02-13,180.756848164247,6093.14,2021-07-28
2020-02-14,179.778201351586,6069.35,2021-07-28
2020-02-17,180.277783796668,6085.95,2021-07-28
2020-02-18,179.669796050502,6056.82,2021-07-28
2020-02-19,182.642235139049,6111.24,2021-07-28
2020-02-20,178.296078241084,6062.3,2021-07-28
2020-02-21,179.398210897262,6029.72,2021-07-28
2020-02-24,172.926456065719,5791.87,2021-07-28
2020-02-25,170.311140121846,5679.68,2021-07-28
2020-02-26,169.658398607485,5684.55,2021-07-28
2020-02-27,167.05892703957,5495.6,2021-07-28
2020-02-28,161.405907191604,5309.9,2021-07-28
2020-03-02,166.145317318074,5333.52,2021-07-28
2020-03-03,166.782099689448,5393.17,2021-07-28
2020-03-04,166.84295496298,5464.89,2021-07-28
2020-03-05,171.169753641432,5361.1,2021-07-28
2020-03-06,169.557514134494,5139.11,2021-07-28
2020-03-09,165.294932405362,4707.91,2021-07-28
2020-03-10,157.906609519513,4636.61,2021-07-28
2020-03-11,154.695510112107,4610.25,2021-07-28
2020-03-12,138.446226277944,4044.26,2021-07-28
2020-03-13,135.591338145475,4118.36,2021-07-28
2020-03-16,136.464774086788,3881.46,2021-07-28
2020-03-17,132.776934749621,3991.78,2021-07-28
2020-03-18,133.52030905559,3754.84,2021-07-28
2020-03-19,131.059917686675,3855.5,2021-07-28
2020-03-20,135.921291840445,4048.8,2021-07-28
2020-03-23,132.082551594746,3914.31,2021-07-28
2020-03-24,137.696323783224,4242.7,2021-07-28
2020-03-25,144.540429976499,4432.3,2021-07-28
2020-03-26,149.154149848916,4543.58,2021-07-28
2020-03-27,144.763665935143,4351.49,2021-07-28
