Date,Stock,Market,joined date
2020-01-02,37.102724,3257.85,2021-05-14
2020-01-03,36.903655,3234.85,2021-05-14
2020-01-06,36.856257,3246.28,2021-05-14
2020-01-07,36.733024,3237.18,2021-05-14
2020-01-08,37.026888,3253.05,2021-05-14
2020-01-09,36.865737,3274.7,2021-05-14
2020-01-10,37.434506,3265.35,2021-05-14
2020-01-13,37.35867,3288.13,2021-05-14
2020-01-14,37.984316,3283.15,2021-05-14
2020-01-15,38.553086,3289.29,2021-05-14
2020-01-16,38.496209,3316.81,2021-05-14
2020-01-17,38.401414,3329.62,2021-05-14
2020-01-21,38.240263,3320.79,2021-05-14
2020-01-22,38.09807,3321.75,2021-05-14
2020-01-23,38.591004,3325.54,2021-05-14
2020-01-24,37.747329,3295.47,2021-05-14
2020-01-27,38.069632,3243.63,2021-05-14
2020-01-28,36.154775,3276.24,2021-05-14
2020-01-29,35.623923,3273.4,2021-05-14
2020-01-30,35.140469,3283.66,2021-05-14
2020-01-31,35.301621,3225.52,2021-05-14
2020-02-03,35.557567,3248.92,2021-05-14
2020-02-04,35.728198,3297.59,2021-05-14
2020-02-05,36.183213,3334.69,2021-05-14
2020-02-06,36.268529,3345.78,2021-05-14
2020-02-07,36.069459,3327.71,2021-05-14
2020-02-10,35.841952,3352.09,2021-05-14
2020-02-11,36.107377,3357.75,2021-05-14
2020-02-12,35.775595,3379.45,2021-05-14
2020-02-13,35.007757,3373.94,2021-05-14
2020-02-14,34.609618,3380.16,2021-05-14
2020-02-18,34.429508,3370.29,2021-05-14
2020-02-19,34.344192,3386.15,2021-05-14
2020-02-20,33.983972,3373.23,2021-05-14
2020-02-21,33.860738,3337.75,2021-05-14
2020-02-24,32.865392,3225.89,2021-05-14
2020-02-25,32.16391,3128.21,2021-05-14
2020-02-26,32.912789,3116.39,2021-05-14
2020-02-27,32.325061,2978.76,2021-05-14
2020-02-28,31.680456,2954.22,2021-05-14
2020-03-02,33.064461,3090.23,2021-05-14
2020-03-03,32.514651,3003.37,2021-05-14
2020-03-04,34.505344,3130.12,2021-05-14
2020-03-05,33.614272,3023.94,2021-05-14
2020-03-06,33.197174,2972.37,2021-05-14
2020-03-09,32.002758,2746.56,2021-05-14
2020-03-10,32.789556,2882.23,2021-05-14
2020-03-11,30.495519,2741.38,2021-05-14
2020-03-12,28.457429,2480.64,2021-05-14
2020-03-13,31.007412,2711.02,2021-05-14
2020-03-16,28.609101,2386.13,2021-05-14
2020-03-17,30.48604,2529.19,2021-05-14
2020-03-18,30.67563,2398.1,2021-05-14
2020-03-19,28.836609,2409.39,2021-05-14
2020-03-20,27.5,2304.92,2021-05-14
2020-03-23,27.007067,2237.4,2021-05-14
2020-03-24,28.154085,2447.33,2021-05-14
2020-03-25,28.201483,2475.56,2021-05-14
2020-03-26,30.097381,2630.07,2021-05-14
2020-03-27,29.291624,2541.47,2021-05-14
2020-03-30,30.969494,2626.65,2021-05-14
2020-03-31,30.941055,2584.59,2021-05-14
2020-04-01,30.097381,2470.5,2021-05-14
2020-04-02,31.159084,2526.9,2021-05-14
2020-04-03,31.889004,2488.65,2021-05-14
2020-04-06,32.770597,2663.68,2021-05-14
2020-04-07,31.860566,2659.41,2021-05-14
2020-04-08,32.799035,2749.98,2021-05-14
2020-04-09,33.547915,2789.82,2021-05-14
2020-04-13,33.310928,2761.63,2021-05-14
2020-04-14,34.543262,2846.06,2021-05-14
2020-04-15,34.097726,2783.36,2021-05-14
2020-04-16,34.01241,2799.55,2021-05-14
2020-04-17,34.988798,2874.56,2021-05-14
2020-04-20,34.202,2823.16,2021-05-14
2020-04-21,33.765943,2736.56,2021-05-14
2020-04-22,34.363151,2799.31,2021-05-14
2020-04-23,34.780249,2797.8,2021-05-14
2020-04-24,35.434334,2836.74,2021-05-14
2020-04-27,36.334885,2878.48,2021-05-14
2020-04-28,35.936747,2863.39,2021-05-14
2020-04-29,36.135816,2939.51,2021-05-14
2020-04-30,36.363324,2912.43,2021-05-14
2020-05-01,35.6808,2830.71,2021-05-14
2020-05-04,35.661841,2842.74,2021-05-14
2020-05-05,36.505516,2868.44,2021-05-14
2020-05-06,36.505516,2848.42,2021-05-14
2020-05-07,35.036195,2881.19,2021-05-14
2020-05-08,35.282662,2929.8,2021-05-14
2020-05-11,36.116857,2930.32,2021-05-14
2020-05-12,35.415375,2870.12,2021-05-14
2020-05-13,35.12151,2820.0,2021-05-14
2020-05-14,35.946226,2852.5,2021-05-14
2020-05-15,35.794554,2863.7,2021-05-14
2020-05-18,36.088418,2953.91,2021-05-14
2020-05-19,35.718718,2922.94,2021-05-14
2020-05-20,35.671321,2971.61,2021-05-14
2020-05-21,35.32058,2948.51,2021-05-14
2020-05-22,35.548088,2955.45,2021-05-14
2020-05-26,35.538608,2991.77,2021-05-14
2020-05-27,35.462772,3036.13,2021-05-14
2020-05-28,36.192693,3029.73,2021-05-14
2020-05-29,36.202172,3044.31,2021-05-14
2020-06-01,33.614272,3055.73,2021-05-14
2020-06-02,34.277836,3080.82,2021-05-14
2020-06-03,34.277836,3122.87,2021-05-14
2020-06-04,34.135643,3112.35,2021-05-14
2020-06-05,34.116685,3193.93,2021-05-14
2020-06-08,34.685454,3232.39,2021-05-14
2020-06-09,34.325233,3207.18,2021-05-14
2020-06-10,34.050328,3190.14,2021-05-14
2020-06-11,31.566702,3002.1,2021-05-14
2020-06-12,31.993279,3041.31,2021-05-14
2020-06-15,31.623579,3066.59,2021-05-14
2020-06-16,31.661497,3124.74,2021-05-14
2020-06-17,31.813168,3113.49,2021-05-14
2020-06-18,31.509825,3115.34,2021-05-14
2020-06-19,31.680456,3097.74,2021-05-14
