Date,Stock,Market,joined date
2020-01-02,123.41,3257.85,2021-01-09
2020-01-03,122.58,3234.85,2021-01-09
2020-01-06,122.75,3246.28,2021-01-09
2020-01-07,121.99,3237.18,2021-01-09
2020-01-08,122.51,3253.05,2021-01-09
2020-01-09,123.85,3274.7,2021-01-09
2020-01-10,123.97,3265.35,2021-01-09
2020-01-13,124.88,3288.13,2021-01-09
2020-01-14,124.69,3283.15,2021-01-09
2020-01-15,125.96,3289.29,2021-01-09
2020-01-16,126.07,3316.81,2021-01-09
2020-01-17,126.41,3329.62,2021-01-09
2020-01-21,126.09,3320.79,2021-01-09
2020-01-22,126.31,3321.75,2021-01-09
2020-01-23,124.99,3325.54,2021-01-09
2020-01-24,125.14,3295.47,2021-01-09
2020-01-27,125.69,3243.63,2021-01-09
2020-01-28,126.03,3276.24,2021-01-09
2020-01-29,125.06,3273.4,2021-01-09
2020-01-30,125.95,3283.66,2021-01-09
2020-01-31,124.62,3225.52,2021-01-09
2020-02-03,125.11,3248.92,2021-01-09
2020-02-04,125.66,3297.59,2021-01-09
2020-02-05,126.81,3334.69,2021-01-09
2020-02-06,127.14,3345.78,2021-01-09
2020-02-07,126.08,3327.71,2021-01-09
2020-02-10,126.17,3352.09,2021-01-09
2020-02-11,124.16,3357.75,2021-01-09
2020-02-12,123.45,3379.45,2021-01-09
2020-02-13,124.96,3373.94,2021-01-09
2020-02-14,126.14,3380.16,2021-01-09
2020-02-18,124.87,3370.29,2021-01-09
2020-02-19,125.44,3386.15,2021-01-09
2020-02-20,126.58,3373.23,2021-01-09
2020-02-21,126.7,3337.75,2021-01-09
2020-02-24,123.3,3225.89,2021-01-09
2020-02-25,121.43,3128.21,2021-01-09
2020-02-26,120.16,3116.39,2021-01-09
2020-02-27,113.5,2978.76,2021-01-09
2020-02-28,113.23,2954.22,2021-01-09
2020-03-02,119.56,3090.23,2021-01-09
2020-03-03,118.17,3003.37,2021-01-09
2020-03-04,124.5,3130.12,2021-01-09
2020-03-05,121.63,3023.94,2021-01-09
2020-03-06,121.66,2972.37,2021-01-09
2020-03-09,116.06,2746.56,2021-01-09
2020-03-10,120.55,2882.23,2021-01-09
2020-03-11,111.59,2741.38,2021-01-09
2020-03-12,101.84,2480.64,2021-01-09
2020-03-13,114.07,2711.02,2021-01-09
2020-03-16,108.5,2386.13,2021-01-09
2020-03-17,118.24,2529.19,2021-01-09
2020-03-18,117.45,2398.1,2021-01-09
2020-03-19,110.83,2409.39,2021-01-09
2020-03-20,102.43,2304.92,2021-01-09
2020-03-23,97.7,2237.4,2021-01-09
2020-03-24,103.27,2447.33,2021-01-09
2020-03-25,100.92,2475.56,2021-01-09
2020-03-26,107.38,2630.07,2021-01-09
2020-03-27,110.17,2541.47,2021-01-09
2020-03-30,115.0,2626.65,2021-01-09
2020-03-31,110.0,2584.59,2021-01-09
2020-04-01,109.33,2470.5,2021-01-09
2020-04-02,114.4,2526.9,2021-01-09
2020-04-03,115.08,2488.65,2021-01-09
2020-04-06,117.81,2663.68,2021-01-09
2020-04-07,112.77,2659.41,2021-01-09
2020-04-08,115.1,2749.98,2021-01-09
2020-04-09,114.66,2789.82,2021-01-09
2020-04-13,115.95,2761.63,2021-01-09
2020-04-14,120.96,2846.06,2021-01-09
2020-04-15,121.22,2783.36,2021-01-09
2020-04-16,121.5,2799.55,2021-01-09
2020-04-17,124.69,2874.56,2021-01-09
2020-04-20,120.6,2823.16,2021-01-09
2020-04-21,119.68,2736.56,2021-01-09
2020-04-22,119.4,2799.31,2021-01-09
2020-04-23,119.4,2797.8,2021-01-09
2020-04-24,118.78,2836.74,2021-01-09
2020-04-27,117.45,2878.48,2021-01-09
2020-04-28,116.89,2863.39,2021-01-09
2020-04-29,117.08,2939.51,2021-01-09
2020-04-30,117.87,2912.43,2021-01-09
2020-05-01,116.82,2830.71,2021-01-09
2020-05-04,115.77,2842.74,2021-01-09
2020-05-05,116.01,2868.44,2021-01-09
2020-05-06,113.1,2848.42,2021-01-09
2020-05-07,112.17,2881.19,2021-01-09
2020-05-08,115.95,2929.8,2021-01-09
2020-05-11,115.31,2930.32,2021-01-09
2020-05-12,114.55,2870.12,2021-01-09
2020-05-13,113.92,2820.0,2021-01-09
2020-05-14,113.81,2852.5,2021-01-09
2020-05-15,114.61,2863.7,2021-01-09
2020-05-18,116.21,2953.91,2021-01-09
2020-05-19,112.44,2922.94,2021-01-09
2020-05-20,113.28,2971.61,2021-01-09
2020-05-21,111.62,2948.51,2021-01-09
2020-05-22,112.6,2955.45,2021-01-09
2020-05-26,112.03,2991.77,2021-01-09
2020-05-27,113.89,3036.13,2021-01-09
2020-05-28,116.06,3029.73,2021-01-09
2020-05-29,115.92,3044.31,2021-01-09
2020-06-01,117.25,3055.73,2021-01-09
2020-06-02,118.06,3080.82,2021-01-09
2020-06-03,118.53,3122.87,2021-01-09
2020-06-04,116.05,3112.35,2021-01-09
2020-06-05,118.33,3193.93,2021-01-09
2020-06-08,119.05,3232.39,2021-01-09
2020-06-09,118.34,3207.18,2021-01-09
2020-06-10,119.23,3190.14,2021-01-09
2020-06-11,116.26,3002.1,2021-01-09
2020-06-12,115.62,3041.31,2021-01-09
2020-06-15,116.69,3066.59,2021-01-09
2020-06-16,118.13,3124.74,2021-01-09
2020-06-17,117.93,3113.49,2021-01-09
2020-06-18,119.28,3115.34,2021-01-09
2020-06-19,118.92,3097.74,2021-01-09
2020-06-22,117.75,3117.86,2021-01-09
2020-06-23,117.73,3131.29,2021-01-09
2020-06-24,116.42,3050.33,2021-01-09
2020-06-25,117.89,3083.76,2021-01-09
2020-06-26,115.23,3009.05,2021-01-09
2020-06-29,117.66,3053.24,2021-01-09
2020-06-30,119.57,3100.29,2021-01-09
2020-07-01,119.98,3115.86,2021-01-09
2020-07-02,120.88,3130.01,2021-01-09
2020-07-06,121.63,3179.72,2021-01-09
2020-07-07,122.22,3145.32,2021-01-09
2020-07-08,122.89,3169.94,2021-01-09
2020-07-09,122.48,3152.05,2021-01-09
2020-07-10,123.89,3185.04,2021-01-09
2020-07-13,124.05,3155.22,2021-01-09
2020-07-14,125.09,3197.52,2021-01-09
2020-07-15,124.5,3226.56,2021-01-09
2020-07-16,124.76,3215.57,2021-01-09
2020-07-17,125.63,3224.73,2021-01-09
2020-07-20,125.24,3251.84,2021-01-09
2020-07-21,125.07,3257.3,2021-01-09
2020-07-22,126.14,3276.02,2021-01-09
2020-07-23,126.16,3235.66,2021-01-09
2020-07-24,125.96,3215.63,2021-01-09
2020-07-27,126.32,3239.41,2021-01-09
2020-07-28,127.88,3218.44,2021-01-09
2020-07-29,128.31,3258.44,2021-01-09
2020-07-30,131.42,3246.22,2021-01-09
2020-07-31,131.12,3271.12,2021-01-09
2020-08-03,131.29,3294.61,2021-01-09
2020-08-04,133.79,3306.51,2021-01-09
2020-08-05,133.44,3327.77,2021-01-09
2020-08-06,132.71,3349.16,2021-01-09
2020-08-07,133.55,3351.28,2021-01-09
2020-08-10,134.1,3360.47,2021-01-09
2020-08-11,133.23,3333.69,2021-01-09
2020-08-12,135.46,3380.35,2021-01-09
2020-08-13,135.78,3373.43,2021-01-09
2020-08-14,135.1,3372.85,2021-01-09
2020-08-17,135.5,3381.99,2021-01-09
2020-08-18,136.51,3389.78,2021-01-09
2020-08-19,135.77,3374.85,2021-01-09
2020-08-20,136.85,3385.51,2021-01-09
2020-08-21,137.44,3397.16,2021-01-09
2020-08-24,138.51,3431.28,2021-01-09
2020-08-25,139.06,3443.62,2021-01-09
2020-08-26,138.39,3478.73,2021-01-09
2020-08-27,138.21,3484.55,2021-01-09
2020-08-28,138.77,3508.01,2021-01-09
2020-08-31,138.33,3500.31,2021-01-09
2020-09-01,138.18,3526.65,2021-01-09
2020-09-02,140.51,3580.84,2021-01-09
2020-09-03,138.26,3455.06,2021-01-09
2020-09-04,137.96,3426.96,2021-01-09
2020-09-08,135.94,3331.84,2021-01-09
2020-09-09,138.15,3398.96,2021-01-09
2020-09-10,136.7,3339.19,2021-01-09
2020-09-11,138.14,3340.97,2021-01-09
2020-09-14,138.63,3383.54,2021-01-09
2020-09-15,138.63,3401.2,2021-01-09
2020-09-16,137.7,3385.49,2021-01-09
2020-09-17,137.52,3357.01,2021-01-09
2020-09-18,137.37,3319.47,2021-01-09
2020-09-21,136.71,3281.06,2021-01-09
2020-09-22,137.96,3315.57,2021-01-09
