Date,Stock,Market,joined date
2020-01-02,5.97144963474296,25980.07,2022-06-23
2020-01-03,5.81330476891835,25813.04,2022-06-23
2020-01-06,5.75988896599584,25656.19,2022-06-23
2020-01-07,5.81859541916634,25810.51,2022-06-23
2020-01-08,5.90677947283102,25923.15,2022-06-23
2020-01-09,5.87007218212105,26152.96,2022-06-23
2020-01-10,5.89360377190644,26156.61,2022-06-23
2020-01-13,5.84928136446124,26047.91,2022-06-23
2020-01-14,5.66367348755437,26077.11,2022-06-23
2020-01-15,5.60572613552745,25912.01,2022-06-23
2020-01-16,5.64989366085047,26084.98,2022-06-23
2020-01-17,5.62159045549295,26300.93,2022-06-23
2020-01-20,5.72005458236721,26184.78,2022-06-23
2020-01-21,5.6296821667627,26014.82,2022-06-23
2020-01-22,5.5876579084547,25870.59,2022-06-23
2020-01-23,5.42876404991104,25854.82,2022-06-23
2020-01-24,5.27893825990147,26115.61,2022-06-23
2020-01-27,5.02990845698802,25510.26,2022-06-23
2020-01-28,5.05047165652825,26130.14,2022-06-23
2020-01-29,5.17531788407551,26287.6,2022-06-23
2020-01-30,5.00319869405045,25873.17,2022-06-23
2020-01-31,4.84985634574639,25293.57,2022-06-23
2020-02-03,4.85226468506722,25518.21,2022-06-23
2020-02-04,4.8176407583671,25932.51,2022-06-23
2020-02-05,5.06961092660612,26333.48,2022-06-23
2020-02-06,5.04309634916278,26582.33,2022-06-23
2020-02-07,4.97357276517514,26553.56,2022-06-23
2020-02-10,4.918891204032,26575.5,2022-06-23
2020-02-11,4.85784447476128,26786.6,2022-06-23
2020-02-12,5.01043614384483,26977.06,2022-06-23
2020-02-13,4.88883589337783,27004.71,2022-06-23
2020-02-14,4.89516548258535,27000.45,2022-06-23
2020-02-17,5.11364867500163,27294.7,2022-06-23
2020-02-18,5.08147188950039,27394.27,2022-06-23
2020-02-19,5.25724410639817,27675.06,2022-06-23
2020-02-20,5.22433927473876,27255.25,2022-06-23
2020-02-21,5.15370018975331,26915.99,2022-06-23
2020-02-24,4.83890221272068,25434.49,2022-06-23
2020-02-25,4.74434290687556,25094.36,2022-06-23
2020-02-26,4.84769364664928,25445.97,2022-06-23
2020-02-27,4.75111629236961,24767.22,2022-06-23
2020-02-28,4.68892980386539,23907.05,2022-06-23
2020-03-02,4.56412596987675,23514.49,2022-06-23
2020-03-03,4.48401438816775,23625.54,2022-06-23
2020-03-04,4.47252686076936,23777.79,2022-06-23
2020-03-05,4.40568243121742,23320.2,2022-06-23
2020-03-06,4.39438908512294,22526.7,2022-06-23
2020-03-09,4.26286930940144,20105.88,2022-06-23
2020-03-10,4.17099030002258,19438.13,2022-06-23
2020-03-11,4.29609599459186,19480.78,2022-06-23
2020-03-12,3.5081244897731,16286.37,2022-06-23
2020-03-13,3.89117157134926,17415.07,2022-06-23
2020-03-16,3.56899269877121,16360.04,2022-06-23
2020-03-17,3.69136372633108,16680.56,2022-06-23
2020-03-18,3.94940742519151,16486.21,2022-06-23
2020-03-19,4.07290608797905,16859.82,2022-06-23
2020-03-20,3.84985563041387,17171.55,2022-06-23
2020-03-23,3.71803805950146,16988.54,2022-06-23
2020-03-24,3.87254055919917,18403.36,2022-06-23
2020-03-25,3.75685438245278,18675.86,2022-06-23
2020-03-26,3.72857804539138,18850.84,2022-06-23
2020-03-27,3.70403377633206,18306.22,2022-06-23
2020-03-30,3.69044857562603,18353.18,2022-06-23
2020-03-31,3.60097055255322,18569.64,2022-06-23
2020-04-01,3.35218802069632,18064.77,2022-06-23
2020-04-02,3.4359224881941,18368.4,2022-06-23
2020-04-03,3.42073407980632,17903.74,2022-06-23
2020-04-06,3.45742958886372,18565.97,2022-06-23
2020-04-07,3.50189468182412,18955.84,2022-06-23
2020-04-08,3.67149758454106,18955.05,2022-06-23
2020-04-09,3.69115783032475,19212.87,2022-06-23
2020-04-14,3.64063546435668,19179.27,2022-06-23
2020-04-15,3.40299288861742,18312.13,2022-06-23
2020-04-16,3.56040003033815,18368.73,2022-06-23
2020-04-17,3.57818719683291,18677.04,2022-06-23
2020-04-20,3.69308307264511,18711.26,2022-06-23
2020-04-21,3.61287521033491,18098.25,2022-06-23
2020-04-22,3.54962988615211,18405.57,2022-06-23
2020-04-23,3.57331436761174,18645.74,2022-06-23
2020-04-24,3.63229136235271,18495.28,2022-06-23
2020-04-27,3.67069829891829,19028.3,2022-06-23
2020-04-28,3.7062278908253,19333.41,2022-06-23
2020-04-29,3.83816637853237,19720.45,2022-06-23
2020-04-30,3.89338650132008,19345.75,2022-06-23
2020-05-04,3.83889718953463,18676.7,2022-06-23
2020-05-05,3.84532015433303,19010.9,2022-06-23
2020-05-06,3.9937826518717,18787.43,2022-06-23
2020-05-07,4.00784237264269,18860.09,2022-06-23
2020-05-08,3.97719265915815,19074.45,2022-06-23
2020-05-11,3.89773181616798,19012.53,2022-06-23
2020-05-12,3.95336225596529,19167.08,2022-06-23
2020-05-13,3.88833607337546,18797.41,2022-06-23
2020-05-14,3.87540785237366,18462.38,2022-06-23
2020-05-15,3.89016265789928,18453.81,2022-06-23
2020-05-18,3.99925798214793,19027.48,2022-06-23
2020-05-19,3.76882501337818,18638.29,2022-06-23
2020-05-20,3.8715697036224,18814.71,2022-06-23
2020-05-21,3.92957638531528,18703.47,2022-06-23
2020-05-22,3.89893506861558,18940.57,2022-06-23
2020-05-25,3.94977766152235,19259.72,2022-06-23
2020-05-26,4.06258578094976,19545.72,2022-06-23
2020-05-27,4.20536067954754,19603.3,2022-06-23
2020-05-28,4.57994129700395,20073.22,2022-06-23
2020-05-29,4.47251015470668,19943.74,2022-06-23
2020-06-01,4.47809385960029,20264.79,2022-06-23
2020-06-02,4.55469430607368,20734.3,2022-06-23
2020-06-03,4.74666127528615,21410.27,2022-06-23
2020-06-04,4.76903021028172,21432.54,2022-06-23
2020-06-05,5.00332878211712,22007.64,2022-06-23
2020-06-08,4.92106867815443,22060.85,2022-06-23
2020-06-09,4.80818298311466,21741.46,2022-06-23
2020-06-10,4.79205984674505,21544.18,2022-06-23
2020-06-11,4.35499723223263,20539.62,2022-06-23
2020-06-12,4.38907458050576,20623.42,2022-06-23
2020-06-15,4.43933698654953,20703.25,2022-06-23
2020-06-16,4.49733066023922,21394.39,2022-06-23
2020-06-17,4.4972117287282,21344.9,2022-06-23
2020-06-18,4.40685560658677,21254.48,2022-06-23
2020-06-19,4.34821478460076,21375.79,2022-06-23
2020-06-22,4.39060635399547,21228.88,2022-06-23
2020-06-23,4.53481667401554,21616.56,2022-06-23
2020-06-24,4.2839946450067,20911.02,2022-06-23
2020-06-25,4.28266965787997,20991.9,2022-06-23
2020-06-26,4.2714526079641,20886.14,2022-06-23
2020-06-29,4.36111860444203,21215.01,2022-06-23
2020-06-30,4.23971518098812,21139.31,2022-06-23
2020-07-01,4.13999482500648,21092.28,2022-06-23
2020-07-02,4.29964937516857,21677.48,2022-06-23
2020-07-03,4.17749282942466,21519.26,2022-06-23
2020-07-06,4.29477683670123,21816.52,2022-06-23
2020-07-07,4.26119394574611,21793.49,2022-06-23
2020-07-08,4.24837711994017,21694.48,2022-06-23
2020-07-09,4.10739466410966,21291.32,2022-06-23
2020-07-10,4.19721842482855,21557.32,2022-06-23
2020-07-13,4.29107651134572,21803.34,2022-06-23
2020-07-14,4.22564102564103,21656.38,2022-06-23
2020-07-15,4.36320485611921,22074.37,2022-06-23
2020-07-16,4.32555492316449,22159.84,2022-06-23
2020-07-17,4.30644424131628,22237.66,2022-06-23
2020-07-20,4.28005767778262,22419.92,2022-06-23
2020-07-21,4.47210696173351,22531.21,2022-06-23
2020-07-22,4.3576840765805,22409.28,2022-06-23
2020-07-23,4.38366646570514,22260.91,2022-06-23
2020-07-24,4.21760462433135,21853.67,2022-06-23
2020-07-27,4.28324657164008,21778.76,2022-06-23
2020-07-28,4.25920719707618,21658.56,2022-06-23
2020-07-29,4.23141314343655,21659.25,2022-06-23
2020-07-30,4.11528483599274,21004.67,2022-06-23
2020-07-31,3.95959167814632,20889.29,2022-06-23
2020-08-03,4.07400002352194,21190.25,2022-06-23
2020-08-04,4.27158803955349,21443.43,2022-06-23
2020-08-05,4.38144941288103,21572.91,2022-06-23
2020-08-06,4.17760150099155,21305.67,2022-06-23
2020-08-07,4.00254578884097,21356.16,2022-06-23
2020-08-10,4.10759553093606,21502.74,2022-06-23
2020-08-11,4.36456694762052,22061.41,2022-06-23
2020-08-12,4.42297496318115,22294.97,2022-06-23
2020-08-13,4.41767068273092,22124.17,2022-06-23
2020-08-14,4.40368493345334,21882.5,2022-06-23
2020-08-17,4.41408614530046,21791.83,2022-06-23
2020-08-18,4.42806188789081,21687.09,2022-06-23
2020-08-19,4.41837894138812,21902.6,2022-06-23
2020-08-20,4.32498458327403,21601.13,2022-06-23
2020-08-21,4.21787643603595,21526.69,2022-06-23
2020-08-24,4.36002310258255,21951.99,2022-06-23
2020-08-25,4.33208297341112,21852.44,2022-06-23
2020-08-26,4.371998391256,21964.91,2022-06-23
2020-08-27,4.38560198593298,21667.0,2022-06-23
2020-08-28,4.3350949864305,21667.08,2022-06-23
2020-08-31,4.32203389830508,21462.34,2022-06-23
2020-09-01,4.25782785274464,21409.8,2022-06-23
2020-09-02,4.26233005796107,21688.82,2022-06-23
2020-09-03,4.31305172107351,21384.9,2022-06-23
2020-09-04,4.37767833889716,21204.47,2022-06-23
2020-09-07,4.34628474191718,21574.23,2022-06-23
2020-09-08,4.49250267971777,21213.6,2022-06-23
2020-09-09,4.54615193966787,21625.69,2022-06-23
2020-09-10,4.60704286912455,21664.61,2022-06-23
2020-09-11,4.59703401876245,21678.23,2022-06-23
2020-09-14,4.58343223356279,21646.15,2022-06-23
2020-09-15,4.54254714299252,21807.5,2022-06-23
2020-09-16,4.55431508063087,21809.1,2022-06-23
2020-09-17,4.67717095130908,21576.11,2022-06-23
2020-09-18,4.68626081604148,21362.22,2022-06-23
2020-09-21,4.42161258812037,20604.62,2022-06-23
2020-09-22,4.38039941001569,20704.72,2022-06-23
