Date,Stock,Market,joined date
2020-01-02,88.4,3257.85,2022-06-23
2020-01-03,89.39,3234.85,2022-06-23
2020-01-06,89.04,3246.28,2022-06-23
2020-01-07,88.47,3237.18,2022-06-23
2020-01-08,88.95,3253.05,2022-06-23
2020-01-09,88.96,3274.7,2022-06-23
2020-01-10,89.44,3265.35,2022-06-23
2020-01-13,91.8,3288.13,2022-06-23
2020-01-14,90.63,3283.15,2022-06-23
2020-01-15,92.21,3289.29,2022-06-23
2020-01-16,93.35,3316.81,2022-06-23
2020-01-17,94.27,3329.62,2022-06-23
2020-01-21,95.57,3320.79,2022-06-23
2020-01-22,93.94,3321.75,2022-06-23
2020-01-23,95.7,3325.54,2022-06-23
2020-01-24,96.15,3295.47,2022-06-23
2020-01-27,94.99,3243.63,2022-06-23
2020-01-28,95.56,3276.24,2022-06-23
2020-01-29,96.5,3273.4,2022-06-23
2020-01-30,96.21,3283.66,2022-06-23
2020-01-31,92.88,3225.52,2022-06-23
2020-02-03,91.87,3248.92,2022-06-23
2020-02-04,93.42,3297.59,2022-06-23
2020-02-05,92.74,3334.69,2022-06-23
2020-02-06,93.11,3345.78,2022-06-23
2020-02-07,93.14,3327.71,2022-06-23
2020-02-10,94.66,3352.09,2022-06-23
2020-02-11,96.21,3357.75,2022-06-23
2020-02-12,96.79,3379.45,2022-06-23
2020-02-13,96.47,3373.94,2022-06-23
2020-02-14,97.55,3380.16,2022-06-23
2020-02-18,98.35,3370.29,2022-06-23
2020-02-19,97.77,3386.15,2022-06-23
2020-02-20,98.95,3373.23,2022-06-23
2020-02-21,99.23,3337.75,2022-06-23
2020-02-24,95.98,3225.89,2022-06-23
2020-02-25,91.7,3128.21,2022-06-23
2020-02-26,91.26,3116.39,2022-06-23
2020-02-27,86.71,2978.76,2022-06-23
2020-02-28,84.28,2954.22,2022-06-23
2020-03-02,88.27,3090.23,2022-06-23
2020-03-03,89.39,3003.37,2022-06-23
2020-03-04,94.37,3130.12,2022-06-23
2020-03-05,89.71,3023.94,2022-06-23
2020-03-06,85.88,2972.37,2022-06-23
2020-03-09,77.77,2746.56,2022-06-23
2020-03-10,80.86,2882.23,2022-06-23
2020-03-11,73.69,2741.38,2022-06-23
2020-03-12,70.18,2480.64,2022-06-23
2020-03-13,77.82,2711.02,2022-06-23
2020-03-16,64.38,2386.13,2022-06-23
2020-03-17,70.69,2529.19,2022-06-23
2020-03-18,67.8,2398.1,2022-06-23
2020-03-19,63.91,2409.39,2022-06-23
2020-03-20,62.82,2304.92,2022-06-23
2020-03-23,63.37,2237.4,2022-06-23
2020-03-24,70.55,2447.33,2022-06-23
2020-03-25,72.19,2475.56,2022-06-23
2020-03-26,77.69,2630.07,2022-06-23
2020-03-27,79.17,2541.47,2022-06-23
2020-03-30,82.88,2626.65,2022-06-23
2020-03-31,80.37,2584.59,2022-06-23
2020-04-01,73.26,2470.5,2022-06-23
2020-04-02,75.51,2526.9,2022-06-23
2020-04-03,73.59,2488.65,2022-06-23
2020-04-06,80.23,2663.68,2022-06-23
2020-04-07,80.95,2659.41,2022-06-23
2020-04-08,86.18,2749.98,2022-06-23
2020-04-09,91.73,2789.82,2022-06-23
2020-04-13,86.41,2761.63,2022-06-23
2020-04-14,89.15,2846.06,2022-06-23
2020-04-15,86.54,2783.36,2022-06-23
2020-04-16,88.2,2799.55,2022-06-23
2020-04-17,90.22,2874.56,2022-06-23
2020-04-20,88.5,2823.16,2022-06-23
2020-04-21,89.0,2736.56,2022-06-23
2020-04-22,87.87,2799.31,2022-06-23
2020-04-23,86.75,2797.8,2022-06-23
2020-04-24,89.04,2836.74,2022-06-23
2020-04-27,91.84,2878.48,2022-06-23
2020-04-28,89.59,2863.39,2022-06-23
2020-04-29,90.16,2939.51,2022-06-23
2020-04-30,89.23,2912.43,2022-06-23
2020-05-01,86.85,2830.71,2022-06-23
2020-05-04,87.13,2842.74,2022-06-23
2020-05-05,87.74,2868.44,2022-06-23
2020-05-06,86.94,2848.42,2022-06-23
2020-05-07,88.07,2881.19,2022-06-23
2020-05-08,89.97,2929.8,2022-06-23
2020-05-11,88.88,2930.32,2022-06-23
2020-05-12,84.22,2870.12,2022-06-23
2020-05-13,82.84,2820.0,2022-06-23
2020-05-14,84.08,2852.5,2022-06-23
2020-05-15,83.28,2863.7,2022-06-23
2020-05-18,86.83,2953.91,2022-06-23
2020-05-19,84.68,2922.94,2022-06-23
2020-05-20,87.12,2971.61,2022-06-23
2020-05-21,86.4,2948.51,2022-06-23
2020-05-22,87.55,2955.45,2022-06-23
2020-05-26,90.02,2991.77,2022-06-23
2020-05-27,91.76,3036.13,2022-06-23
2020-05-28,93.05,3029.73,2022-06-23
2020-05-29,91.5,3044.31,2022-06-23
2020-06-01,93.7,3055.73,2022-06-23
2020-06-02,95.46,3080.82,2022-06-23
2020-06-03,97.32,3122.87,2022-06-23
2020-06-04,93.35,3112.35,2022-06-23
2020-06-05,95.71,3193.93,2022-06-23
2020-06-08,97.77,3232.39,2022-06-23
2020-06-09,97.33,3207.18,2022-06-23
2020-06-10,96.41,3190.14,2022-06-23
2020-06-11,90.91,3002.1,2022-06-23
2020-06-12,94.46,3041.31,2022-06-23
2020-06-15,94.39,3066.59,2022-06-23
2020-06-16,96.9,3124.74,2022-06-23
2020-06-17,96.7,3113.49,2022-06-23
2020-06-18,95.09,3115.34,2022-06-23
2020-06-19,91.87,3097.74,2022-06-23
2020-06-22,92.56,3117.86,2022-06-23
2020-06-23,91.45,3131.29,2022-06-23
2020-06-24,89.8,3050.33,2022-06-23
2020-06-25,91.47,3083.76,2022-06-23
2020-06-26,89.83,3009.05,2022-06-23
2020-06-29,91.17,3053.24,2022-06-23
2020-06-30,93.33,3100.29,2022-06-23
2020-07-01,95.15,3115.86,2022-06-23
2020-07-02,95.55,3130.01,2022-06-23
2020-07-06,95.56,3179.72,2022-06-23
2020-07-07,94.83,3145.32,2022-06-23
2020-07-08,95.76,3169.94,2022-06-23
2020-07-09,96.57,3152.05,2022-06-23
2020-07-10,94.82,3185.04,2022-06-23
2020-07-13,93.57,3155.22,2022-06-23
2020-07-14,93.38,3197.52,2022-06-23
2020-07-15,93.74,3226.56,2022-06-23
2020-07-16,92.1,3215.57,2022-06-23
2020-07-17,95.34,3224.73,2022-06-23
2020-07-20,94.73,3251.84,2022-06-23
2020-07-21,97.93,3257.3,2022-06-23
2020-07-22,98.38,3276.02,2022-06-23
2020-07-23,98.9,3235.66,2022-06-23
2020-07-24,99.91,3215.63,2022-06-23
2020-07-27,101.76,3239.41,2022-06-23
2020-07-28,102.54,3218.44,2022-06-23
2020-07-29,106.17,3258.44,2022-06-23
2020-07-30,105.19,3246.22,2022-06-23
2020-07-31,105.42,3271.12,2022-06-23
2020-08-03,104.98,3294.61,2022-06-23
2020-08-04,105.59,3306.51,2022-06-23
2020-08-05,104.9,3327.77,2022-06-23
2020-08-06,104.88,3349.16,2022-06-23
2020-08-07,105.07,3351.28,2022-06-23
2020-08-10,103.73,3360.47,2022-06-23
2020-08-11,100.51,3333.69,2022-06-23
2020-08-12,102.88,3380.35,2022-06-23
2020-08-13,102.64,3373.43,2022-06-23
2020-08-14,102.32,3372.85,2022-06-23
2020-08-17,104.21,3381.99,2022-06-23
2020-08-18,103.65,3389.78,2022-06-23
2020-08-19,101.74,3374.85,2022-06-23
2020-08-20,102.69,3385.51,2022-06-23
2020-08-21,103.04,3397.16,2022-06-23
2020-08-24,102.0,3431.28,2022-06-23
2020-08-25,101.98,3443.62,2022-06-23
2020-08-26,101.03,3478.73,2022-06-23
2020-08-27,101.9,3484.55,2022-06-23
2020-08-28,102.49,3508.01,2022-06-23
2020-08-31,101.86,3500.31,2022-06-23
2020-09-01,101.5,3526.65,2022-06-23
2020-09-02,104.58,3580.84,2022-06-23
2020-09-03,101.61,3455.06,2022-06-23
2020-09-04,100.76,3426.96,2022-06-23
2020-09-08,98.8,3331.84,2022-06-23
2020-09-09,100.98,3398.96,2022-06-23
2020-09-10,100.01,3339.19,2022-06-23
2020-09-11,100.21,3340.97,2022-06-23
2020-09-14,101.95,3383.54,2022-06-23
2020-09-15,102.73,3401.2,2022-06-23
2020-09-16,102.04,3385.49,2022-06-23
2020-09-17,101.1,3357.01,2022-06-23
2020-09-18,99.52,3319.47,2022-06-23
2020-09-21,96.55,3281.06,2022-06-23
2020-09-22,99.19,3315.57,2022-06-23
2020-09-23,95.3,3236.92,2022-06-23
2020-09-24,95.36,3246.59,2022-06-23
2020-09-25,97.67,3298.46,2022-06-23
2020-09-28,100.03,3351.6,2022-06-23
2020-09-29,99.61,3335.47,2022-06-23
2020-09-30,100.62,3363.0,2022-06-23
2020-10-01,102.16,3380.8,2022-06-23
2020-10-02,104.22,3348.44,2022-06-23
2020-10-05,105.19,3408.63,2022-06-23
2020-10-06,104.48,3360.95,2022-06-23
2020-10-07,105.76,3419.45,2022-06-23
2020-10-08,106.84,3446.83,2022-06-23
2020-10-09,106.91,3477.13,2022-06-23
2020-10-12,108.29,3534.22,2022-06-23
2020-10-13,106.63,3511.93,2022-06-23
2020-10-14,104.03,3488.67,2022-06-23
2020-10-15,104.98,3483.34,2022-06-23
2020-10-16,104.26,3483.81,2022-06-23
2020-10-19,103.02,3426.92,2022-06-23
2020-10-20,103.53,3443.12,2022-06-23
2020-10-21,102.65,3435.56,2022-06-23
2020-10-22,102.8,3453.49,2022-06-23
2020-10-23,103.24,3465.39,2022-06-23
2020-10-26,100.47,3400.97,2022-06-23
2020-10-27,99.14,3390.68,2022-06-23
2020-10-28,97.51,3271.03,2022-06-23
2020-10-29,100.18,3310.11,2022-06-23
2020-10-30,99.2,3269.96,2022-06-23
2020-11-02,101.87,3310.24,2022-06-23
2020-11-03,104.39,3369.02,2022-06-23
2020-11-04,105.81,3443.44,2022-06-23
2020-11-05,105.88,3510.45,2022-06-23
2020-11-06,104.89,3509.44,2022-06-23
2020-11-09,99.61,3550.5,2022-06-23
2020-11-10,99.94,3545.53,2022-06-23
2020-11-11,102.02,3572.66,2022-06-23
2020-11-12,102.62,3537.01,2022-06-23
2020-11-13,103.53,3585.15,2022-06-23
2020-11-16,103.26,3626.91,2022-06-23
2020-11-17,104.2,3609.53,2022-06-23
2020-11-18,101.4,3567.79,2022-06-23
2020-11-19,99.99,3581.87,2022-06-23
2020-11-20,100.27,3557.54,2022-06-23
2020-11-23,99.56,3577.59,2022-06-23
2020-11-24,98.81,3635.41,2022-06-23
2020-11-25,99.01,3629.65,2022-06-23
2020-11-27,100.6,3638.35,2022-06-23
2020-11-30,100.05,3621.63,2022-06-23
2020-12-01,100.2,3662.45,2022-06-23
2020-12-02,97.52,3669.01,2022-06-23
2020-12-03,97.1,3666.72,2022-06-23
2020-12-04,98.66,3699.12,2022-06-23
2020-12-07,97.53,3691.96,2022-06-23
2020-12-08,96.91,3702.25,2022-06-23
2020-12-09,96.43,3672.82,2022-06-23
2020-12-10,97.18,3668.1,2022-06-23
2020-12-11,97.37,3663.46,2022-06-23
2020-12-14,96.87,3647.49,2022-06-23
2020-12-15,99.55,3694.62,2022-06-23
2020-12-16,99.85,3701.17,2022-06-23
2020-12-17,100.58,3722.48,2022-06-23
2020-12-18,98.07,3709.41,2022-06-23
2020-12-21,97.25,3694.92,2022-06-23
2020-12-22,97.65,3687.26,2022-06-23
2020-12-23,96.19,3690.01,2022-06-23
2020-12-24,97.24,3703.06,2022-06-23
2020-12-28,98.22,3735.36,2022-06-23
2020-12-29,97.72,3727.04,2022-06-23
2020-12-30,98.82,3732.04,2022-06-23
2020-12-31,99.66,3756.07,2022-06-23
2021-01-04,96.04,3700.65,2022-06-23
2021-01-05,96.19,3726.86,2022-06-23
2021-01-06,93.91,3748.14,2022-06-23
2021-01-07,95.32,3803.79,2022-06-23
2021-01-08,96.6,3824.68,2022-06-23
2021-01-11,94.66,3799.61,2022-06-23
2021-01-12,94.71,3801.19,2022-06-23
2021-01-13,95.41,3809.84,2022-06-23
2021-01-14,95.5,3795.54,2022-06-23
2021-01-15,97.68,3768.25,2022-06-23
2021-01-19,98.01,3798.91,2022-06-23
2021-01-20,100.34,3851.85,2022-06-23
2021-01-21,100.43,3853.07,2022-06-23
2021-01-22,101.22,3841.47,2022-06-23
2021-01-25,102.7,3855.36,2022-06-23
2021-01-26,106.05,3849.62,2022-06-23
2021-01-27,103.28,3750.77,2022-06-23
2021-01-28,103.4,3787.38,2022-06-23
2021-01-29,103.2,3714.24,2022-06-23
2021-02-01,105.91,3773.86,2022-06-23
2021-02-02,106.88,3826.31,2022-06-23
2021-02-03,106.04,3830.17,2022-06-23
2021-02-04,106.41,3871.74,2022-06-23
2021-02-05,106.7,3886.83,2022-06-23
2021-02-08,107.08,3915.59,2022-06-23
2021-02-09,107.42,3911.23,2022-06-23
2021-02-10,107.52,3909.88,2022-06-23
2021-02-11,107.76,3916.38,2022-06-23
2021-02-12,107.67,3934.83,2022-06-23
2021-02-16,106.58,3932.59,2022-06-23
2021-02-17,105.83,3931.33,2022-06-23
2021-02-18,105.78,3913.97,2022-06-23
2021-02-19,105.3,3906.71,2022-06-23
2021-02-22,104.72,3876.5,2022-06-23
2021-02-23,104.55,3881.37,2022-06-23
2021-02-24,103.24,3925.43,2022-06-23
2021-02-25,101.39,3829.34,2022-06-23
2021-02-26,99.07,3811.15,2022-06-23
2021-03-01,99.43,3901.82,2022-06-23
2021-03-02,99.09,3870.29,2022-06-23
2021-03-03,96.11,3819.72,2022-06-23
2021-03-04,95.64,3768.47,2022-06-23
2021-03-05,97.37,3841.94,2022-06-23
2021-03-08,95.95,3821.35,2022-06-23
2021-03-09,98.32,3875.44,2022-06-23
2021-03-10,97.72,3898.81,2022-06-23
2021-03-11,99.56,3939.34,2022-06-23
2021-03-12,101.29,3943.34,2022-06-23
2021-03-15,102.78,3968.94,2022-06-23
2021-03-16,104.23,3962.71,2022-06-23
2021-03-17,102.1,3974.12,2022-06-23
2021-03-18,102.11,3915.46,2022-06-23
2021-03-19,100.38,3913.1,2022-06-23
2021-03-22,103.65,3940.59,2022-06-23
2021-03-23,105.2,3910.52,2022-06-23
2021-03-24,103.82,3889.14,2022-06-23
2021-03-25,104.43,3909.52,2022-06-23
2021-03-26,106.78,3974.54,2022-06-23
2021-03-29,106.77,3971.09,2022-06-23
2021-03-30,106.76,3958.55,2022-06-23
2021-03-31,106.0,3972.89,2022-06-23
2021-04-01,108.5,4019.87,2022-06-23
2021-04-05,108.37,4077.91,2022-06-23
2021-04-06,109.32,4073.94,2022-06-23
2021-04-07,109.63,4079.95,2022-06-23
2021-04-08,108.44,4097.17,2022-06-23
2021-04-09,109.51,4128.8,2022-06-23
2021-04-12,109.84,4127.99,2022-06-23
2021-04-13,110.78,4141.59,2022-06-23
2021-04-14,109.66,4124.66,2022-06-23
2021-04-15,112.36,4170.42,2022-06-23
2021-04-16,112.56,4185.47,2022-06-23
2021-04-19,112.25,4163.26,2022-06-23
2021-04-20,114.75,4134.94,2022-06-23
2021-04-21,114.71,4173.42,2022-06-23
2021-04-22,114.68,4134.98,2022-06-23
2021-04-23,114.87,4180.17,2022-06-23
2021-04-26,115.22,4187.62,2022-06-23
2021-04-27,114.85,4186.72,2022-06-23
2021-04-28,115.1,4183.18,2022-06-23
2021-04-29,116.27,4211.47,2022-06-23
2021-04-30,116.53,4181.17,2022-06-23
2021-05-03,116.01,4192.66,2022-06-23
2021-05-04,115.6,4164.66,2022-06-23
2021-05-05,113.01,4167.59,2022-06-23
2021-05-06,114.72,4201.62,2022-06-23
2021-05-07,116.02,4232.6,2022-06-23
2021-05-10,116.2,4188.43,2022-06-23
2021-05-11,114.86,4152.1,2022-06-23
2021-05-12,112.37,4063.04,2022-06-23
2021-05-13,113.5,4112.5,2022-06-23
2021-05-14,114.65,4173.85,2022-06-23
2021-05-17,114.19,4163.29,2022-06-23
2021-05-18,114.98,4127.83,2022-06-23
2021-05-19,115.35,4115.68,2022-06-23
2021-05-20,117.36,4159.12,2022-06-23
2021-05-21,117.53,4155.86,2022-06-23
2021-05-24,118.15,4197.05,2022-06-23
2021-05-25,118.18,4188.13,2022-06-23
2021-05-26,117.51,4195.99,2022-06-23
2021-05-27,116.86,4200.88,2022-06-23
2021-05-28,117.84,4204.11,2022-06-23
2021-06-01,119.83,4202.04,2022-06-23
2021-06-02,121.74,4208.12,2022-06-23
2021-06-03,121.87,4192.85,2022-06-23
2021-06-04,122.39,4229.89,2022-06-23
2021-06-07,122.68,4226.52,2022-06-23
2021-06-08,123.66,4227.26,2022-06-23
2021-06-09,123.61,4219.55,2022-06-23
2021-06-10,126.28,4239.18,2022-06-23
2021-06-11,124.71,4247.44,2022-06-23
2021-06-14,126.16,4255.15,2022-06-23
2021-06-15,123.14,4246.59,2022-06-23
2021-06-16,121.42,4223.7,2022-06-23
2021-06-17,122.61,4221.86,2022-06-23
2021-06-18,119.57,4166.45,2022-06-23
2021-06-21,122.59,4224.79,2022-06-23
2021-06-22,121.98,4246.44,2022-06-23
2021-06-23,121.12,4241.84,2022-06-23
2021-06-24,121.27,4266.49,2022-06-23
2021-06-25,122.0,4280.7,2022-06-23
2021-06-28,121.62,4290.61,2022-06-23
2021-06-29,121.45,4291.8,2022-06-23
2021-06-30,119.53,4297.5,2022-06-23
2021-07-01,119.98,4319.94,2022-06-23
2021-07-02,121.03,4352.34,2022-06-23
2021-07-06,122.54,4343.54,2022-06-23
2021-07-07,123.29,4358.13,2022-06-23
2021-07-08,123.11,4320.82,2022-06-23
2021-07-09,125.39,4369.55,2022-06-23
2021-07-12,127.41,4384.63,2022-06-23
2021-07-13,125.61,4369.21,2022-06-23
2021-07-14,126.23,4374.3,2022-06-23
2021-07-15,126.93,4360.03,2022-06-23
2021-07-16,127.28,4327.16,2022-06-23
2021-07-19,126.78,4258.49,2022-06-23
2021-07-20,127.99,4323.06,2022-06-23
2021-07-21,126.9,4358.69,2022-06-23
2021-07-22,127.17,4367.48,2022-06-23
2021-07-23,127.89,4411.79,2022-06-23
2021-07-26,127.98,4422.3,2022-06-23
2021-07-27,129.19,4401.46,2022-06-23
2021-07-28,127.63,4400.64,2022-06-23
2021-07-29,127.89,4419.15,2022-06-23
2021-07-30,128.04,4395.26,2022-06-23
2021-08-02,128.46,4387.16,2022-06-23
2021-08-03,129.67,4423.15,2022-06-23
2021-08-04,128.9,4402.66,2022-06-23
2021-08-05,130.45,4429.1,2022-06-23
2021-08-06,129.71,4436.52,2022-06-23
2021-08-09,130.01,4432.35,2022-06-23
2021-08-10,129.35,4436.75,2022-06-23
2021-08-11,128.9,4447.7,2022-06-23
2021-08-12,130.07,4460.83,2022-06-23
2021-08-13,131.98,4468.0,2022-06-23
2021-08-16,133.69,4479.71,2022-06-23
2021-08-17,134.08,4448.08,2022-06-23
2021-08-18,132.5,4400.27,2022-06-23
2021-08-19,133.15,4405.8,2022-06-23
2021-08-20,134.25,4441.67,2022-06-23
2021-08-23,133.39,4479.53,2022-06-23
2021-08-24,130.75,4486.23,2022-06-23
2021-08-25,130.53,4496.19,2022-06-23
2021-08-26,130.62,4470.0,2022-06-23
2021-08-27,131.31,4509.37,2022-06-23
2021-08-30,133.73,4528.79,2022-06-23
2021-08-31,134.66,4522.68,2022-06-23
2021-09-01,137.79,4524.09,2022-06-23
2021-09-02,138.47,4536.95,2022-06-23
2021-09-03,138.99,4535.43,2022-06-23
2021-09-07,137.65,4520.03,2022-06-23
2021-09-08,138.54,4514.07,2022-06-23
2021-09-09,134.72,4493.28,2022-06-23
2021-09-10,133.63,4458.58,2022-06-23
