Date,Stock,Market,joined date
2020-01-02,85.19,3257.85,2021-01-03
2020-01-03,85.03,3234.85,2021-01-03
2020-01-06,86.02,3246.28,2021-01-03
2020-01-07,86.4,3237.18,2021-01-03
2020-01-08,88.04,3253.05,2021-01-03
2020-01-09,88.28,3274.7,2021-01-03
2020-01-10,87.46,3265.35,2021-01-03
2020-01-13,87.82,3288.13,2021-01-03
2020-01-14,87.58,3283.15,2021-01-03
2020-01-15,88.32,3289.29,2021-01-03
2020-01-16,88.56,3316.81,2021-01-03
2020-01-17,88.69,3329.62,2021-01-03
2020-01-21,88.87,3320.79,2021-01-03
2020-01-22,88.98,3321.75,2021-01-03
2020-01-23,87.08,3325.54,2021-01-03
2020-01-24,86.15,3295.47,2021-01-03
2020-01-27,84.71,3243.63,2021-01-03
2020-01-28,84.68,3276.24,2021-01-03
2020-01-29,83.96,3273.4,2021-01-03
2020-01-30,84.33,3283.66,2021-01-03
2020-01-31,82.7,3225.52,2021-01-03
2020-02-03,83.0,3248.92,2021-01-03
2020-02-04,83.6,3297.59,2021-01-03
2020-02-05,83.94,3334.69,2021-01-03
2020-02-06,86.18,3345.78,2021-01-03
2020-02-07,87.45,3327.71,2021-01-03
2020-02-10,88.75,3352.09,2021-01-03
2020-02-11,89.44,3357.75,2021-01-03
2020-02-12,87.9,3379.45,2021-01-03
2020-02-13,88.82,3373.94,2021-01-03
2020-02-14,88.5,3380.16,2021-01-03
2020-02-18,87.44,3370.29,2021-01-03
2020-02-19,87.88,3386.15,2021-01-03
2020-02-20,87.44,3373.23,2021-01-03
2020-02-21,89.64,3337.75,2021-01-03
2020-02-24,85.57,3225.89,2021-01-03
2020-02-25,85.0,3128.21,2021-01-03
2020-02-26,86.25,3116.39,2021-01-03
2020-02-27,83.07,2978.76,2021-01-03
2020-02-28,81.87,2954.22,2021-01-03
2020-03-02,84.97,3090.23,2021-01-03
2020-03-03,83.5,3003.37,2021-01-03
2020-03-04,88.74,3130.12,2021-01-03
2020-03-05,87.86,3023.94,2021-01-03
2020-03-06,87.27,2972.37,2021-01-03
2020-03-09,81.63,2746.56,2021-01-03
2020-03-10,84.73,2882.23,2021-01-03
2020-03-11,79.84,2741.38,2021-01-03
2020-03-12,72.25,2480.64,2021-01-03
2020-03-13,79.5,2711.02,2021-01-03
2020-03-16,69.6,2386.13,2021-01-03
2020-03-17,73.99,2529.19,2021-01-03
2020-03-18,64.91,2398.1,2021-01-03
2020-03-19,66.43,2409.39,2021-01-03
2020-03-20,61.09,2304.92,2021-01-03
2020-03-23,59.98,2237.4,2021-01-03
2020-03-24,63.6,2447.33,2021-01-03
2020-03-25,66.07,2475.56,2021-01-03
2020-03-26,71.16,2630.07,2021-01-03
2020-03-27,69.15,2541.47,2021-01-03
2020-03-30,72.55,2626.65,2021-01-03
2020-03-31,72.96,2584.59,2021-01-03
2020-04-01,71.12,2470.5,2021-01-03
2020-04-02,74.34,2526.9,2021-01-03
2020-04-03,73.46,2488.65,2021-01-03
2020-04-06,75.68,2663.68,2021-01-03
2020-04-07,74.51,2659.41,2021-01-03
2020-04-08,74.66,2749.98,2021-01-03
2020-04-09,75.34,2789.82,2021-01-03
2020-04-13,73.95,2761.63,2021-01-03
2020-04-14,77.18,2846.06,2021-01-03
2020-04-15,75.44,2783.36,2021-01-03
2020-04-16,75.39,2799.55,2021-01-03
2020-04-17,77.96,2874.56,2021-01-03
2020-04-20,76.86,2823.16,2021-01-03
2020-04-21,72.28,2736.56,2021-01-03
2020-04-22,73.06,2799.31,2021-01-03
2020-04-23,71.78,2797.8,2021-01-03
2020-04-24,73.67,2836.74,2021-01-03
2020-04-27,74.92,2878.48,2021-01-03
2020-04-28,77.25,2863.39,2021-01-03
2020-04-29,76.5,2939.51,2021-01-03
2020-04-30,74.6,2912.43,2021-01-03
2020-05-01,73.28,2830.71,2021-01-03
2020-05-04,73.31,2842.74,2021-01-03
2020-05-05,72.2,2868.44,2021-01-03
2020-05-06,71.5,2848.42,2021-01-03
2020-05-07,70.14,2881.19,2021-01-03
2020-05-08,72.0,2929.8,2021-01-03
2020-05-11,71.28,2930.32,2021-01-03
2020-05-12,69.87,2870.12,2021-01-03
2020-05-13,68.79,2820.0,2021-01-03
2020-05-14,67.96,2852.5,2021-01-03
2020-05-15,67.78,2863.7,2021-01-03
2020-05-18,68.25,2953.91,2021-01-03
2020-05-19,68.51,2922.94,2021-01-03
2020-05-20,70.47,2971.61,2021-01-03
2020-05-21,70.5,2948.51,2021-01-03
2020-05-22,70.45,2955.45,2021-01-03
2020-05-26,72.13,2991.77,2021-01-03
2020-05-27,73.91,3036.13,2021-01-03
2020-05-28,73.51,3029.73,2021-01-03
2020-05-29,73.36,3044.31,2021-01-03
2020-06-01,73.79,3055.73,2021-01-03
2020-06-02,73.73,3080.82,2021-01-03
2020-06-03,74.21,3122.87,2021-01-03
2020-06-04,75.19,3112.35,2021-01-03
2020-06-05,75.91,3193.93,2021-01-03
2020-06-08,77.7,3232.39,2021-01-03
2020-06-09,75.65,3207.18,2021-01-03
2020-06-10,75.14,3190.14,2021-01-03
2020-06-11,71.25,3002.1,2021-01-03
2020-06-12,70.42,3041.31,2021-01-03
2020-06-15,72.2,3066.59,2021-01-03
2020-06-16,74.66,3124.74,2021-01-03
2020-06-17,74.09,3113.49,2021-01-03
2020-06-18,74.6,3115.34,2021-01-03
2020-06-19,72.2,3097.74,2021-01-03
2020-06-22,72.04,3117.86,2021-01-03
2020-06-23,71.49,3131.29,2021-01-03
2020-06-24,70.09,3050.33,2021-01-03
2020-06-25,70.67,3083.76,2021-01-03
2020-06-26,68.87,3009.05,2021-01-03
2020-06-29,70.51,3053.24,2021-01-03
2020-06-30,70.06,3100.29,2021-01-03
2020-07-01,69.99,3115.86,2021-01-03
2020-07-02,70.46,3130.01,2021-01-03
2020-07-06,70.6,3179.72,2021-01-03
2020-07-07,72.94,3145.32,2021-01-03
2020-07-08,72.3,3169.94,2021-01-03
2020-07-09,70.14,3152.05,2021-01-03
2020-07-10,72.96,3185.04,2021-01-03
2020-07-13,73.5,3155.22,2021-01-03
2020-07-14,74.31,3197.52,2021-01-03
2020-07-15,75.0,3226.56,2021-01-03
2020-07-16,75.35,3215.57,2021-01-03
2020-07-17,75.03,3224.73,2021-01-03
2020-07-20,72.89,3251.84,2021-01-03
2020-07-21,75.92,3257.3,2021-01-03
2020-07-22,76.0,3276.02,2021-01-03
2020-07-23,76.3,3235.66,2021-01-03
2020-07-24,76.85,3215.63,2021-01-03
2020-07-27,78.54,3239.41,2021-01-03
2020-07-28,77.97,3218.44,2021-01-03
2020-07-29,78.39,3258.44,2021-01-03
2020-07-30,77.45,3246.22,2021-01-03
2020-07-31,76.81,3271.12,2021-01-03
2020-08-03,76.53,3294.61,2021-01-03
2020-08-04,77.1,3306.51,2021-01-03
2020-08-05,76.96,3327.77,2021-01-03
2020-08-06,77.12,3349.16,2021-01-03
2020-08-07,77.5,3351.28,2021-01-03
2020-08-10,78.37,3360.47,2021-01-03
2020-08-11,78.72,3333.69,2021-01-03
2020-08-12,79.69,3380.35,2021-01-03
2020-08-13,78.14,3373.43,2021-01-03
2020-08-14,77.71,3372.85,2021-01-03
2020-08-17,78.26,3381.99,2021-01-03
2020-08-18,79.18,3389.78,2021-01-03
2020-08-19,78.7,3374.85,2021-01-03
2020-08-20,78.22,3385.51,2021-01-03
2020-08-21,78.06,3397.16,2021-01-03
2020-08-24,79.63,3431.28,2021-01-03
2020-08-25,79.62,3443.62,2021-01-03
2020-08-26,79.98,3478.73,2021-01-03
2020-08-27,80.0,3484.55,2021-01-03
2020-08-28,80.74,3508.01,2021-01-03
2020-08-31,79.79,3500.31,2021-01-03
2020-09-01,79.04,3526.65,2021-01-03
2020-09-02,79.98,3580.84,2021-01-03
2020-09-03,79.32,3455.06,2021-01-03
2020-09-04,79.15,3426.96,2021-01-03
2020-09-08,79.03,3331.84,2021-01-03
2020-09-09,80.47,3398.96,2021-01-03
2020-09-10,80.41,3339.19,2021-01-03
2020-09-11,81.23,3340.97,2021-01-03
2020-09-14,81.94,3383.54,2021-01-03
2020-09-15,81.4,3401.2,2021-01-03
2020-09-16,80.6,3385.49,2021-01-03
2020-09-17,79.47,3357.01,2021-01-03
2020-09-18,78.08,3319.47,2021-01-03
2020-09-21,77.83,3281.06,2021-01-03
2020-09-22,77.01,3315.57,2021-01-03
2020-09-23,75.5,3236.92,2021-01-03
2020-09-24,76.35,3246.59,2021-01-03
2020-09-25,75.4,3298.46,2021-01-03
2020-09-28,76.31,3351.6,2021-01-03
2020-09-29,74.34,3335.47,2021-01-03
2020-09-30,74.99,3363.0,2021-01-03
2020-10-01,74.14,3380.8,2021-01-03
2020-10-02,74.46,3348.44,2021-01-03
2020-10-05,75.91,3408.63,2021-01-03
2020-10-06,75.5,3360.95,2021-01-03
2020-10-07,79.05,3419.45,2021-01-03
2020-10-08,78.33,3446.83,2021-01-03
2020-10-09,78.88,3477.13,2021-01-03
2020-10-12,79.32,3534.22,2021-01-03
2020-10-13,79.21,3511.93,2021-01-03
2020-10-14,78.91,3488.67,2021-01-03
2020-10-15,79.14,3483.34,2021-01-03
2020-10-16,79.27,3483.81,2021-01-03
2020-10-19,77.84,3426.92,2021-01-03
2020-10-20,73.33,3443.12,2021-01-03
2020-10-21,73.82,3435.56,2021-01-03
2020-10-22,74.86,3453.49,2021-01-03
2020-10-23,74.45,3465.39,2021-01-03
2020-10-26,73.65,3400.97,2021-01-03
2020-10-27,71.33,3390.68,2021-01-03
2020-10-28,70.04,3271.03,2021-01-03
2020-10-29,70.64,3310.11,2021-01-03
2020-10-30,71.02,3269.96,2021-01-03
2020-11-02,71.63,3310.24,2021-01-03
2020-11-03,71.82,3369.02,2021-01-03
2020-11-04,71.54,3443.44,2021-01-03
2020-11-05,70.9,3510.45,2021-01-03
2020-11-06,70.45,3509.44,2021-01-03
2020-11-09,71.63,3550.5,2021-01-03
2020-11-10,74.75,3545.53,2021-01-03
2020-11-11,75.11,3572.66,2021-01-03
2020-11-12,74.5,3537.01,2021-01-03
2020-11-13,75.89,3585.15,2021-01-03
2020-11-16,78.63,3626.91,2021-01-03
2020-11-17,78.38,3609.53,2021-01-03
2020-11-18,77.47,3567.79,2021-01-03
2020-11-19,77.51,3581.87,2021-01-03
2020-11-20,76.73,3557.54,2021-01-03
2020-11-23,76.63,3577.59,2021-01-03
2020-11-24,78.02,3635.41,2021-01-03
2020-11-25,76.89,3629.65,2021-01-03
2020-11-27,75.9,3638.35,2021-01-03
2020-11-30,75.75,3621.63,2021-01-03
2020-12-01,77.03,3662.45,2021-01-03
2020-12-02,78.07,3669.01,2021-01-03
2020-12-03,78.5,3666.72,2021-01-03
2020-12-04,80.75,3699.12,2021-01-03
2020-12-07,81.68,3691.96,2021-01-03
2020-12-08,82.64,3702.25,2021-01-03
2020-12-09,84.61,3672.82,2021-01-03
2020-12-10,84.97,3668.1,2021-01-03
2020-12-11,85.0,3663.46,2021-01-03
2020-12-14,84.4,3647.49,2021-01-03
2020-12-15,84.29,3694.62,2021-01-03
2020-12-16,85.63,3701.17,2021-01-03
2020-12-17,85.67,3722.48,2021-01-03
