Date,Stock,Market,joined date
2020-01-02,35.8832807570983,7604.3,2021-11-08
2020-01-03,35.1487869350154,7622.4,2021-11-08
2020-01-06,35.4062701620874,7575.34,2021-11-08
2020-01-07,35.7864622975762,7573.85,2021-11-08
2020-01-08,35.6633007216492,7574.93,2021-11-08
2020-01-09,35.6676247713622,7598.12,2021-11-08
2020-01-10,35.3374425407449,7587.85,2021-11-08
2020-01-13,35.5222484868943,7617.6,2021-11-08
2020-01-14,36.3953503508057,7622.35,2021-11-08
2020-01-15,36.5918838237009,7642.8,2021-11-08
2020-01-16,37.2665934410784,7609.81,2021-11-08
2020-01-17,37.6060148811081,7674.56,2021-11-08
2020-01-20,38.3504618186562,7651.44,2021-11-08
2020-01-21,38.8409049395933,7610.7,2021-11-08
2020-01-22,39.4328813202972,7571.92,2021-11-08
2020-01-23,39.5596609546804,7507.67,2021-11-08
2020-01-24,39.8687169831046,7585.98,2021-11-08
2020-01-27,39.067496834657,7412.05,2021-11-08
2020-01-28,39.4325465061747,7480.69,2021-11-08
2020-01-29,39.2031768765062,7483.57,2021-11-08
2020-01-30,39.8056854041456,7381.96,2021-11-08
2020-01-31,40.2967147552243,7286.01,2021-11-08
2020-02-03,40.2000909504329,7326.31,2021-11-08
2020-02-04,40.8849280800513,7439.82,2021-11-08
2020-02-05,40.3000403000403,7482.48,2021-11-08
2020-02-06,39.4435753901062,7504.79,2021-11-08
2020-02-07,39.2270606130931,7466.7,2021-11-08
2020-02-10,39.7334745160824,7446.88,2021-11-08
2020-02-11,40.4589841220517,7499.44,2021-11-08
2020-02-12,41.4593053395547,7534.37,2021-11-08
2020-02-13,41.4959951994573,7452.03,2021-11-08
2020-02-14,42.1384960601166,7409.13,2021-11-08
2020-02-17,42.23025699719,7433.25,2021-11-08
2020-02-18,42.1524663677143,7382.01,2021-11-08
2020-02-19,42.6070667269547,7457.02,2021-11-08
2020-02-20,41.9982999768164,7436.64,2021-11-08
2020-02-21,42.5642289286315,7403.92,2021-11-08
2020-02-24,41.159817469654,7156.83,2021-11-08
2020-02-25,40.1435649358257,7017.88,2021-11-08
2020-02-26,39.7156165726904,7042.47,2021-11-08
2020-02-27,37.1444032158317,6796.4,2021-11-08
2020-02-28,36.3960360498944,6580.61,2021-11-08
2020-03-02,36.2229220588807,6654.89,2021-11-08
2020-03-03,37.6870260299232,6718.2,2021-11-08
2020-03-04,38.2496782496786,6815.59,2021-11-08
2020-03-05,35.8308720659106,6705.43,2021-11-08
2020-03-06,35.1225112856517,6462.55,2021-11-08
2020-03-09,32.6041283680856,5965.77,2021-11-08
2020-03-10,31.8392421563438,5960.23,2021-11-08
2020-03-11,31.2167480737911,5876.52,2021-11-08
2020-03-12,26.9397093578719,5237.48,2021-11-08
2020-03-13,25.0675178001482,5366.11,2021-11-08
2020-03-16,22.3977626769369,5151.08,2021-11-08
2020-03-17,21.009061551067,5294.9,2021-11-08
2020-03-18,17.9537800487755,5080.58,2021-11-08
2020-03-19,17.6237510049391,5151.61,2021-11-08
2020-03-20,19.539480576929,5190.78,2021-11-08
2020-03-23,18.2689531728157,4993.89,2021-11-08
2020-03-24,19.8868980436414,5446.01,2021-11-08
2020-03-25,23.1756596149279,5688.2,2021-11-08
2020-03-26,25.3660322108343,5815.73,2021-11-08
2020-03-27,23.0434836764937,5510.33,2021-11-08
2020-03-30,22.6530586906055,5563.74,2021-11-08
2020-03-31,23.7991754420824,5671.96,2021-11-08
2020-04-01,21.1380906413199,5454.57,2021-11-08
2020-04-02,20.7752456720812,5480.22,2021-11-08
2020-04-03,19.8918667091686,5415.5,2021-11-08
2020-04-06,22.3423379355048,5582.39,2021-11-08
2020-04-07,24.131166956587,5704.45,2021-11-08
2020-04-08,25.0795734614759,5677.73,2021-11-08
2020-04-09,26.2925182777214,5842.66,2021-11-08
2020-04-14,24.9053269376412,5791.31,2021-11-08
2020-04-15,23.0131020760588,5597.65,2021-11-08
2020-04-16,23.5275068813906,5628.43,2021-11-08
2020-04-17,24.9731270154734,5786.96,2021-11-08
2020-04-20,24.3104777537376,5812.83,2021-11-08
2020-04-21,23.7624005802309,5641.03,2021-11-08
2020-04-22,24.9105931680857,5770.63,2021-11-08
2020-04-23,27.0166864139029,5826.61,2021-11-08
2020-04-24,27.1209497897595,5752.23,2021-11-08
2020-04-27,26.471794489392,5846.79,2021-11-08
2020-04-28,27.4503471661552,5958.5,2021-11-08
2020-04-29,28.3182311076759,6115.25,2021-11-08
2020-04-30,27.7651858567536,5901.21,2021-11-08
2020-05-01,27.5794816657712,5763.06,2021-11-08
2020-05-04,27.3848182847466,5753.78,2021-11-08
2020-05-05,27.5038856077086,5849.42,2021-11-08
2020-05-06,27.7671508435035,5853.76,2021-11-08
2020-05-07,28.207663782448,5935.98,2021-11-08
2020-05-11,27.359072406563,5939.73,2021-11-08
2020-05-12,26.7245289495292,5994.77,2021-11-08
2020-05-13,26.3045259437717,5904.05,2021-11-08
2020-05-14,25.0510434878288,5741.54,2021-11-08
2020-05-15,25.4063933572999,5799.77,2021-11-08
2020-05-18,26.9255616094397,6048.59,2021-11-08
2020-05-19,26.9031926101973,6002.23,2021-11-08
2020-05-20,25.946686901819,6067.16,2021-11-08
2020-05-21,26.0083109264228,6015.25,2021-11-08
2020-05-22,26.3228317722896,5993.28,2021-11-08
2020-05-26,28.6943868994783,6067.76,2021-11-08
2020-05-27,27.795131870689,6144.25,2021-11-08
2020-05-28,28.819508590431,6218.79,2021-11-08
2020-05-29,28.3047981138374,6076.6,2021-11-08
2020-06-01,29.8434747848255,6166.42,2021-11-08
2020-06-02,29.7158919787179,6220.14,2021-11-08
2020-06-03,31.1533529456149,6382.41,2021-11-08
2020-06-04,30.9434152362,6341.44,2021-11-08
2020-06-05,32.164112954287,6484.3,2021-11-08
2020-06-08,32.0848811765302,6472.59,2021-11-08
2020-06-09,30.613154109545,6335.72,2021-11-08
2020-06-10,30.8811908949561,6329.13,2021-11-08
2020-06-11,29.05562905563,6076.7,2021-11-08
2020-06-12,29.1428929713454,6105.18,2021-11-08
2020-06-15,28.5689081560634,6064.7,2021-11-08
2020-06-16,29.2723409070912,6242.79,2021-11-08
2020-06-17,29.3763181681219,6253.25,2021-11-08
2020-06-18,28.6001813912454,6224.07,2021-11-08
2020-06-19,28.8143132506306,6292.6,2021-11-08
2020-06-22,29.2834890965729,6244.62,2021-11-08
2020-06-23,29.5675032859728,6320.12,2021-11-08
2020-06-24,28.0523544605605,6123.69,2021-11-08
2020-06-25,28.1177843434223,6147.14,2021-11-08
2020-06-26,28.1563336334366,6159.3,2021-11-08
2020-06-29,28.2071144884243,6225.77,2021-11-08
2020-06-30,28.343996429102,6169.74,2021-11-08
2020-07-01,28.3818834796495,6157.96,2021-11-08
2020-07-02,28.7341993068898,6240.36,2021-11-08
2020-07-03,28.1990787551955,6157.3,2021-11-08
2020-07-06,29.9532838691937,6285.94,2021-11-08
2020-07-07,30.2464104332552,6189.9,2021-11-08
2020-07-08,30.6778635194444,6156.16,2021-11-08
2020-07-09,32.6317116208714,6049.62,2021-11-08
2020-07-10,33.2538270296188,6095.41,2021-11-08
2020-07-13,33.337935708996,6176.19,2021-11-08
2020-07-14,31.9095540442186,6179.75,2021-11-08
2020-07-15,32.8716458466985,6292.65,2021-11-08
2020-07-16,32.9660676638902,6250.69,2021-11-08
2020-07-17,33.0334480938863,6290.3,2021-11-08
2020-07-20,33.0932155110207,6261.52,2021-11-08
2020-07-21,32.1636310410232,6269.73,2021-11-08
2020-07-22,32.8486669552597,6207.1,2021-11-08
2020-07-23,32.2297099326117,6211.44,2021-11-08
2020-07-24,31.4993861264587,6123.82,2021-11-08
2020-07-27,31.7129092923211,6104.88,2021-11-08
2020-07-28,32.7902767002844,6129.26,2021-11-08
2020-07-29,32.2144685717254,6131.46,2021-11-08
2020-07-30,31.828953742619,5989.99,2021-11-08
2020-07-31,31.4373216763079,5897.76,2021-11-08
2020-08-03,32.4187244277696,6032.85,2021-11-08
2020-08-04,31.7356667101989,6036.0,2021-11-08
2020-08-05,32.2030786982414,6104.72,2021-11-08
2020-08-06,31.0770484691525,6026.94,2021-11-08
2020-08-07,31.4139542168036,6032.18,2021-11-08
2020-08-10,31.1719883415462,6050.59,2021-11-08
2020-08-11,31.3543841336108,6154.34,2021-11-08
2020-08-12,32.1369927281252,6280.12,2021-11-08
2020-08-13,32.8404221966778,6185.62,2021-11-08
2020-08-14,33.1549542712846,6090.04,2021-11-08
2020-08-17,34.2356270635706,6127.44,2021-11-08
2020-08-18,37.3492859695341,6076.62,2021-11-08
2020-08-19,36.0454759784146,6111.98,2021-11-08
2020-08-20,35.5533829222202,6013.34,2021-11-08
2020-08-21,35.0337643302089,6001.89,2021-11-08
2020-08-24,35.1133869787868,6104.73,2021-11-08
2020-08-25,34.8473292480874,6037.01,2021-11-08
2020-08-26,35.5293744716833,6045.6,2021-11-08
2020-08-27,34.4732014412222,5999.99,2021-11-08
2020-08-28,34.9743699273812,5963.57,2021-11-08
2020-09-01,34.1348534114779,5862.05,2021-11-08
2020-09-02,35.9837105280718,5940.95,2021-11-08
2020-09-03,35.0725753974044,5850.86,2021-11-08
2020-09-04,33.2447868242792,5799.08,2021-11-08
2020-09-07,33.7708846260178,5937.4,2021-11-08
2020-09-08,32.6233766233767,5930.3,2021-11-08
2020-09-09,32.1230321230321,6012.84,2021-11-08
2020-09-10,32.5066895412707,6003.32,2021-11-08
2020-09-11,32.353392692662,6032.09,2021-11-08
2020-09-14,32.0073981787129,6026.25,2021-11-08
2020-09-15,32.8204731714861,6105.54,2021-11-08
2020-09-16,33.0217422307498,6078.48,2021-11-08
2020-09-17,32.6505727146548,6049.92,2021-11-08
2020-09-18,32.2359839336671,6007.05,2021-11-08
2020-09-21,29.689902614043,5804.29,2021-11-08
2020-09-22,28.9122574731377,5829.46,2021-11-08
2020-09-23,29.5913693959593,5899.26,2021-11-08
2020-09-24,30.8141462046445,5822.78,2021-11-08
