Date,Stock,Market,joined date
2020-01-02,41.7895270647632,6041.5,2021-04-08
2020-01-03,41.8473801075629,6044.16,2021-04-08
2020-01-06,42.3079357972734,6013.59,2021-04-08
2020-01-07,43.3390374450812,6012.35,2021-04-08
2020-01-08,43.080857371261,6031.0,2021-04-08
2020-01-09,42.9148917268185,6042.55,2021-04-08
2020-01-10,42.8708433413399,6037.11,2021-04-08
2020-01-13,44.108655912183,6036.14,2021-04-08
2020-01-14,44.4125635633296,6040.89,2021-04-08
2020-01-15,44.1310801168416,6032.61,2021-04-08
2020-01-16,43.9731457458771,6039.03,2021-04-08
2020-01-17,42.6044895107995,6100.72,2021-04-08
2020-01-20,43.0867793075137,6078.54,2021-04-08
2020-01-21,42.8875836694888,6045.99,2021-04-08
2020-01-22,42.3510985659307,6010.98,2021-04-08
2020-01-23,42.1615963572464,5971.79,2021-04-08
2020-01-24,41.8685082507525,6024.26,2021-04-08
2020-01-27,41.1528371724117,5863.02,2021-04-08
2020-01-28,41.512387595874,5925.82,2021-04-08
2020-01-29,41.3189299278911,5954.89,2021-04-08
2020-01-30,40.8398524188746,5871.77,2021-04-08
2020-01-31,40.8385204166528,5806.34,2021-04-08
2020-02-03,40.6691370311393,5832.51,2021-04-08
2020-02-04,40.7017048905181,5935.05,2021-04-08
2020-02-05,40.5963292057977,5985.4,2021-04-08
2020-02-06,40.6142629700796,6038.18,2021-04-08
2020-02-07,40.809486447151,6029.75,2021-04-08
2020-02-10,40.723183915695,6015.67,2021-04-08
2020-02-11,40.5210270122785,6054.76,2021-04-08
2020-02-12,41.0609709962167,6104.73,2021-04-08
2020-02-13,40.6448309503418,6093.14,2021-04-08
2020-02-14,40.7568164096344,6069.35,2021-04-08
2020-02-17,40.9212866460099,6085.95,2021-04-08
2020-02-18,40.7885572461423,6056.82,2021-04-08
2020-02-19,41.0267021759331,6111.24,2021-04-08
2020-02-20,41.4028046452947,6062.3,2021-04-08
2020-02-21,41.005313092979,6029.72,2021-04-08
2020-02-24,39.2626322586244,5791.87,2021-04-08
2020-02-25,38.3999488685815,5679.68,2021-04-08
2020-02-26,37.8196475195824,5684.55,2021-04-08
2020-02-27,35.6235301233969,5495.6,2021-04-08
2020-02-28,35.4677662260346,5309.9,2021-04-08
2020-03-02,34.7677939686744,5333.52,2021-04-08
2020-03-03,35.3414006121675,5393.17,2021-04-08
2020-03-04,35.6034025496855,5464.89,2021-04-08
2020-03-05,34.1302823233233,5361.1,2021-04-08
2020-03-06,34.0936600724498,5139.11,2021-04-08
2020-03-09,32.4249075653339,4707.91,2021-04-08
2020-03-10,30.9014222873902,4636.61,2021-04-08
2020-03-11,30.6403830770098,4610.25,2021-04-08
2020-03-12,25.8457208038381,4044.26,2021-04-08
2020-03-13,25.7162531926708,4118.36,2021-04-08
2020-03-16,23.558279012042,3881.46,2021-04-08
2020-03-17,22.0863429438544,3991.78,2021-04-08
2020-03-18,22.3210096689001,3754.84,2021-04-08
2020-03-19,21.8551894809985,3855.5,2021-04-08
2020-03-20,22.1780921826543,4048.8,2021-04-08
2020-03-23,22.017051728759,3914.31,2021-04-08
2020-03-24,24.9304258715913,4242.7,2021-04-08
2020-03-25,25.9457350509183,4432.3,2021-04-08
2020-03-26,24.7064888947705,4543.58,2021-04-08
2020-03-27,23.4204484944356,4351.49,2021-04-08
2020-03-30,23.7002595795915,4378.51,2021-04-08
2020-03-31,26.4938601522003,4396.12,2021-04-08
2020-04-01,25.3953816977989,4207.24,2021-04-08
2020-04-02,26.018349888726,4220.96,2021-04-08
2020-04-03,26.9967230124076,4154.58,2021-04-08
2020-04-06,29.2466860904285,4346.14,2021-04-08
2020-04-07,29.3220142427806,4438.27,2021-04-08
2020-04-08,29.1932671117625,4442.75,2021-04-08
2020-04-09,30.228492285502,4506.85,2021-04-08
2020-04-14,30.1500587376348,4523.91,2021-04-08
2020-04-15,27.0835696522839,4353.72,2021-04-08
2020-04-16,25.2407419847658,4350.16,2021-04-08
2020-04-17,26.3762458399494,4499.01,2021-04-08
2020-04-20,25.9528458463677,4528.3,2021-04-08
2020-04-21,24.3909547847799,4357.46,2021-04-08
2020-04-22,24.533631660967,4411.8,2021-04-08
2020-04-23,25.8662162307785,4451.0,2021-04-08
2020-04-24,26.7680851754471,4393.32,2021-04-08
2020-04-27,27.0367513778654,4505.26,2021-04-08
2020-04-28,27.2105788682266,4569.79,2021-04-08
2020-04-29,28.6789944656469,4671.11,2021-04-08
2020-04-30,27.3335210280119,4572.18,2021-04-08
2020-05-04,25.746925065163,4378.23,2021-04-08
2020-05-05,25.7359864741839,4483.13,2021-04-08
2020-05-06,24.6686153447607,4433.38,2021-04-08
2020-05-07,25.3232909801883,4501.44,2021-04-08
2020-05-08,26.1594400060703,4549.64,2021-04-08
2020-05-11,26.0675246647433,4490.22,2021-04-08
2020-05-12,25.6053449023861,4472.5,2021-04-08
2020-05-13,23.5649022237606,4344.95,2021-04-08
2020-05-14,23.9860638734632,4273.13,2021-04-08
2020-05-15,25.1244376189652,4277.63,2021-04-08
2020-05-18,25.9619650378648,4498.34,2021-04-08
2020-05-19,25.0692465626262,4458.16,2021-04-08
2020-05-20,25.7529967069155,4496.98,2021-04-08
2020-05-21,24.4487490830259,4445.45,2021-04-08
2020-05-22,24.6702963713852,4444.56,2021-04-08
2020-05-25,25.1790751155287,4539.91,2021-04-08
2020-05-26,25.9519286302498,4606.24,2021-04-08
2020-05-27,27.8684102812375,4688.74,2021-04-08
2020-05-28,27.2995115467687,4771.39,2021-04-08
2020-05-29,26.047296517435,4695.44,2021-04-08
2020-06-01,28.2615442854757,4762.78,2021-04-08
2020-06-02,29.2644358567696,4858.97,2021-04-08
2020-06-03,30.5453965472701,5022.38,2021-04-08
2020-06-04,31.8079340248258,5011.98,2021-04-08
2020-06-05,33.1565938095938,5197.79,2021-04-08
2020-06-08,33.7721278709998,5175.52,2021-04-08
2020-06-09,32.9145413515077,5095.11,2021-04-08
2020-06-10,32.0367982446169,5053.42,2021-04-08
2020-06-11,29.9947999864436,4815.6,2021-04-08
2020-06-12,30.6362605084574,4839.26,2021-04-08
2020-06-15,30.5191737240162,4815.72,2021-04-08
2020-06-16,31.1372446106368,4952.46,2021-04-08
2020-06-17,30.6579937938479,4995.97,2021-04-08
2020-06-18,30.453315783578,4958.75,2021-04-08
2020-06-19,30.0615466279264,4979.45,2021-04-08
