Date,Stock,Market,joined date
2018-01-02,73.84,2695.81,2020-11-09
2018-01-03,76.75,2713.06,2020-11-09
2018-01-04,76.73,2723.99,2020-11-09
2018-01-05,78.7,2743.15,2020-11-09
2018-01-08,79.05,2747.71,2020-11-09
2018-01-09,79.19,2751.29,2020-11-09
2018-01-10,79.37,2748.23,2020-11-09
2018-01-11,79.75,2767.56,2020-11-09
2018-01-12,80.54,2786.24,2020-11-09
2018-01-16,80.42,2776.42,2020-11-09
2018-01-17,82.47,2802.56,2020-11-09
2018-01-18,82.94,2798.03,2020-11-09
2018-01-19,83.84,2810.3,2020-11-09
2018-01-22,83.98,2832.97,2020-11-09
2018-01-23,84.21,2839.13,2020-11-09
2018-01-24,83.71,2837.54,2020-11-09
2018-01-25,84.34,2839.25,2020-11-09
2018-01-26,85.45,2872.87,2020-11-09
2018-01-29,84.31,2853.53,2020-11-09
2018-01-30,83.78,2822.43,2020-11-09
2018-01-31,85.32,2823.81,2020-11-09
2018-02-01,78.4,2821.98,2020-11-09
2018-02-02,76.57,2762.13,2020-11-09
2018-02-05,74.705,2648.94,2020-11-09
2018-02-06,75.68,2695.14,2020-11-09
2018-02-07,75.59,2681.66,2020-11-09
2018-02-08,72.32,2581.0,2020-11-09
2018-02-09,74.75,2619.55,2020-11-09
2018-02-12,75.28,2656.0,2020-11-09
2018-02-13,74.97,2662.94,2020-11-09
2018-02-14,77.27,2698.63,2020-11-09
2018-02-15,78.295,2731.2,2020-11-09
2018-02-16,78.37,2732.22,2020-11-09
2018-02-20,77.06,2716.26,2020-11-09
2018-02-21,76.51,2701.33,2020-11-09
2018-02-22,77.7,2703.96,2020-11-09
2018-02-23,79.69,2747.3,2020-11-09
2018-02-26,79.35,2779.6,2020-11-09
2018-02-27,79.46,2744.28,2020-11-09
2018-02-28,79.41,2713.83,2020-11-09
2018-03-01,78.64,2677.67,2020-11-09
2018-03-02,78.87,2691.25,2020-11-09
2018-03-05,79.07,2720.94,2020-11-09
2018-03-06,79.23,2728.12,2020-11-09
2018-03-07,79.52,2726.8,2020-11-09
2018-03-08,79.87,2738.97,2020-11-09
2018-03-09,80.71,2786.57,2020-11-09
2018-03-12,80.6,2783.02,2020-11-09
2018-03-13,80.2,2765.31,2020-11-09
2018-03-14,83.31,2749.48,2020-11-09
2018-03-15,82.57,2747.33,2020-11-09
2018-03-16,82.16,2752.01,2020-11-09
2018-03-19,80.3,2712.92,2020-11-09
2018-03-20,80.86,2716.94,2020-11-09
2018-03-21,81.04,2711.93,2020-11-09
2018-03-22,78.56,2643.69,2020-11-09
2018-03-23,76.44,2588.26,2020-11-09
2018-03-26,78.95,2658.55,2020-11-09
2018-03-27,76.31,2612.62,2020-11-09
2018-03-28,75.06,2605.0,2020-11-09
2018-03-29,75.87,2640.87,2020-11-09
2018-04-02,75.0,2581.88,2020-11-09
2018-04-03,74.56,2614.45,2020-11-09
2018-04-04,74.78,2644.69,2020-11-09
2018-04-05,76.95,2662.84,2020-11-09
2018-04-06,73.86,2604.47,2020-11-09
2018-04-09,75.19,2613.16,2020-11-09
2018-04-10,76.79,2656.87,2020-11-09
2018-04-11,76.5,2642.19,2020-11-09
2018-04-12,77.46,2663.99,2020-11-09
2018-04-13,77.27,2656.3,2020-11-09
2018-04-16,77.8,2677.84,2020-11-09
2018-04-17,80.03,2706.39,2020-11-09
2018-04-18,80.34,2708.64,2020-11-09
2018-04-19,79.68,2693.13,2020-11-09
2018-04-20,78.73,2670.14,2020-11-09
2018-04-23,78.21,2670.29,2020-11-09
2018-04-24,75.28,2634.56,2020-11-09
2018-04-25,74.0,2639.4,2020-11-09
2018-04-26,76.03,2666.94,2020-11-09
2018-04-27,74.13,2669.91,2020-11-09
2018-04-30,74.61,2648.05,2020-11-09
2018-05-01,74.81,2654.8,2020-11-09
2018-05-02,71.73,2635.67,2020-11-09
2018-05-03,73.45,2629.73,2020-11-09
2018-05-04,73.99,2663.42,2020-11-09
2018-05-07,74.67,2672.63,2020-11-09
2018-05-08,75.72,2671.92,2020-11-09
2018-05-09,77.01,2697.79,2020-11-09
2018-05-10,79.19,2723.07,2020-11-09
2018-05-11,79.2,2727.72,2020-11-09
2018-05-14,78.81,2730.13,2020-11-09
2018-05-15,77.79,2711.45,2020-11-09
2018-05-16,77.82,2722.46,2020-11-09
2018-05-17,79.19,2720.13,2020-11-09
2018-05-18,80.79,2712.97,2020-11-09
2018-05-21,81.25,2733.01,2020-11-09
2018-05-22,80.62,2724.44,2020-11-09
2018-05-23,81.08,2733.29,2020-11-09
2018-05-24,81.55,2727.76,2020-11-09
2018-05-25,80.96,2721.33,2020-11-09
2018-05-29,80.73,2689.86,2020-11-09
2018-05-30,81.6,2724.01,2020-11-09
2018-05-31,82.07,2705.27,2020-11-09
2018-06-01,83.25,2734.62,2020-11-09
2018-06-04,84.57,2746.87,2020-11-09
2018-06-05,85.05,2748.8,2020-11-09
2018-06-06,85.21,2772.35,2020-11-09
2018-06-07,83.27,2770.37,2020-11-09
2018-06-08,84.34,2779.03,2020-11-09
2018-06-11,83.89,2782.0,2020-11-09
2018-06-12,85.02,2786.85,2020-11-09
2018-06-13,85.27,2775.63,2020-11-09
2018-06-14,85.61,2782.49,2020-11-09
2018-06-15,85.31,2779.66,2020-11-09
2018-06-18,85.85,2773.75,2020-11-09
2018-06-19,84.52,2762.59,2020-11-09
2018-06-20,85.95,2767.32,2020-11-09
2018-06-21,85.97,2749.76,2020-11-09
2018-06-22,85.12,2754.88,2020-11-09
2018-06-25,82.19,2717.07,2020-11-09
2018-06-26,82.32,2723.06,2020-11-09
2018-06-27,80.67,2699.63,2020-11-09
2018-06-28,82.48,2716.31,2020-11-09
2018-06-29,83.27,2718.37,2020-11-09
2018-07-02,83.89,2726.71,2020-11-09
2018-07-03,83.27,2713.22,2020-11-09
2018-07-05,84.59,2736.61,2020-11-09
2018-07-06,85.94,2759.82,2020-11-09
2018-07-09,86.23,2784.17,2020-11-09
2018-07-10,86.17,2793.84,2020-11-09
2018-07-11,86.25,2774.02,2020-11-09
2018-07-12,89.13,2798.29,2020-11-09
2018-07-13,87.99,2801.31,2020-11-09
2018-07-16,87.77,2798.43,2020-11-09
2018-07-17,88.58,2809.55,2020-11-09
2018-07-18,88.22,2815.62,2020-11-09
2018-07-19,87.38,2804.49,2020-11-09
2018-07-20,87.47,2801.83,2020-11-09
2018-07-23,89.24,2806.98,2020-11-09
2018-07-24,91.41,2820.4,2020-11-09
2018-07-25,91.37,2846.07,2020-11-09
2018-07-26,89.14,2837.44,2020-11-09
2018-07-27,85.46,2818.82,2020-11-09
2018-07-30,82.39,2802.6,2020-11-09
2018-07-31,82.14,2816.29,2020-11-09
2018-08-01,83.46,2813.36,2020-11-09
2018-08-02,85.53,2827.22,2020-11-09
2018-08-03,85.19,2840.35,2020-11-09
2018-08-06,85.77,2850.4,2020-11-09
2018-08-07,86.3,2858.45,2020-11-09
2018-08-08,86.74,2857.7,2020-11-09
2018-08-09,87.17,2853.58,2020-11-09
2018-08-10,87.01,2833.28,2020-11-09
2018-08-13,87.01,2821.93,2020-11-09
2018-08-14,87.73,2839.96,2020-11-09
2018-08-15,85.19,2818.37,2020-11-09
2018-08-16,85.32,2840.69,2020-11-09
2018-08-17,85.45,2850.13,2020-11-09
2018-08-20,85.75,2857.05,2020-11-09
2018-08-21,86.22,2862.96,2020-11-09
2018-08-22,86.95,2861.82,2020-11-09
2018-08-23,87.38,2856.98,2020-11-09
2018-08-24,90.1,2874.69,2020-11-09
