Date,Stock,Market,joined date
2020-01-06,8.84242573481678,5819.2,2022-01-26
2020-01-07,8.92080554874104,5934.4,2022-01-26
2020-01-09,8.88395335924488,5953.4,2022-01-26
2020-01-10,9.00720576461173,5872.9,2022-01-26
2020-01-13,9.0177348785946,6903.7,2022-01-26
2020-01-14,9.06855381602517,6962.2,2022-01-26
2020-01-15,9.14219457265813,6994.8,2022-01-26
2020-01-16,9.46474105581967,7041.8,2022-01-26
2020-01-17,9.48019692198515,7064.1,2022-01-26
2020-01-20,9.4298805178668,7079.5,2022-01-26
2020-01-21,9.30892326787534,7066.3,2022-01-26
2020-01-22,9.37191530894049,7132.7,2022-01-26
2020-01-23,9.28371702346351,7088.0,2022-01-26
2020-01-24,9.31447657050897,7090.5,2022-01-26
2020-01-28,9.20171030591552,6994.5,2022-01-26
2020-01-29,9.19249188088289,7031.5,2022-01-26
2020-01-30,9.09973307449651,7008.4,2022-01-26
2020-01-31,9.20718382197966,7017.2,2022-01-26
2020-02-03,9.0675866949752,6391.5,2022-01-26
2020-02-04,9.22010092421849,5154.3,2022-01-26
2020-02-06,9.387867142465,5835.1,2022-01-26
2020-02-07,9.41094076578795,6032.7,2022-01-26
2020-02-10,9.27269355384164,5791.5,2022-01-26
2020-02-11,9.44065484311055,5951.3,2022-01-26
2020-02-12,9.51211027525325,6590.2,2022-01-26
2020-02-13,9.43079207813461,7103.2,2022-01-26
2020-02-14,9.42211055276383,7130.2,2022-01-26
2020-02-17,9.85894130138026,7125.1,2022-01-26
2020-02-18,9.92770044243015,7113.7,2022-01-26
2020-02-19,9.93971347695503,7144.6,2022-01-26
2020-02-20,9.97422874950124,7162.5,2022-01-26
2020-02-21,9.92138791000269,7139.0,2022-01-26
2020-02-24,9.71253079252076,6978.3,2022-01-26
2020-02-25,9.62793733681466,6866.6,2022-01-26
2020-02-26,9.3015665796345,6708.1,2022-01-26
2020-02-27,9.34826122341242,6657.9,2022-01-26
2020-02-28,8.81999492850296,6441.2,2022-01-26
2020-03-02,8.84995157573663,6923.3,2022-01-26
2020-03-03,8.60162202015239,6435.7,2022-01-26
2020-03-04,8.51750821132328,5067.5,2022-01-26
2020-03-06,8.12521864737677,5941.6,2022-01-26
2020-03-09,7.21162101214529,6112.6,2022-01-26
2020-03-11,7.09819165117459,6066.4,2022-01-26
2020-03-12,6.54208742912739,6615.3,2022-01-26
2020-03-13,6.5519156024431,5539.3,2022-01-26
2020-03-16,5.5905274103559,5002.0,2022-01-26
2020-03-17,5.66295001209564,5293.4,2022-01-26
2020-03-18,5.04179671301044,4953.2,2022-01-26
2020-03-19,4.46843765032872,4782.9,2022-01-26
2020-03-20,4.9834242327024,4816.6,2022-01-26
2020-03-23,4.50281425891181,4546.0,2022-01-26
2020-03-24,4.61684501208146,4735.7,2022-01-26
2020-03-25,5.26590651927931,4998.1,2022-01-26
2020-03-26,5.11700743289441,5113.3,2022-01-26
2020-03-27,4.94613833591408,4842.4,2022-01-26
2020-03-30,5.19159183042272,5181.4,2022-01-26
2020-03-31,5.40421308040146,5076.8,2022-01-26
2020-04-02,5.10231775498019,6948.7,2022-01-26
2020-04-03,5.07976308849596,6325.4,2022-01-26
2020-04-06,5.2228337110176,5991.8,2022-01-26
2020-04-08,5.3845736307876,6037.6,2022-01-26
2020-04-09,5.62743126884916,5925.5,2022-01-26
2020-04-15,5.56258452947078,5466.7,2022-01-26
2020-04-16,5.5258795358261,5416.3,2022-01-26
2020-04-17,5.65549344180278,5487.5,2022-01-26
2020-04-20,5.43100451859575,5353.0,2022-01-26
2020-04-21,5.08060576453346,5221.3,2022-01-26
2020-04-22,5.04307172849659,5221.2,2022-01-26
2020-04-23,5.02160583626981,5217.1,2022-01-26
2020-04-24,5.0205039980091,5242.6,2022-01-26
2020-04-27,5.02420062152827,5321.4,2022-01-26
2020-04-28,5.10606994883112,5313.1,2022-01-26
2020-04-29,5.32776636113559,5393.4,2022-01-26
2020-04-30,5.53224587272549,5522.4,2022-01-26
2020-05-05,4.94212511379894,5407.1,2022-01-26
2020-05-06,4.90047925391824,5998.7,2022-01-26
2020-05-08,4.89967588427224,6001.3,2022-01-26
2020-05-11,4.97076971288404,6139.6,2022-01-26
2020-05-13,4.75902050705202,5421.9,2022-01-26
2020-05-14,4.64573564683768,5328.7,2022-01-26
2020-05-15,4.95327911403356,5404.8,2022-01-26
2020-05-18,4.84494009297048,5460.5,2022-01-26
2020-05-19,5.04548581912697,5559.5,2022-01-26
2020-05-20,5.02744237102086,5573.0,2022-01-26
2020-05-21,4.99271895152902,5550.4,2022-01-26
2020-05-22,5.01400651820846,5497.0,2022-01-26
2020-05-25,5.31868515127734,5615.6,2022-01-26
2020-05-26,5.35822124622564,5780.0,2022-01-26
2020-05-27,5.50151841908365,5775.0,2022-01-26
2020-05-28,5.92567979177053,5851.1,2022-01-26
2020-05-29,5.88196124564402,5755.7,2022-01-26
2020-06-02,5.80784953202137,7049.2,2022-01-26
2020-06-03,6.23378373824849,6216.2,2022-01-26
2020-06-04,6.1214079238225,5286.8,2022-01-26
2020-06-05,6.26262398302887,5384.6,2022-01-26
2020-06-08,6.43645972131258,6042.2,2022-01-26
