Date,Stock,Market,joined date
2020-01-02,64.7,17099.95,2021-05-24
2020-01-03,64.44,17066.12,2021-05-24
2020-01-06,63.11,17105.47,2021-05-24
2020-01-07,63.39,17168.06,2021-05-24
2020-01-08,62.41,17167.82,2021-05-24
2020-01-09,62.82,17235.57,2021-05-24
2020-01-10,62.48,17234.49,2021-05-24
2020-01-13,62.81,17293.42,2021-05-24
2020-01-14,62.77,17352.9,2021-05-24
2020-01-15,62.73,17415.17,2021-05-24
2020-01-16,63.17,17484.77,2021-05-24
2020-01-17,64.13,17559.02,2021-05-24
2020-01-21,65.3,17572.28,2021-05-24
2020-01-22,65.13,17599.86,2021-05-24
2020-01-23,65.28,17621.78,2021-05-24
2020-01-24,64.24,17565.34,2021-05-24
2020-01-27,63.57,17442.52,2021-05-24
2020-01-28,62.79,17500.88,2021-05-24
2020-01-29,62.82,17511.75,2021-05-24
2020-01-30,62.02,17490.56,2021-05-24
2020-01-31,61.01,17318.49,2021-05-24
2020-02-03,60.76,17379.76,2021-05-24
2020-02-04,61.69,17512.73,2021-05-24
2020-02-05,63.1,17651.59,2021-05-24
2020-02-06,63.15,17757.49,2021-05-24
2020-02-07,63.86,17655.49,2021-05-24
2020-02-10,65.61,17740.57,2021-05-24
2020-02-11,66.41,17777.11,2021-05-24
2020-02-12,66.22,17832.85,2021-05-24
2020-02-13,66.4,17821.17,2021-05-24
2020-02-14,67.24,17848.36,2021-05-24
2020-02-18,66.15,17858.34,2021-05-24
2020-02-19,65.92,17925.36,2021-05-24
2020-02-20,66.31,17944.06,2021-05-24
2020-02-21,65.87,17843.53,2021-05-24
2020-02-24,64.31,17562.74,2021-05-24
2020-02-25,62.94,17177.37,2021-05-24
2020-02-26,61.65,17041.92,2021-05-24
2020-02-27,60.09,16767.72,2021-05-24
2020-02-28,58.5,16263.05,2021-05-24
2020-03-02,59.41,16553.26,2021-05-24
2020-03-03,57.11,16423.62,2021-05-24
2020-03-04,57.38,16779.53,2021-05-24
2020-03-05,53.76,16553.99,2021-05-24
2020-03-06,55.03,16175.02,2021-05-24
2020-03-09,52.25,14514.24,2021-05-24
2020-03-10,52.57,14958.09,2021-05-24
2020-03-11,47.8,14270.09,2021-05-24
2020-03-12,42.73,12508.45,2021-05-24
2020-03-13,45.63,13716.33,2021-05-24
2020-03-16,35.56,12360.4,2021-05-24
2020-03-17,32.74,12685.21,2021-05-24
2020-03-18,28.25,11721.42,2021-05-24
2020-03-19,29.95,12170.52,2021-05-24
2020-03-20,32.02,11851.81,2021-05-24
