Date,Stock,Market,joined date
2020-01-02,61.2782878716796,612.87,2021-01-11
2020-01-03,60.7886456450425,611.06,2021-01-11
2020-01-06,60.8000716348414,607.24,2021-01-11
2020-01-07,61.1744240504917,609.71,2021-01-11
2020-01-08,61.4216241422955,610.48,2021-01-11
2020-01-09,62.0766240977236,612.55,2021-01-11
2020-01-10,61.4491593274622,610.43,2021-01-11
2020-01-13,61.2760651503515,608.9,2021-01-11
2020-01-14,61.8441989073226,611.15,2021-01-11
2020-01-15,61.7878564898431,611.56,2021-01-11
2020-01-16,60.8638524836592,612.06,2021-01-11
2020-01-17,60.828491595334,615.57,2021-01-11
2020-01-20,60.5953028101041,614.23,2021-01-11
2020-01-21,60.2641961079834,611.89,2021-01-11
2020-01-22,60.5126271308631,611.56,2021-01-11
2020-01-23,59.1947480686554,605.62,2021-01-11
2020-01-24,59.811064936783,614.24,2021-01-11
2020-01-27,58.450929200128,598.69,2021-01-11
2020-01-28,58.9129859825442,602.96,2021-01-11
2020-01-29,59.2282710408981,605.22,2021-01-11
2020-01-30,58.0397520460614,598.95,2021-01-11
2020-01-31,57.639189324104,589.5,2021-01-11
2020-02-03,57.4354210898795,592.36,2021-01-11
2020-02-04,58.6773848039486,605.4,2021-01-11
2020-02-05,58.6799217014539,613.41,2021-01-11
2020-02-06,58.611034861378,618.75,2021-01-11
2020-02-07,57.4067386713065,616.46,2021-01-11
2020-02-10,57.4470638288589,617.1,2021-01-11
2020-02-11,57.0804911323331,623.85,2021-01-11
2020-02-12,59.0729225551156,629.03,2021-01-11
2020-02-13,59.5549099738754,629.14,2021-01-11
2020-02-14,59.7600069312078,629.23,2021-01-11
2020-02-17,59.9986999198285,629.17,2021-01-11
2020-02-18,58.2281212906012,625.43,2021-01-11
2020-02-19,58.9468225328985,629.2,2021-01-11
2020-02-20,59.1121318970441,622.12,2021-01-11
2020-02-21,58.725941989699,617.33,2021-01-11
2020-02-24,55.1498117179782,593.3,2021-01-11
2020-02-25,54.7867711053092,582.71,2021-01-11
2020-02-26,54.3516100957356,581.78,2021-01-11
2020-02-27,53.0101401139387,559.98,2021-01-11
2020-02-28,51.4977453887967,539.38,2021-01-11
2020-03-02,49.2814284601082,542.17,2021-01-11
2020-03-03,50.3362452244243,550.22,2021-01-11
2020-03-04,49.3013416467183,557.73,2021-01-11
2020-03-05,47.7207336809928,552.54,2021-01-11
2020-03-06,46.7538623001138,531.29,2021-01-11
2020-03-09,44.3915337858721,490.66,2021-01-11
2020-03-10,42.984434919919,484.7,2021-01-11
2020-03-11,42.7919553827954,484.16,2021-01-11
2020-03-12,36.5126759933349,432.1,2021-01-11
2020-03-13,35.4580788450861,432.85,2021-01-11
2020-03-16,35.7793754262778,416.77,2021-01-11
2020-03-17,36.4078203690265,424.26,2021-01-11
2020-03-18,35.9910077045637,404.1,2021-01-11
2020-03-19,33.6415628841734,422.75,2021-01-11
2020-03-20,32.6489145545932,431.98,2021-01-11
2020-03-23,30.6405789332618,423.72,2021-01-11
2020-03-24,33.9251812219537,461.73,2021-01-11
2020-03-25,34.2936722081991,475.4,2021-01-11
2020-03-26,37.2196122543505,482.99,2021-01-11
2020-03-27,34.8569073267459,464.93,2021-01-11
2020-03-30,34.3307817211784,475.98,2021-01-11
2020-03-31,35.4803132237786,483.44,2021-01-11
2020-04-01,32.4256774533018,471.3,2021-01-11
2020-04-02,32.9045215220105,478.28,2021-01-11
2020-04-03,31.2675630106783,471.46,2021-01-11
2020-04-06,33.7649724830043,489.82,2021-01-11
2020-04-07,36.24940110632,499.85,2021-01-11
2020-04-08,35.9550561797753,500.71,2021-01-11
2020-04-09,37.4360767516063,508.04,2021-01-11
2020-04-14,35.9562157592525,507.74,2021-01-11
2020-04-15,34.3680467693381,491.13,2021-01-11
2020-04-16,34.097927253421,496.08,2021-01-11
2020-04-17,37.8374263154459,505.82,2021-01-11
2020-04-20,36.583246437261,512.76,2021-01-11
2020-04-21,36.7692558215274,495.76,2021-01-11
2020-04-22,36.1564434440067,509.62,2021-01-11
2020-04-23,37.8991152921908,512.73,2021-01-11
2020-04-24,36.7016154337217,504.94,2021-01-11
2020-04-27,37.4974283455871,512.19,2021-01-11
2020-04-28,38.9337833598373,519.97,2021-01-11
2020-04-29,41.96975133466,526.96,2021-01-11
2020-04-30,40.1279537263237,512.92,2021-01-11
2020-05-04,38.9560817074367,496.31,2021-01-11
2020-05-05,38.4748775306715,509.83,2021-01-11
2020-05-06,37.4767928845906,505.55,2021-01-11
2020-05-07,39.2010312070105,516.26,2021-01-11
2020-05-08,39.414206892066,520.57,2021-01-11
2020-05-11,38.6747495704608,520.33,2021-01-11
2020-05-12,39.1106290672451,520.44,2021-01-11
2020-05-13,37.4664705373368,512.19,2021-01-11
2020-05-14,36.8525681194496,499.03,2021-01-11
2020-05-15,37.1604083751514,500.31,2021-01-11
2020-05-18,40.4290609109361,519.89,2021-01-11
2020-05-19,39.9379689189336,520.45,2021-01-11
2020-05-20,41.0537870472009,531.06,2021-01-11
2020-05-21,40.7300756572105,522.81,2021-01-11
2020-05-22,40.0139520181375,524.38,2021-01-11
2020-05-25,41.7320603365593,532.82,2021-01-11
