Date,Stock,Market,joined date
2017-01-03,90.63,2257.83,2019-02-12
2017-01-04,90.62,2270.75,2019-02-12
2017-01-05,89.05,2269.0,2019-02-12
2017-01-06,88.58,2276.98,2019-02-12
2017-01-09,87.25,2268.9,2019-02-12
2017-01-10,87.94,2268.9,2019-02-12
2017-01-11,86.64,2275.32,2019-02-12
2017-01-12,86.39,2270.44,2019-02-12
2017-01-13,86.32,2274.64,2019-02-12
2017-01-17,89.58,2267.89,2019-02-12
2017-01-18,89.29,2271.89,2019-02-12
2017-01-19,88.2,2263.69,2019-02-12
2017-01-20,88.9,2271.31,2019-02-12
2017-01-23,89.29,2265.2,2019-02-12
2017-01-24,90.11,2280.07,2019-02-12
2017-01-25,91.15,2298.37,2019-02-12
2017-01-26,90.01,2296.68,2019-02-12
2017-01-27,87.97,2294.69,2019-02-12
2017-01-30,88.44,2280.9,2019-02-12
2017-01-31,88.43,2278.87,2019-02-12
2017-02-01,87.37,2279.55,2019-02-12
2017-02-02,76.61,2280.85,2019-02-12
2017-02-03,76.17,2297.42,2019-02-12
2017-02-06,76.53,2292.56,2019-02-12
2017-02-07,75.98,2293.08,2019-02-12
2017-02-08,77.5,2294.67,2019-02-12
2017-02-09,77.98,2307.87,2019-02-12
2017-02-10,79.61,2316.1,2019-02-12
2017-02-13,79.34,2328.25,2019-02-12
2017-02-14,79.49,2337.58,2019-02-12
2017-02-15,79.17,2349.25,2019-02-12
2017-02-16,78.47,2347.22,2019-02-12
2017-02-17,78.39,2351.16,2019-02-12
2017-02-21,78.19,2365.38,2019-02-12
2017-02-22,78.11,2362.82,2019-02-12
2017-02-23,78.65,2363.81,2019-02-12
2017-02-24,79.21,2367.34,2019-02-12
2017-02-27,79.79,2369.75,2019-02-12
2017-02-28,79.33,2363.64,2019-02-12
2017-03-01,80.57,2395.96,2019-02-12
2017-03-02,80.71,2381.92,2019-02-12
2017-03-03,79.79,2383.12,2019-02-12
2017-03-06,79.73,2375.31,2019-02-12
2017-03-07,79.14,2368.39,2019-02-12
2017-03-08,80.43,2362.98,2019-02-12
2017-03-09,79.68,2364.87,2019-02-12
2017-03-10,80.3,2372.6,2019-02-12
2017-03-13,79.59,2373.47,2019-02-12
2017-03-14,80.03,2365.45,2019-02-12
2017-03-15,81.25,2385.26,2019-02-12
2017-03-16,81.04,2381.38,2019-02-12
2017-03-17,80.7,2378.25,2019-02-12
2017-03-20,79.46,2373.47,2019-02-12
2017-03-21,78.23,2344.02,2019-02-12
2017-03-22,78.21,2348.45,2019-02-12
2017-03-23,79.22,2345.96,2019-02-12
2017-03-24,79.74,2343.98,2019-02-12
2017-03-27,80.42,2341.59,2019-02-12
2017-03-28,81.65,2358.57,2019-02-12
2017-03-29,82.97,2361.13,2019-02-12
2017-03-30,81.9,2368.06,2019-02-12
2017-03-31,81.62,2362.72,2019-02-12
2017-04-03,81.37,2358.84,2019-02-12
2017-04-04,77.74,2360.16,2019-02-12
2017-04-05,79.52,2352.95,2019-02-12
2017-04-06,80.71,2357.49,2019-02-12
2017-04-07,79.28,2355.54,2019-02-12
2017-04-10,80.53,2357.16,2019-02-12
2017-04-11,80.33,2353.78,2019-02-12
2017-04-12,80.18,2344.93,2019-02-12
2017-04-13,79.15,2328.95,2019-02-12
2017-04-17,80.0,2349.01,2019-02-12
2017-04-18,79.53,2342.19,2019-02-12
2017-04-19,80.0,2338.17,2019-02-12
2017-04-20,79.72,2355.84,2019-02-12
2017-04-21,78.92,2348.69,2019-02-12
2017-04-24,79.61,2374.15,2019-02-12
2017-04-25,80.57,2388.61,2019-02-12
2017-04-26,81.18,2387.45,2019-02-12
2017-04-27,82.42,2388.77,2019-02-12
2017-04-28,80.72,2384.2,2019-02-12
2017-05-01,79.31,2388.33,2019-02-12
2017-05-02,80.81,2391.17,2019-02-12
2017-05-03,79.87,2388.13,2019-02-12
2017-05-04,80.34,2389.52,2019-02-12
2017-05-05,82.11,2399.29,2019-02-12
2017-05-08,82.1,2399.38,2019-02-12
2017-05-09,84.05,2396.92,2019-02-12
2017-05-10,83.07,2399.63,2019-02-12
2017-05-11,79.23,2394.44,2019-02-12
2017-05-12,76.4,2390.9,2019-02-12
2017-05-15,76.55,2402.32,2019-02-12
2017-05-16,73.94,2400.67,2019-02-12
2017-05-17,72.75,2357.03,2019-02-12
2017-05-18,71.38,2365.72,2019-02-12
2017-05-19,69.29,2381.73,2019-02-12
2017-05-22,68.24,2394.02,2019-02-12
2017-05-23,67.7,2398.42,2019-02-12
2017-05-24,66.68,2404.39,2019-02-12
2017-05-25,66.52,2415.07,2019-02-12
2017-05-26,66.11,2415.82,2019-02-12
2017-05-30,67.34,2412.91,2019-02-12
2017-05-31,67.8,2411.8,2019-02-12
2017-06-01,69.5,2430.06,2019-02-12
2017-06-02,69.17,2439.07,2019-02-12
2017-06-05,69.16,2436.1,2019-02-12
2017-06-06,69.02,2429.33,2019-02-12
2017-06-07,69.13,2433.14,2019-02-12
2017-06-08,69.2,2433.79,2019-02-12
2017-06-09,70.15,2431.77,2019-02-12
2017-06-12,69.7,2429.39,2019-02-12
2017-06-13,70.03,2440.35,2019-02-12
2017-06-14,70.59,2437.92,2019-02-12
2017-06-15,71.57,2432.46,2019-02-12
2017-06-16,72.08,2433.15,2019-02-12
2017-06-19,71.43,2453.46,2019-02-12
2017-06-20,70.66,2437.03,2019-02-12
2017-06-21,70.91,2435.61,2019-02-12
2017-06-22,71.43,2434.5,2019-02-12
2017-06-23,72.73,2438.3,2019-02-12
2017-06-26,72.89,2439.07,2019-02-12
2017-06-27,72.88,2419.38,2019-02-12
2017-06-28,72.85,2440.69,2019-02-12
2017-06-29,73.31,2419.7,2019-02-12
