Date,Stock,Market,joined date
2020-01-02,100.24954985144,6041.5,2021-12-07
2020-01-03,100.763754435295,6044.16,2021-12-07
2020-01-06,101.714219516017,6013.59,2021-12-07
2020-01-07,100.978152947211,6012.35,2021-12-07
2020-01-08,100.885540603557,6031.0,2021-12-07
2020-01-09,101.632568573015,6042.55,2021-12-07
2020-01-10,102.566911306824,6037.11,2021-12-07
2020-01-13,101.966938312014,6036.14,2021-12-07
2020-01-14,101.026956415306,6040.89,2021-12-07
2020-01-15,101.725408611501,6032.61,2021-12-07
2020-01-16,101.475566492589,6039.03,2021-12-07
2020-01-17,101.686629041557,6100.72,2021-12-07
2020-01-20,101.421859572438,6078.54,2021-12-07
2020-01-21,100.717525156257,6045.99,2021-12-07
2020-01-22,98.0518106096737,6010.98,2021-12-07
2020-01-23,98.0810125882784,5971.79,2021-12-07
2020-01-24,97.714042262371,6024.26,2021-12-07
2020-01-27,95.0106007028216,5863.02,2021-12-07
2020-01-28,96.1085173675393,5925.82,2021-12-07
2020-01-29,97.1073892222158,5954.89,2021-12-07
2020-01-30,96.4039200547091,5871.77,2021-12-07
2020-01-31,95.9504686789356,5806.34,2021-12-07
2020-02-03,96.3630993453641,5832.51,2021-12-07
2020-02-04,97.2782162693372,5935.05,2021-12-07
2020-02-05,98.3800613631866,5985.4,2021-12-07
2020-02-06,102.290993137524,6038.18,2021-12-07
2020-02-07,101.870027247956,6029.75,2021-12-07
2020-02-10,101.435042054393,6015.67,2021-12-07
2020-02-11,101.980966984994,6054.76,2021-12-07
2020-02-12,100.497105057181,6104.73,2021-12-07
2020-02-13,99.617506585294,6093.14,2021-12-07
2020-02-14,99.374974007971,6069.35,2021-12-07
2020-02-17,99.487021949687,6085.95,2021-12-07
2020-02-18,100.594808460128,6056.82,2021-12-07
2020-02-19,101.028215821431,6111.24,2021-12-07
2020-02-20,100.294702336665,6062.3,2021-12-07
2020-02-21,100.670307400379,6029.72,2021-12-07
2020-02-24,98.8533472962263,5791.87,2021-12-07
2020-02-25,97.8767025674504,5679.68,2021-12-07
2020-02-26,98.374527850305,5684.55,2021-12-07
2020-02-27,96.758569606053,5495.6,2021-12-07
2020-02-28,92.050120723681,5309.9,2021-12-07
2020-03-02,94.7819383063749,5333.52,2021-12-07
2020-03-03,95.6689771889455,5393.17,2021-12-07
2020-03-04,99.2181161275957,5464.89,2021-12-07
2020-03-05,100.030709404784,5361.1,2021-12-07
2020-03-06,95.4897441684625,5139.11,2021-12-07
2020-03-09,91.0187673851579,4707.91,2021-12-07
2020-03-10,87.932801714415,4636.61,2021-12-07
2020-03-11,89.2509154413837,4610.25,2021-12-07
2020-03-12,81.6999776338892,4044.26,2021-12-07
2020-03-13,81.0961610216548,4118.36,2021-12-07
2020-03-16,85.2001453537128,3881.46,2021-12-07
2020-03-17,85.8138208968356,3991.78,2021-12-07
2020-03-18,82.6145993845077,3754.84,2021-12-07
2020-03-19,80.69293922711,3855.5,2021-12-07
2020-03-20,78.5635739493104,4048.8,2021-12-07
2020-03-23,76.8417979094075,3914.31,2021-12-07
2020-03-24,80.2016698308595,4242.7,2021-12-07
2020-03-25,83.1223463747933,4432.3,2021-12-07
2020-03-26,85.2408709940668,4543.58,2021-12-07
2020-03-27,85.330208205688,4351.49,2021-12-07
2020-03-30,88.4670002540565,4378.51,2021-12-07
2020-03-31,87.9254328884969,4396.12,2021-12-07
2020-04-01,86.0828827940018,4207.24,2021-12-07
2020-04-02,85.8333952125061,4220.96,2021-12-07
2020-04-03,87.4752777657689,4154.58,2021-12-07
2020-04-06,91.0624009927702,4346.14,2021-12-07
2020-04-07,90.990304455769,4438.27,2021-12-07
2020-04-08,88.5548368886718,4442.75,2021-12-07
2020-04-09,89.2757659862756,4506.85,2021-12-07
2020-04-14,90.2681049152968,4523.91,2021-12-07
2020-04-15,89.8499880022685,4353.72,2021-12-07
2020-04-16,91.4343742212298,4350.16,2021-12-07
2020-04-17,93.6619874709065,4499.01,2021-12-07
2020-04-20,95.5193191692734,4528.3,2021-12-07
2020-04-21,95.1316539108723,4357.46,2021-12-07
2020-04-22,94.9094811912903,4411.8,2021-12-07
2020-04-23,95.2880418970037,4451.0,2021-12-07
2020-04-24,97.8843087609957,4393.32,2021-12-07
2020-04-27,100.606180633006,4505.26,2021-12-07
2020-04-28,99.2104382349442,4569.79,2021-12-07
2020-04-29,98.1036511509065,4671.11,2021-12-07
2020-04-30,97.1974902227142,4572.18,2021-12-07
2020-05-04,95.9274982823114,4378.23,2021-12-07
2020-05-05,97.7878668660858,4483.13,2021-12-07
2020-05-06,99.2378750917494,4433.38,2021-12-07
2020-05-07,97.7877230039321,4501.44,2021-12-07
2020-05-08,96.5873573186194,4549.64,2021-12-07
2020-05-11,95.5859489307446,4490.22,2021-12-07
2020-05-12,98.194459869848,4472.5,2021-12-07
2020-05-13,96.2871203599554,4344.95,2021-12-07
2020-05-14,94.7730644568815,4273.13,2021-12-07
2020-05-15,93.8365850493164,4277.63,2021-12-07
2020-05-18,95.0473440125708,4498.34,2021-12-07
2020-05-19,94.3429871023402,4458.16,2021-12-07
2020-05-20,95.8093830954996,4496.98,2021-12-07
2020-05-21,94.7480757229042,4445.45,2021-12-07
2020-05-22,94.1836848587901,4444.56,2021-12-07
