Date,Stock,Market,joined date
2020-01-02,89.35,3257.85,2021-01-03
2020-01-03,88.83,3234.85,2021-01-03
2020-01-06,88.13,3246.28,2021-01-03
2020-01-07,87.86,3237.18,2021-01-03
2020-01-08,88.88,3253.05,2021-01-03
2020-01-09,90.53,3274.7,2021-01-03
2020-01-10,90.16,3265.35,2021-01-03
2020-01-13,91.08,3288.13,2021-01-03
2020-01-14,90.99,3283.15,2021-01-03
2020-01-15,91.54,3289.29,2021-01-03
2020-01-16,92.58,3316.81,2021-01-03
2020-01-17,93.62,3329.62,2021-01-03
2020-01-21,92.53,3320.79,2021-01-03
2020-01-22,92.53,3321.75,2021-01-03
2020-01-23,93.75,3325.54,2021-01-03
2020-01-24,92.03,3295.47,2021-01-03
2020-01-27,88.73,3243.63,2021-01-03
2020-01-28,88.6,3276.24,2021-01-03
2020-01-29,86.72,3273.4,2021-01-03
2020-01-30,85.84,3283.66,2021-01-03
2020-01-31,84.83,3225.52,2021-01-03
2020-02-03,86.01,3248.92,2021-01-03
2020-02-04,88.38,3297.59,2021-01-03
2020-02-05,87.56,3334.69,2021-01-03
2020-02-06,86.15,3345.78,2021-01-03
2020-02-07,86.42,3327.71,2021-01-03
2020-02-10,87.53,3352.09,2021-01-03
2020-02-11,87.51,3357.75,2021-01-03
2020-02-12,88.57,3379.45,2021-01-03
2020-02-13,89.925,3373.94,2021-01-03
2020-02-14,89.28,3380.16,2021-01-03
2020-02-18,89.23,3370.29,2021-01-03
2020-02-19,90.14,3386.15,2021-01-03
2020-02-20,88.6,3373.23,2021-01-03
2020-02-21,87.36,3337.75,2021-01-03
2020-02-24,84.52,3225.89,2021-01-03
2020-02-25,82.19,3128.21,2021-01-03
2020-02-26,80.67,3116.39,2021-01-03
2020-02-27,78.29,2978.76,2021-01-03
2020-02-28,78.43,2954.22,2021-01-03
2020-03-02,82.38,3090.23,2021-01-03
2020-03-03,78.6,3003.37,2021-01-03
2020-03-04,79.67,3130.12,2021-01-03
2020-03-05,76.19,3023.94,2021-01-03
2020-03-06,75.34,2972.37,2021-01-03
2020-03-09,70.83,2746.56,2021-01-03
2020-03-10,74.87,2882.23,2021-01-03
2020-03-11,68.3,2741.38,2021-01-03
2020-03-12,62.1,2480.64,2021-01-03
2020-03-13,69.92,2711.02,2021-01-03
2020-03-16,58.59,2386.13,2021-01-03
2020-03-17,58.98,2529.19,2021-01-03
2020-03-18,56.33,2398.1,2021-01-03
2020-03-19,61.41,2409.39,2021-01-03
2020-03-20,58.03,2304.92,2021-01-03
2020-03-23,56.55,2237.4,2021-01-03
2020-03-24,64.88,2447.33,2021-01-03
2020-03-25,65.81,2475.56,2021-01-03
2020-03-26,69.9,2630.07,2021-01-03
2020-03-27,66.34,2541.47,2021-01-03
2020-03-30,67.86,2626.65,2021-01-03
2020-03-31,65.74,2584.59,2021-01-03
2020-04-01,62.62,2470.5,2021-01-03
2020-04-02,65.0,2526.9,2021-01-03
2020-04-03,63.05,2488.65,2021-01-03
2020-04-06,67.79,2663.68,2021-01-03
2020-04-07,68.71,2659.41,2021-01-03
2020-04-08,71.57,2749.98,2021-01-03
2020-04-09,73.88,2789.82,2021-01-03
2020-04-13,71.76,2761.63,2021-01-03
2020-04-14,73.67,2846.06,2021-01-03
2020-04-15,72.55,2783.36,2021-01-03
2020-04-16,73.51,2799.55,2021-01-03
2020-04-17,77.1,2874.56,2021-01-03
2020-04-20,75.32,2823.16,2021-01-03
2020-04-21,72.72,2736.56,2021-01-03
2020-04-22,77.45,2799.31,2021-01-03
2020-04-23,75.15,2797.8,2021-01-03
2020-04-24,75.58,2836.74,2021-01-03
2020-04-27,77.74,2878.48,2021-01-03
2020-04-28,78.69,2863.39,2021-01-03
2020-04-29,76.86,2939.51,2021-01-03
2020-04-30,76.73,2912.43,2021-01-03
2020-05-01,73.79,2830.71,2021-01-03
2020-05-04,71.89,2842.74,2021-01-03
2020-05-05,72.9,2868.44,2021-01-03
2020-05-06,72.96,2848.42,2021-01-03
2020-05-07,76.0,2881.19,2021-01-03
2020-05-08,77.87,2929.8,2021-01-03
2020-05-11,75.87,2930.32,2021-01-03
2020-05-12,74.35,2870.12,2021-01-03
2020-05-13,73.62,2820.0,2021-01-03
2020-05-14,74.19,2852.5,2021-01-03
2020-05-15,74.16,2863.7,2021-01-03
2020-05-18,76.23,2953.91,2021-01-03
2020-05-19,75.86,2922.94,2021-01-03
2020-05-20,77.76,2971.61,2021-01-03
2020-05-21,78.05,2948.51,2021-01-03
2020-05-22,77.62,2955.45,2021-01-03
2020-05-26,77.76,2991.77,2021-01-03
2020-05-27,78.6,3036.13,2021-01-03
2020-05-28,78.54,3029.73,2021-01-03
2020-05-29,77.99,3044.31,2021-01-03
2020-06-01,78.32,3055.73,2021-01-03
2020-06-02,77.78,3080.82,2021-01-03
2020-06-03,79.58,3122.87,2021-01-03
2020-06-04,78.74,3112.35,2021-01-03
2020-06-05,82.14,3193.93,2021-01-03
2020-06-08,83.56,3232.39,2021-01-03
2020-06-09,82.37,3207.18,2021-01-03
2020-06-10,79.01,3190.14,2021-01-03
2020-06-11,72.57,3002.1,2021-01-03
2020-06-12,76.38,3041.31,2021-01-03
2020-06-15,76.96,3066.59,2021-01-03
2020-06-16,77.84,3124.74,2021-01-03
2020-06-17,77.1,3113.49,2021-01-03
2020-06-18,76.31,3115.34,2021-01-03
2020-06-19,75.4,3097.74,2021-01-03
2020-06-22,75.4,3117.86,2021-01-03
2020-06-23,75.49,3131.29,2021-01-03
2020-06-24,73.64,3050.33,2021-01-03
2020-06-25,73.85,3083.76,2021-01-03
2020-06-26,71.57,3009.05,2021-01-03
2020-06-29,73.48,3053.24,2021-01-03
2020-06-30,73.59,3100.29,2021-01-03
2020-07-01,74.03,3115.86,2021-01-03
2020-07-02,73.78,3130.01,2021-01-03
2020-07-06,75.44,3179.72,2021-01-03
2020-07-07,74.25,3145.32,2021-01-03
2020-07-08,74.14,3169.94,2021-01-03
2020-07-09,73.57,3152.05,2021-01-03
2020-07-10,74.29,3185.04,2021-01-03
2020-07-13,72.65,3155.22,2021-01-03
2020-07-14,72.73,3197.52,2021-01-03
2020-07-15,75.61,3226.56,2021-01-03
2020-07-16,74.39,3215.57,2021-01-03
2020-07-17,74.16,3224.73,2021-01-03
2020-07-20,74.96,3251.84,2021-01-03
2020-07-21,75.44,3257.3,2021-01-03
2020-07-22,77.24,3276.02,2021-01-03
2020-07-23,75.36,3235.66,2021-01-03
2020-07-24,75.78,3215.63,2021-01-03
2020-07-27,76.46,3239.41,2021-01-03
2020-07-28,74.64,3218.44,2021-01-03
2020-07-29,77.42,3258.44,2021-01-03
2020-07-30,76.64,3246.22,2021-01-03
2020-07-31,76.53,3271.12,2021-01-03
2020-08-03,75.5,3294.61,2021-01-03
2020-08-04,75.13,3306.51,2021-01-03
2020-08-05,75.78,3327.77,2021-01-03
2020-08-06,75.66,3349.16,2021-01-03
2020-08-07,75.79,3351.28,2021-01-03
2020-08-10,77.47,3360.47,2021-01-03
2020-08-11,78.87,3333.69,2021-01-03
2020-08-12,79.29,3380.35,2021-01-03
2020-08-13,79.02,3373.43,2021-01-03
2020-08-14,78.37,3372.85,2021-01-03
2020-08-17,78.95,3381.99,2021-01-03
2020-08-18,78.99,3389.78,2021-01-03
2020-08-19,77.63,3374.85,2021-01-03
2020-08-20,77.22,3385.51,2021-01-03
2020-08-21,77.07,3397.16,2021-01-03
2020-08-24,78.68,3431.28,2021-01-03
2020-08-25,82.72,3443.62,2021-01-03
2020-08-26,82.41,3478.73,2021-01-03
2020-08-27,83.41,3484.55,2021-01-03
2020-08-28,85.0,3508.01,2021-01-03
2020-08-31,84.47,3500.31,2021-01-03
2020-09-01,86.05,3526.65,2021-01-03
2020-09-02,88.35,3580.84,2021-01-03
2020-09-03,86.48,3455.06,2021-01-03
2020-09-04,86.27,3426.96,2021-01-03
2020-09-08,85.41,3331.84,2021-01-03
2020-09-09,85.86,3398.96,2021-01-03
2020-09-10,84.88,3339.19,2021-01-03
2020-09-11,85.27,3340.97,2021-01-03
2020-09-14,86.63,3383.54,2021-01-03
2020-09-15,87.71,3401.2,2021-01-03
2020-09-16,88.38,3385.49,2021-01-03
2020-09-17,86.75,3357.01,2021-01-03
2020-09-18,84.95,3319.47,2021-01-03
2020-09-21,83.89,3281.06,2021-01-03
2020-09-22,83.95,3315.57,2021-01-03
2020-09-23,82.99,3236.92,2021-01-03
2020-09-24,83.04,3246.59,2021-01-03
2020-09-25,84.3,3298.46,2021-01-03
2020-09-28,86.07,3351.6,2021-01-03
2020-09-29,84.8,3335.47,2021-01-03
2020-09-30,85.92,3363.0,2021-01-03
2020-10-01,86.74,3380.8,2021-01-03
2020-10-02,86.57,3348.44,2021-01-03
2020-10-05,88.47,3408.63,2021-01-03
2020-10-06,87.01,3360.95,2021-01-03
2020-10-07,88.45,3419.45,2021-01-03
2020-10-08,89.53,3446.83,2021-01-03
2020-10-09,90.01,3477.13,2021-01-03
2020-10-12,90.78,3534.22,2021-01-03
2020-10-13,90.16,3511.93,2021-01-03
2020-10-14,89.31,3488.67,2021-01-03
2020-10-15,88.83,3483.34,2021-01-03
2020-10-16,88.52,3483.81,2021-01-03
2020-10-19,87.6,3426.92,2021-01-03
2020-10-20,88.51,3443.12,2021-01-03
2020-10-21,88.27,3435.56,2021-01-03
2020-10-22,89.36,3453.49,2021-01-03
2020-10-23,90.8,3465.39,2021-01-03
2020-10-26,89.66,3400.97,2021-01-03
2020-10-27,90.05,3390.68,2021-01-03
2020-10-28,87.17,3271.03,2021-01-03
2020-10-29,88.3,3310.11,2021-01-03
2020-10-30,86.96,3269.96,2021-01-03
2020-11-02,85.97,3310.24,2021-01-03
2020-11-03,88.39,3369.02,2021-01-03
2020-11-04,89.79,3443.44,2021-01-03
2020-11-05,90.62,3510.45,2021-01-03
2020-11-06,90.65,3509.44,2021-01-03
2020-11-09,95.88,3550.5,2021-01-03
2020-11-10,93.92,3545.53,2021-01-03
2020-11-11,95.04,3572.66,2021-01-03
2020-11-12,93.53,3537.01,2021-01-03
2020-11-13,95.56,3585.15,2021-01-03
2020-11-16,97.78,3626.91,2021-01-03
2020-11-17,98.6,3609.53,2021-01-03
2020-11-18,97.91,3567.79,2021-01-03
2020-11-19,97.76,3581.87,2021-01-03
2020-11-20,97.01,3557.54,2021-01-03
2020-11-23,96.88,3577.59,2021-01-03
2020-11-24,98.3,3635.41,2021-01-03
2020-11-25,98.2,3629.65,2021-01-03
2020-11-27,98.66,3638.35,2021-01-03
2020-11-30,98.02,3621.63,2021-01-03
2020-12-01,98.82,3662.45,2021-01-03
2020-12-02,98.91,3669.01,2021-01-03
2020-12-03,100.11,3666.72,2021-01-03
2020-12-04,102.28,3699.12,2021-01-03
2020-12-07,101.41,3691.96,2021-01-03
2020-12-08,101.21,3702.25,2021-01-03
2020-12-09,100.4,3672.82,2021-01-03
2020-12-10,105.39,3668.1,2021-01-03
2020-12-11,103.0,3663.46,2021-01-03
2020-12-14,103.32,3647.49,2021-01-03
2020-12-15,104.18,3694.62,2021-01-03
2020-12-16,103.27,3701.17,2021-01-03
2020-12-17,103.21,3722.48,2021-01-03
2020-12-18,103.28,3709.41,2021-01-03
2020-12-21,102.94,3694.92,2021-01-03
2020-12-22,102.41,3687.26,2021-01-03
2020-12-23,102.06,3690.01,2021-01-03
2020-12-24,102.01,3703.06,2021-01-03
2020-12-28,104.34,3735.36,2021-01-03
2020-12-29,105.63,3727.04,2021-01-03
2020-12-30,105.97,3732.04,2021-01-03
2020-12-31,106.98,3756.07,2021-01-03
2021-01-04,103.1,3700.65,2021-01-03
2021-01-05,103.44,3726.86,2021-01-03
2021-01-06,104.19,3748.14,2021-01-03
2021-01-07,103.35,3803.79,2021-01-03
2021-01-08,105.67,3824.68,2021-01-03
2021-01-11,104.6,3799.61,2021-01-03
2021-01-12,102.82,3801.19,2021-01-03
2021-01-13,102.89,3809.84,2021-01-03
2021-01-14,101.82,3795.54,2021-01-03
2021-01-15,102.33,3768.25,2021-01-03
2021-01-19,102.54,3798.91,2021-01-03
2021-01-20,105.46,3851.85,2021-01-03
2021-01-21,104.58,3853.07,2021-01-03
2021-01-22,103.91,3841.47,2021-01-03
2021-01-25,103.45,3855.36,2021-01-03
2021-01-26,104.69,3849.62,2021-01-03
2021-01-27,97.87,3750.77,2021-01-03
2021-01-28,98.15,3787.38,2021-01-03
2021-01-29,96.81,3714.24,2021-01-03
2021-02-01,98.58,3773.86,2021-01-03
2021-02-02,101.65,3826.31,2021-01-03
2021-02-03,101.02,3830.17,2021-01-03
2021-02-04,103.64,3871.74,2021-01-03
2021-02-05,106.48,3886.83,2021-01-03
2021-02-08,106.26,3915.59,2021-01-03
2021-02-09,106.22,3911.23,2021-01-03
2021-02-10,105.87,3909.88,2021-01-03
2021-02-11,105.86,3916.38,2021-01-03
2021-02-12,105.3,3934.83,2021-01-03
2021-02-16,106.15,3932.59,2021-01-03
2021-02-17,104.44,3931.33,2021-01-03
2021-02-18,104.97,3913.97,2021-01-03
2021-02-19,103.37,3906.71,2021-01-03
2021-02-22,101.81,3876.5,2021-01-03
2021-02-23,101.37,3881.37,2021-01-03
2021-02-24,104.38,3925.43,2021-01-03
2021-02-25,103.47,3829.34,2021-01-03
2021-02-26,108.03,3811.15,2021-01-03
2021-03-01,106.87,3901.82,2021-01-03
2021-03-02,107.2,3870.29,2021-01-03
2021-03-03,106.22,3819.72,2021-01-03
2021-03-04,104.89,3768.47,2021-01-03
2021-03-05,105.2,3841.94,2021-01-03
2021-03-08,105.03,3821.35,2021-01-03
2021-03-09,106.55,3875.44,2021-01-03
2021-03-10,107.78,3898.81,2021-01-03
2021-03-11,107.32,3939.34,2021-01-03
2021-03-12,107.81,3943.34,2021-01-03
2021-03-15,108.9,3968.94,2021-01-03
2021-03-16,111.34,3962.71,2021-01-03
2021-03-17,110.46,3974.12,2021-01-03
2021-03-18,107.62,3915.46,2021-01-03
2021-03-19,106.34,3913.1,2021-01-03
2021-03-22,107.57,3940.59,2021-01-03
2021-03-23,106.25,3910.52,2021-01-03
2021-03-24,104.97,3889.14,2021-01-03
2021-03-25,107.35,3909.52,2021-01-03
2021-03-26,109.9,3974.54,2021-01-03
2021-03-29,109.13,3971.09,2021-01-03
2021-03-30,110.27,3958.55,2021-01-03
2021-03-31,109.27,3972.89,2021-01-03
2021-04-01,109.38,4019.87,2021-01-03
2021-04-05,111.02,4077.91,2021-01-03
2021-04-06,113.15,4073.94,2021-01-03
2021-04-07,113.19,4079.95,2021-01-03
2021-04-08,113.04,4097.17,2021-01-03
2021-04-09,113.18,4128.8,2021-01-03
2021-04-12,113.81,4127.99,2021-01-03
2021-04-13,115.36,4141.59,2021-01-03
2021-04-14,115.16,4124.66,2021-01-03
2021-04-15,116.66,4170.42,2021-01-03
2021-04-16,118.34,4185.47,2021-01-03
2021-04-19,117.6,4163.26,2021-01-03
2021-04-20,116.27,4134.94,2021-01-03
2021-04-21,116.74,4173.42,2021-01-03
2021-04-22,115.92,4134.98,2021-01-03
2021-04-23,117.56,4180.17,2021-01-03
2021-04-26,115.92,4187.62,2021-01-03
2021-04-27,116.15,4186.72,2021-01-03
2021-04-28,112.4,4183.18,2021-01-03
2021-04-29,114.63,4211.47,2021-01-03
2021-04-30,114.49,4181.17,2021-01-03
2021-05-03,115.72,4192.66,2021-01-03
2021-05-04,114.11,4164.66,2021-01-03
2021-05-05,113.48,4167.59,2021-01-03
2021-05-06,114.74,4201.62,2021-01-03
2021-05-07,114.34,4232.6,2021-01-03
2021-05-10,114.3,4188.43,2021-01-03
2021-05-11,113.55,4152.1,2021-01-03
2021-05-12,109.79,4063.04,2021-01-03
2021-05-13,110.49,4112.5,2021-01-03
2021-05-14,111.2,4173.85,2021-01-03
2021-05-17,110.98,4163.29,2021-01-03
2021-05-18,111.07,4127.83,2021-01-03
2021-05-19,109.67,4115.68,2021-01-03
2021-05-20,111.41,4159.12,2021-01-03
2021-05-21,110.92,4155.86,2021-01-03
2021-05-24,112.52,4197.05,2021-01-03
2021-05-25,112.63,4188.13,2021-01-03
2021-05-26,112.85,4195.99,2021-01-03
2021-05-27,113.51,4200.88,2021-01-03
2021-05-28,113.88,4204.11,2021-01-03
2021-06-01,113.34,4202.04,2021-01-03
2021-06-02,113.0,4208.12,2021-01-03
2021-06-03,111.12,4192.85,2021-01-03
2021-06-04,111.99,4229.89,2021-01-03
2021-06-07,111.33,4226.52,2021-01-03
2021-06-08,111.52,4227.26,2021-01-03
2021-06-09,111.39,4219.55,2021-01-03
2021-06-10,112.21,4239.18,2021-01-03
2021-06-11,112.56,4247.44,2021-01-03
2021-06-14,112.45,4255.15,2021-01-03
2021-06-15,111.89,4246.59,2021-01-03
2021-06-16,111.36,4223.7,2021-01-03
2021-06-17,111.39,4221.86,2021-01-03
2021-06-18,109.7,4166.45,2021-01-03
2021-06-21,110.97,4224.79,2021-01-03
2021-06-22,111.85,4246.44,2021-01-03
2021-06-23,111.56,4241.84,2021-01-03
2021-06-24,111.99,4266.49,2021-01-03
2021-06-25,113.04,4280.7,2021-01-03
2021-06-28,112.24,4290.61,2021-01-03
2021-06-29,112.27,4291.8,2021-01-03
2021-06-30,111.81,4297.5,2021-01-03
2021-07-01,113.41,4319.94,2021-01-03
2021-07-02,114.97,4352.34,2021-01-03
2021-07-06,115.73,4343.54,2021-01-03
2021-07-07,117.14,4358.13,2021-01-03
2021-07-08,115.99,4320.82,2021-01-03
2021-07-09,117.47,4369.55,2021-01-03
2021-07-12,118.46,4384.63,2021-01-03
2021-07-13,119.55,4369.21,2021-01-03
2021-07-14,119.8,4374.3,2021-01-03
2021-07-15,118.97,4360.03,2021-01-03
2021-07-16,118.73,4327.16,2021-01-03
2021-07-19,115.32,4258.49,2021-01-03
2021-07-20,117.42,4323.06,2021-01-03
2021-07-21,119.27,4358.69,2021-01-03
2021-07-22,122.63,4367.48,2021-01-03
2021-07-23,125.97,4411.79,2021-01-03
2021-07-26,126.06,4422.3,2021-01-03
2021-07-27,126.03,4401.46,2021-01-03
2021-07-28,122.41,4400.64,2021-01-03
2021-07-29,122.38,4419.15,2021-01-03
2021-07-30,121.43,4395.26,2021-01-03
2021-08-02,120.37,4387.16,2021-01-03
2021-08-03,119.13,4423.15,2021-01-03
2021-08-04,118.25,4402.66,2021-01-03
2021-08-05,119.03,4429.1,2021-01-03
2021-08-06,119.05,4436.52,2021-01-03
2021-08-09,117.94,4432.35,2021-01-03
2021-08-10,116.39,4436.75,2021-01-03
2021-08-11,116.5,4447.7,2021-01-03
2021-08-12,115.75,4460.83,2021-01-03
2021-08-13,116.76,4468.0,2021-01-03
2021-08-16,117.54,4479.71,2021-01-03
2021-08-17,116.57,4448.08,2021-01-03
2021-08-18,115.68,4400.27,2021-01-03
2021-08-19,114.32,4405.8,2021-01-03
2021-08-20,114.63,4441.67,2021-01-03
2021-08-23,115.15,4479.53,2021-01-03
2021-08-24,115.08,4486.23,2021-01-03
2021-08-25,115.57,4496.19,2021-01-03
2021-08-26,114.32,4470.0,2021-01-03
2021-08-27,115.12,4509.37,2021-01-03
2021-08-30,115.61,4528.79,2021-01-03
