Date,Stock,Market,joined date
2017-01-02,69.1205688591449,4882.38,2019-07-29
2017-01-03,68.2813654192285,4899.33,2019-07-29
2017-01-04,69.0400041944107,4899.4,2019-07-29
2017-01-05,70.0221602536236,4900.64,2019-07-29
2017-01-06,69.9611443975273,4909.84,2019-07-29
2017-01-09,70.240725665775,4887.57,2019-07-29
2017-01-10,71.0320810468555,4888.23,2019-07-29
2017-01-11,70.854228824139,4888.71,2019-07-29
2017-01-12,71.4050779302075,4863.97,2019-07-29
2017-01-13,72.1992849238104,4922.49,2019-07-29
2017-01-16,71.4119143523426,4882.18,2019-07-29
2017-01-17,72.1348001671075,4859.69,2019-07-29
2017-01-18,71.6571173450403,4853.4,2019-07-29
2017-01-19,72.0287475208464,4841.14,2019-07-29
2017-01-20,72.2714968919512,4850.67,2019-07-29
2017-01-23,72.2279614325072,4821.41,2019-07-29
2017-01-24,72.6418232346538,4830.03,2019-07-29
2017-01-25,73.8329304324469,4877.67,2019-07-29
2017-01-26,73.0404878621856,4867.24,2019-07-29
2017-01-27,72.9547641963428,4839.98,2019-07-29
2017-01-30,71.9570609870838,4784.64,2019-07-29
2017-01-31,71.4848599341502,4748.9,2019-07-29
2017-02-01,73.625048451699,4794.58,2019-07-29
2017-02-02,73.2943176194676,4794.29,2019-07-29
2017-02-03,73.1273448617881,4825.42,2019-07-29
2017-02-06,72.0934732135181,4778.08,2019-07-29
2017-02-07,71.8336483931949,4754.47,2019-07-29
2017-02-08,71.7235034872278,4766.6,2019-07-29
2017-02-09,71.7443879779672,4826.24,2019-07-29
2017-02-10,71.7849430337332,4828.32,2019-07-29
2017-02-13,72.7168683636058,4888.19,2019-07-29
2017-02-14,72.3465016658736,4895.82,2019-07-29
2017-02-15,72.9887554712419,4924.86,2019-07-29
2017-02-16,70.4353115695337,4899.46,2019-07-29
2017-02-17,69.0350374567603,4867.58,2019-07-29
2017-02-20,69.1173350307658,4864.99,2019-07-29
2017-02-21,69.5518425654745,4888.76,2019-07-29
2017-02-22,69.1140149036332,4895.88,2019-07-29
2017-02-23,68.5412633427488,4891.29,2019-07-29
2017-02-24,67.6156583629895,4845.24,2019-07-29
2017-02-27,67.9135837752584,4845.18,2019-07-29
2017-02-28,67.5634233262479,4858.58,2019-07-29
2017-03-01,68.8335108570704,4960.83,2019-07-29
2017-03-02,68.4148596402755,4963.8,2019-07-29
2017-03-03,69.3485694866297,4995.13,2019-07-29
2017-03-06,68.9472793433191,4972.19,2019-07-29
2017-03-07,68.9578667117439,4955.0,2019-07-29
2017-03-08,68.7351137154057,4960.48,2019-07-29
2017-03-09,68.2190708839607,4981.51,2019-07-29
2017-03-10,69.6262629495675,4993.32,2019-07-29
2017-03-13,69.3725364866306,4999.6,2019-07-29
2017-03-14,69.0825046118612,4974.26,2019-07-29
2017-03-15,70.8958027023257,4985.48,2019-07-29
2017-03-16,71.5162213945879,5013.38,2019-07-29
2017-03-17,72.145579472865,5029.24,2019-07-29
2017-03-20,72.6571894863426,5012.16,2019-07-29
2017-03-21,72.510916086637,5002.43,2019-07-29
2017-03-22,71.6791709397096,4994.7,2019-07-29
2017-03-23,72.4311155189517,5032.76,2019-07-29
2017-03-24,72.6748580189595,5020.9,2019-07-29
2017-03-27,72.0718763240515,5017.43,2019-07-29
2017-03-28,72.14834036112,5046.2,2019-07-29
2017-03-29,72.7781665500351,5069.04,2019-07-29
2017-03-30,72.9884934782146,5089.64,2019-07-29
2017-03-31,73.0837220198923,5122.51,2019-07-29
2017-04-03,72.8839958181311,5085.91,2019-07-29
2017-04-04,73.2420520154105,5101.13,2019-07-29
2017-04-05,73.0240641426152,5091.85,2019-07-29
2017-04-06,73.6003064905763,5121.44,2019-07-29
2017-04-07,73.427424904973,5135.28,2019-07-29
2017-04-10,73.0704857947926,5107.45,2019-07-29
2017-04-11,73.1112571828414,5101.86,2019-07-29
2017-04-12,73.3046825845394,5101.11,2019-07-29
2017-04-13,72.5648127513718,5071.1,2019-07-29
2017-04-18,72.4841434228743,4990.25,2019-07-29
2017-04-19,72.8215123314664,5003.73,2019-07-29
2017-04-20,75.0192851632808,5077.91,2019-07-29
2017-04-21,75.7258851669511,5059.2,2019-07-29
2017-04-24,80.6328921344897,5268.85,2019-07-29
2017-04-25,80.7577594965749,5277.88,2019-07-29
2017-04-26,80.0824265683945,5287.88,2019-07-29
2017-04-27,79.518150882267,5271.7,2019-07-29
2017-04-28,78.9889415481835,5267.33,2019-07-29
2017-05-02,79.0025787840377,5304.15,2019-07-29
2017-05-03,78.4047010174654,5301.0,2019-07-29
2017-05-04,79.9740778981129,5372.42,2019-07-29
2017-05-05,81.9131390874109,5432.4,2019-07-29
2017-05-08,77.3498765809648,5382.95,2019-07-29
2017-05-09,77.3872296937348,5398.01,2019-07-29
2017-05-10,76.6923829186132,5400.46,2019-07-29
2017-05-11,76.6348440911017,5383.42,2019-07-29
2017-05-12,76.6053241246665,5405.42,2019-07-29
2017-05-15,77.4472474295811,5417.4,2019-07-29
2017-05-16,78.2503657076997,5406.1,2019-07-29
2017-05-17,76.9565508468903,5317.89,2019-07-29
2017-05-18,75.775404631336,5289.73,2019-07-29
2017-05-19,76.747260626975,5324.4,2019-07-29
2017-05-22,76.8089887640451,5322.88,2019-07-29
2017-05-23,77.5810978541637,5348.16,2019-07-29
2017-05-24,77.7453729669095,5341.34,2019-07-29
2017-05-25,77.4430022193823,5337.16,2019-07-29
2017-05-26,77.1114515425645,5336.64,2019-07-29
2017-05-29,76.863822091232,5332.47,2019-07-29
2017-05-30,76.9729705550151,5305.94,2019-07-29
2017-05-31,77.068345323741,5283.63,2019-07-29
2017-06-01,77.199040337227,5318.67,2019-07-29
2017-06-02,78.5317872129223,5343.41,2019-07-29
2017-06-05,76.9975133055031,5307.89,2019-07-29
2017-06-06,76.4104992558514,5269.22,2019-07-29
2017-06-07,76.6919154970792,5265.53,2019-07-29
2017-06-08,76.4996075793253,5264.24,2019-07-29
2017-06-09,77.1348628987127,5299.71,2019-07-29
2017-06-12,75.5325582958135,5240.59,2019-07-29
2017-06-13,75.7507793751544,5261.74,2019-07-29
2017-06-14,75.0644980370161,5243.29,2019-07-29
2017-06-15,74.4356042878475,5216.88,2019-07-29
2017-06-16,75.6354271638116,5263.31,2019-07-29
2017-06-19,77.1443223116538,5310.72,2019-07-29
2017-06-20,76.6798418972333,5293.65,2019-07-29
2017-06-21,77.0227115388913,5274.26,2019-07-29
2017-06-22,78.5629864192851,5281.93,2019-07-29
2017-06-23,78.5226636821486,5266.12,2019-07-29
2017-06-26,78.3316378433365,5295.75,2019-07-29
2017-06-27,78.4178126452549,5258.58,2019-07-29
2017-06-28,78.4947215143796,5252.9,2019-07-29
2017-06-29,77.5285140654138,5154.35,2019-07-29
2017-06-30,76.8422375289854,5120.68,2019-07-29
2017-07-03,77.4299086654248,5195.72,2019-07-29
2017-07-04,76.5697305144721,5174.9,2019-07-29
2017-07-05,77.1029628788739,5180.1,2019-07-29
2017-07-06,76.9617361507708,5152.4,2019-07-29
2017-07-07,76.8362612432883,5145.16,2019-07-29
2017-07-10,77.1028303714937,5165.64,2019-07-29
2017-07-11,77.72121712412,5140.6,2019-07-29
2017-07-12,78.763606490039,5222.13,2019-07-29
2017-07-13,78.8873948813785,5235.4,2019-07-29
2017-07-14,78.755145802516,5235.31,2019-07-29
2017-07-17,78.303088736614,5230.17,2019-07-29
2017-07-18,78.5883440189454,5173.27,2019-07-29
2017-07-19,78.8016257728754,5216.07,2019-07-29
2017-07-20,78.5887059261327,5199.22,2019-07-29
2017-07-21,76.3678343206308,5117.66,2019-07-29
2017-07-24,76.1128891475127,5127.7,2019-07-29
2017-07-25,76.5000582546896,5161.08,2019-07-29
2017-07-26,77.5484824665342,5190.17,2019-07-29
2017-07-27,80.0971440580998,5186.95,2019-07-29
2017-07-28,78.678354052593,5131.39,2019-07-29
2017-07-31,78.5588273600209,5093.77,2019-07-29
2017-08-01,78.9601010160613,5127.03,2019-07-29
2017-08-02,79.8838311996208,5107.25,2019-07-29
2017-08-03,79.9549014953716,5130.49,2019-07-29
2017-08-04,80.9640369045377,5203.44,2019-07-29
2017-08-07,81.5368649464595,5207.89,2019-07-29
2017-08-08,82.4776182531662,5218.89,2019-07-29
2017-08-09,79.9943566591424,5145.7,2019-07-29
2017-08-10,78.9058637979334,5115.23,2019-07-29
2017-08-11,78.5324224013617,5060.92,2019-07-29
2017-08-14,79.1717704701782,5121.67,2019-07-29
2017-08-15,79.4086589229144,5140.25,2019-07-29
2017-08-16,80.5403878742233,5176.61,2019-07-29
2017-08-17,79.5174790743475,5146.85,2019-07-29
2017-08-18,79.5211327233812,5114.15,2019-07-29
2017-08-21,79.2368125701459,5087.59,2019-07-29
2017-08-22,80.0620928099348,5131.86,2019-07-29
2017-08-23,79.9433360878293,5115.39,2019-07-29
2017-08-24,79.4294949685609,5113.13,2019-07-29
2017-08-25,80.4874558809499,5104.33,2019-07-29
2017-08-28,80.0186842010708,5079.75,2019-07-29
2017-08-29,79.2189445455417,5031.92,2019-07-29
2017-08-30,79.0324113677407,5056.34,2019-07-29
2017-08-31,80.65303595032,5085.59,2019-07-29
2017-09-01,81.2919443192866,5123.26,2019-07-29
2017-09-04,81.9445931318323,5103.97,2019-07-29
2017-09-05,82.2761438492415,5086.56,2019-07-29
2017-09-06,82.4516252025542,5101.41,2019-07-29
2017-09-07,83.3894311679571,5114.62,2019-07-29
2017-09-08,83.7133746465314,5113.49,2019-07-29
2017-09-11,85.1986853899016,5176.71,2019-07-29
2017-09-12,85.6695023750554,5209.01,2019-07-29
2017-09-13,86.5581174233423,5217.59,2019-07-29
2017-09-14,86.1072377751559,5225.2,2019-07-29
2017-09-15,85.3782315362112,5213.91,2019-07-29
2017-09-18,86.3173495243107,5229.32,2019-07-29
2017-09-19,86.6181390830928,5237.44,2019-07-29
2017-09-20,85.9721512063449,5241.66,2019-07-29
2017-09-21,86.9279719194359,5267.29,2019-07-29
2017-09-22,86.2934455227809,5281.29,2019-07-29
2017-09-25,85.563334399469,5267.13,2019-07-29
2017-09-26,85.0725150336048,5268.76,2019-07-29
2017-09-27,84.9724626278523,5281.96,2019-07-29
2017-09-28,86.1762175793358,5293.77,2019-07-29
2017-09-29,86.9714150720528,5329.81,2019-07-29
2017-10-02,86.4975190906849,5350.44,2019-07-29
2017-10-03,87.1377577380112,5367.41,2019-07-29
2017-10-04,87.3108265424912,5363.23,2019-07-29
2017-10-05,86.4433176809493,5379.21,2019-07-29
2017-10-06,87.0468145019358,5359.9,2019-07-29
2017-10-09,87.2091658253707,5365.83,2019-07-29
2017-10-10,87.6710388061813,5363.65,2019-07-29
2017-10-11,87.7540373259976,5362.41,2019-07-29
2017-10-12,87.1205848257588,5360.81,2019-07-29
2017-10-13,86.4779874213836,5351.74,2019-07-29
2017-10-16,86.386261234696,5362.88,2019-07-29
2017-10-17,86.1267663634976,5361.37,2019-07-29
2017-10-18,86.4578790414787,5383.81,2019-07-29
2017-10-19,86.6236905721189,5368.29,2019-07-29
2017-10-20,86.2987227223453,5372.38,2019-07-29
2017-10-23,85.8471948125176,5386.81,2019-07-29
2017-10-24,85.8644653755247,5394.8,2019-07-29
2017-10-25,86.3217576187101,5374.89,2019-07-29
2017-10-26,85.6740100422891,5455.4,2019-07-29
2017-10-27,86.723855734965,5494.13,2019-07-29
2017-10-30,87.088206514142,5493.63,2019-07-29
2017-10-31,87.8541237293467,5503.29,2019-07-29
2017-11-01,87.4176647576124,5514.29,2019-07-29
2017-11-02,86.6271141002183,5510.5,2019-07-29
2017-11-03,86.9827636237017,5517.97,2019-07-29
2017-11-06,86.196888785698,5507.25,2019-07-29
2017-11-07,85.7285186343682,5480.64,2019-07-29
2017-11-08,85.5099178056783,5471.43,2019-07-29
2017-11-09,83.5748623575562,5407.75,2019-07-29
2017-11-10,83.332361414026,5380.72,2019-07-29
2017-11-13,82.7277287202397,5341.63,2019-07-29
2017-11-14,83.6459291763987,5315.58,2019-07-29
2017-11-15,83.4453484258934,5301.25,2019-07-29
2017-11-16,84.1365674540126,5336.39,2019-07-29
2017-11-17,83.5062974668615,5319.17,2019-07-29
2017-11-20,83.5317995706087,5340.45,2019-07-29
2017-11-21,83.0976162251618,5366.15,2019-07-29
2017-11-22,83.7332450769486,5352.76,2019-07-29
2017-11-23,85.0831871830114,5379.54,2019-07-29
2017-11-24,85.5980530171077,5390.46,2019-07-29
2017-11-27,84.8302443434611,5360.09,2019-07-29
2017-11-28,84.8023488462946,5390.48,2019-07-29
2017-11-29,85.8784504205661,5398.05,2019-07-29
2017-11-30,85.9448458086862,5372.79,2019-07-29
2017-12-01,84.4003756940235,5316.89,2019-07-29
2017-12-04,84.8983853171823,5389.29,2019-07-29
2017-12-05,84.1866294605906,5375.53,2019-07-29
2017-12-06,83.2841876813474,5374.35,2019-07-29
2017-12-07,83.9385557059622,5383.86,2019-07-29
2017-12-08,83.7244867948946,5399.09,2019-07-29
2017-12-11,83.6471474298625,5386.83,2019-07-29
2017-12-12,84.3635168292653,5427.19,2019-07-29
2017-12-13,83.5077512504877,5399.45,2019-07-29
2017-12-14,83.2165443817646,5357.14,2019-07-29
2017-12-15,83.685892915903,5349.3,2019-07-29
2017-12-18,85.2241935863903,5420.58,2019-07-29
2017-12-19,84.6651040556855,5382.91,2019-07-29
2017-12-20,84.7922329175222,5352.77,2019-07-29
2017-12-21,85.7702582368657,5385.97,2019-07-29
2017-12-22,85.7501956413478,5364.72,2019-07-29
2017-12-27,85.483698429867,5368.84,2019-07-29
2017-12-28,85.2110573765599,5339.42,2019-07-29
2017-12-29,85.0037787454564,5312.56,2019-07-29
2018-01-02,84.4234919639738,5288.6,2019-07-29
2018-01-03,85.2372372372372,5331.28,2019-07-29
2018-01-04,87.1716281932162,5413.69,2019-07-29
2018-01-05,88.0934338878265,5470.75,2019-07-29
2018-01-08,87.7753448915372,5487.42,2019-07-29
2018-01-09,88.892071562414,5523.94,2019-07-29
2018-01-10,88.1063583262662,5504.68,2019-07-29
2018-01-11,88.6199304611459,5488.55,2019-07-29
2018-01-12,91.1682994589854,5517.06,2019-07-29
2018-01-15,91.4430044507654,5509.69,2019-07-29
2018-01-16,91.6970075882952,5513.82,2019-07-29
2018-01-17,90.9168443496804,5493.99,2019-07-29
2018-01-18,92.022663028182,5494.83,2019-07-29
2018-01-19,92.4321483997899,5526.51,2019-07-29
2018-01-22,92.9063580413411,5541.99,2019-07-29
2018-01-23,93.8011091845895,5535.26,2019-07-29
2018-01-24,93.8639803488578,5495.16,2019-07-29
2018-01-25,92.6894568531692,5481.21,2019-07-29
2018-01-26,93.6390054891828,5529.15,2019-07-29
2018-01-29,93.7736012579083,5521.59,2019-07-29
2018-01-30,92.7273854547709,5473.78,2019-07-29
2018-01-31,93.7465068620752,5481.93,2019-07-29
2018-02-01,93.0343093722245,5454.55,2019-07-29
2018-02-02,90.1852797886788,5364.98,2019-07-29
2018-02-05,88.820183032402,5285.83,2019-07-29
2018-02-06,87.1513081359373,5161.81,2019-07-29
2018-02-07,87.5504273294665,5255.9,2019-07-29
2018-02-08,85.127225528372,5151.68,2019-07-29
2018-02-09,84.8237222616398,5079.21,2019-07-29
2018-02-12,85.5457227138646,5140.06,2019-07-29
2018-02-13,84.8935434471178,5109.24,2019-07-29
2018-02-14,86.1901560982896,5165.26,2019-07-29
2018-02-15,89.5358143257301,5222.52,2019-07-29
2018-02-16,89.5074362123071,5281.58,2019-07-29
2018-02-19,89.2059553349879,5256.18,2019-07-29
2018-02-20,89.4601796111714,5289.86,2019-07-29
2018-02-21,88.8479489069027,5302.17,2019-07-29
2018-02-22,88.8669707804217,5309.23,2019-07-29
2018-02-23,88.5097176294146,5317.37,2019-07-29
2018-02-26,88.7493072233515,5344.26,2019-07-29
2018-02-27,88.2349343803125,5343.93,2019-07-29
2018-02-28,87.2777818421244,5320.49,2019-07-29
2018-03-01,86.7026496565262,5262.56,2019-07-29
2018-03-02,84.2971338481814,5136.58,2019-07-29
2018-03-05,86.2217836437644,5167.23,2019-07-29
2018-03-06,86.4421073519199,5170.23,2019-07-29
2018-03-07,86.7600878771709,5187.83,2019-07-29
2018-03-08,86.9575921708624,5254.1,2019-07-29
2018-03-09,87.5867500123051,5274.4,2019-07-29
2018-03-12,87.3103958564559,5276.71,2019-07-29
2018-03-13,87.614752778225,5242.79,2019-07-29
2018-03-14,87.7177797287106,5233.36,2019-07-29
2018-03-15,87.9986219455179,5267.26,2019-07-29
2018-03-16,88.8348262007446,5282.75,2019-07-29
2018-03-19,88.1319142113635,5222.84,2019-07-29
2018-03-20,89.0096574009478,5252.43,2019-07-29
2018-03-21,89.1887891049047,5239.74,2019-07-29
2018-03-22,86.345801404657,5167.21,2019-07-29
