Date,Stock,Market,joined date
2020-01-03,256.452442159383,10699.82,2021-06-24
2020-01-06,258.471074380165,10665.41,2021-06-24
2020-01-07,256.571487475519,10686.8,2021-06-24
2020-01-08,251.82294341173,10652.16,2021-06-24
2020-01-09,250.950570342204,10650.97,2021-06-24
2020-01-10,250.951352463231,10639.49,2021-06-24
2020-01-13,255.485731946019,10622.41,2021-06-24
2020-01-14,260.235732009927,10655.82,2021-06-24
2020-01-15,261.072502852402,10670.74,2021-06-24
2020-01-16,258.917461634177,10693.52,2021-06-24
2020-01-17,265.909090909091,10841.82,2021-06-24
2020-01-20,264.490133278231,10846.29,2021-06-24
2020-01-21,272.20156959934,10884.51,2021-06-24
2020-01-22,264.441459129897,10895.07,2021-06-24
2020-01-23,261.174770310725,10813.94,2021-06-24
2020-01-24,263.336766220392,10849.75,2021-06-24
2020-01-27,257.685166082113,10675.96,2021-06-24
2020-01-28,258.223684210526,10781.98,2021-06-24
2020-01-29,260.226104830422,10859.88,2021-06-24
2020-01-30,260.290931600123,10748.92,2021-06-24
2020-01-31,258.982346832813,10627.88,2021-06-24
2020-02-03,258.361810085949,10664.95,2021-06-24
2020-02-04,259.029927760579,10800.64,2021-06-24
2020-02-05,258.323057953144,10994.15,2021-06-24
2020-02-06,258.107553366175,11012.36,2021-06-24
2020-02-07,255.088472946712,11001.53,2021-06-24
2020-02-10,257.420675537358,11039.78,2021-06-24
2020-02-11,259.198524136516,11101.17,2021-06-24
2020-02-12,254.881913914733,11089.24,2021-06-24
2020-02-13,254.289215686275,11092.35,2021-06-24
2020-02-14,246.537678207738,11128.81,2021-06-24
2020-02-17,245.436932803099,11168.45,2021-06-24
2020-02-18,241.481029396807,11146.28,2021-06-24
2020-02-19,241.130425942869,11263.01,2021-06-24
2020-02-20,238.235593048074,11154.53,2021-06-24
2020-02-21,238.241308793455,11110.78,2021-06-24
2020-02-24,229.48809645448,10712.84,2021-06-24
2020-02-25,224.795081967214,10478.51,2021-06-24
2020-02-26,227.7055390601,10512.15,2021-06-24
2020-02-27,224.369574204217,10205.46,2021-06-24
2020-02-28,222.210711695846,9831.03,2021-06-24
2020-03-02,227.817745803357,9950.83,2021-06-24
2020-03-03,229.707112970711,10087.4,2021-06-24
2020-03-04,231.002404097418,10251.39,2021-06-24
2020-03-05,222.892203533271,10143.57,2021-06-24
2020-03-06,223.538198890311,9736.82,2021-06-24
2020-03-09,220.54054054054,9196.6,2021-06-24
2020-03-10,219.963818239864,9195.93,2021-06-24
2020-03-11,220.730797912006,9152.5,2021-06-24
2020-03-12,211.560877397478,8270.44,2021-06-24
2020-03-13,210.720303285594,8367.56,2021-06-24
2020-03-16,215.439856373429,8227.08,2021-06-24
2020-03-17,211.468415027579,8493.04,2021-06-24
2020-03-18,213.060549700351,8338.74,2021-06-24
2020-03-19,218.096977074457,8782.24,2021-06-24
2020-03-20,214.191586416624,8623.86,2021-06-24
2020-03-23,203.148806500762,8160.79,2021-06-24
2020-03-24,211.716760061132,8733.32,2021-06-24
2020-03-25,214.088256373502,8989.16,2021-06-24
2020-03-26,223.572170301142,9203.98,2021-06-24
2020-03-27,220.563498738436,8996.37,2021-06-24
2020-03-30,216.73797349473,9174.39,2021-06-24
2020-03-31,221.065778517903,9311.92,2021-06-24
2020-04-01,221.048270147088,9168.98,2021-06-24
2020-04-02,213.126540673788,9270.96,2021-06-24
2020-04-03,213.051038150762,9242.44,2021-06-24
2020-04-06,214.490087880645,9462.34,2021-06-24
2020-04-07,219.665703673133,9514.6,2021-06-24
2020-04-08,217.762683955954,9432.39,2021-06-24
2020-04-09,220.254737496117,9452.83,2021-06-24
2020-04-14,228.541666666667,9538.61,2021-06-24
2020-04-15,223.973454997927,9320.2,2021-06-24
2020-04-16,223.745233432958,9439.91,2021-06-24
2020-04-17,234.10195429635,9612.83,2021-06-24
2020-04-20,235.403534153148,9785.27,2021-06-24
2020-04-21,228.67457452295,9547.85,2021-06-24
2020-04-22,226.500566251417,9630.56,2021-06-24
2020-04-23,225.66099610576,9625.48,2021-06-24
2020-04-24,221.993833504625,9625.65,2021-06-24
2020-04-27,226.620180475799,9758.82,2021-06-24
2020-04-28,224.615384615386,9889.46,2021-06-24
2020-04-29,225.166923472009,9865.32,2021-06-24
2020-04-30,222.233733941151,9629.4,2021-06-24
2020-05-04,217.120945175667,9390.27,2021-06-24
2020-05-05,216.658097686375,9512.17,2021-06-24
2020-05-06,215.428805908905,9571.7,2021-06-24
2020-05-07,215.871710526316,9617.98,2021-06-24
2020-05-08,220.68823408201,9665.35,2021-06-24
2020-05-11,219.960941515057,9689.71,2021-06-24
2020-05-12,220.881048179098,9733.53,2021-06-24
2020-05-13,220.187262063997,9631.62,2021-06-24
2020-05-14,213.257965056527,9448.14,2021-06-24
2020-05-15,218.344657195799,9483.1,2021-06-24
2020-05-18,220.906282183317,9740.77,2021-06-24
2020-05-19,223.434925864909,9764.23,2021-06-24
2020-05-20,228.417452585761,9790.85,2021-06-24
2020-05-22,224.739932021835,9688.99,2021-06-24
2020-05-25,227.366255144033,9824.54,2021-06-24
2020-05-26,230.163662730473,9830.83,2021-06-24
2020-05-27,227.099039553858,9716.52,2021-06-24
2020-05-28,233.848387431297,9926.03,2021-06-24
2020-05-29,232.105701206824,9831.49,2021-06-24
2020-06-02,233.863423760524,9951.45,2021-06-24
2020-06-03,236.163129421555,10183.77,2021-06-24
2020-06-04,238.459122788654,10075.68,2021-06-24
2020-06-05,236.596009975061,10190.37,2021-06-24
2020-06-08,238.095238095237,10152.77,2021-06-24
2020-06-09,235.851041447508,10184.82,2021-06-24
2020-06-10,238.034731046166,10147.18,2021-06-24
2020-06-11,230.50847457627,9828.58,2021-06-24
2020-06-12,226.609261787251,9796.37,2021-06-24
2020-06-15,228.451001053741,9842.56,2021-06-24
2020-06-16,231.626537693198,10034.29,2021-06-24
2020-06-17,236.453721273456,10202.19,2021-06-24
2020-06-18,238.805970149255,10186.5,2021-06-24
2020-06-19,239.000315026776,10266.29,2021-06-24
2020-06-22,239.155672823218,10151.13,2021-06-24
2020-06-23,239.491794600317,10246.56,2021-06-24
2020-06-24,234.989975730717,10021.99,2021-06-24
2020-06-25,232.626805863124,10089.83,2021-06-24
2020-06-26,233.990927313008,10041.91,2021-06-24
2020-06-29,236.778467038167,10060.46,2021-06-24
2020-06-30,235.45560130926,10045.3,2021-06-24
2020-07-01,235.486940890347,10089.67,2021-06-24
2020-07-02,237.7526187705,10187.56,2021-06-24
2020-07-03,236.438616897537,10125.84,2021-06-24
2020-07-06,240.471387620766,10253.38,2021-06-24
2020-07-07,247.956692495488,10207.96,2021-06-24
2020-07-08,252.744909924316,10178.41,2021-06-24
2020-07-09,250.159540523292,10143.38,2021-06-24
2020-07-10,252.869897959184,10229.97,2021-06-24
2020-07-13,255.816424094337,10300.96,2021-06-24
2020-07-14,253.432676955828,10259.5,2021-06-24
2020-07-15,254.528122020973,10460.01,2021-06-24
2020-07-16,254.416587326775,10433.43,2021-06-24
2020-07-17,253.410059676044,10410.52,2021-06-24
2020-07-20,257.803345051668,10470.92,2021-06-24
2020-07-21,257.957346479477,10444.05,2021-06-24
2020-07-22,256.159225389994,10439.04,2021-06-24
2020-07-23,261.861018048199,10383.38,2021-06-24
2020-07-24,251.031935694113,10214.21,2021-06-24
2020-07-27,256.170490377296,10272.34,2021-06-24
2020-07-28,255.692341213639,10277.2,2021-06-24
2020-07-29,256.466462078036,10272.81,2021-06-24
2020-07-30,258.171013535821,10095.34,2021-06-24
2020-07-31,252.547386874111,10005.9,2021-06-24
2020-08-03,255.312193527296,10229.67,2021-06-24
2020-08-04,253.394656154184,10162.04,2021-06-24
2020-08-05,255.422217329075,10097.97,2021-06-24
2020-08-06,255.46883587996,10067.13,2021-06-24
2020-08-07,255.508056560343,10068.03,2021-06-24
2020-08-10,252.839667977283,10090.91,2021-06-24
2020-08-11,256.790662157741,10153.24,2021-06-24
2020-08-12,261.622807017545,10278.66,2021-06-24
2020-08-13,261.103781882146,10260.11,2021-06-24
2020-08-14,258.855885588559,10163.6,2021-06-24
2020-08-17,261.253309796999,10228.06,2021-06-24
2020-08-18,261.037955073585,10168.4,2021-06-24
2020-08-19,259.672131147541,10310.01,2021-06-24
2020-08-20,259.806081974438,10229.92,2021-06-24
2020-08-21,258.584750411411,10218.2,2021-06-24
2020-08-24,261.489525063068,10308.39,2021-06-24
2020-08-25,261.818181818182,10231.25,2021-06-24
2020-08-26,266.490474617334,10309.65,2021-06-24
2020-08-27,264.964788732395,10240.46,2021-06-24
2020-08-28,264.549679132552,10164.49,2021-06-24
2020-08-31,266.851134477035,10135.56,2021-06-24
2020-09-01,266.937967443907,10188.85,2021-06-24
2020-09-02,269.63207029105,10384.84,2021-06-24
2020-09-03,264.049268668206,10220.64,2021-06-24
2020-09-04,264.045559084437,10153.09,2021-06-24
2020-09-07,265.421989300141,10297.8,2021-06-24
2020-09-08,267.306224790146,10250.44,2021-06-24
2020-09-09,273.374986298368,10406.57,2021-06-24
2020-09-10,271.748681898067,10387.44,2021-06-24
2020-09-11,271.076381245872,10439.52,2021-06-24
2020-09-14,271.16591434548,10457.43,2021-06-24
2020-09-15,273.237885462554,10520.0,2021-06-24
2020-09-16,276.396832380115,10552.04,2021-06-24
2020-09-17,277.221182428712,10519.33,2021-06-24
2020-09-18,281.263712154453,10539.17,2021-06-24
2020-09-21,271.355135076013,10325.44,2021-06-24
2020-09-22,270.778938207138,10355.57,2021-06-24
2020-09-23,271.812080536912,10330.06,2021-06-24
2020-09-24,272.177854521908,10211.53,2021-06-24
2020-09-25,270.142180094787,10216.28,2021-06-24
2020-09-28,275.854608394633,10308.67,2021-06-24
2020-09-29,277.197563098348,10229.3,2021-06-24
2020-09-30,273.161724774627,10187.0,2021-06-24
2020-10-01,272.024392899923,10238.12,2021-06-24
2020-10-02,271.582147898795,10252.4,2021-06-24
2020-10-05,276.084343930952,10303.06,2021-06-24
2020-10-06,266.535904979841,10233.16,2021-06-24
2020-10-07,269.515918011339,10187.88,2021-06-24
2020-10-08,265.081269772009,10270.24,2021-06-24
2020-10-09,270.299967036588,10320.03,2021-06-24
2020-10-12,273.237267627324,10364.1,2021-06-24
2020-10-13,271.614384085692,10336.36,2021-06-24
2020-10-14,272.707375793391,10292.66,2021-06-24
2020-10-15,269.865559077495,10067.96,2021-06-24
2020-10-16,274.218237480866,10207.13,2021-06-24
2020-10-19,273.895847066578,10184.36,2021-06-24
2020-10-20,276.877274230896,10146.23,2021-06-24
2020-10-21,275.820170109356,9989.75,2021-06-24
2020-10-22,268.166280736575,9999.05,2021-06-24
2020-10-23,274.607387746074,10023.9,2021-06-24
2020-10-26,271.324663874807,9985.62,2021-06-24
2020-10-27,270.11557512383,9887.49,2021-06-24
2020-10-28,258.486213336264,9618.65,2021-06-24
2020-10-29,257.430069930069,9556.14,2021-06-24
2020-10-30,255.808879677104,9587.15,2021-06-24
2020-11-02,259.061717644497,9791.68,2021-06-24
2020-11-03,263.792914335855,10003.82,2021-06-24
2020-11-04,267.536168347217,10286.79,2021-06-24
2020-11-05,274.557522123895,10306.35,2021-06-24
2020-11-06,275.291504719601,10322.57,2021-06-24
2020-11-09,271.214277893353,10417.99,2021-06-24
2020-11-10,265.923740849995,10360.69,2021-06-24
2020-11-11,269.59555216396,10532.27,2021-06-24
2020-11-12,269.676432006996,10496.2,2021-06-24
2020-11-13,269.888231426694,10492.61,2021-06-24
2020-11-16,271.063876410651,10586.74,2021-06-24
2020-11-17,274.393590165733,10565.12,2021-06-24
2020-11-18,276.32012295532,10563.89,2021-06-24
2020-11-19,275.77121528159,10490.77,2021-06-24
2020-11-20,278.625535184983,10495.65,2021-06-24
2020-11-23,276.054794520547,10464.4,2021-06-24
2020-11-24,274.064317857534,10491.59,2021-06-24
2020-11-25,273.788546255506,10488.27,2021-06-24
2020-11-26,275.355920980024,10497.79,2021-06-24
2020-11-27,276.296869815286,10501.18,2021-06-24
2020-11-30,272.827282728273,10476.43,2021-06-24
2020-12-01,270.86806713349,10449.21,2021-06-24
2020-12-02,268.619995526727,10435.36,2021-06-24
2020-12-03,266.921091031542,10342.63,2021-06-24
2020-12-04,267.010424840266,10364.5,2021-06-24
2020-12-07,269.032113182125,10375.38,2021-06-24
2020-12-08,271.203599550057,10394.1,2021-06-24
