Date,Stock,Market,joined date
2020-01-02,42.41226012555,6041.5,2021-01-07
2020-01-03,42.2887237508647,6044.16,2021-01-07
2020-01-06,42.0518904882362,6013.59,2021-01-07
2020-01-07,42.0839001761859,6012.35,2021-01-07
2020-01-08,42.0580463215863,6031.0,2021-01-07
2020-01-09,42.2654081066075,6042.55,2021-01-07
2020-01-10,42.0225068944046,6037.11,2021-01-07
2020-01-13,41.9269006824534,6036.14,2021-01-07
2020-01-14,41.8377452125824,6040.89,2021-01-07
2020-01-15,41.942604856512,6032.61,2021-01-07
2020-01-16,42.6024697406659,6039.03,2021-01-07
2020-01-17,42.4557590810306,6100.72,2021-01-07
2020-01-20,43.044631069792,6078.54,2021-01-07
2020-01-21,42.4996675384547,6045.99,2021-01-07
2020-01-22,42.4675310271398,6010.98,2021-01-07
2020-01-23,42.1967042804568,5971.79,2021-01-07
2020-01-24,42.3285089121354,6024.26,2021-01-07
2020-01-27,41.6625356643204,5863.02,2021-01-07
2020-01-28,42.5813276910869,5925.82,2021-01-07
2020-01-29,42.4505972367478,5954.89,2021-01-07
2020-01-30,42.4764509938013,5871.77,2021-01-07
2020-01-31,42.6303703950215,5806.34,2021-01-07
2020-02-03,42.4960191082801,5832.51,2021-01-07
2020-02-04,42.2799598069851,5935.05,2021-01-07
2020-02-05,42.3164053049465,5985.4,2021-01-07
2020-02-06,40.3952786165248,6038.18,2021-01-07
2020-02-07,41.0579648293446,6029.75,2021-01-07
2020-02-10,39.9598546914376,6015.67,2021-01-07
2020-02-11,39.7162346521148,6054.76,2021-01-07
2020-02-12,39.9182502065485,6104.73,2021-01-07
2020-02-13,40.2055262273578,6093.14,2021-01-07
2020-02-14,40.3201351585514,6069.35,2021-01-07
2020-02-17,40.0749712898963,6085.95,2021-01-07
2020-02-18,40.1208589619079,6056.82,2021-01-07
2020-02-19,40.3206637999958,6111.24,2021-01-07
2020-02-20,39.6489071480174,6062.3,2021-01-07
2020-02-21,39.8481973434534,6029.72,2021-01-07
2020-02-24,38.5679714375629,5791.87,2021-01-07
2020-02-25,37.8263707571803,5679.68,2021-01-07
2020-02-26,38.0548302872064,5684.55,2021-01-07
2020-02-27,38.0859160196203,5495.6,2021-01-07
2020-02-28,35.8312293970433,5309.9,2021-01-07
2020-03-02,36.4016876134073,5333.52,2021-01-07
2020-03-03,35.9480774816239,5393.17,2021-01-07
2020-03-04,35.8737404665145,5464.89,2021-01-07
2020-03-05,35.301654378709,5361.1,2021-01-07
2020-03-06,34.0582081635876,5139.11,2021-01-07
2020-03-09,30.918394212388,4707.91,2021-01-07
2020-03-10,29.8669072862623,4636.61,2021-01-07
2020-03-11,29.1701875950651,4610.25,2021-01-07
2020-03-12,23.2160230818264,4044.26,2021-01-07
2020-03-13,22.1821210438646,4118.36,2021-01-07
2020-03-16,20.0923555128191,3881.46,2021-01-07
2020-03-17,18.269886301159,3991.78,2021-01-07
2020-03-18,18.7157605255691,3754.84,2021-01-07
2020-03-19,20.7440269389064,3855.5,2021-01-07
2020-03-20,23.4841193455246,4048.8,2021-01-07
2020-03-23,20.6861431251675,3914.31,2021-01-07
2020-03-24,24.9395926820849,4242.7,2021-01-07
2020-03-25,24.3493776655932,4432.3,2021-01-07
2020-03-26,24.4932618716778,4543.58,2021-01-07
2020-03-27,22.747780364722,4351.49,2021-01-07
2020-03-30,22.1581557698468,4378.51,2021-01-07
2020-03-31,22.1462446233595,4396.12,2021-01-07
2020-04-01,21.397877751469,4207.24,2021-01-07
2020-04-02,21.8422623894045,4220.96,2021-01-07
2020-04-03,20.8594526825472,4154.58,2021-01-07
2020-04-06,22.6394734002374,4346.14,2021-01-07
2020-04-07,23.2152968334858,4438.27,2021-01-07
2020-04-08,23.6660695869294,4442.75,2021-01-07
2020-04-09,25.0010927051007,4506.85,2021-01-07
2020-04-14,24.0659618150478,4523.91,2021-01-07
2020-04-15,22.7520614283844,4353.72,2021-01-07
2020-04-16,22.5802606914933,4350.16,2021-01-07
2020-04-17,23.4485458856284,4499.01,2021-01-07
2020-04-20,24.3743482794577,4528.3,2021-01-07
2020-04-21,23.8614775009499,4357.46,2021-01-07
2020-04-22,24.3495952556166,4411.8,2021-01-07
2020-04-23,24.439918533605,4451.0,2021-01-07
2020-04-24,25.4054814382012,4393.32,2021-01-07
2020-04-27,26.3987093001852,4505.26,2021-01-07
2020-04-28,28.2564718354807,4569.79,2021-01-07
2020-04-29,28.8134303204272,4671.11,2021-01-07
2020-04-30,28.1542017681278,4572.18,2021-01-07
2020-05-04,26.9159041584417,4378.23,2021-01-07
2020-05-05,26.2062686955391,4483.13,2021-01-07
2020-05-06,26.1214973446743,4433.38,2021-01-07
2020-05-07,26.3434395953163,4501.44,2021-01-07
2020-05-08,26.2327779644664,4549.64,2021-01-07
2020-05-11,25.3077014512487,4490.22,2021-01-07
2020-05-12,24.642082429501,4472.5,2021-01-07
2020-05-13,25.1146491303973,4344.95,2021-01-07
2020-05-14,24.3090818729879,4273.13,2021-01-07
2020-05-15,24.2472746149853,4277.63,2021-01-07
2020-05-18,26.4725780755549,4498.34,2021-01-07
2020-05-19,26.0574224338462,4458.16,2021-01-07
2020-05-20,25.6641053787048,4496.98,2021-01-07
2020-05-21,25.0511863181983,4445.45,2021-01-07
2020-05-22,25.5932332712032,4444.56,2021-01-07
2020-05-25,26.4626384166012,4539.91,2021-01-07
2020-05-26,26.1762283832006,4606.24,2021-01-07
2020-05-27,27.4415738743892,4688.74,2021-01-07
2020-05-28,26.161599379742,4771.39,2021-01-07
2020-05-29,24.6154529110159,4695.44,2021-01-07
2020-06-01,24.7842787953015,4762.78,2021-01-07
2020-06-02,26.6937699644828,4858.97,2021-01-07
2020-06-03,29.5852006604442,5022.38,2021-01-07
2020-06-04,30.0175707079296,5011.98,2021-01-07
2020-06-05,30.9858837070221,5197.79,2021-01-07
2020-06-08,30.1723164479776,5175.52,2021-01-07
2020-06-09,29.937743102412,5095.11,2021-01-07
2020-06-10,29.1957525182474,5053.42,2021-01-07
