Date,Stock,Market,joined date
2020-01-02,18.967821,2155.04,2022-06-01
2020-01-03,18.374334,2121.59,2022-06-01
2020-01-06,18.393326,2107.3,2022-06-01
2020-01-07,18.440805,2131.33,2022-06-01
2020-01-08,18.640216,2119.96,2022-06-01
2020-01-09,18.526267,2125.55,2022-06-01
2020-01-10,18.250889,2158.93,2022-06-01
2020-01-13,18.364839,2150.89,2022-06-01
2020-01-14,18.390002,2155.0,2022-06-01
2020-01-15,18.260385,2151.87,2022-06-01
2020-01-16,18.640216,2171.37,2022-06-01
2020-01-17,18.792149,2199.79,2022-06-01
2020-01-21,19.082719,2133.59,2022-06-01
2020-01-22,18.74467,2114.94,2022-06-01
2020-01-23,18.516771,2068.61,2022-06-01
2020-01-24,18.526267,2096.08,2022-06-01
2020-01-27,17.928033,2068.65,2022-06-01
2020-01-28,18.041982,2069.84,2022-06-01
2020-01-29,18.279377,2067.38,2022-06-01
2020-01-30,17.932781,2049.4,2022-06-01
2020-01-31,17.225345,2067.6,2022-06-01
2020-02-03,17.329799,2060.75,2022-06-01
2020-02-04,18.02299,2075.08,2022-06-01
2020-02-05,18.60888,2103.2,2022-06-01
2020-02-06,18.288872,2102.14,2022-06-01
2020-02-07,17.814083,2117.86,2022-06-01
2020-02-10,17.947024,2101.1,2022-06-01
2020-02-11,18.402822,2103.44,2022-06-01
2020-02-12,18.754166,2114.23,2022-06-01
2020-02-13,18.255637,2087.74,2022-06-01
2020-02-14,18.013495,2096.9,2022-06-01
2020-02-18,17.600428,2112.96,2022-06-01
2020-02-19,17.733369,2140.01,2022-06-01
2020-02-20,17.757109,2147.68,2022-06-01
2020-02-21,17.443748,2170.55,2022-06-01
2020-02-24,16.266271,2090.91,2022-06-01
2020-02-25,15.933919,2053.37,2022-06-01
2020-02-26,16.06686,2036.13,2022-06-01
2020-02-27,15.668037,1978.34,2022-06-01
2020-02-28,15.658541,1932.92,2022-06-01
2020-03-02,15.95291,1878.4,2022-06-01
2020-03-03,15.838961,1941.29,2022-06-01
2020-03-04,16.617615,1938.57,2022-06-01
2020-03-05,15.421147,1912.66,2022-06-01
2020-03-06,15.430643,1827.46,2022-06-01
2020-03-09,13.778377,1763.3,2022-06-01
2020-03-10,14.6273,1792.71,2022-06-01
2020-03-11,13.806864,1837.8,2022-06-01
2020-03-12,12.202077,1682.65,2022-06-01
2020-03-13,13.351067,1721.05,2022-06-01
2020-03-16,11.708297,1631.28,2022-06-01
2020-03-17,11.879221,1628.71,2022-06-01
2020-03-18,11.423423,1600.85,2022-06-01
