Date,Stock,Market,joined date
2020-01-03,109.408740359897,10699.82,2021-10-22
2020-01-06,109.214876033058,10665.41,2021-10-22
2020-01-07,108.81352437893,10686.8,2021-10-22
2020-01-08,108.205812878711,10652.16,2021-10-22
2020-01-09,107.573733429246,10650.97,2021-10-22
2020-01-10,107.621104597346,10639.49,2021-10-22
2020-01-13,108.169362315855,10622.41,2021-10-22
2020-01-14,109.801488833747,10655.82,2021-10-22
2020-01-15,110.19603775542,10670.74,2021-10-22
2020-01-16,110.327664869349,10693.52,2021-10-22
2020-01-17,111.157024793388,10841.82,2021-10-22
2020-01-20,111.37514206013,10846.29,2021-10-22
2020-01-21,112.061131763734,10884.51,2021-10-22
2020-01-22,112.638214322621,10895.07,2021-10-22
2020-01-23,111.861257355218,10813.94,2021-10-22
2020-01-24,113.94438722966,10849.75,2021-10-22
2020-01-27,112.275634413039,10675.96,2021-10-22
2020-01-28,116.899671052632,10781.98,2021-10-22
2020-01-29,115.724563206578,10859.88,2021-10-22
2020-01-30,115.052099453214,10748.92,2021-10-22
2020-01-31,115.929387331256,10627.88,2021-10-22
2020-02-03,112.954333643989,10664.95,2021-10-22
2020-02-04,107.450980392157,10800.64,2021-10-22
2020-02-05,109.001233045623,10994.15,2021-10-22
2020-02-06,107.512315270936,11012.36,2021-10-22
2020-02-07,106.576659507006,11001.53,2021-10-22
2020-02-10,106.89866939611,11039.78,2021-10-22
2020-02-11,108.188992518192,11101.17,2021-10-22
2020-02-12,107.923525201922,11089.24,2021-10-22
2020-02-13,107.434640522876,11092.35,2021-10-22
2020-02-14,108.105906313645,11128.81,2021-10-22
2020-02-17,107.678189048639,11168.45,2021-10-22
2020-02-18,106.642254094192,11146.28,2021-10-22
2020-02-19,107.715767002135,11263.01,2021-10-22
2020-02-20,107.490598638073,11154.53,2021-10-22
2020-02-21,107.730061349693,11110.78,2021-10-22
2020-02-24,104.138142433841,10712.84,2021-10-22
2020-02-25,103.114754098361,10478.51,2021-10-22
2020-02-26,103.491348418142,10512.15,2021-10-22
2020-02-27,101.488218272013,10205.46,2021-10-22
2020-02-28,99.3680721019375,9831.03,2021-10-22
2020-03-02,101.09477635283,9950.83,2021-10-22
2020-03-03,103.179916317992,10087.4,2021-10-22
2020-03-04,104.693216264242,10251.39,2021-10-22
2020-03-05,104.644028350788,10143.57,2021-10-22
2020-03-06,102.304737516005,9736.82,2021-10-22
2020-03-09,99.1567567567567,9196.6,2021-10-22
2020-03-10,96.4563158454825,9195.93,2021-10-22
2020-03-11,95.8346649621819,9152.5,2021-10-22
2020-03-12,86.9767934725017,8270.44,2021-10-22
2020-03-13,85.5518112889637,8367.56,2021-10-22
2020-03-16,83.3878973492448,8227.08,2021-10-22
2020-03-17,85.7529399521284,8493.04,2021-10-22
2020-03-18,86.1748295102294,8338.74,2021-10-22
2020-03-19,90.6066139176304,8782.24,2021-10-22
2020-03-20,90.5017739483019,8623.86,2021-10-22
2020-03-23,85.3631284916202,8160.79,2021-10-22
2020-03-24,92.6744778400411,8733.32,2021-10-22
2020-03-25,95.0138220538545,8989.16,2021-10-22
2020-03-26,95.0363447559707,9203.98,2021-10-22
2020-03-27,93.1455004205214,8996.37,2021-10-22
2020-03-30,93.9163101325263,9174.39,2021-10-22
2020-03-31,93.3388842631144,9311.92,2021-10-22
2020-04-01,91.7754298736271,9168.98,2021-10-22
2020-04-02,91.2078882497948,9270.96,2021-10-22
2020-04-03,91.2345300194335,9242.44,2021-10-22
2020-04-06,91.0688739014916,9462.34,2021-10-22
2020-04-07,92.7775484936032,9514.6,2021-10-22
2020-04-08,91.5097252238349,9432.39,2021-10-22
2020-04-09,92.782437610024,9452.83,2021-10-22
2020-04-14,93.916666666667,9538.61,2021-10-22
2020-04-15,91.6632102861885,9320.2,2021-10-22
2020-04-16,91.7242090075231,9439.91,2021-10-22
2020-04-17,93.5994209492297,9612.83,2021-10-22
2020-04-20,94.3680892838694,9785.27,2021-10-22
2020-04-21,92.2124806601343,9547.85,2021-10-22
2020-04-22,90.8061361062498,9630.56,2021-10-22
2020-04-23,90.7563025210087,9625.48,2021-10-22
2020-04-24,89.6608427543681,9625.65,2021-10-22
2020-04-27,90.484003281378,9758.82,2021-10-22
2020-04-28,92.5128205128209,9889.46,2021-10-22
2020-04-29,92.9840780688241,9865.32,2021-10-22
2020-04-30,90.5511811023618,9629.4,2021-10-22
2020-05-04,86.6411027049438,9390.27,2021-10-22
2020-05-05,86.2107969151671,9512.17,2021-10-22
2020-05-06,86.4587607714404,9571.7,2021-10-22
2020-05-07,88.0345394736843,9617.98,2021-10-22
2020-05-08,89.8413352565419,9665.35,2021-10-22
2020-05-11,88.9300030835642,9689.71,2021-10-22
2020-05-12,89.755493655215,9733.53,2021-10-22
2020-05-13,88.1983743183451,9631.62,2021-10-22
2020-05-14,84.8920863309354,9448.14,2021-10-22
2020-05-15,85.5260448836729,9483.1,2021-10-22
2020-05-18,89.5571575695162,9740.77,2021-10-22
2020-05-19,89.9093904448104,9764.23,2021-10-22
2020-05-20,91.2426158151107,9790.85,2021-10-22
2020-05-22,90.6787516737048,9688.99,2021-10-22
2020-05-25,91.4814814814815,9824.54,2021-10-22
2020-05-26,91.6511290656719,9830.83,2021-10-22
2020-05-27,91.2114014251783,9716.52,2021-10-22
2020-05-28,93.248988903868,9926.03,2021-10-22
2020-05-29,93.8410320432788,9831.49,2021-10-22
2020-06-02,95.6241554931922,9951.45,2021-10-22
2020-06-03,99.5006242197249,10183.77,2021-10-22
2020-06-04,98.4402805401448,10075.68,2021-10-22
2020-06-05,96.882793017456,10190.37,2021-10-22
2020-06-08,96.5329991645778,10152.77,2021-10-22
2020-06-09,96.528508310541,10184.82,2021-10-22
2020-06-10,96.9080897924605,10147.18,2021-10-22
2020-06-11,94.4915254237284,9828.58,2021-10-22
2020-06-12,93.0379082221985,9796.37,2021-10-22
2020-06-15,93.5721812434144,9842.56,2021-10-22
2020-06-16,94.837556513511,10034.29,2021-10-22
2020-06-17,96.6476913345986,10202.19,2021-10-22
2020-06-18,97.2041202438515,10186.5,2021-10-22
2020-06-19,97.8683188070982,10266.29,2021-10-22
2020-06-22,97.4353562005274,10151.13,2021-10-22
2020-06-23,97.9142403388032,10246.56,2021-10-22
2020-06-24,95.8531180753407,10021.99,2021-10-22
2020-06-25,96.3408204154807,10089.83,2021-10-22
2020-06-26,96.8034602806203,10041.91,2021-10-22
2020-06-29,97.1086110819055,10060.46,2021-10-22
2020-06-30,97.7721465526344,10045.3,2021-10-22
2020-07-01,98.2129639420538,10089.67,2021-10-22
2020-07-02,99.0794624907416,10187.56,2021-10-22
2020-07-03,98.1283705191924,10125.84,2021-10-22
2020-07-06,100.09555154475,10253.38,2021-10-22
2020-07-07,99.3949686869758,10207.96,2021-10-22
2020-07-08,98.8807163415419,10178.41,2021-10-22
2020-07-09,98.2769623484363,10143.38,2021-10-22
2020-07-10,100.0,10229.97,2021-10-22
2020-07-13,100.796770423882,10300.96,2021-10-22
2020-07-14,100.947312400213,10259.5,2021-10-22
2020-07-15,102.319669526533,10460.01,2021-10-22
2020-07-16,102.697556331324,10433.43,2021-10-22
2020-07-17,104.390451832907,10410.52,2021-10-22
2020-07-20,104.484925961436,10470.92,2021-10-22
2020-07-21,103.525881470368,10444.05,2021-10-22
2020-07-22,105.131791285637,10439.04,2021-10-22
2020-07-23,106.776180698151,10383.38,2021-10-22
