Date,Stock,Market,joined date
2020-01-06,,23204.86,2022-06-27
2020-01-07,,23575.72,2022-06-27
2020-01-08,,23204.76,2022-06-27
2020-01-09,,23739.87,2022-06-27
2020-01-10,,23850.57,2022-06-27
2020-01-14,,24025.17,2022-06-27
2020-01-15,,23916.58,2022-06-27
2020-01-16,,23933.13,2022-06-27
2020-01-17,,24041.26,2022-06-27
2020-01-21,,23864.56,2022-06-27
2020-01-22,,24031.35,2022-06-27
2020-01-23,,23795.44,2022-06-27
2020-01-24,,23827.18,2022-06-27
2020-01-27,,23343.51,2022-06-27
2020-01-28,,23215.71,2022-06-27
2020-01-29,,23379.4,2022-06-27
2020-01-30,,22977.75,2022-06-27
2020-01-31,,23205.18,2022-06-27
2020-02-03,,22971.94,2022-06-27
2020-02-04,,23084.59,2022-06-27
2020-02-05,,23319.56,2022-06-27
2020-02-06,,23873.59,2022-06-27
2020-02-07,,23827.98,2022-06-27
2020-02-10,,23685.98,2022-06-27
2020-02-12,,23861.21,2022-06-27
2020-02-13,,23827.73,2022-06-27
2020-02-14,6.48666,23687.59,2022-06-27
2020-02-18,6.519993,23193.8,2022-06-27
2020-02-19,6.569993,23400.7,2022-06-27
2020-02-20,,23479.15,2022-06-27
2020-02-21,,23386.74,2022-06-27
2020-02-25,,22605.41,2022-06-27
2020-02-26,,22426.19,2022-06-27
2020-02-27,,21948.23,2022-06-27
2020-02-28,,21142.96,2022-06-27
2020-03-02,,21344.08,2022-06-27
2020-03-03,,21082.73,2022-06-27
2020-03-04,,21100.06,2022-06-27
2020-03-05,,21329.12,2022-06-27
2020-03-06,,20749.75,2022-06-27
2020-03-09,,19698.76,2022-06-27
2020-03-10,,19867.12,2022-06-27
2020-03-11,,19416.06,2022-06-27
2020-03-12,,18559.63,2022-06-27
2020-03-13,,17431.05,2022-06-27
2020-03-16,,17002.04,2022-06-27
2020-03-17,,17011.53,2022-06-27
2020-03-18,,16726.55,2022-06-27
2020-03-19,4.199996,16552.83,2022-06-27
2020-03-23,4.003329,16887.78,2022-06-27
