Date,Stock,Market,joined date
2020-01-02,65.316077,3257.85,2021-09-30
2020-01-03,64.950372,3234.85,2021-09-30
2020-01-06,63.492558,3246.28,2021-09-30
2020-01-07,63.803157,3237.18,2021-09-30
2020-01-08,63.597761,3253.05,2021-09-30
2020-01-09,64.544588,3274.7,2021-09-30
2020-01-10,72.920757,3265.35,2021-09-30
2020-01-13,75.064895,3288.13,2021-09-30
2020-01-14,74.353522,3283.15,2021-09-30
2020-01-15,75.210176,3289.29,2021-09-30
2020-01-16,75.024818,3316.81,2021-09-30
2020-01-17,73.572014,3329.62,2021-09-30
2020-01-21,73.421724,3320.79,2021-09-30
2020-01-22,73.406695,3321.75,2021-09-30
2020-01-23,72.439828,3325.54,2021-09-30
2020-01-24,71.528068,3295.47,2021-09-30
2020-01-27,69.554258,3243.63,2021-09-30
2020-01-28,70.120351,3276.24,2021-09-30
2020-01-29,69.043272,3273.4,2021-09-30
2020-01-30,70.180467,3283.66,2021-09-30
2020-01-31,69.013214,3225.52,2021-09-30
2020-02-03,70.415922,3248.92,2021-09-30
2020-02-04,70.89685,3297.59,2021-09-30
2020-02-05,71.002053,3334.69,2021-09-30
2020-02-06,71.367759,3345.78,2021-09-30
2020-02-07,69.338842,3327.71,2021-09-30
2020-02-10,70.360815,3352.09,2021-09-30
2020-02-11,70.946947,3357.75,2021-09-30
2020-02-12,72.219403,3379.45,2021-09-30
2020-02-13,72.134238,3373.94,2021-09-30
2020-02-14,71.34772,3380.16,2021-09-30
2020-02-18,70.726521,3370.29,2021-09-30
2020-02-19,71.943871,3386.15,2021-09-30
2020-02-20,72.750428,3373.23,2021-09-30
2020-02-21,71.012072,3337.75,2021-09-30
2020-02-24,68.457141,3225.89,2021-09-30
2020-02-25,66.708766,3128.21,2021-09-30
2020-02-26,67.039404,3116.39,2021-09-30
2020-02-27,63.387355,2978.76,2021-09-30
2020-02-28,62.635904,2954.22,2021-09-30
2020-03-02,65.030526,3090.23,2021-09-30
2020-03-03,63.687935,3003.37,2021-09-30
2020-03-04,66.057509,3130.12,2021-09-30
2020-03-05,63.367316,3023.94,2021-09-30
2020-03-06,61.17308,2972.37,2021-09-30
2020-03-09,53.428131,2746.56,2021-09-30
2020-03-10,54.710606,2882.23,2021-09-30
2020-03-11,50.597667,2741.38,2021-09-30
2020-03-12,43.133259,2480.64,2021-09-30
2020-03-13,46.269312,2711.02,2021-09-30
2020-03-16,38.930146,2386.13,2021-09-30
2020-03-17,37.532448,2529.19,2021-09-30
2020-03-18,33.048793,2398.1,2021-09-30
2020-03-19,36.044576,2409.39,2021-09-30
2020-03-20,37.522428,2304.92,2021-09-30
2020-03-23,37.276954,2237.4,2021-09-30
2020-03-24,40.608385,2447.33,2021-09-30
2020-03-25,37.071558,2475.56,2021-09-30
2020-03-26,38.910107,2630.07,2021-09-30
2020-03-27,35.989469,2541.47,2021-09-30
2020-03-30,37.387167,2626.65,2021-09-30
2020-03-31,36.620688,2584.59,2021-09-30
2020-04-01,35.879257,2470.5,2021-09-30
2020-04-02,36.305078,2526.9,2021-09-30
2020-04-03,33.880398,2488.65,2021-09-30
