Date,Stock,Market,joined date
2020-01-02,277.84,3257.85,2021-01-15
2020-01-03,276.91,3234.85,2021-01-15
2020-01-06,279.04,3246.28,2021-01-15
2020-01-07,280.98,3237.18,2021-01-15
2020-01-08,285.01,3253.05,2021-01-15
2020-01-09,289.58,3274.7,2021-01-15
2020-01-10,288.94,3265.35,2021-01-15
2020-01-13,294.24,3288.13,2021-01-15
2020-01-14,290.17,3283.15,2021-01-15
2020-01-15,294.38,3289.29,2021-01-15
2020-01-16,298.19,3316.81,2021-01-15
2020-01-17,296.79,3329.62,2021-01-15
2020-01-21,296.2,3320.79,2021-01-15
2020-01-22,297.42,3321.75,2021-01-15
2020-01-23,297.19,3325.54,2021-01-15
2020-01-24,294.83,3295.47,2021-01-15
2020-01-27,293.13,3243.63,2021-01-15
2020-01-28,297.28,3276.24,2021-01-15
2020-01-29,297.31,3273.4,2021-01-15
2020-01-30,299.86,3283.66,2021-01-15
2020-01-31,293.73,3225.52,2021-01-15
2020-02-03,295.67,3248.92,2021-01-15
2020-02-04,297.92,3297.59,2021-01-15
2020-02-05,294.77,3334.69,2021-01-15
2020-02-06,295.52,3345.78,2021-01-15
2020-02-07,295.48,3327.71,2021-01-15
2020-02-10,296.56,3352.09,2021-01-15
2020-02-11,294.12,3357.75,2021-01-15
2020-02-12,303.83,3379.45,2021-01-15
2020-02-13,301.35,3373.94,2021-01-15
2020-02-14,307.65,3380.16,2021-01-15
2020-02-18,306.74,3370.29,2021-01-15
2020-02-19,311.16,3386.15,2021-01-15
2020-02-20,303.41,3373.23,2021-01-15
2020-02-21,293.25,3337.75,2021-01-15
2020-02-24,290.9,3225.89,2021-01-15
2020-02-25,282.63,3128.21,2021-01-15
2020-02-26,282.77,3116.39,2021-01-15
2020-02-27,267.15,2978.76,2021-01-15
2020-02-28,265.91,2954.22,2021-01-15
2020-03-02,289.31,3090.23,2021-01-15
2020-03-03,280.14,3003.37,2021-01-15
2020-03-04,296.06,3130.12,2021-01-15
2020-03-05,278.42,3023.94,2021-01-15
2020-03-06,271.06,2972.37,2021-01-15
2020-03-09,242.51,2746.56,2021-01-15
2020-03-10,259.17,2882.23,2021-01-15
2020-03-11,240.36,2741.38,2021-01-15
2020-03-12,221.46,2480.64,2021-01-15
2020-03-13,248.1,2711.02,2021-01-15
2020-03-16,222.16,2386.13,2021-01-15
2020-03-17,227.66,2529.19,2021-01-15
2020-03-18,193.08,2398.1,2021-01-15
2020-03-19,207.78,2409.39,2021-01-15
2020-03-20,208.79,2304.92,2021-01-15
2020-03-23,192.05,2237.4,2021-01-15
2020-03-24,218.66,2447.33,2021-01-15
2020-03-25,227.19,2475.56,2021-01-15
2020-03-26,244.95,2630.07,2021-01-15
2020-03-27,239.75,2541.47,2021-01-15
2020-03-30,246.99,2626.65,2021-01-15
2020-03-31,245.05,2584.59,2021-01-15
2020-04-01,234.33,2470.5,2021-01-15
2020-04-02,241.34,2526.9,2021-01-15
2020-04-03,238.8,2488.65,2021-01-15
2020-04-06,255.83,2663.68,2021-01-15
2020-04-07,256.06,2659.41,2021-01-15
2020-04-08,261.51,2749.98,2021-01-15
2020-04-09,283.55,2789.82,2021-01-15
2020-04-13,268.44,2761.63,2021-01-15
2020-04-14,277.34,2846.06,2021-01-15
2020-04-15,273.25,2783.36,2021-01-15
2020-04-16,274.55,2799.55,2021-01-15
2020-04-17,282.59,2874.56,2021-01-15
2020-04-20,279.17,2823.16,2021-01-15
2020-04-21,267.23,2736.56,2021-01-15
2020-04-22,276.01,2799.31,2021-01-15
2020-04-23,279.56,2797.8,2021-01-15
2020-04-24,283.94,2836.74,2021-01-15
2020-04-27,291.19,2878.48,2021-01-15
2020-04-28,295.83,2863.39,2021-01-15
2020-04-29,294.42,2939.51,2021-01-15
2020-04-30,292.88,2912.43,2021-01-15
2020-05-01,286.06,2830.71,2021-01-15
2020-05-04,285.77,2842.74,2021-01-15
2020-05-05,295.41,2868.44,2021-01-15
2020-05-06,289.36,2848.42,2021-01-15
2020-05-07,295.58,2881.19,2021-01-15
2020-05-08,297.65,2929.8,2021-01-15
2020-05-11,300.68,2930.32,2021-01-15
2020-05-12,299.21,2870.12,2021-01-15
2020-05-13,294.4,2820.0,2021-01-15
2020-05-14,300.12,2852.5,2021-01-15
2020-05-15,303.14,2863.7,2021-01-15
2020-05-18,311.63,2953.91,2021-01-15
2020-05-19,311.09,2922.94,2021-01-15
2020-05-20,314.0,2971.61,2021-01-15
2020-05-21,310.76,2948.51,2021-01-15
2020-05-22,311.86,2955.45,2021-01-15
2020-05-26,312.34,2991.77,2021-01-15
2020-05-27,315.43,3036.13,2021-01-15
2020-05-28,318.8,3029.73,2021-01-15
2020-05-29,325.02,3044.31,2021-01-15
2020-06-01,327.3,3055.73,2021-01-15
2020-06-02,327.37,3080.82,2021-01-15
2020-06-03,333.38,3122.87,2021-01-15
2020-06-04,327.39,3112.35,2021-01-15
2020-06-05,333.37,3193.93,2021-01-15
2020-06-08,331.98,3232.39,2021-01-15
2020-06-09,327.61,3207.18,2021-01-15
2020-06-10,331.18,3190.14,2021-01-15
2020-06-11,307.03,3002.1,2021-01-15
2020-06-12,316.91,3041.31,2021-01-15
2020-06-15,319.65,3066.59,2021-01-15
2020-06-16,324.93,3124.74,2021-01-15
2020-06-17,326.32,3113.49,2021-01-15
2020-06-18,326.81,3115.34,2021-01-15
2020-06-19,323.73,3097.74,2021-01-15
2020-06-22,326.36,3117.86,2021-01-15
2020-06-23,328.56,3131.29,2021-01-15
2020-06-24,317.97,3050.33,2021-01-15
2020-06-25,327.82,3083.76,2021-01-15
2020-06-26,321.6,3009.05,2021-01-15
2020-06-29,321.29,3053.24,2021-01-15
2020-06-30,329.48,3100.29,2021-01-15
2020-07-01,334.52,3115.86,2021-01-15
2020-07-02,333.25,3130.01,2021-01-15
2020-07-06,341.02,3179.72,2021-01-15
2020-07-07,341.19,3145.32,2021-01-15
2020-07-08,354.32,3169.94,2021-01-15
2020-07-09,352.72,3152.05,2021-01-15
2020-07-10,351.81,3185.04,2021-01-15
2020-07-13,346.09,3155.22,2021-01-15
2020-07-14,351.64,3197.52,2021-01-15
2020-07-15,354.8,3226.56,2021-01-15
2020-07-16,349.51,3215.57,2021-01-15
2020-07-17,354.69,3224.73,2021-01-15
2020-07-20,358.09,3251.84,2021-01-15
2020-07-21,354.83,3257.3,2021-01-15
2020-07-22,356.45,3276.02,2021-01-15
2020-07-23,348.26,3235.66,2021-01-15
2020-07-24,349.97,3215.63,2021-01-15
2020-07-27,351.32,3239.41,2021-01-15
2020-07-28,347.6,3218.44,2021-01-15
2020-07-29,359.86,3258.44,2021-01-15
2020-07-30,352.37,3246.22,2021-01-15
2020-07-31,350.25,3271.12,2021-01-15
2020-08-03,350.68,3294.61,2021-01-15
2020-08-04,345.77,3306.51,2021-01-15
2020-08-05,347.39,3327.77,2021-01-15
2020-08-06,352.57,3349.16,2021-01-15
2020-08-07,347.27,3351.28,2021-01-15
2020-08-10,344.07,3360.47,2021-01-15
2020-08-11,343.71,3333.69,2021-01-15
2020-08-12,349.19,3380.35,2021-01-15
2020-08-13,356.13,3373.43,2021-01-15
2020-08-14,352.27,3372.85,2021-01-15
2020-08-17,357.14,3381.99,2021-01-15
2020-08-18,360.12,3389.78,2021-01-15
2020-08-19,358.11,3374.85,2021-01-15
2020-08-20,361.22,3385.51,2021-01-15
2020-08-21,362.01,3397.16,2021-01-15
2020-08-24,360.0,3431.28,2021-01-15
2020-08-25,358.5,3443.62,2021-01-15
2020-08-26,364.41,3478.73,2021-01-15
2020-08-27,363.98,3484.55,2021-01-15
2020-08-28,366.83,3508.01,2021-01-15
2020-08-31,366.42,3500.31,2021-01-15
2020-09-01,368.39,3526.65,2021-01-15
2020-09-02,378.41,3580.84,2021-01-15
2020-09-03,353.69,3455.06,2021-01-15
2020-09-04,345.18,3426.96,2021-01-15
2020-09-08,340.66,3331.84,2021-01-15
2020-09-09,351.78,3398.96,2021-01-15
2020-09-10,344.48,3339.19,2021-01-15
2020-09-11,348.79,3340.97,2021-01-15
2020-09-14,353.09,3383.54,2021-01-15
2020-09-15,357.2,3401.2,2021-01-15
2020-09-16,357.54,3385.49,2021-01-15
2020-09-17,351.73,3357.01,2021-01-15
2020-09-18,351.01,3319.47,2021-01-15
2020-09-21,350.89,3281.06,2021-01-15
2020-09-22,350.17,3315.57,2021-01-15
2020-09-23,343.06,3236.92,2021-01-15
2020-09-24,345.87,3246.59,2021-01-15
2020-09-25,352.85,3298.46,2021-01-15
2020-09-28,355.55,3351.6,2021-01-15
2020-09-29,356.98,3335.47,2021-01-15
2020-09-30,360.6,3363.0,2021-01-15
2020-10-01,363.73,3380.8,2021-01-15
2020-10-02,362.98,3348.44,2021-01-15
2020-10-05,364.97,3408.63,2021-01-15
2020-10-06,354.31,3360.95,2021-01-15
2020-10-07,354.9,3419.45,2021-01-15
2020-10-08,357.2,3446.83,2021-01-15
2020-10-09,356.76,3477.13,2021-01-15
2020-10-12,360.09,3534.22,2021-01-15
2020-10-13,354.0,3511.93,2021-01-15
2020-10-14,351.51,3488.67,2021-01-15
2020-10-15,347.45,3483.34,2021-01-15
2020-10-16,348.17,3483.81,2021-01-15
2020-10-19,341.15,3426.92,2021-01-15
2020-10-20,340.15,3443.12,2021-01-15
2020-10-21,337.91,3435.56,2021-01-15
2020-10-22,337.25,3453.49,2021-01-15
2020-10-23,337.43,3465.39,2021-01-15
2020-10-26,333.55,3400.97,2021-01-15
2020-10-27,330.85,3390.68,2021-01-15
2020-10-28,326.7,3271.03,2021-01-15
2020-10-29,325.74,3310.11,2021-01-15
2020-10-30,322.73,3269.96,2021-01-15
2020-11-02,327.92,3310.24,2021-01-15
2020-11-03,334.75,3369.02,2021-01-15
2020-11-04,351.1,3443.44,2021-01-15
2020-11-05,355.99,3510.45,2021-01-15
2020-11-06,354.36,3509.44,2021-01-15
2020-11-09,346.41,3550.5,2021-01-15
2020-11-10,335.1,3545.53,2021-01-15
2020-11-11,343.97,3572.66,2021-01-15
2020-11-12,341.72,3537.01,2021-01-15
2020-11-13,341.92,3585.15,2021-01-15
2020-11-16,339.62,3626.91,2021-01-15
2020-11-17,336.66,3609.53,2021-01-15
2020-11-18,336.48,3567.79,2021-01-15
2020-11-19,338.63,3581.87,2021-01-15
2020-11-20,338.28,3557.54,2021-01-15
2020-11-23,337.12,3577.59,2021-01-15
2020-11-24,334.21,3635.41,2021-01-15
2020-11-25,338.04,3629.65,2021-01-15
2020-11-27,341.57,3638.35,2021-01-15
2020-11-30,351.78,3621.63,2021-01-15
2020-12-01,334.32,3662.45,2021-01-15
2020-12-02,333.28,3669.01,2021-01-15
2020-12-03,326.61,3666.72,2021-01-15
2020-12-04,339.45,3699.12,2021-01-15
2020-12-07,336.24,3691.96,2021-01-15
2020-12-08,333.7,3702.25,2021-01-15
2020-12-09,327.28,3672.82,2021-01-15
2020-12-10,325.83,3668.1,2021-01-15
2020-12-11,324.82,3663.46,2021-01-15
2020-12-14,323.68,3647.49,2021-01-15
2020-12-15,323.84,3694.62,2021-01-15
2020-12-16,320.87,3701.17,2021-01-15
2020-12-17,321.06,3722.48,2021-01-15
2020-12-18,322.5,3709.41,2021-01-15
2020-12-21,319.58,3694.92,2021-01-15
2020-12-22,318.93,3687.26,2021-01-15
2020-12-23,313.63,3690.01,2021-01-15
2020-12-24,316.58,3703.06,2021-01-15
2020-12-28,318.04,3735.36,2021-01-15
2020-12-29,321.49,3727.04,2021-01-15
2020-12-30,323.63,3732.04,2021-01-15
2020-12-31,328.73,3756.07,2021-01-15
2021-01-04,333.25,3700.65,2021-01-15
2021-01-05,328.45,3726.86,2021-01-15
2021-01-06,328.86,3748.14,2021-01-15
2021-01-07,329.07,3803.79,2021-01-15
2021-01-08,326.85,3824.68,2021-01-15
