Date,Stock,Market,joined date
2020-01-03,112.339331619537,10699.82,2021-11-07
2020-01-06,111.931818181818,10665.41,2021-11-07
2020-01-07,111.637975466447,10686.8,2021-11-07
2020-01-08,111.379274930677,10652.16,2021-11-07
2020-01-09,111.65347857363,10650.97,2021-11-07
2020-01-10,110.871130309575,10639.49,2021-11-07
2020-01-13,111.156897084578,10622.41,2021-11-07
2020-01-14,112.386269644335,10655.82,2021-11-07
2020-01-15,111.814127165232,10670.74,2021-11-07
2020-01-16,112.14226462049,10693.52,2021-11-07
2020-01-17,111.570247933884,10841.82,2021-11-07
2020-01-20,113.183180080587,10846.29,2021-11-07
2020-01-21,112.866584056175,10884.51,2021-11-07
2020-01-22,113.878268058283,10895.07,2021-11-07
2020-01-23,113.347785692164,10813.94,2021-11-07
2020-01-24,114.366632337796,10849.75,2021-11-07
2020-01-27,112.182793480503,10675.96,2021-11-07
2020-01-28,113.589638157895,10781.98,2021-11-07
2020-01-29,114.028776978417,10859.88,2021-11-07
2020-01-30,113.071288558754,10748.92,2021-11-07
2020-01-31,113.187954309449,10627.88,2021-11-07
2020-02-03,113.026819923372,10664.95,2021-11-07
2020-02-04,113.312693498452,10800.64,2021-11-07
2020-02-05,114.519112207152,10994.15,2021-11-07
2020-02-06,114.685960591133,11012.36,2021-11-07
2020-02-07,115.117111588422,11001.53,2021-11-07
2020-02-10,115.404298874104,11039.78,2021-11-07
2020-02-11,116.32673977657,11101.17,2021-11-07
2020-02-12,116.705858296698,11089.24,2021-11-07
2020-02-13,117.085375816994,11092.35,2021-11-07
2020-02-14,117.515274949083,11128.81,2021-11-07
2020-02-17,117.976955236056,11168.45,2021-11-07
2020-02-18,117.943240768997,11146.28,2021-11-07
2020-02-19,118.73538680492,11263.01,2021-11-07
2020-02-20,109.055798353491,11154.53,2021-11-07
2020-02-21,106.543967280163,11110.78,2021-11-07
2020-02-24,102.636149994891,10712.84,2021-11-07
2020-02-25,100.655737704918,10478.51,2021-11-07
2020-02-26,101.15695710044,10512.15,2021-11-07
2020-02-27,98.1397271599837,10205.46,2021-11-07
2020-02-28,94.9342173417593,9831.03,2021-11-07
2020-03-02,97.1952872484618,9950.83,2021-11-07
2020-03-03,97.4686192468619,10087.4,2021-11-07
2020-03-04,98.1498902477265,10251.39,2021-11-07
2020-03-05,97.7255897598649,10143.57,2021-11-07
2020-03-06,94.9423815620998,9736.82,2021-11-07
