Date,Stock,Market,joined date
2020-01-02,9.46372239747648,7604.3,2021-04-21
2020-01-03,9.43233269648515,7622.4,2021-04-21
2020-01-06,9.30912346768157,7575.34,2021-04-21
2020-01-07,9.20710742500163,7573.85,2021-04-21
2020-01-08,9.1522271554493,7574.93,2021-04-21
2020-01-09,9.24745231251655,7598.12,2021-04-21
2020-01-10,9.27966987045577,7587.85,2021-04-21
2020-01-13,9.27344987921117,7617.6,2021-04-21
2020-01-14,9.32793564427302,7622.35,2021-04-21
2020-01-15,9.16687306905112,7642.8,2021-04-21
2020-01-16,9.1741199853546,7609.81,2021-04-21
2020-01-17,9.13158853218191,7674.56,2021-04-21
2020-01-20,9.09847794978566,7651.44,2021-04-21
2020-01-21,9.01547373639871,7610.7,2021-04-21
2020-01-22,9.05340060969169,7571.92,2021-04-21
2020-01-23,8.92749363633981,7507.67,2021-04-21
2020-01-24,9.00674721481221,7585.98,2021-04-21
2020-01-27,8.58362376160056,7412.05,2021-04-21
2020-01-28,8.62383408889583,7480.69,2021-04-21
2020-01-29,8.59579454462616,7483.57,2021-04-21
2020-01-30,8.50584646004374,7381.96,2021-04-21
2020-01-31,8.32860367197725,7286.01,2021-04-21
2020-02-03,8.19333463262539,7326.31,2021-04-21
2020-02-04,8.31769856160126,7439.82,2021-04-21
2020-02-05,8.33040833040833,7482.48,2021-04-21
2020-02-06,8.25845819705009,7504.79,2021-04-21
2020-02-07,8.20893598370611,7466.7,2021-04-21
2020-02-10,8.1429733603645,7446.88,2021-04-21
2020-02-11,8.3249151708242,7499.44,2021-04-21
2020-02-12,8.31259720062218,7534.37,2021-04-21
2020-02-13,8.27310913407602,7452.03,2021-04-21
2020-02-14,8.28680269268918,7409.13,2021-04-21
2020-02-17,8.26136718343552,7433.25,2021-04-21
2020-02-18,8.19652953792188,7382.01,2021-04-21
2020-02-19,8.08991667204944,7457.02,2021-04-21
2020-02-20,8.00041212683176,7436.64,2021-04-21
2020-02-21,8.13155744614623,7403.92,2021-04-21
2020-02-24,7.84156572772994,7156.83,2021-04-21
2020-02-25,7.59957866812326,7017.88,2021-04-21
2020-02-26,7.63344989096934,7042.47,2021-04-21
2020-02-27,7.35157699443412,6796.4,2021-04-21
2020-02-28,7.21254310731616,6580.61,2021-04-21
2020-03-02,7.01763333375852,6654.89,2021-04-21
2020-03-03,6.89434310309472,6718.2,2021-04-21
2020-03-04,7.18661518661526,6815.59,2021-04-21
2020-03-05,6.8941395927251,6705.43,2021-04-21
2020-03-06,6.77921874592297,6462.55,2021-04-21
2020-03-09,5.99164872104609,5965.77,2021-04-21
2020-03-10,6.10714608365702,5960.23,2021-04-21
2020-03-11,6.04976731664148,5876.52,2021-04-21
2020-03-12,5.25720319806908,5237.48,2021-04-21
2020-03-13,5.36336852442936,5366.11,2021-04-21
2020-03-16,5.42158329857947,5151.08,2021-04-21
2020-03-17,5.50079529570523,5294.9,2021-04-21
2020-03-18,5.26071304145881,5080.58,2021-04-21
2020-03-19,5.18203744113947,5151.61,2021-04-21
2020-03-20,5.19772301316579,5190.78,2021-04-21
2020-03-23,4.86286737109524,4993.89,2021-04-21
2020-03-24,5.29768623024818,5446.01,2021-04-21
2020-03-25,5.62633705728558,5688.2,2021-04-21
2020-03-26,5.86871644704729,5815.73,2021-04-21
2020-03-27,5.81318585503761,5510.33,2021-04-21
2020-03-30,5.65550464980587,5563.74,2021-04-21
2020-03-31,5.53596264653293,5671.96,2021-04-21
2020-04-01,5.11620999480191,5454.57,2021-04-21
2020-04-02,4.93698650507434,5480.22,2021-04-21
2020-04-03,4.98246818527342,5415.5,2021-04-21
2020-04-06,5.14962151321351,5582.39,2021-04-21
2020-04-07,5.35549058070267,5704.45,2021-04-21
2020-04-08,5.41347237531414,5677.73,2021-04-21
2020-04-09,5.6159623360609,5842.66,2021-04-21
2020-04-14,5.35470840696777,5791.31,2021-04-21
2020-04-15,4.9304851647456,5597.65,2021-04-21
2020-04-16,4.94463749704187,5628.43,2021-04-21
2020-04-17,5.0808689348298,5786.96,2021-04-21
2020-04-20,4.9715237882068,5812.83,2021-04-21
2020-04-21,4.68978573272535,5641.03,2021-04-21
2020-04-22,4.7206807251204,5770.63,2021-04-21
2020-04-23,4.83683846761468,5826.61,2021-04-21
2020-04-24,4.65372248330438,5752.23,2021-04-21
2020-04-27,4.7611945863315,5846.79,2021-04-21
2020-04-28,4.8429368145176,5958.5,2021-04-21
2020-04-29,5.42184442422492,6115.25,2021-04-21
2020-04-30,5.13120781706443,5901.21,2021-04-21
2020-05-01,5.10707990048392,5763.06,2021-04-21
2020-05-04,4.85610839461,5753.78,2021-04-21
2020-05-05,4.98352502331356,5849.42,2021-04-21
2020-05-06,4.85863434981659,5853.76,2021-04-21
2020-05-07,5.11001236093952,5935.98,2021-04-21
2020-05-11,4.99321573948454,5939.73,2021-04-21
2020-05-12,4.92319762666557,5994.77,2021-04-21
2020-05-13,4.76807748278781,5904.05,2021-04-21
2020-05-14,4.74490482070588,5741.54,2021-04-21
2020-05-15,4.68426595010722,5799.77,2021-04-21
2020-05-18,4.90364573810665,6048.59,2021-04-21
2020-05-19,5.03271016587844,6002.23,2021-04-21
2020-05-20,5.06082784618026,6067.16,2021-04-21
2020-05-21,4.78489366902939,6015.25,2021-04-21
2020-05-22,4.64663666220638,5993.28,2021-04-21
2020-05-26,4.94475683140988,6067.76,2021-04-21
2020-05-27,5.03962858157842,6144.25,2021-04-21
2020-05-28,4.82911509329402,6218.79,2021-04-21
2020-05-29,4.54753058226676,6076.6,2021-04-21
2020-06-01,5.00056214163485,6166.42,2021-04-21
2020-06-02,5.0258508181911,6220.14,2021-04-21
2020-06-03,5.37200472706265,6382.41,2021-04-21
2020-06-04,5.428006498495,6341.44,2021-04-21
2020-06-05,5.88198049892375,6484.3,2021-04-21
2020-06-08,5.85466388478953,6472.59,2021-04-21
2020-06-09,5.63638446557443,6335.72,2021-04-21
2020-06-10,5.7352603808214,6329.13,2021-04-21
2020-06-11,5.21640521640538,6076.7,2021-04-21
2020-06-12,5.35331368737838,6105.18,2021-04-21
2020-06-15,5.26136707329355,6064.7,2021-04-21
2020-06-16,5.38922908624541,6242.79,2021-04-21
2020-06-17,5.33544240232983,6253.25,2021-04-21
2020-06-18,5.26531575743258,6224.07,2021-04-21
2020-06-19,5.27603420155201,6292.6,2021-04-21
2020-06-22,5.33582554517127,6244.62,2021-04-21
2020-06-23,5.39024848219302,6320.12,2021-04-21
