Date,Stock,Market,joined date
2020-01-02,14.4371467506646,4285.03,2021-01-10
2020-01-03,14.2319966079757,4265.47,2021-01-10
2020-01-07,14.1617788086264,4259.85,2021-01-10
2020-01-08,13.6899606954899,4236.55,2021-01-10
2020-01-09,13.6479733481399,4239.57,2021-01-10
2020-01-10,13.7220887821369,4262.12,2021-01-10
2020-01-13,13.5488683299378,4285.54,2021-01-10
2020-01-14,13.3135271667167,4296.29,2021-01-10
2020-01-15,13.1614154792962,4295.85,2021-01-10
2020-01-16,13.2896099413186,4338.08,2021-01-10
2020-01-17,13.4995786579145,4367.53,2021-01-10
2020-01-20,13.7177026592262,4396.48,2021-01-10
2020-01-21,13.5145618156833,4364.59,2021-01-10
2020-01-22,13.5975954659894,4352.1,2021-01-10
2020-01-23,13.1077242736044,4324.77,2021-01-10
2020-01-24,13.172543789063,4344.26,2021-01-10
2020-01-27,12.5417231236988,4246.68,2021-01-10
2020-01-28,12.6675041876047,4323.93,2021-01-10
2020-01-29,12.8584796609236,4315.41,2021-01-10
2020-01-30,12.9491959144956,4322.75,2021-01-10
2020-01-31,13.045359246564,4300.08,2021-01-10
2020-02-03,12.9600141542816,4294.1,2021-01-10
2020-02-04,13.3608648123406,4359.76,2021-01-10
2020-02-05,13.7022455847098,4440.14,2021-01-10
2020-02-06,13.6920120779577,4485.86,2021-01-10
2020-02-07,13.2902180930808,4525.72,2021-01-10
2020-02-10,13.2872244100931,4517.51,2021-01-10
2020-02-11,13.5989085948159,4581.49,2021-01-10
2020-02-12,13.5561160151323,4558.54,2021-01-10
2020-02-13,13.4524286999598,4548.32,2021-01-10
2020-02-14,13.2505198405822,4546.57,2021-01-10
2020-02-17,13.3312387597235,4526.38,2021-01-10
2020-02-18,12.7927052983706,4458.79,2021-01-10
2020-02-19,12.9540396292055,4502.68,2021-01-10
2020-02-20,13.1498075243424,4483.86,2021-01-10
2020-02-21,13.109243697479,4470.0,2021-01-10
2020-02-24,12.5394741125785,4317.04,2021-01-10
2020-02-25,12.3259355961706,4236.71,2021-01-10
2020-02-26,12.5326370757181,4276.3,2021-01-10
2020-02-27,12.1802344763874,4154.6,2021-01-10
2020-02-28,11.8077682105333,4026.23,2021-01-10
2020-03-02,11.9223875944829,4041.56,2021-01-10
2020-03-03,12.165151142787,4081.84,2021-01-10
2020-03-04,12.052552468964,4098.51,2021-01-10
2020-03-05,11.8290325481029,4024.56,2021-01-10
2020-03-06,11.6122916502093,3879.02,2021-01-10
