Date,Stock,Market,joined date
2020-01-02,168.02,3257.85,2021-09-20
2020-01-03,167.12,3234.85,2021-09-20
2020-01-06,166.52,3246.28,2021-09-20
2020-01-07,165.19,3237.18,2021-09-20
2020-01-08,165.98,3253.05,2021-09-20
2020-01-09,165.26,3274.7,2021-09-20
2020-01-10,166.0,3265.35,2021-09-20
2020-01-13,165.3,3288.13,2021-09-20
2020-01-14,166.66,3283.15,2021-09-20
2020-01-15,167.08,3289.29,2021-09-20
2020-01-16,170.5,3316.81,2021-09-20
2020-01-17,172.53,3329.62,2021-09-20
2020-01-21,169.79,3320.79,2021-09-20
2020-01-22,167.88,3321.75,2021-09-20
2020-01-23,168.48,3325.54,2021-09-20
2020-01-24,166.48,3295.47,2021-09-20
2020-01-27,162.34,3243.63,2021-09-20
2020-01-28,166.35,3276.24,2021-09-20
2020-01-29,162.75,3273.4,2021-09-20
2020-01-30,165.16,3283.66,2021-09-20
2020-01-31,159.33,3225.52,2021-09-20
2020-02-03,160.87,3248.92,2021-09-20
2020-02-04,165.8,3297.59,2021-09-20
2020-02-05,167.87,3334.69,2021-09-20
2020-02-06,166.12,3345.78,2021-09-20
2020-02-07,163.05,3327.71,2021-09-20
2020-02-10,164.49,3352.09,2021-09-20
2020-02-11,165.53,3357.75,2021-09-20
2020-02-12,168.37,3379.45,2021-09-20
2020-02-13,167.88,3373.94,2021-09-20
2020-02-14,166.97,3380.16,2021-09-20
2020-02-18,164.93,3370.29,2021-09-20
2020-02-19,161.79,3386.15,2021-09-20
2020-02-20,162.05,3373.23,2021-09-20
2020-02-21,158.1,3337.75,2021-09-20
2020-02-24,151.08,3225.89,2021-09-20
2020-02-25,143.69,3128.21,2021-09-20
2020-02-26,142.21,3116.39,2021-09-20
2020-02-27,136.13,2978.76,2021-09-20
2020-02-28,143.7,2954.22,2021-09-20
2020-03-02,142.42,3090.23,2021-09-20
2020-03-03,134.35,3003.37,2021-09-20
2020-03-04,137.71,3130.12,2021-09-20
2020-03-05,127.63,3023.94,2021-09-20
2020-03-06,128.21,2972.37,2021-09-20
2020-03-09,120.02,2746.56,2021-09-20
2020-03-10,130.59,2882.23,2021-09-20
2020-03-11,122.18,2741.38,2021-09-20
2020-03-12,104.74,2480.64,2021-09-20
2020-03-13,109.09,2711.02,2021-09-20
2020-03-16,86.64,2386.13,2021-09-20
2020-03-17,90.91,2529.19,2021-09-20
2020-03-18,78.33,2398.1,2021-09-20
2020-03-19,83.77,2409.39,2021-09-20
2020-03-20,79.45,2304.92,2021-09-20
2020-03-23,72.03,2237.4,2021-09-20
2020-03-24,90.27,2447.33,2021-09-20
2020-03-25,98.26,2475.56,2021-09-20
2020-03-26,107.24,2630.07,2021-09-20
2020-03-27,96.66,2541.47,2021-09-20
2020-03-30,100.38,2626.65,2021-09-20
2020-03-31,100.0,2584.59,2021-09-20
2020-04-01,92.13,2470.5,2021-09-20
2020-04-02,95.69,2526.9,2021-09-20
2020-04-03,95.27,2488.65,2021-09-20
2020-04-06,106.69,2663.68,2021-09-20
2020-04-07,107.4,2659.41,2021-09-20
2020-04-08,114.38,2749.98,2021-09-20
2020-04-09,119.37,2789.82,2021-09-20
2020-04-13,114.05,2761.63,2021-09-20
2020-04-14,115.53,2846.06,2021-09-20
2020-04-15,107.19,2783.36,2021-09-20
2020-04-16,106.71,2799.55,2021-09-20
2020-04-17,112.54,2874.56,2021-09-20
2020-04-20,110.48,2823.16,2021-09-20
2020-04-21,106.34,2736.56,2021-09-20
2020-04-22,107.37,2799.31,2021-09-20
2020-04-23,105.83,2797.8,2021-09-20
2020-04-24,107.74,2836.74,2021-09-20
2020-04-27,112.74,2878.48,2021-09-20
2020-04-28,117.82,2863.39,2021-09-20
2020-04-29,122.09,2939.51,2021-09-20
2020-04-30,110.2,2912.43,2021-09-20
2020-05-01,106.5,2830.71,2021-09-20
2020-05-04,103.93,2842.74,2021-09-20
2020-05-05,107.12,2868.44,2021-09-20
2020-05-06,106.11,2848.42,2021-09-20
2020-05-07,109.98,2881.19,2021-09-20
2020-05-08,117.33,2929.8,2021-09-20
2020-05-11,113.58,2930.32,2021-09-20
2020-05-12,108.72,2870.12,2021-09-20
2020-05-13,102.39,2820.0,2021-09-20
2020-05-14,104.45,2852.5,2021-09-20
2020-05-15,107.84,2863.7,2021-09-20
2020-05-18,120.66,2953.91,2021-09-20
2020-05-19,121.89,2922.94,2021-09-20
2020-05-20,127.13,2971.61,2021-09-20
2020-05-21,123.52,2948.51,2021-09-20
2020-05-22,121.49,2955.45,2021-09-20
2020-05-26,128.1,2991.77,2021-09-20
2020-05-27,132.84,3036.13,2021-09-20
2020-05-28,126.49,3029.73,2021-09-20
2020-05-29,125.45,3044.31,2021-09-20
2020-06-01,125.09,3055.73,2021-09-20
2020-06-02,131.12,3080.82,2021-09-20
2020-06-03,137.95,3122.87,2021-09-20
2020-06-04,142.5,3112.35,2021-09-20
2020-06-05,146.64,3193.93,2021-09-20
2020-06-08,148.23,3232.39,2021-09-20
2020-06-09,141.23,3207.18,2021-09-20
2020-06-10,136.48,3190.14,2021-09-20
2020-06-11,128.45,3002.1,2021-09-20
2020-06-12,131.09,3041.31,2021-09-20
2020-06-15,135.38,3066.59,2021-09-20
2020-06-16,138.32,3124.74,2021-09-20
2020-06-17,135.31,3113.49,2021-09-20
2020-06-18,136.76,3115.34,2021-09-20
2020-06-19,133.92,3097.74,2021-09-20
2020-06-22,135.41,3117.86,2021-09-20
2020-06-23,135.68,3131.29,2021-09-20
2020-06-24,131.09,3050.33,2021-09-20
2020-06-25,135.59,3083.76,2021-09-20
2020-06-26,136.27,3009.05,2021-09-20
2020-06-29,136.12,3053.24,2021-09-20
2020-06-30,139.38,3100.29,2021-09-20
2020-07-01,135.61,3115.86,2021-09-20
2020-07-02,138.14,3130.01,2021-09-20
2020-07-06,141.09,3179.72,2021-09-20
2020-07-07,138.89,3145.32,2021-09-20
2020-07-08,139.28,3169.94,2021-09-20
2020-07-09,137.04,3152.05,2021-09-20
2020-07-10,139.92,3185.04,2021-09-20
2020-07-13,142.04,3155.22,2021-09-20
2020-07-14,146.43,3197.52,2021-09-20
2020-07-15,151.51,3226.56,2021-09-20
2020-07-16,152.82,3215.57,2021-09-20
2020-07-17,153.36,3224.73,2021-09-20
2020-07-20,152.21,3251.84,2021-09-20
2020-07-21,153.79,3257.3,2021-09-20
2020-07-22,152.31,3276.02,2021-09-20
2020-07-23,152.36,3235.66,2021-09-20
2020-07-24,152.91,3215.63,2021-09-20
2020-07-27,157.61,3239.41,2021-09-20
2020-07-28,152.71,3218.44,2021-09-20
2020-07-29,156.08,3258.44,2021-09-20
2020-07-30,154.46,3246.22,2021-09-20
2020-07-31,153.32,3271.12,2021-09-20
2020-08-03,154.4,3294.61,2021-09-20
2020-08-04,154.65,3306.51,2021-09-20
2020-08-05,157.3,3327.77,2021-09-20
2020-08-06,155.04,3349.16,2021-09-20
2020-08-07,157.26,3351.28,2021-09-20
2020-08-10,159.97,3360.47,2021-09-20
2020-08-11,161.41,3333.69,2021-09-20
2020-08-12,160.34,3380.35,2021-09-20
2020-08-13,158.4,3373.43,2021-09-20
2020-08-14,158.78,3372.85,2021-09-20
2020-08-17,159.77,3381.99,2021-09-20
2020-08-18,159.92,3389.78,2021-09-20
2020-08-19,158.97,3374.85,2021-09-20
2020-08-20,158.15,3385.51,2021-09-20
2020-08-21,159.18,3397.16,2021-09-20
2020-08-24,160.37,3431.28,2021-09-20
2020-08-25,159.71,3443.62,2021-09-20
2020-08-26,159.7,3478.73,2021-09-20
2020-08-27,159.48,3484.55,2021-09-20
2020-08-28,165.52,3508.01,2021-09-20
2020-08-31,161.3,3500.31,2021-09-20
2020-09-01,165.34,3526.65,2021-09-20
2020-09-02,166.25,3580.84,2021-09-20
2020-09-03,160.53,3455.06,2021-09-20
2020-09-04,160.13,3426.96,2021-09-20
2020-09-08,155.6,3331.84,2021-09-20
2020-09-09,157.6,3398.96,2021-09-20
2020-09-10,157.24,3339.19,2021-09-20
2020-09-11,159.01,3340.97,2021-09-20
2020-09-14,162.35,3383.54,2021-09-20
2020-09-15,162.84,3401.2,2021-09-20
2020-09-16,165.36,3385.49,2021-09-20
2020-09-17,164.25,3357.01,2021-09-20
2020-09-18,160.33,3319.47,2021-09-20
2020-09-21,154.43,3281.06,2021-09-20
2020-09-22,157.46,3315.57,2021-09-20
2020-09-23,156.72,3236.92,2021-09-20
2020-09-24,157.22,3246.59,2021-09-20
2020-09-25,159.93,3298.46,2021-09-20
2020-09-28,164.07,3351.6,2021-09-20
2020-09-29,161.48,3335.47,2021-09-20
2020-09-30,162.2,3363.0,2021-09-20
2020-10-01,162.63,3380.8,2021-09-20
2020-10-02,164.81,3348.44,2021-09-20
2020-10-05,169.31,3408.63,2021-09-20
2020-10-06,166.86,3360.95,2021-09-20
2020-10-07,172.0,3419.45,2021-09-20
2020-10-08,173.59,3446.83,2021-09-20
2020-10-09,176.66,3477.13,2021-09-20
2020-10-12,177.97,3534.22,2021-09-20
2020-10-13,177.94,3511.93,2021-09-20
2020-10-14,177.52,3488.67,2021-09-20
2020-10-15,176.65,3483.34,2021-09-20
2020-10-16,176.38,3483.81,2021-09-20
2020-10-19,173.59,3426.92,2021-09-20
2020-10-20,175.7,3443.12,2021-09-20
2020-10-21,174.39,3435.56,2021-09-20
2020-10-22,178.01,3453.49,2021-09-20
2020-10-23,178.01,3465.39,2021-09-20
2020-10-26,172.86,3400.97,2021-09-20
2020-10-27,166.31,3390.68,2021-09-20
2020-10-28,162.55,3271.03,2021-09-20
2020-10-29,165.34,3310.11,2021-09-20
2020-10-30,166.2,3269.96,2021-09-20
2020-11-02,168.71,3310.24,2021-09-20
2020-11-03,173.63,3369.02,2021-09-20
2020-11-04,175.6,3443.44,2021-09-20
2020-11-05,177.83,3510.45,2021-09-20
2020-11-06,178.85,3509.44,2021-09-20
