Date,Stock,Market,joined date
2018-01-02,20.5596032572093,1633.31,2020-01-01
2018-01-03,20.424636759454,1622.93,2020-01-01
2018-01-04,20.7411504424779,1630.54,2020-01-01
2018-01-05,20.835124347559,1655.67,2020-01-01
2018-01-08,20.772852577395,1661.09,2020-01-01
2018-01-09,21.0910726004423,1679.27,2020-01-01
2018-01-10,21.2942410420275,1698.53,2020-01-01
2018-01-11,21.246110516671,1707.5,2020-01-01
2018-01-12,21.5697240865026,1715.98,2020-01-01
2018-01-15,21.6620692237602,1706.87,2020-01-01
2018-01-16,21.5370833488858,1704.07,2020-01-01
2018-01-17,19.7683954176089,1741.87,2020-01-01
2018-01-18,20.1411752968173,1753.65,2020-01-01
2018-01-19,19.9258918468598,1754.3,2020-01-01
2018-01-22,20.227465456178,1761.3,2020-01-01
2018-01-23,20.3610018112547,1768.11,2020-01-01
2018-01-24,20.3204845120182,1768.48,2020-01-01
2018-01-25,20.2267619504557,1774.02,2020-01-01
2018-01-26,20.5494240319036,1757.34,2020-01-01
2018-01-29,20.5312785156646,1752.66,2020-01-01
2018-01-30,20.274295564879,1762.32,2020-01-01
2018-01-31,20.3305701192032,1760.35,2020-01-01
2018-02-01,20.2712184418334,1759.24,2020-01-01
2018-02-02,20.655928536181,1750.55,2020-01-01
2018-02-05,20.0080207537003,1724.7,2020-01-01
2018-02-06,19.9519442452604,1704.88,2020-01-01
2018-02-07,20.1205251630308,1717.54,2020-01-01
2018-02-08,19.6621946261595,1764.5,2020-01-01
2018-02-09,19.6326515497513,1772.77,2020-01-01
2018-02-12,20.0734227139119,1775.96,2020-01-01
2018-02-13,20.0408666724811,1763.04,2020-01-01
2018-02-14,20.6722245275189,1763.26,2020-01-01
2018-02-15,20.7248003834656,1756.19,2020-01-01
2018-02-16,20.6735536671394,1776.87,2020-01-01
2018-02-19,20.3448664770236,1796.91,2020-01-01
2018-02-20,20.1304557302926,1792.6,2020-01-01
2018-02-21,20.0746792857407,1788.09,2020-01-01
2018-02-22,20.2048210588583,1783.16,2020-01-01
2018-02-23,20.4150301606529,1770.26,2020-01-01
2018-02-26,20.3642119988711,1773.05,2020-01-01
2018-02-27,20.1099114872094,1746.07,2020-01-01
2018-02-28,19.9835933070344,1782.54,2020-01-01
2018-03-01,19.8421358940783,1783.59,2020-01-01
2018-03-02,19.5336655632753,1782.51,2020-01-01
2018-03-05,19.7910740440367,1793.42,2020-01-01
2018-03-06,20.0348538211244,1806.49,2020-01-01
2018-03-07,19.7907298932989,1802.34,2020-01-01
2018-03-08,20.3445059537509,1788.18,2020-01-01
2018-03-09,20.6670225414311,1778.93,2020-01-01
2018-03-12,20.7615395816144,1777.49,2020-01-01
2018-03-13,20.5599513085818,1764.86,2020-01-01
2018-03-14,20.6258021145266,1759.99,2020-01-01
2018-03-15,20.9507623460942,1763.51,2020-01-01
2018-03-16,20.9671118490123,1775.21,2020-01-01
2018-03-19,20.7884427032322,1761.79,2020-01-01
2018-03-20,20.6016885233937,1766.57,2020-01-01
2018-03-21,20.6670659121742,1773.24,2020-01-01
2018-03-22,20.2604482132041,1762.74,2020-01-01
2018-03-23,20.2044702087148,1757.18,2020-01-01
2018-03-26,20.2459306656246,1758.8,2020-01-01
2018-03-27,20.4505686789152,1770.83,2020-01-01
2018-03-28,20.0371279717348,1775.29,2020-01-01
2018-04-03,19.6190612410308,1774.53,2020-01-01
2018-04-04,19.4871672777487,1755.11,2020-01-01
2018-04-05,19.8232128218227,1759.5,2020-01-01
2018-04-06,19.8519595689902,1771.94,2020-01-01
2018-04-09,20.0143600789804,1761.83,2020-01-01
2018-04-10,19.8241069815071,1762.48,2020-01-01
2018-04-11,19.5629715054539,1761.19,2020-01-01
2018-04-12,19.5108023222613,1782.49,2020-01-01
2018-04-13,19.6938221477302,1782.99,2020-01-01
2018-04-16,18.834517669986,1786.16,2020-01-01
2018-04-17,19.1202199450138,1781.68,2020-01-01
2018-04-18,19.0772013757483,1775.63,2020-01-01
2018-04-20,19.0654382682424,1814.59,2020-01-01
2018-04-23,19.0126790326368,1811.31,2020-01-01
2018-04-24,19.2276040442042,1807.59,2020-01-01
2018-04-25,19.471114537342,1811.58,2020-01-01
2018-04-26,19.4964850919417,1788.04,2020-01-01
2018-04-27,19.5559765282077,1780.32,2020-01-01
2018-04-30,19.5822902019959,1769.74,2020-01-01
2018-05-02,19.1198905191367,1780.48,2020-01-01
2018-05-03,19.0190871745988,1776.7,2020-01-01
2018-05-04,19.1682578650664,1777.39,2020-01-01
2018-05-07,19.4872085125651,1759.71,2020-01-01
2018-05-08,19.649094950778,1747.78,2020-01-01
2018-05-09,19.1262481758534,1724.0,2020-01-01
2018-05-11,19.2059299254105,1725.57,2020-01-01
2018-05-14,19.4662407703169,1741.33,2020-01-01
2018-05-15,19.2821599705124,1731.75,2020-01-01
2018-05-16,19.2510972723303,1748.05,2020-01-01
2018-05-17,19.2728313770398,1743.64,2020-01-01
2018-05-18,19.3830334190231,1756.42,2020-01-01
2018-05-22,19.6125824384517,1756.21,2020-01-01
2018-05-23,19.2369166133893,1747.23,2020-01-01
2018-05-24,19.2195723402556,1752.63,2020-01-01
2018-05-25,19.124997147226,1749.96,2020-01-01
2018-05-28,18.9687613347842,1746.74,2020-01-01
2018-05-29,18.589893979511,1751.15,2020-01-01
2018-05-30,18.6629431597589,1739.76,2020-01-01
2018-05-31,18.4231131486672,1725.17,2020-01-01
2018-06-01,18.5237652711983,1729.15,2020-01-01
2018-06-04,18.5529922338967,1736.68,2020-01-01
2018-06-05,18.5085714285714,1741.22,2020-01-01
