Date,Stock,Market,joined date
2018-01-02,47.06,7648.1,2019-05-09
2018-01-03,50.4,7671.11,2019-05-09
2018-01-04,51.6,7695.88,2019-05-09
2018-01-05,51.87,7724.22,2019-05-09
2018-01-08,51.91,7696.51,2019-05-09
2018-01-09,52.72,7731.02,2019-05-09
2018-01-10,51.05,7748.51,2019-05-09
2018-01-11,52.04,7762.94,2019-05-09
2018-01-12,52.57,7778.64,2019-05-09
2018-01-16,52.82,7755.93,2019-05-09
2018-01-17,54.87,7725.43,2019-05-09
2018-01-18,55.6,7700.96,2019-05-09
2018-01-19,53.07,7730.79,2019-05-09
2018-01-22,52.26,7715.44,2019-05-09
2018-01-23,53.93,7731.83,2019-05-09
2018-01-24,52.77,7643.43,2019-05-09
2018-01-25,53.09,7615.84,2019-05-09
2018-01-26,53.85,7665.54,2019-05-09
2018-01-29,54.74,7671.53,2019-05-09
2018-01-30,53.39,7587.98,2019-05-09
2018-01-31,53.99,7533.55,2019-05-09
2018-02-01,53.26,7490.39,2019-05-09
2018-02-02,52.72,7443.43,2019-05-09
2018-02-05,51.23,7334.98,2019-05-09
2018-02-06,52.02,7141.4,2019-05-09
2018-02-07,51.79,7279.42,2019-05-09
2018-02-08,48.86,7170.69,2019-05-09
2018-02-09,50.19,7092.43,2019-05-09
2018-02-12,51.22,7177.06,2019-05-09
2018-02-13,51.8,7168.01,2019-05-09
2018-02-14,52.09,7213.97,2019-05-09
2018-02-15,52.92,7234.81,2019-05-09
2018-02-16,53.23,7294.7,2019-05-09
2018-02-20,54.26,7246.77,2019-05-09
2018-02-21,55.45,7281.57,2019-05-09
2018-02-22,52.41,7252.39,2019-05-09
2018-02-23,53.27,7244.41,2019-05-09
2018-02-26,52.77,7289.58,2019-05-09
2018-02-27,52.91,7282.45,2019-05-09
2018-02-28,54.29,7231.91,2019-05-09
2018-03-01,54.19,7175.64,2019-05-09
2018-03-02,58.17,7069.9,2019-05-09
2018-03-05,58.58,7115.98,2019-05-09
2018-03-06,59.14,7146.75,2019-05-09
2018-03-07,59.77,7157.84,2019-05-09
2018-03-08,59.79,7203.24,2019-05-09
2018-03-09,61.26,7224.51,2019-05-09
2018-03-12,61.8,7214.76,2019-05-09
2018-03-13,59.83,7138.78,2019-05-09
2018-03-14,59.98,7132.69,2019-05-09
2018-03-15,59.56,7139.76,2019-05-09
2018-03-16,59.26,7164.14,2019-05-09
2018-03-19,58.57,7042.93,2019-05-09
2018-03-20,59.16,7061.27,2019-05-09
2018-03-21,58.32,7038.97,2019-05-09
2018-03-22,57.51,6952.59,2019-05-09
2018-03-23,55.36,6921.94,2019-05-09
2018-03-26,56.62,6888.69,2019-05-09
2018-03-27,54.01,7000.14,2019-05-09
2018-03-28,52.16,7044.74,2019-05-09
2018-03-29,53.92,7056.61,2019-05-09
2018-04-02,53.78,7056.61,2019-05-09
2018-04-03,53.21,7030.46,2019-05-09
2018-04-04,56.11,7034.01,2019-05-09
2018-04-05,55.97,7199.5,2019-05-09
2018-04-06,54.59,7183.64,2019-05-09
2018-04-09,55.9,7194.75,2019-05-09
2018-04-10,56.99,7266.75,2019-05-09
2018-04-11,58.66,7257.14,2019-05-09
2018-04-12,60.64,7258.34,2019-05-09
2018-04-13,60.25,7264.56,2019-05-09
2018-04-16,60.68,7198.2,2019-05-09
