Date,Stock,Market,joined date
2017-01-02,3.98515347422769,1741.53,2019-07-17
2017-01-03,3.95441307432065,1737.22,2019-07-17
2017-01-04,4.02111557811023,1736.42,2019-07-17
2017-01-05,4.08139339339341,1731.84,2019-07-17
2017-01-09,4.04417807310441,1699.18,2019-07-17
2017-01-10,4.01688876409444,1696.26,2019-07-17
2017-01-11,4.04947249459864,1700.34,2019-07-17
2017-01-12,4.06781812088034,1685.66,2019-07-17
2017-01-13,4.10849971919576,1698.29,2019-07-17
2017-01-16,4.06461779952629,1701.71,2019-07-17
2017-01-17,4.08606032289296,1683.21,2019-07-17
2017-01-18,4.03239753342939,1657.43,2019-07-17
2017-01-19,4.02597816491413,1690.74,2019-07-17
2017-01-20,4.02463954535225,1714.26,2019-07-17
2017-01-23,3.98190720598232,1712.89,2019-07-17
2017-01-24,3.99386014491934,1727.44,2019-07-17
2017-01-25,4.0567430625645,1741.53,2019-07-17
2017-01-26,4.06515585223736,1737.56,2019-07-17
2017-01-27,3.97110881355933,1742.77,2019-07-17
2017-01-30,3.90857668614395,1721.61,2019-07-17
2017-01-31,3.98495332021418,1719.94,2019-07-17
2017-02-01,3.94310110304622,1615.53,2019-07-17
2017-02-02,3.93429970516309,1636.7,2019-07-17
2017-02-03,3.92783595890413,1637.5,2019-07-17
2017-02-06,3.87338596511113,1636.4,2019-07-17
2017-02-07,3.83971073122908,1636.57,2019-07-17
2017-02-08,3.86136804572981,1631.19,2019-07-17
2017-02-09,3.84887342767297,1691.7,2019-07-17
2017-02-10,3.83117585066428,1730.44,2019-07-17
2017-02-13,3.82809676156384,1745.69,2019-07-17
2017-02-14,3.83695445229641,1742.69,2019-07-17
2017-02-15,3.83723968962348,1742.53,2019-07-17
2017-02-16,3.92388998634142,1745.08,2019-07-17
2017-02-17,3.90182388595803,1745.41,2019-07-17
2017-02-20,3.91130253229743,1783.37,2019-07-17
2017-02-21,3.9203519934036,1772.33,2019-07-17
2017-02-22,3.92485976622131,1771.62,2019-07-17
2017-02-23,3.94277706099569,1748.73,2019-07-17
2017-02-24,3.9254457844656,1728.23,2019-07-17
2017-02-27,3.90299388507471,1709.11,2019-07-17
2017-02-28,3.94296451655745,1724.73,2019-07-17
2017-03-01,3.96464980050178,1722.48,2019-07-17
2017-03-02,3.94699257970759,1728.39,2019-07-17
2017-03-03,3.98360423162584,1732.64,2019-07-17
2017-03-06,3.95362718782581,1711.02,2019-07-17
2017-03-07,3.97156242716185,1718.19,2019-07-17
2017-03-08,3.92744549009213,1702.2,2019-07-17
2017-03-09,3.95854018553124,1703.92,2019-07-17
2017-03-10,3.99254574135996,1686.48,2019-07-17
2017-03-13,3.99289066082154,1697.53,2019-07-17
2017-03-14,3.94255081448117,1721.07,2019-07-17
2017-03-15,3.99716299330782,1739.78,2019-07-17
2017-03-16,4.03547851041868,1730.1,2019-07-17
2017-03-17,4.08496371027096,1761.7,2019-07-17
2017-03-20,4.07887923997823,1758.12,2019-07-17
2017-03-21,4.10652218899591,1753.86,2019-07-17
2017-03-22,4.08726389251981,1742.12,2019-07-17
2017-03-23,4.12510224659273,1755.72,2019-07-17
2017-03-24,4.13379012583825,1745.95,2019-07-17
2017-03-27,4.15864583096218,1749.62,2019-07-17
