Date,Stock,Market,joined date
2020-01-02,378.49,3257.85,2022-04-28
2020-01-03,374.62,3234.85,2022-04-28
2020-01-06,378.99,3246.28,2022-04-28
2020-01-07,378.41,3237.18,2022-04-28
2020-01-08,379.46,3253.05,2022-04-28
2020-01-09,379.41,3274.7,2022-04-28
2020-01-10,378.7,3265.35,2022-04-28
2020-01-13,378.18,3288.13,2022-04-28
2020-01-14,383.14,3283.15,2022-04-28
2020-01-15,380.4,3289.29,2022-04-28
2020-01-16,384.38,3316.81,2022-04-28
2020-01-17,383.73,3329.62,2022-04-28
2020-01-21,383.94,3320.79,2022-04-28
2020-01-22,386.35,3321.75,2022-04-28
2020-01-23,384.82,3325.54,2022-04-28
2020-01-24,380.02,3295.47,2022-04-28
2020-01-27,378.52,3243.63,2022-04-28
2020-01-28,380.38,3276.24,2022-04-28
2020-01-29,379.38,3273.4,2022-04-28
2020-01-30,380.5,3283.66,2022-04-28
2020-01-31,371.51,3225.52,2022-04-28
2020-02-03,373.67,3248.92,2022-04-28
2020-02-04,383.27,3297.59,2022-04-28
2020-02-05,385.47,3334.69,2022-04-28
2020-02-06,381.41,3345.78,2022-04-28
2020-02-07,375.07,3327.71,2022-04-28
2020-02-10,376.8,3352.09,2022-04-28
2020-02-11,378.83,3357.75,2022-04-28
2020-02-12,377.39,3379.45,2022-04-28
2020-02-13,381.78,3373.94,2022-04-28
2020-02-14,386.65,3380.16,2022-04-28
2020-02-18,387.76,3370.29,2022-04-28
2020-02-19,395.14,3386.15,2022-04-28
2020-02-20,384.36,3373.23,2022-04-28
2020-02-21,370.4,3337.75,2022-04-28
2020-02-24,361.59,3225.89,2022-04-28
2020-02-25,348.11,3128.21,2022-04-28
2020-02-26,345.3,3116.39,2022-04-28
2020-02-27,337.1,2978.76,2022-04-28
2020-02-28,335.02,2954.22,2022-04-28
2020-03-02,353.61,3090.23,2022-04-28
2020-03-03,337.11,3003.37,2022-04-28
2020-03-04,351.38,3130.12,2022-04-28
2020-03-05,340.47,3023.94,2022-04-28
2020-03-06,346.92,2972.37,2022-04-28
2020-03-09,334.29,2746.56,2022-04-28
2020-03-10,356.37,2882.23,2022-04-28
2020-03-11,342.08,2741.38,2022-04-28
2020-03-12,297.71,2480.64,2022-04-28
2020-03-13,318.42,2711.02,2022-04-28
2020-03-16,282.66,2386.13,2022-04-28
2020-03-17,262.84,2529.19,2022-04-28
2020-03-18,245.05,2398.1,2022-04-28
2020-03-19,254.4,2409.39,2022-04-28
2020-03-20,243.84,2304.92,2022-04-28
2020-03-23,225.31,2237.4,2022-04-28
2020-03-24,255.88,2447.33,2022-04-28
2020-03-25,280.86,2475.56,2022-04-28
2020-03-26,289.99,2630.07,2022-04-28
2020-03-27,282.51,2541.47,2022-04-28
2020-03-30,288.34,2626.65,2022-04-28
2020-03-31,292.86,2584.59,2022-04-28
2020-04-01,279.8,2470.5,2022-04-28
2020-04-02,295.3,2526.9,2022-04-28
2020-04-03,294.37,2488.65,2022-04-28
2020-04-06,321.45,2663.68,2022-04-28
2020-04-07,308.39,2659.41,2022-04-28
2020-04-08,321.58,2749.98,2022-04-28
2020-04-09,325.56,2789.82,2022-04-28
2020-04-13,321.04,2761.63,2022-04-28
2020-04-14,330.93,2846.06,2022-04-28
2020-04-15,331.04,2783.36,2022-04-28
2020-04-16,330.08,2799.55,2022-04-28
2020-04-17,346.68,2874.56,2022-04-28
2020-04-20,344.85,2823.16,2022-04-28
2020-04-21,328.35,2736.56,2022-04-28
2020-04-22,334.03,2799.31,2022-04-28
2020-04-23,334.43,2797.8,2022-04-28
2020-04-24,338.39,2836.74,2022-04-28
2020-04-27,350.08,2878.48,2022-04-28
2020-04-28,340.27,2863.39,2022-04-28
2020-04-29,353.13,2939.51,2022-04-28
2020-04-30,335.4,2912.43,2022-04-28
2020-05-01,329.37,2830.71,2022-04-28
2020-05-04,325.78,2842.74,2022-04-28
2020-05-05,340.75,2868.44,2022-04-28
2020-05-06,336.71,2848.42,2022-04-28
2020-05-07,343.27,2881.19,2022-04-28
2020-05-08,340.3,2929.8,2022-04-28
