Date,Stock,Market,joined date
2020-01-06,2.40690985546065,5819.2,2021-12-02
2020-01-07,2.44150738652363,5934.4,2021-12-02
2020-01-09,2.49674017389396,5953.4,2021-12-02
2020-01-10,2.54580869109153,5872.9,2021-12-02
2020-01-13,2.53993235080937,6903.7,2021-12-02
2020-01-14,2.5322166869066,6962.2,2021-12-02
2020-01-15,2.53956420910233,6994.8,2021-12-02
2020-01-16,2.56453128233428,7041.8,2021-12-02
2020-01-17,2.56804312868511,7064.1,2021-12-02
2020-01-20,2.54828887147982,7079.5,2021-12-02
2020-01-21,2.53791175323209,7066.3,2021-12-02
2020-01-22,2.55102762930061,7132.7,2021-12-02
2020-01-23,2.55832095350891,7088.0,2021-12-02
2020-01-24,2.53851054241547,7090.5,2021-12-02
2020-01-28,2.50102241606654,6994.5,2021-12-02
2020-01-29,2.49122445671993,7031.5,2021-12-02
2020-01-30,2.48510871317996,7008.4,2021-12-02
2020-01-31,2.46194347424626,7017.2,2021-12-02
2020-02-03,2.4555321369786,6391.5,2021-12-02
2020-02-04,2.46595119716507,5154.3,2021-12-02
2020-02-06,2.46984345976795,5835.1,2021-12-02
2020-02-07,2.42298105150787,6032.7,2021-12-02
2020-02-10,2.44728748512362,5791.5,2021-12-02
2020-02-11,2.5021870909274,5951.3,2021-12-02
2020-02-12,2.46595119716507,6590.2,2021-12-02
2020-02-13,2.42037029572601,7103.2,2021-12-02
2020-02-14,2.42499916087671,7130.2,2021-12-02
2020-02-17,2.39283724364784,7125.1,2021-12-02
2020-02-18,2.38890990635715,7113.7,2021-12-02
2020-02-19,2.39848077269663,7144.6,2021-12-02
2020-02-20,2.40227290768132,7162.5,2021-12-02
2020-02-21,2.37488502167027,7139.0,2021-12-02
2020-02-24,2.34766713114917,6978.3,2021-12-02
2020-02-25,2.27736764618503,6866.6,2021-12-02
2020-02-26,2.21275754899074,6708.1,2021-12-02
2020-02-27,2.1831379348847,6657.9,2021-12-02
2020-02-28,2.15723835373911,6441.2,2021-12-02
2020-03-02,2.16716907846125,6923.3,2021-12-02
2020-03-03,2.22593826104127,6435.7,2021-12-02
2020-03-04,2.228015319273,5067.5,2021-12-02
2020-03-06,2.28141773027475,5941.6,2021-12-02
2020-03-09,2.21457418152361,6112.6,2021-12-02
2020-03-11,2.13014861307432,6066.4,2021-12-02
2020-03-12,1.87935615387972,6615.3,2021-12-02
2020-03-13,1.98314972799209,5539.3,2021-12-02
2020-03-16,1.99775995693636,5002.0,2021-12-02
2020-03-17,2.01106032797111,5293.4,2021-12-02
2020-03-18,1.77323868882733,4953.2,2021-12-02
2020-03-19,1.81394084484402,4782.9,2021-12-02
2020-03-20,1.71991036278142,4816.6,2021-12-02
2020-03-23,1.73976983363925,4546.0,2021-12-02
2020-03-24,1.81887412879014,4735.7,2021-12-02
2020-03-25,1.81917755984795,4998.1,2021-12-02
2020-03-26,1.85124079182708,5113.3,2021-12-02
2020-03-27,1.81090341910903,4842.4,2021-12-02
2020-03-30,1.93819728185061,5181.4,2021-12-02
2020-03-31,1.81987680906018,5076.8,2021-12-02
2020-04-02,1.85001817697099,6948.7,2021-12-02
2020-04-03,1.80151253552031,6325.4,2021-12-02
2020-04-06,1.88178161059448,5991.8,2021-12-02
2020-04-08,1.86491405019394,6037.6,2021-12-02
2020-04-09,1.92266243354055,5925.5,2021-12-02
2020-04-14,1.96634724368882,5488.1,2021-12-02
2020-04-15,1.90468289970811,5466.7,2021-12-02
2020-04-16,1.92603905636976,5416.3,2021-12-02
2020-04-17,1.94314661371823,5487.5,2021-12-02
2020-04-20,1.89144710585165,5353.0,2021-12-02
2020-04-21,1.84467959506644,5221.3,2021-12-02
2020-04-22,1.85120168444481,5221.2,2021-12-02
2020-04-23,1.85851246091038,5217.1,2021-12-02
2020-04-24,1.88169611217173,5242.6,2021-12-02
2020-04-27,1.92371447224682,5321.4,2021-12-02
2020-04-28,1.92518382949449,5313.1,2021-12-02
2020-04-29,1.93179902330307,5393.4,2021-12-02
2020-04-30,1.91853134561552,5522.4,2021-12-02
2020-05-05,1.91980890040573,5407.1,2021-12-02
2020-05-06,1.89230016,5998.7,2021-12-02
2020-05-08,1.91151322447327,6001.3,2021-12-02
2020-05-11,1.9245842822015,6139.6,2021-12-02
2020-05-13,1.9519152204359,5421.9,2021-12-02
2020-05-14,1.94779130996608,5328.7,2021-12-02
2020-05-15,1.96461140793668,5404.8,2021-12-02
2020-05-18,1.96648097896989,5460.5,2021-12-02
2020-05-19,1.964085386179,5559.5,2021-12-02
2020-05-20,1.97604562486806,5573.0,2021-12-02
2020-05-21,1.95981909600515,5550.4,2021-12-02
2020-05-22,1.93221824312844,5497.0,2021-12-02
2020-05-25,1.97281234458027,5615.6,2021-12-02
2020-05-26,2.07576902356454,5780.0,2021-12-02
2020-05-27,2.02771536572287,5775.0,2021-12-02
2020-05-28,2.07718025956103,5851.1,2021-12-02
2020-05-29,2.08688664466887,5755.7,2021-12-02
2020-06-01,2.11475897882059,6735.7,2021-12-02
2020-06-02,2.14493774732169,7049.2,2021-12-02
2020-06-03,2.17277105099287,6216.2,2021-12-02
2020-06-04,2.193411361254,5286.8,2021-12-02
2020-06-05,2.16796945224474,5384.6,2021-12-02
2020-06-10,2.21079989924292,5962.1,2021-12-02
2020-06-11,2.13250034270048,6190.2,2021-12-02
2020-06-15,2.0855717744725,5719.8,2021-12-02
2020-06-16,2.135185593127,5942.3,2021-12-02
2020-06-17,2.14817840795677,5991.8,2021-12-02
2020-06-18,2.11170631114521,5936.5,2021-12-02
2020-06-19,2.10584887613582,5942.6,2021-12-02
2020-06-22,2.12834356421287,5944.5,2021-12-02
2020-06-23,2.12235641382751,5954.4,2021-12-02
2020-06-24,2.09825863467063,5965.7,2021-12-02
2020-06-25,2.0689678676425,5817.7,2021-12-02
2020-06-26,2.07470244832719,5904.1,2021-12-02
2020-06-29,2.0759129097798,5815.0,2021-12-02
2020-06-30,2.08740388995486,5897.9,2021-12-02
2020-07-01,2.12444376840854,6826.4,2021-12-02
2020-07-02,2.1603418081638,7022.6,2021-12-02
2020-07-07,2.28192584463214,6012.9,2021-12-02
2020-07-08,2.30725641473206,6004.8,2021-12-02
2020-07-09,2.36152657085561,5944.8,2021-12-02
2020-07-10,2.34972694301238,6036.4,2021-12-02
2020-07-13,2.33326833804029,5977.5,2021-12-02
2020-07-14,2.33829416277286,5941.1,2021-12-02
2020-07-15,2.34937006880895,6052.9,2021-12-02
2020-07-16,2.32988229390981,6010.9,2021-12-02
2020-07-17,2.33858518876041,6033.6,2021-12-02
2020-07-20,2.3039462241921,6001.6,2021-12-02
2020-07-21,2.34140088802731,6156.3,2021-12-02
2020-07-22,2.33811413683572,6075.1,2021-12-02
2020-07-23,2.29724353287676,6094.5,2021-12-02
2020-07-24,2.28545878141292,6024.0,2021-12-02
2020-07-27,2.32098441521304,6044.2,2021-12-02
2020-07-28,2.33050821983496,6020.5,2021-12-02
2020-07-29,2.33300972269131,6006.4,2021-12-02
2020-07-30,2.34917568189665,6051.1,2021-12-02
2020-07-31,2.31181285129663,5927.8,2021-12-02
2020-08-04,2.40757741739161,5206.9,2021-12-02
2020-08-05,2.36241343851348,5391.1,2021-12-02
2020-08-07,2.33050821983496,5920.3,2021-12-02
2020-08-10,2.34170789247927,6102.0,2021-12-02
2020-08-12,2.34596779969347,6687.7,2021-12-02
2020-08-13,2.14800034310467,6091.0,2021-12-02
2020-08-14,2.15490100465396,6126.2,2021-12-02
2020-08-17,2.12601158571336,6076.4,2021-12-02
2020-08-18,2.14065753464329,6123.4,2021-12-02
2020-08-19,2.13016387085655,6167.6,2021-12-02
2020-08-20,2.10532708197004,6120.0,2021-12-02
2020-08-21,2.11039134949336,6111.2,2021-12-02
2020-08-24,2.11731103870529,6129.6,2021-12-02
2020-08-25,2.12705945829287,6161.4,2021-12-02
2020-08-26,2.08861764514473,6116.4,2021-12-02
2020-08-27,2.08932711080789,6126.2,2021-12-02
2020-08-28,2.08447543072651,6073.8,2021-12-02
2020-08-31,2.07983081722508,6060.5,2021-12-02
2020-09-01,2.03553996181828,6874.2,2021-12-02
2020-09-03,2.05787265296624,5760.6,2021-12-02
2020-09-04,2.01723224294304,5387.3,2021-12-02
2020-09-07,2.04424554103989,5955.5,2021-12-02
2020-09-09,2.0322810850173,5878.6,2021-12-02
2020-09-10,2.0391874732435,6102.2,2021-12-02
2020-09-11,2.02545555183313,6298.8,2021-12-02
2020-09-14,2.04817873072326,5899.5,2021-12-02
2020-09-15,2.00908095321535,5894.8,2021-12-02
2020-09-16,2.03156625977954,5956.1,2021-12-02
2020-09-17,2.01212187685086,5883.2,2021-12-02
2020-09-18,2.01289861727639,5864.5,2021-12-02
2020-09-21,1.99466655109898,5822.6,2021-12-02
2020-09-22,1.97414342286501,5784.1,2021-12-02
2020-09-23,1.98113296973041,5923.9,2021-12-02
2020-09-24,1.9523857832259,5875.9,2021-12-02
2020-09-25,1.96111954352531,5964.9,2021-12-02
2020-09-28,1.95931505977673,5952.3,2021-12-02
2020-09-29,1.968167855692,5952.1,2021-12-02
2020-09-30,1.94261520283576,5815.9,2021-12-02
2020-10-01,1.96259248085736,6929.0,2021-12-02
2020-10-02,1.93589087992208,7012.5,2021-12-02
2020-10-06,1.94100990295952,6148.4,2021-12-02
2020-10-07,1.96423712480817,5919.2,2021-12-02
2020-10-08,1.95095809327257,6110.2,2021-12-02
2020-10-09,1.95670148616269,5908.5,2021-12-02
2020-10-12,1.95508958300301,6683.1,2021-12-02
2020-10-13,2.0191923531307,6195.7,2021-12-02
2020-10-14,1.97782361451306,6179.2,2021-12-02
2020-10-15,1.97925590763383,6210.3,2021-12-02
2020-10-16,1.96208944868064,6176.8,2021-12-02
2020-10-19,1.96538023928821,6229.4,2021-12-02
2020-10-20,1.92517262760351,6184.6,2021-12-02
2020-10-21,1.93761467236974,6191.8,2021-12-02
2020-10-22,1.9093057176196,6173.8,2021-12-02
2020-10-23,1.90074846240564,6167.0,2021-12-02
2020-10-26,1.91813189943736,6155.6,2021-12-02
2020-10-27,1.88496706868531,6051.0,2021-12-02
2020-10-28,1.85587997041524,6057.7,2021-12-02
2020-10-29,1.84480911953222,5960.3,2021-12-02
2020-10-30,1.83743465797313,5927.6,2021-12-02
2020-11-02,1.87889677255544,7055.3,2021-12-02
2020-11-03,1.92836358429098,5725.9,2021-12-02
2020-11-05,1.97543418896778,5461.2,2021-12-02
2020-11-06,1.98227023419136,5960.6,2021-12-02
2020-11-09,2.03312498178745,5859.4,2021-12-02
2020-11-11,2.12349781659389,6449.7,2021-12-02
2020-11-12,2.17329148980787,6642.6,2021-12-02
2020-11-13,2.21987222815778,6405.2,2021-12-02
2020-11-16,2.25656609269003,6484.3,2021-12-02
2020-11-17,2.22190419196637,6498.2,2021-12-02
2020-11-18,2.19551766708305,6531.1,2021-12-02
2020-11-19,2.20433138285081,6547.2,2021-12-02
2020-11-20,2.20174517521121,6539.2,2021-12-02
2020-11-23,2.1895197715418,6561.6,2021-12-02
2020-11-24,2.24077574151763,6644.1,2021-12-02
2020-11-25,2.22733002488698,6683.3,2021-12-02
2020-11-26,2.23390626495204,6636.4,2021-12-02
2020-11-27,2.24149611126293,6601.1,2021-12-02
2020-11-30,2.20038047110844,6517.8,2021-12-02
2020-12-02,2.20687443460723,7088.2,2021-12-02
2020-12-03,2.19920339172152,5304.6,2021-12-02
2020-12-08,2.19844888279542,6132.0,2021-12-02
2020-12-10,2.23465110848293,6132.0,2021-12-02
2020-12-11,2.2273003939766,6418.2,2021-12-02
2020-12-14,2.22847549348427,6660.2,2021-12-02
2020-12-15,2.22701242367451,6631.3,2021-12-02
2020-12-16,2.23261386708688,6679.2,2021-12-02
2020-12-17,2.26819518961102,6756.7,2021-12-02
2020-12-18,2.25419814737163,6675.5,2021-12-02
2020-12-21,2.24267401906871,6669.9,2021-12-02
2020-12-22,2.20173208685253,6599.6,2021-12-02
2020-12-23,2.22404176699529,6643.1,2021-12-02
2020-12-24,2.23110339693729,6664.8,2021-12-02
2020-12-29,2.24117132601223,6700.3,2021-12-02
2020-12-30,2.24944099092523,6682.4,2021-12-02
2020-12-31,2.23736679720861,6587.1,2021-12-02
2021-01-04,2.25078201031441,6828.7,2021-12-02
2021-01-06,2.29130658636856,7142.6,2021-12-02
2021-01-07,2.28162398141891,7265.6,2021-12-02
2021-01-11,2.2526605363395,7370.8,2021-12-02
2021-01-12,2.28249277299431,7235.9,2021-12-02
2021-01-13,2.33139879226493,6686.6,2021-12-02
2021-01-14,2.34497915759348,6715.3,2021-12-02
2021-01-15,2.34491358328969,6715.4,2021-12-02
2021-01-18,2.32292263390286,6663.0,2021-12-02
2021-01-19,2.3577846177523,6742.6,2021-12-02
2021-01-20,2.38097661484597,6770.4,2021-12-02
2021-01-21,2.40135775058999,6823.7,2021-12-02
2021-01-22,2.40940039042908,6800.4,2021-12-02
2021-01-25,2.41443403861718,6824.7,2021-12-02
2021-01-27,2.34768607199228,6780.6,2021-12-02
2021-01-28,2.32292263390286,6649.7,2021-12-02
2021-01-29,2.32663538546188,6607.4,2021-12-02
2021-02-02,2.35279178551055,6762.6,2021-12-02
2021-02-03,2.37106219293903,6762.3,2021-12-02
2021-02-08,2.38186879186879,7491.4,2021-12-02
2021-02-09,2.37097545499567,7485.7,2021-12-02
2021-02-11,2.45814317604018,7324.3,2021-12-02
2021-02-12,2.45879114915259,7225.2,2021-12-02
2021-02-15,2.51983775122892,6868.9,2021-12-02
2021-02-16,2.51272376136258,6917.3,2021-12-02
2021-02-17,2.50288417577819,6885.2,2021-12-02
2021-02-18,2.50111766990291,6885.9,2021-12-02
2021-02-19,2.54164430560036,6793.8,2021-12-02
2021-02-22,2.5178927039306,6780.9,2021-12-02
2021-02-23,2.49314359842433,6839.2,2021-12-02
2021-02-24,2.45616963304068,6777.8,2021-12-02
2021-02-25,2.45789125660261,6834.0,2021-12-02
2021-02-26,2.33745319217789,6673.3,2021-12-02
2021-03-02,2.39483621296224,6824.6,2021-12-02
2021-03-03,2.38167194072323,6818.0,2021-12-02
2021-03-05,2.34682684252193,7028.8,2021-12-02
2021-03-08,2.35060350630278,7474.5,2021-12-02
2021-03-09,2.35446350773027,7522.9,2021-12-02
2021-03-11,2.34699460360227,7392.7,2021-12-02
2021-03-12,2.34800944224005,7241.2,2021-12-02
2021-03-15,2.36758990741746,6773.0,2021-12-02
2021-03-16,2.38009619257102,6827.1,2021-12-02
2021-03-17,2.44889715051752,6795.2,2021-12-02
2021-03-18,2.43696909999069,6745.9,2021-12-02
2021-03-19,2.44780514996207,6708.2,2021-12-02
2021-03-22,2.47895951429545,6752.5,2021-12-02
2021-03-23,2.49996341435529,6745.4,2021-12-02
2021-03-24,2.46444260791108,6778.8,2021-12-02
2021-03-25,2.48584778390833,6790.6,2021-12-02
2021-03-26,2.56471414717584,6824.2,2021-12-02
2021-03-29,2.54766827913506,6799.5,2021-12-02
2021-03-30,2.56557338456748,6738.4,2021-12-02
2021-03-31,2.54381000850753,6790.7,2021-12-02
2021-04-01,2.55084358456793,6684.2,2021-12-02
2021-04-06,2.56591246916039,7295.4,2021-12-02
2021-04-08,2.58516585683131,7503.2,2021-12-02
2021-04-13,2.61806238733922,6976.9,2021-12-02
2021-04-14,2.63855204039094,7023.1,2021-12-02
2021-04-15,2.61828383656767,7058.6,2021-12-02
2021-04-16,2.61253363852888,7063.5,2021-12-02
2021-04-19,2.57479754258587,7065.6,2021-12-02
2021-04-20,2.57873620475275,7017.8,2021-12-02
2021-04-21,2.58807047187946,6997.5,2021-12-02
2021-04-22,2.58098141069117,7055.4,2021-12-02
2021-04-23,2.60132284147588,7060.7,2021-12-02
2021-04-26,2.59641559170813,7045.6,2021-12-02
2021-04-27,2.58476397515528,7033.8,2021-12-02
2021-04-28,2.60809716283888,7064.7,2021-12-02
2021-04-29,2.59241071428571,7082.3,2021-12-02
2021-04-30,2.576388299473,7025.8,2021-12-02
2021-05-03,2.66786781426321,6710.8,2021-12-02
2021-05-05,2.70883546892673,7095.8,2021-12-02
2021-05-07,2.68026631534372,7315.0,2021-12-02
2021-05-10,2.69157727422209,7248.4,2021-12-02
2021-05-11,2.66412885826062,7456.9,2021-12-02
2021-05-13,2.6187930408168,6982.7,2021-12-02
2021-05-14,2.64102139631763,7014.2,2021-12-02
2021-05-17,2.62267420196249,7023.6,2021-12-02
2021-05-18,2.66282985204865,7066.0,2021-12-02
2021-05-19,2.58734248607387,6931.7,2021-12-02
2021-05-20,2.6343896996509,7019.6,2021-12-02
2021-05-21,2.61186711918917,7030.3,2021-12-02
2021-05-24,2.6189536352995,7045.9,2021-12-02
2021-05-25,2.61828383656767,7115.2,2021-12-02
2021-05-26,2.62217759410599,7092.5,2021-12-02
2021-05-27,2.63777041617969,7094.9,2021-12-02
2021-05-28,2.65136481785717,7179.5,2021-12-02
2021-05-31,2.6814360513229,7161.6,2021-12-02
2021-06-01,2.65781058573577,6607.1,2021-12-02
2021-06-04,2.72819751023219,6885.9,2021-12-02
2021-06-07,2.726209083438,7261.8,2021-12-02
2021-06-08,2.71400630035836,7538.4,2021-12-02
2021-06-09,2.71775967476407,7528.5,2021-12-02
2021-06-10,2.72584981278925,7206.5,2021-12-02
2021-06-15,2.7098521410347,7379.5,2021-12-02
2021-06-16,2.68341476036102,7386.2,2021-12-02
2021-06-17,2.61020838052095,7359.0,2021-12-02
2021-06-18,2.62916115235938,7368.9,2021-12-02
2021-06-21,2.61985924619859,7235.3,2021-12-02
2021-06-22,2.70050604994033,7342.2,2021-12-02
2021-06-23,2.68599834864748,7298.5,2021-12-02
2021-06-24,2.67354709570782,7275.3,2021-12-02
2021-06-25,2.68241871614753,7308.0,2021-12-02
2021-06-28,2.68315286069934,7307.3,2021-12-02
2021-06-29,2.66330198741156,7301.2,2021-12-02
2021-06-30,2.77685369163749,7313.0,2021-12-02
2021-07-01,2.76611022728122,6712.0,2021-12-02
2021-07-05,2.81057822617076,7080.8,2021-12-02
2021-07-06,2.73217330024665,7281.9,2021-12-02
2021-07-07,2.75582171284936,7326.9,2021-12-02
2021-07-09,2.76465894716357,7530.3,2021-12-02
2021-07-12,2.7462553913544,7313.9,2021-12-02
2021-07-13,2.750269545793,7332.1,2021-12-02
2021-07-14,2.7849210860947,7354.7,2021-12-02
2021-07-15,2.76518894269332,7335.9,2021-12-02
2021-07-16,2.74858511165886,7348.1,2021-12-02
2021-07-19,2.71907520392356,7286.0,2021-12-02
2021-07-20,2.69261601829322,7252.2,2021-12-02
2021-07-21,2.70327505776051,7308.7,2021-12-02
2021-07-22,2.74694993286016,7386.4,2021-12-02
2021-07-23,2.73447745147133,7394.4,2021-12-02
2021-07-26,2.71862347879352,7394.3,2021-12-02
2021-07-27,2.75473614484434,7431.4,2021-12-02
2021-07-28,2.74620025815969,7379.3,2021-12-02
2021-07-29,2.75326746877473,7417.4,2021-12-02
2021-07-30,2.73428095119193,7392.6,2021-12-02
2021-08-02,2.73298815043792,6880.7,2021-12-02
2021-08-03,2.73833561314651,6739.6,2021-12-02
2021-08-04,2.7400464876033,6998.8,2021-12-02
2021-08-06,2.7521231773763,7292.6,2021-12-02
2021-08-09,2.75908117621178,7512.0,2021-12-02
2021-08-10,2.78720802034486,7320.1,2021-12-02
2021-08-11,2.78102810214674,7452.2,2021-12-02
2021-08-12,2.86782201817368,7405.4,2021-12-02
2021-08-13,2.87423657371927,7628.9,2021-12-02
2021-08-16,2.84732015114274,7582.5,2021-12-02
2021-08-17,2.80602029720913,7511.0,2021-12-02
2021-08-18,2.82755020138402,7502.1,2021-12-02
2021-08-19,2.79431176663951,7464.6,2021-12-02
2021-08-20,2.82474067944127,7460.9,2021-12-02
2021-08-23,2.83274083684723,7489.9,2021-12-02
2021-08-24,2.80911551691607,7503.0,2021-12-02
2021-08-25,2.76477617367904,7531.9,2021-12-02
2021-08-26,2.77149584768078,7491.2,2021-12-02
2021-08-27,2.80099795291709,7488.3,2021-12-02
2021-08-30,2.77276201868723,7504.5,2021-12-02
2021-08-31,2.7880136059398,7534.9,2021-12-02
2021-09-02,2.82737342123371,6821.2,2021-12-02
2021-09-03,2.84991497867009,6771.2,2021-12-02
2021-09-06,2.87956065373772,7270.2,2021-12-02
2021-09-07,2.87331659404771,7273.3,2021-12-02
2021-09-08,2.87976744528558,7538.4,2021-12-02
2021-09-09,2.83668559727163,7369.5,2021-12-02
2021-09-13,2.85861858145684,7425.2,2021-12-02
2021-09-14,2.87631742639902,7437.3,2021-12-02
2021-09-15,2.86076596431269,7417.0,2021-12-02
2021-09-16,2.85767786986216,7460.2,2021-12-02
