Date,Stock,Market,joined date
2020-01-02,326.37,3257.85,2021-07-20
2020-01-03,322.82,3234.85,2021-07-20
2020-01-06,325.14,3246.28,2021-07-20
2020-01-07,326.98,3237.18,2021-07-20
2020-01-08,327.5,3253.05,2021-07-20
2020-01-09,329.61,3274.7,2021-07-20
2020-01-10,328.73,3265.35,2021-07-20
2020-01-13,332.02,3288.13,2021-07-20
2020-01-14,332.8,3283.15,2021-07-20
2020-01-15,335.2,3289.29,2021-07-20
2020-01-16,336.74,3316.81,2021-07-20
2020-01-17,339.19,3329.62,2021-07-20
2020-01-21,337.26,3320.79,2021-07-20
2020-01-22,340.05,3321.75,2021-07-20
2020-01-23,335.38,3325.54,2021-07-20
2020-01-24,333.68,3295.47,2021-07-20
2020-01-27,330.96,3243.63,2021-07-20
2020-01-28,333.26,3276.24,2021-07-20
2020-01-29,333.89,3273.4,2021-07-20
2020-01-30,319.86,3283.66,2021-07-20
2020-01-31,313.19,3225.52,2021-07-20
2020-02-03,318.34,3248.92,2021-07-20
2020-02-04,325.96,3297.59,2021-07-20
2020-02-05,332.49,3334.69,2021-07-20
2020-02-06,332.0,3345.78,2021-07-20
2020-02-07,326.21,3327.71,2021-07-20
2020-02-10,333.94,3352.09,2021-07-20
2020-02-11,337.78,3357.75,2021-07-20
2020-02-12,334.57,3379.45,2021-07-20
2020-02-13,335.59,3373.94,2021-07-20
2020-02-14,339.19,3380.16,2021-07-20
2020-02-18,337.37,3370.29,2021-07-20
2020-02-19,339.74,3386.15,2021-07-20
2020-02-20,336.06,3373.23,2021-07-20
2020-02-21,334.94,3337.75,2021-07-20
2020-02-24,323.15,3225.89,2021-07-20
2020-02-25,309.63,3128.21,2021-07-20
2020-02-26,309.16,3116.39,2021-07-20
2020-02-27,297.08,2978.76,2021-07-20
2020-02-28,290.8,2954.22,2021-07-20
2020-03-02,304.96,3090.23,2021-07-20
2020-03-03,310.36,3003.37,2021-07-20
2020-03-04,326.64,3130.12,2021-07-20
2020-03-05,312.89,3023.94,2021-07-20
2020-03-06,311.17,2972.37,2021-07-20
2020-03-09,295.35,2746.56,2021-07-20
2020-03-10,307.7,2882.23,2021-07-20
2020-03-11,289.38,2741.38,2021-07-20
2020-03-12,284.32,2480.64,2021-07-20
2020-03-13,300.12,2711.02,2021-07-20
2020-03-16,279.35,2386.13,2021-07-20
2020-03-17,296.31,2529.19,2021-07-20
2020-03-18,302.98,2398.1,2021-07-20
2020-03-19,280.84,2409.39,2021-07-20
2020-03-20,278.37,2304.92,2021-07-20
2020-03-23,255.3,2237.4,2021-07-20
2020-03-24,282.03,2447.33,2021-07-20
2020-03-25,271.68,2475.56,2021-07-20
2020-03-26,283.15,2630.07,2021-07-20
2020-03-27,274.34,2541.47,2021-07-20
2020-03-30,284.96,2626.65,2021-07-20
2020-03-31,283.6,2584.59,2021-07-20
2020-04-01,275.2,2470.5,2021-07-20
2020-04-02,287.55,2526.9,2021-07-20
2020-04-03,282.21,2488.65,2021-07-20
2020-04-06,304.0,2663.68,2021-07-20
2020-04-07,296.58,2659.41,2021-07-20
2020-04-08,307.15,2749.98,2021-07-20
2020-04-09,317.38,2789.82,2021-07-20
2020-04-13,315.32,2761.63,2021-07-20
2020-04-14,326.37,2846.06,2021-07-20
2020-04-15,325.83,2783.36,2021-07-20
2020-04-16,328.84,2799.55,2021-07-20
2020-04-17,331.58,2874.56,2021-07-20
2020-04-20,327.16,2823.16,2021-07-20
2020-04-21,319.62,2736.56,2021-07-20
2020-04-22,335.59,2799.31,2021-07-20
2020-04-23,320.51,2797.8,2021-07-20
2020-04-24,328.7,2836.74,2021-07-20
2020-04-27,342.71,2878.48,2021-07-20
2020-04-28,332.46,2863.39,2021-07-20
2020-04-29,335.62,2939.51,2021-07-20
2020-04-30,334.68,2912.43,2021-07-20
2020-05-01,329.81,2830.71,2021-07-20
2020-05-04,326.72,2842.74,2021-07-20
2020-05-05,336.32,2868.44,2021-07-20
2020-05-06,335.15,2848.42,2021-07-20
2020-05-07,339.08,2881.19,2021-07-20
2020-05-08,333.01,2929.8,2021-07-20
2020-05-11,340.39,2930.32,2021-07-20
2020-05-12,331.72,2870.12,2021-07-20
2020-05-13,334.09,2820.0,2021-07-20
2020-05-14,337.29,2852.5,2021-07-20
2020-05-15,342.92,2863.7,2021-07-20
2020-05-18,346.97,2953.91,2021-07-20
2020-05-19,342.78,2922.94,2021-07-20
2020-05-20,341.15,2971.61,2021-07-20
2020-05-21,335.75,2948.51,2021-07-20
2020-05-22,340.26,2955.45,2021-07-20
2020-05-26,332.57,2991.77,2021-07-20
2020-05-27,337.35,3036.13,2021-07-20
2020-05-28,342.74,3029.73,2021-07-20
2020-05-29,349.19,3044.31,2021-07-20
2020-06-01,349.33,3055.73,2021-07-20
2020-06-02,350.09,3080.82,2021-07-20
2020-06-03,347.19,3122.87,2021-07-20
2020-06-04,348.15,3112.35,2021-07-20
2020-06-05,354.2,3193.93,2021-07-20
2020-06-08,349.88,3232.39,2021-07-20
2020-06-09,347.65,3207.18,2021-07-20
2020-06-10,352.8,3190.14,2021-07-20
2020-06-11,336.44,3002.1,2021-07-20
2020-06-12,339.76,3041.31,2021-07-20
2020-06-15,340.82,3066.59,2021-07-20
2020-06-16,347.22,3124.74,2021-07-20
2020-06-17,349.85,3113.49,2021-07-20
2020-06-18,347.44,3115.34,2021-07-20
2020-06-19,352.73,3097.74,2021-07-20
2020-06-22,352.16,3117.86,2021-07-20
2020-06-23,356.82,3131.29,2021-07-20
2020-06-24,347.96,3050.33,2021-07-20
2020-06-25,351.76,3083.76,2021-07-20
2020-06-26,350.95,3009.05,2021-07-20
2020-06-29,350.8,3053.24,2021-07-20
2020-06-30,362.34,3100.29,2021-07-20
2020-07-01,359.77,3115.86,2021-07-20
2020-07-02,365.89,3130.01,2021-07-20
2020-07-06,382.27,3179.72,2021-07-20
2020-07-07,380.25,3145.32,2021-07-20
2020-07-08,386.63,3169.94,2021-07-20
2020-07-09,387.67,3152.05,2021-07-20
2020-07-10,382.57,3185.04,2021-07-20
2020-07-13,378.93,3155.22,2021-07-20
2020-07-14,387.46,3197.52,2021-07-20
2020-07-15,392.7,3226.56,2021-07-20
2020-07-16,392.42,3215.57,2021-07-20
2020-07-17,395.4,3224.73,2021-07-20
2020-07-20,402.97,3251.84,2021-07-20
2020-07-21,403.09,3257.3,2021-07-20
2020-07-22,410.76,3276.02,2021-07-20
2020-07-23,410.48,3235.66,2021-07-20
2020-07-24,406.38,3215.63,2021-07-20
2020-07-27,413.44,3239.41,2021-07-20
2020-07-28,407.36,3218.44,2021-07-20
2020-07-29,409.26,3258.44,2021-07-20
2020-07-30,410.56,3246.22,2021-07-20
2020-07-31,413.95,3271.12,2021-07-20
2020-08-03,419.09,3294.61,2021-07-20
2020-08-04,415.72,3306.51,2021-07-20
2020-08-05,419.9,3327.77,2021-07-20
2020-08-06,415.73,3349.16,2021-07-20
2020-08-07,414.33,3351.28,2021-07-20
2020-08-10,410.16,3360.47,2021-07-20
2020-08-11,407.24,3333.69,2021-07-20
2020-08-12,416.17,3380.35,2021-07-20
2020-08-13,416.6,3373.43,2021-07-20
2020-08-14,413.76,3372.85,2021-07-20
2020-08-17,416.8,3381.99,2021-07-20
2020-08-18,417.3,3389.78,2021-07-20
2020-08-19,420.62,3374.85,2021-07-20
2020-08-20,422.11,3385.51,2021-07-20
2020-08-21,428.57,3397.16,2021-07-20
2020-08-24,419.76,3431.28,2021-07-20
2020-08-25,422.29,3443.62,2021-07-20
2020-08-26,425.65,3478.73,2021-07-20
2020-08-27,420.53,3484.55,2021-07-20
2020-08-28,424.48,3508.01,2021-07-20
2020-08-31,428.98,3500.31,2021-07-20
2020-09-01,433.73,3526.65,2021-07-20
2020-09-02,441.06,3580.84,2021-07-20
2020-09-03,419.67,3455.06,2021-07-20
2020-09-04,409.98,3426.96,2021-07-20
2020-09-08,405.3,3331.84,2021-07-20
2020-09-09,418.32,3398.96,2021-07-20
2020-09-10,419.73,3339.19,2021-07-20
2020-09-11,431.13,3340.97,2021-07-20
2020-09-14,434.1,3383.54,2021-07-20
2020-09-15,435.1,3401.2,2021-07-20
2020-09-16,433.88,3385.49,2021-07-20
2020-09-17,432.93,3357.01,2021-07-20
2020-09-18,429.05,3319.47,2021-07-20
2020-09-21,425.47,3281.06,2021-07-20
2020-09-22,430.24,3315.57,2021-07-20
2020-09-23,420.76,3236.92,2021-07-20
2020-09-24,418.14,3246.59,2021-07-20
2020-09-25,422.29,3298.46,2021-07-20
2020-09-28,428.39,3351.6,2021-07-20
2020-09-29,434.34,3335.47,2021-07-20
2020-09-30,441.52,3363.0,2021-07-20
2020-10-01,438.2,3380.8,2021-07-20
2020-10-02,435.06,3348.44,2021-07-20
2020-10-05,450.67,3408.63,2021-07-20
2020-10-06,445.89,3360.95,2021-07-20
2020-10-07,452.36,3419.45,2021-07-20
2020-10-08,453.54,3446.83,2021-07-20
2020-10-09,464.7,3477.13,2021-07-20
2020-10-12,466.72,3534.22,2021-07-20
2020-10-13,467.53,3511.93,2021-07-20
2020-10-14,467.01,3488.67,2021-07-20
2020-10-15,464.56,3483.34,2021-07-20
2020-10-16,468.59,3483.81,2021-07-20
2020-10-19,461.29,3426.92,2021-07-20
2020-10-20,465.26,3443.12,2021-07-20
2020-10-21,468.76,3435.56,2021-07-20
2020-10-22,481.99,3453.49,2021-07-20
2020-10-23,480.17,3465.39,2021-07-20
2020-10-26,482.43,3400.97,2021-07-20
2020-10-27,489.3,3390.68,2021-07-20
2020-10-28,476.71,3271.03,2021-07-20
2020-10-29,471.88,3310.11,2021-07-20
2020-10-30,473.12,3269.96,2021-07-20
2020-11-02,480.55,3310.24,2021-07-20
2020-11-03,491.5,3369.02,2021-07-20
2020-11-04,510.97,3443.44,2021-07-20
2020-11-05,514.76,3510.45,2021-07-20
2020-11-06,527.66,3509.44,2021-07-20
2020-11-09,484.99,3550.5,2021-07-20
2020-11-10,468.59,3545.53,2021-07-20
2020-11-11,484.0,3572.66,2021-07-20
2020-11-12,486.56,3537.01,2021-07-20
2020-11-13,488.59,3585.15,2021-07-20
2020-11-16,480.99,3626.91,2021-07-20
2020-11-17,479.0,3609.53,2021-07-20
2020-11-18,454.18,3567.79,2021-07-20
2020-11-19,453.1,3581.87,2021-07-20
2020-11-20,451.04,3557.54,2021-07-20
2020-11-23,446.03,3577.59,2021-07-20
2020-11-24,439.56,3635.41,2021-07-20
2020-11-25,448.45,3629.65,2021-07-20
2020-11-27,453.4,3638.35,2021-07-20
2020-11-30,464.98,3621.63,2021-07-20
2020-12-01,471.1,3662.45,2021-07-20
