Date,Stock,Market,joined date
2020-01-02,28.683971,3257.85,2021-10-26
2020-01-03,29.53397,3234.85,2021-10-26
2020-01-06,30.102637,3246.28,2021-10-26
2020-01-07,31.270635,3237.18,2021-10-26
2020-01-08,32.809301,3253.05,2021-10-26
2020-01-09,32.089301,3274.7,2021-10-26
2020-01-10,31.876635,3265.35,2021-10-26
2020-01-13,34.990632,3288.13,2021-10-26
2020-01-14,35.861297,3283.15,2021-10-26
2020-01-15,34.566632,3289.29,2021-10-26
2020-01-16,34.232632,3316.81,2021-10-26
2020-01-17,34.033299,3329.62,2021-10-26
2020-01-21,36.479964,3320.79,2021-10-26
2020-01-22,37.970629,3321.75,2021-10-26
2020-01-23,38.146629,3325.54,2021-10-26
2020-01-24,37.654629,3295.47,2021-10-26
2020-01-27,37.201296,3243.63,2021-10-26
2020-01-28,37.793296,3276.24,2021-10-26
2020-01-29,38.732628,3273.4,2021-10-26
2020-01-30,42.720624,3283.66,2021-10-26
2020-01-31,43.37129,3225.52,2021-10-26
2020-02-03,51.999948,3248.92,2021-10-26
2020-02-04,59.137274,3297.59,2021-10-26
2020-02-05,48.979951,3334.69,2021-10-26
2020-02-06,49.930617,3345.78,2021-10-26
2020-02-07,49.871283,3327.71,2021-10-26
2020-02-10,51.418615,3352.09,2021-10-26
2020-02-11,51.625282,3357.75,2021-10-26
2020-02-12,51.152616,3379.45,2021-10-26
2020-02-13,53.599946,3373.94,2021-10-26
2020-02-14,53.33528,3380.16,2021-10-26
2020-02-18,57.226609,3370.29,2021-10-26
2020-02-19,61.161272,3386.15,2021-10-26
2020-02-20,59.960607,3373.23,2021-10-26
2020-02-21,60.066607,3337.75,2021-10-26
2020-02-24,55.585944,3225.89,2021-10-26
2020-02-25,53.32728,3128.21,2021-10-26
2020-02-26,51.919948,3116.39,2021-10-26
2020-02-27,45.266621,2978.76,2021-10-26
2020-02-28,44.532622,2954.22,2021-10-26
2020-03-02,49.574617,3090.23,2021-10-26
2020-03-03,49.700617,3003.37,2021-10-26
2020-03-04,49.966617,3130.12,2021-10-26
