Date,Stock,Market,joined date
2020-01-02,2.58937960042065,7604.3,2021-01-03
2020-01-03,2.54979193383758,7622.4,2021-01-03
2020-01-06,2.54651269964585,7575.34,2021-01-03
2020-01-07,2.55111414398563,7573.85,2021-01-03
2020-01-08,2.53231700129668,7574.93,2021-01-03
2020-01-09,2.56205905408943,7598.12,2021-01-03
2020-01-10,2.58109590472218,7587.85,2021-01-03
2020-01-13,2.62358105826422,7617.6,2021-01-03
2020-01-14,2.73225466331692,7622.35,2021-01-03
2020-01-15,2.7297258541799,7642.8,2021-01-03
2020-01-16,2.7472671164809,7609.81,2021-01-03
2020-01-17,2.76289088922427,7674.56,2021-01-03
2020-01-20,2.78912449590227,7651.44,2021-01-03
2020-01-21,2.79597108785853,7610.7,2021-01-03
2020-01-22,2.84347734678851,7571.92,2021-01-03
2020-01-23,2.87217571574777,7507.67,2021-01-03
2020-01-24,2.91594748679315,7585.98,2021-01-03
2020-01-27,2.83249141768145,7412.05,2021-01-03
2020-01-28,2.84117555103955,7480.69,2021-01-03
2020-01-29,2.79539092507004,7483.57,2021-01-03
2020-01-30,2.81520472430635,7381.96,2021-01-03
2020-01-31,2.83911671924296,7286.01,2021-01-03
2020-02-03,2.84674852205554,7326.31,2021-01-03
2020-02-04,2.90415884928089,7439.82,2021-01-03
2020-02-05,2.89250289250289,7482.48,2021-01-03
2020-02-06,2.81444325218817,7504.79,2021-01-03
2020-02-07,2.80506355222118,7466.7,2021-01-03
2020-02-10,2.81246368202884,7446.88,2021-01-03
2020-02-11,2.85828994741895,7499.44,2021-01-03
2020-02-12,2.93934681181963,7534.37,2021-01-03
2020-02-13,2.9768582535417,7452.03,2021-01-03
2020-02-14,3.02405677607896,7409.13,2021-01-03
2020-02-17,3.01607533035059,7433.25,2021-01-03
2020-02-18,3.01163319685458,7382.01,2021-01-03
2020-02-19,3.05148246237317,7457.02,2021-01-03
2020-02-20,2.96344950158401,7436.64,2021-01-03
2020-02-21,3.0139935414424,7403.92,2021-01-03
2020-02-24,2.89954367413423,7156.83,2021-01-03
2020-02-25,2.84789139000512,7017.88,2021-01-03
2020-02-26,2.74060979858331,7042.47,2021-01-03
2020-02-27,2.64507318078746,6796.4,2021-01-03
2020-02-28,2.59220799200023,6580.61,2021-01-03
2020-03-02,2.58698728818969,6654.89,2021-01-03
2020-03-03,2.66191842590688,6718.2,2021-01-03
2020-03-04,2.71685971685974,6815.59,2021-01-03
2020-03-05,2.66723664438575,6705.43,2021-01-03
2020-03-06,2.60352790752296,6462.55,2021-01-03
2020-03-09,2.44432480697508,5965.77,2021-01-03
2020-03-10,2.39923596143669,5960.23,2021-01-03
2020-03-11,2.3076035537094,5876.52,2021-01-03
2020-03-12,1.96925126967365,5237.48,2021-01-03
2020-03-13,1.82359440216064,5366.11,2021-01-03
2020-03-16,1.59948973333657,5151.08,2021-01-03
2020-03-17,1.4520171591073,5294.9,2021-01-03
2020-03-18,1.35408198815474,5080.58,2021-01-03
2020-03-19,1.26507407832782,5151.61,2021-01-03
2020-03-20,1.36025517153062,5190.78,2021-01-03
2020-03-23,1.31705063802758,4993.89,2021-01-03
2020-03-24,1.36733446200147,5446.01,2021-01-03
2020-03-25,1.47729973853105,5688.2,2021-01-03
2020-03-26,1.60688140556367,5815.73,2021-01-03
2020-03-27,1.49284406412312,5510.33,2021-01-03
2020-03-30,1.45640108764485,5563.74,2021-01-03
2020-03-31,1.4591198092589,5671.96,2021-01-03
2020-04-01,1.36135244177119,5454.57,2021-01-03
2020-04-02,1.35444935995137,5480.22,2021-01-03
2020-04-03,1.24439104528851,5415.5,2021-01-03
2020-04-06,1.43079011409637,5582.39,2021-01-03
