Date,Stock,Market,joined date
2020-01-02,89.74,3257.85,2021-02-09
2020-01-03,87.9,3234.85,2021-02-09
2020-01-06,87.7,3246.28,2021-02-09
2020-01-07,86.77,3237.18,2021-02-09
2020-01-08,87.3,3253.05,2021-02-09
2020-01-09,87.95,3274.7,2021-02-09
2020-01-10,87.31,3265.35,2021-02-09
2020-01-13,86.89,3288.13,2021-02-09
2020-01-14,87.85,3283.15,2021-02-09
2020-01-15,88.29,3289.29,2021-02-09
2020-01-16,89.54,3316.81,2021-02-09
2020-01-17,89.7,3329.62,2021-02-09
2020-01-21,85.79,3320.79,2021-02-09
2020-01-22,83.34,3321.75,2021-02-09
2020-01-23,84.88,3325.54,2021-02-09
2020-01-24,81.9,3295.47,2021-02-09
2020-01-27,77.63,3243.63,2021-02-09
2020-01-28,77.05,3276.24,2021-02-09
2020-01-29,75.21,3273.4,2021-02-09
2020-01-30,77.75,3283.66,2021-02-09
2020-01-31,74.8,3225.52,2021-02-09
2020-02-03,74.91,3248.92,2021-02-09
2020-02-04,78.89,3297.59,2021-02-09
2020-02-05,81.85,3334.69,2021-02-09
2020-02-06,80.5,3345.78,2021-02-09
2020-02-07,79.48,3327.71,2021-02-09
2020-02-10,79.47,3352.09,2021-02-09
2020-02-11,80.53,3357.75,2021-02-09
2020-02-12,82.2,3379.45,2021-02-09
2020-02-13,80.99,3373.94,2021-02-09
2020-02-14,79.55,3380.16,2021-02-09
2020-02-18,80.24,3370.29,2021-02-09
2020-02-19,79.42,3386.15,2021-02-09
2020-02-20,79.91,3373.23,2021-02-09
2020-02-21,78.01,3337.75,2021-02-09
2020-02-24,75.47,3225.89,2021-02-09
2020-02-25,70.57,3128.21,2021-02-09
2020-02-26,66.53,3116.39,2021-02-09
2020-02-27,64.94,2978.76,2021-02-09
2020-02-28,61.59,2954.22,2021-02-09
2020-03-02,61.26,3090.23,2021-02-09
2020-03-03,58.29,3003.37,2021-02-09
2020-03-04,59.47,3130.12,2021-02-09
2020-03-05,51.59,3023.94,2021-02-09
2020-03-06,52.1,2972.37,2021-02-09
2020-03-09,46.78,2746.56,2021-02-09
2020-03-10,52.56,2882.23,2021-02-09
2020-03-11,49.34,2741.38,2021-02-09
2020-03-12,37.08,2480.64,2021-02-09
2020-03-13,41.64,2711.02,2021-02-09
2020-03-16,35.47,2386.13,2021-02-09
2020-03-17,30.67,2529.19,2021-02-09
2020-03-18,21.38,2398.1,2021-02-09
2020-03-19,21.28,2409.39,2021-02-09
2020-03-20,24.5,2304.92,2021-02-09
2020-03-23,26.25,2237.4,2021-02-09
2020-03-24,33.0,2447.33,2021-02-09
2020-03-25,36.6,2475.56,2021-02-09
2020-03-26,35.55,2630.07,2021-02-09
2020-03-27,32.84,2541.47,2021-02-09
2020-03-30,30.16,2626.65,2021-02-09
2020-03-31,31.55,2584.59,2021-02-09
2020-04-01,25.65,2470.5,2021-02-09
2020-04-02,23.42,2526.9,2021-02-09
2020-04-03,22.885,2488.65,2021-02-09
2020-04-06,24.02,2663.68,2021-02-09
2020-04-07,24.48,2659.41,2021-02-09
2020-04-08,27.51,2749.98,2021-02-09
2020-04-09,31.5,2789.82,2021-02-09
2020-04-13,28.91,2761.63,2021-02-09
2020-04-14,30.9,2846.06,2021-02-09
2020-04-15,31.86,2783.36,2021-02-09
2020-04-16,28.21,2799.55,2021-02-09
2020-04-17,29.08,2874.56,2021-02-09
2020-04-20,27.79,2823.16,2021-02-09
2020-04-21,27.88,2736.56,2021-02-09
2020-04-22,25.88,2799.31,2021-02-09
2020-04-23,25.72,2797.8,2021-02-09
2020-04-24,25.56,2836.74,2021-02-09
2020-04-27,25.0,2878.48,2021-02-09
2020-04-28,27.84,2863.39,2021-02-09
2020-04-29,31.21,2939.51,2021-02-09
2020-04-30,29.58,2912.43,2021-02-09
2020-05-01,26.62,2830.71,2021-02-09
2020-05-04,25.26,2842.74,2021-02-09
2020-05-05,24.12,2868.44,2021-02-09
2020-05-06,22.91,2848.42,2021-02-09
2020-05-07,22.75,2881.19,2021-02-09
2020-05-08,25.42,2929.8,2021-02-09
2020-05-11,23.97,2930.32,2021-02-09
2020-05-12,22.76,2870.12,2021-02-09
2020-05-13,20.71,2820.0,2021-02-09
2020-05-14,20.3,2852.5,2021-02-09
2020-05-15,19.92,2863.7,2021-02-09
2020-05-18,24.13,2953.91,2021-02-09
2020-05-19,23.68,2922.94,2021-02-09
2020-05-20,24.91,2971.61,2021-02-09
2020-05-21,25.84,2948.51,2021-02-09
2020-05-22,25.4,2955.45,2021-02-09
2020-05-26,29.54,2991.77,2021-02-09
2020-05-27,30.69,3036.13,2021-02-09
2020-05-28,28.89,3029.73,2021-02-09
2020-05-29,28.04,3044.31,2021-02-09
2020-06-01,29.46,3055.73,2021-02-09
2020-06-02,29.91,3080.82,2021-02-09
2020-06-03,33.65,3122.87,2021-02-09
2020-06-04,39.1,3112.35,2021-02-09
2020-06-05,42.405,3193.93,2021-02-09
2020-06-08,48.69,3232.39,2021-02-09
2020-06-09,44.64,3207.18,2021-02-09
2020-06-10,39.72,3190.14,2021-02-09
2020-06-11,33.32,3002.1,2021-02-09
2020-06-12,39.66,3041.31,2021-02-09
2020-06-15,39.0,3066.59,2021-02-09
2020-06-16,40.21,3124.74,2021-02-09
2020-06-17,39.25,3113.49,2021-02-09
2020-06-18,39.34,3115.34,2021-02-09
