Date,Stock,Market,joined date
2018-01-02,54.85,7648.1,2019-07-17
2018-01-03,54.78,7671.11,2019-07-17
2018-01-04,55.11,7695.88,2019-07-17
2018-01-05,55.54,7724.22,2019-07-17
2018-01-08,55.63,7696.51,2019-07-17
2018-01-09,55.07,7731.02,2019-07-17
2018-01-10,54.09,7748.51,2019-07-17
2018-01-11,54.02,7762.94,2019-07-17
2018-01-12,54.52,7778.64,2019-07-17
2018-01-16,55.03,7755.93,2019-07-17
2018-01-17,55.73,7725.43,2019-07-17
2018-01-18,55.87,7700.96,2019-07-17
2018-01-19,57.08,7730.79,2019-07-17
2018-01-22,57.03,7715.44,2019-07-17
2018-01-23,57.35,7731.83,2019-07-17
2018-01-24,57.66,7643.43,2019-07-17
2018-01-25,56.72,7615.84,2019-07-17
2018-01-26,57.04,7665.54,2019-07-17
2018-01-29,55.95,7671.53,2019-07-17
2018-01-30,56.42,7587.98,2019-07-17
2018-01-31,56.47,7533.55,2019-07-17
2018-02-01,57.44,7490.39,2019-07-17
2018-02-02,56.75,7443.43,2019-07-17
2018-02-05,53.92,7334.98,2019-07-17
2018-02-06,54.45,7141.4,2019-07-17
2018-02-07,53.62,7279.42,2019-07-17
2018-02-08,52.75,7170.69,2019-07-17
2018-02-09,52.39,7092.43,2019-07-17
2018-02-12,53.37,7177.06,2019-07-17
2018-02-13,53.08,7168.01,2019-07-17
2018-02-14,53.3,7213.97,2019-07-17
2018-02-15,53.77,7234.81,2019-07-17
2018-02-16,53.55,7294.7,2019-07-17
2018-02-20,52.39,7246.77,2019-07-17
2018-02-21,51.64,7281.57,2019-07-17
2018-02-22,52.09,7252.39,2019-07-17
2018-02-23,52.76,7244.41,2019-07-17
2018-02-26,53.8,7289.58,2019-07-17
2018-02-27,51.92,7282.45,2019-07-17
2018-02-28,51.6,7231.91,2019-07-17
2018-03-01,51.2,7175.64,2019-07-17
2018-03-02,51.79,7069.9,2019-07-17
2018-03-05,52.35,7115.98,2019-07-17
2018-03-06,52.17,7146.75,2019-07-17
2018-03-07,52.75,7157.84,2019-07-17
2018-03-08,53.73,7203.24,2019-07-17
2018-03-09,54.04,7224.51,2019-07-17
2018-03-12,53.86,7214.76,2019-07-17
2018-03-13,53.03,7138.78,2019-07-17
2018-03-14,53.34,7132.69,2019-07-17
2018-03-15,52.24,7139.76,2019-07-17
2018-03-16,52.54,7164.14,2019-07-17
2018-03-19,52.71,7042.93,2019-07-17
2018-03-20,52.76,7061.27,2019-07-17
2018-03-21,52.43,7038.97,2019-07-17
2018-03-22,52.57,6952.59,2019-07-17
2018-03-23,52.58,6921.94,2019-07-17
2018-03-26,53.04,6888.69,2019-07-17
2018-03-27,52.99,7000.14,2019-07-17
2018-03-28,55.1,7044.74,2019-07-17
2018-03-29,55.56,7056.61,2019-07-17
2018-04-02,54.71,7056.61,2019-07-17
2018-04-03,55.3,7030.46,2019-07-17
2018-04-04,56.4,7034.01,2019-07-17
2018-04-05,56.46,7199.5,2019-07-17
2018-04-06,56.39,7183.64,2019-07-17
2018-04-09,56.34,7194.75,2019-07-17
2018-04-10,56.03,7266.75,2019-07-17
2018-04-11,55.88,7257.14,2019-07-17
2018-04-12,55.73,7258.34,2019-07-17
2018-04-13,56.06,7264.56,2019-07-17
2018-04-16,56.09,7198.2,2019-07-17
2018-04-17,56.19,7226.05,2019-07-17
2018-04-18,56.16,7317.34,2019-07-17
2018-04-19,54.74,7328.92,2019-07-17
2018-04-20,54.14,7368.17,2019-07-17
2018-04-23,53.9,7398.87,2019-07-17
2018-04-24,54.69,7425.4,2019-07-17
2018-04-25,54.71,7379.32,2019-07-17
2018-04-26,55.18,7421.43,2019-07-17
2018-04-27,55.87,7502.21,2019-07-17
2018-04-30,55.97,7509.3,2019-07-17
2018-05-01,55.39,7520.36,2019-07-17
2018-05-02,53.77,7543.2,2019-07-17
2018-05-03,53.63,7502.69,2019-07-17
2018-05-04,54.04,7567.14,2019-07-17
2018-05-07,54.0,7567.14,2019-07-17
2018-05-08,54.73,7565.75,2019-07-17
2018-05-09,55.54,7662.52,2019-07-17
2018-05-10,55.88,7700.97,2019-07-17
2018-05-11,55.92,7724.55,2019-07-17
2018-05-14,56.03,7710.98,2019-07-17
2018-05-15,55.42,7722.98,2019-07-17
2018-05-16,55.13,7734.2,2019-07-17
2018-05-17,55.27,7787.97,2019-07-17
2018-05-18,55.77,7778.79,2019-07-17
2018-05-21,56.04,7859.17,2019-07-17
2018-05-22,56.16,7877.45,2019-07-17
2018-05-23,55.98,7788.44,2019-07-17
2018-05-24,55.8,7716.74,2019-07-17
2018-05-25,55.65,7730.28,2019-07-17
2018-05-29,55.16,7632.64,2019-07-17
2018-05-30,56.06,7689.57,2019-07-17
2018-05-31,55.28,7678.2,2019-07-17
2018-06-01,55.37,7701.77,2019-07-17
2018-06-04,55.63,7741.29,2019-07-17
2018-06-05,55.73,7686.8,2019-07-17
2018-06-06,55.19,7712.37,2019-07-17
2018-06-07,54.9,7704.4,2019-07-17
2018-06-08,55.46,7681.07,2019-07-17
2018-06-11,55.63,7737.43,2019-07-17
2018-06-12,55.77,7703.81,2019-07-17
2018-06-13,55.23,7703.71,2019-07-17
2018-06-14,53.63,7765.79,2019-07-17
2018-06-15,54.28,7633.91,2019-07-17
2018-06-18,53.6,7631.33,2019-07-17
2018-06-19,53.51,7603.85,2019-07-17
2018-06-20,54.01,7627.4,2019-07-17
2018-06-21,54.19,7556.44,2019-07-17
2018-06-22,55.04,7682.27,2019-07-17
2018-06-25,54.84,7509.84,2019-07-17
