Date,Stock,Market,joined date
2020-01-02,292.5,3257.85,2022-09-06
2020-01-03,289.54,3234.85,2022-09-06
2020-01-06,291.55,3246.28,2022-09-06
2020-01-07,289.79,3237.18,2022-09-06
2020-01-08,295.9,3253.05,2022-09-06
2020-01-09,294.22,3274.7,2022-09-06
2020-01-10,295.13,3265.35,2022-09-06
2020-01-13,285.85,3288.13,2022-09-06
2020-01-14,288.24,3283.15,2022-09-06
2020-01-15,296.41,3289.29,2022-09-06
2020-01-16,300.74,3316.81,2022-09-06
2020-01-17,298.47,3329.62,2022-09-06
2020-01-21,300.53,3320.79,2022-09-06
2020-01-22,300.59,3321.75,2022-09-06
2020-01-23,299.46,3325.54,2022-09-06
2020-01-24,292.81,3295.47,2022-09-06
2020-01-27,284.09,3243.63,2022-09-06
2020-01-28,285.87,3276.24,2022-09-06
2020-01-29,282.9,3273.4,2022-09-06
2020-01-30,280.98,3283.66,2022-09-06
2020-01-31,272.45,3225.52,2022-09-06
2020-02-03,274.02,3248.92,2022-09-06
2020-02-04,280.84,3297.59,2022-09-06
2020-02-05,295.73,3334.69,2022-09-06
2020-02-06,292.46,3345.78,2022-09-06
2020-02-07,289.22,3327.71,2022-09-06
2020-02-10,287.03,3352.09,2022-09-06
2020-02-11,290.79,3357.75,2022-09-06
2020-02-12,303.48,3379.45,2022-09-06
2020-02-13,302.2,3373.94,2022-09-06
2020-02-14,298.78,3380.16,2022-09-06
2020-02-18,302.14,3370.29,2022-09-06
2020-02-19,305.31,3386.15,2022-09-06
2020-02-20,302.13,3373.23,2022-09-06
2020-02-21,301.43,3337.75,2022-09-06
2020-02-24,277.79,3225.89,2022-09-06
2020-02-25,263.39,3128.21,2022-09-06
2020-02-26,263.0,3116.39,2022-09-06
2020-02-27,253.92,2978.76,2022-09-06
2020-02-28,254.96,2954.22,2022-09-06
2020-03-02,273.11,3090.23,2022-09-06
2020-03-03,261.4,3003.37,2022-09-06
2020-03-04,289.42,3130.12,2022-09-06
2020-03-05,282.96,3023.94,2022-09-06
2020-03-06,283.87,2972.37,2022-09-06
2020-03-09,273.44,2746.56,2022-09-06
2020-03-10,280.0,2882.23,2022-09-06
2020-03-11,277.78,2741.38,2022-09-06
2020-03-12,250.41,2480.64,2022-09-06
2020-03-13,272.04,2711.02,2022-09-06
2020-03-16,225.04,2386.13,2022-09-06
2020-03-17,244.22,2529.19,2022-09-06
2020-03-18,217.06,2398.1,2022-09-06
2020-03-19,219.8,2409.39,2022-09-06
2020-03-20,206.59,2304.92,2022-09-06
2020-03-23,194.86,2237.4,2022-09-06
2020-03-24,219.8,2447.33,2022-09-06
2020-03-25,234.49,2475.56,2022-09-06
2020-03-26,255.39,2630.07,2022-09-06
2020-03-27,242.45,2541.47,2022-09-06
2020-03-30,251.28,2626.65,2022-09-06
2020-03-31,249.38,2584.59,2022-09-06
2020-04-01,237.32,2470.5,2022-09-06
2020-04-02,240.44,2526.9,2022-09-06
2020-04-03,229.49,2488.65,2022-09-06
2020-04-06,248.34,2663.68,2022-09-06
2020-04-07,248.04,2659.41,2022-09-06
2020-04-08,267.83,2749.98,2022-09-06
2020-04-09,264.13,2789.82,2022-09-06
2020-04-13,263.51,2761.63,2022-09-06
2020-04-14,270.5,2846.06,2022-09-06
2020-04-15,281.68,2783.36,2022-09-06
2020-04-16,298.43,2799.55,2022-09-06
2020-04-17,290.56,2874.56,2022-09-06
2020-04-20,282.14,2823.16,2022-09-06
2020-04-21,274.19,2736.56,2022-09-06
2020-04-22,277.02,2799.31,2022-09-06
2020-04-23,285.33,2797.8,2022-09-06
2020-04-24,291.29,2836.74,2022-09-06
2020-04-27,293.98,2878.48,2022-09-06
2020-04-28,288.36,2863.39,2022-09-06
2020-04-29,287.65,2939.51,2022-09-06
2020-04-30,292.47,2912.43,2022-09-06
2020-05-01,284.51,2830.71,2022-09-06
2020-05-04,287.54,2842.74,2022-09-06
2020-05-05,293.04,2868.44,2022-09-06
2020-05-06,288.77,2848.42,2022-09-06
2020-05-07,285.0,2881.19,2022-09-06
2020-05-08,287.0,2929.8,2022-09-06
2020-05-11,288.69,2930.32,2022-09-06
2020-05-12,287.7,2870.12,2022-09-06
2020-05-13,278.0,2820.0,2022-09-06
2020-05-14,290.61,2852.5,2022-09-06
2020-05-15,290.96,2863.7,2022-09-06
2020-05-18,293.36,2953.91,2022-09-06
2020-05-19,289.05,2922.94,2022-09-06
2020-05-20,287.99,2971.61,2022-09-06
2020-05-21,286.91,2948.51,2022-09-06
