Date,Stock,Market,joined date
2017-01-03,50.262643,2257.83,2019-02-15
2017-01-04,50.563843,2270.75,2019-02-15
2017-01-05,50.112044,2269.0,2019-02-15
2017-01-06,50.055569,2276.98,2019-02-15
2017-01-09,49.820257,2268.9,2019-02-15
2017-01-10,50.112044,2268.9,2019-02-15
2017-01-11,49.434345,2275.32,2019-02-15
2017-01-12,48.784884,2270.44,2019-02-15
2017-01-13,48.31426,2274.64,2019-02-15
2017-01-17,49.076671,2267.89,2019-02-15
2017-01-18,47.909523,2271.89,2019-02-15
2017-01-19,48.46486,2263.69,2019-02-15
2017-01-20,48.803709,2271.31,2019-02-15
2017-01-23,49.039021,2265.2,2019-02-15
2017-01-24,49.584945,2280.07,2019-02-15
2017-01-25,49.519057,2298.37,2019-02-15
2017-01-26,48.954308,2296.68,2019-02-15
2017-01-27,47.787161,2294.69,2019-02-15
2017-01-30,48.333085,2280.9,2019-02-15
2017-01-31,48.455447,2278.87,2019-02-15
2017-02-01,47.636561,2279.55,2019-02-15
2017-02-02,47.721274,2280.85,2019-02-15
2017-02-03,46.648251,2297.42,2019-02-15
2017-02-06,46.460001,2292.56,2019-02-15
2017-02-07,45.481103,2293.08,2019-02-15
2017-02-08,46.205864,2294.67,2019-02-15
2017-02-09,46.563539,2307.87,2019-02-15
2017-02-10,47.363599,2316.1,2019-02-15
2017-02-13,47.429487,2328.25,2019-02-15
2017-02-14,47.881286,2337.58,2019-02-15
2017-02-15,47.551849,2349.25,2019-02-15
2017-02-16,47.410662,2347.22,2019-02-15
2017-02-17,49.584945,2351.16,2019-02-15
2017-02-21,49.34022,2365.38,2019-02-15
2017-02-22,50.356768,2362.82,2019-02-15
2017-02-23,49.462582,2363.81,2019-02-15
2017-02-24,49.942619,2367.34,2019-02-15
2017-02-27,49.952031,2369.75,2019-02-15
2017-02-28,49.368458,2363.64,2019-02-15
2017-03-01,49.726132,2395.96,2019-02-15
2017-03-02,50.206168,2381.92,2019-02-15
2017-03-03,49.500232,2383.12,2019-02-15
2017-03-06,49.895556,2375.31,2019-02-15
2017-03-07,49.52847,2368.39,2019-02-15
2017-03-08,49.707307,2362.98,2019-02-15
2017-03-09,49.56612,2364.87,2019-02-15
2017-03-10,49.820257,2372.6,2019-02-15
2017-03-13,49.980269,2373.47,2019-02-15
2017-03-14,50.130868,2365.45,2019-02-15
2017-03-15,50.714442,2385.26,2019-02-15
2017-03-16,50.968579,2381.38,2019-02-15
2017-03-17,50.78033,2378.25,2019-02-15
2017-03-20,50.70503,2373.47,2019-02-15
2017-03-21,49.933206,2344.02,2019-02-15
2017-03-22,49.970856,2348.45,2019-02-15
2017-03-23,50.70503,2345.96,2019-02-15
2017-03-24,50.883867,2343.98,2019-02-15
2017-03-27,51.476853,2341.59,2019-02-15
2017-03-28,52.069839,2358.57,2019-02-15
2017-03-29,52.898138,2361.13,2019-02-15
2017-03-30,50.949754,2368.06,2019-02-15
2017-03-31,51.740403,2362.72,2019-02-15
2017-04-03,51.429791,2358.84,2019-02-15
2017-04-04,50.770917,2360.16,2019-02-15
