Date,Stock,Market,joined date
2020-01-02,25.7719679199338,6041.5,2021-01-12
2020-01-03,25.8734607574033,6044.16,2021-01-12
2020-01-06,25.8034619775694,6013.59,2021-01-12
2020-01-07,25.4810020294832,6012.35,2021-01-12
2020-01-08,25.2427686363333,6031.0,2021-01-12
2020-01-09,25.4399811215992,6042.55,2021-01-12
2020-01-10,26.1070678765235,6037.11,2021-01-12
2020-01-13,26.1697883615556,6036.14,2021-01-12
2020-01-14,26.5849462006653,6040.89,2021-01-12
2020-01-15,27.0243929359823,6032.61,2021-01-12
2020-01-16,27.2373178037346,6039.03,2021-01-12
2020-01-17,27.4215926730828,6100.72,2021-01-12
2020-01-20,27.7039117363182,6078.54,2021-01-12
2020-01-21,27.8878307992375,6045.99,2021-01-12
2020-01-22,28.1777514057873,6010.98,2021-01-12
2020-01-23,28.2385605817797,5971.79,2021-01-12
2020-01-24,28.6852533647859,6024.26,2021-01-12
2020-01-27,28.2208301662317,5863.02,2021-01-12
2020-01-28,28.3692211055276,5925.82,2021-01-12
2020-01-29,28.4257158584245,5954.89,2021-01-12
2020-01-30,28.2459928084535,5871.77,2021-01-12
2020-01-31,28.5357050151419,5806.34,2021-01-12
2020-02-03,28.4351125707713,5832.51,2021-01-12
2020-02-04,28.4152733456268,5935.05,2021-01-12
2020-02-05,28.4371808124574,5985.4,2021-01-12
2020-02-06,28.7107526763656,6038.18,2021-01-12
2020-02-07,28.6456375912369,6029.75,2021-01-12
2020-02-10,28.5568885204055,6015.67,2021-01-12
2020-02-11,29.0119443383357,6054.76,2021-01-12
2020-02-12,28.8764958472843,6104.73,2021-01-12
2020-02-13,29.2331389361632,6093.14,2021-01-12
2020-02-14,29.2897645555363,6069.35,2021-01-12
2020-02-17,29.4154568698403,6085.95,2021-01-12
2020-02-18,29.5899676270638,6056.82,2021-01-12
2020-02-19,30.1049525702804,6111.24,2021-01-12
2020-02-20,30.0150066315141,6062.3,2021-01-12
2020-02-21,29.9731992409866,6029.72,2021-01-12
2020-02-24,29.1922549349422,5791.87,2021-01-12
2020-02-25,28.8663903394257,5679.68,2021-01-12
2020-02-26,28.9712826370758,5684.55,2021-01-12
2020-02-27,28.4290796911774,5495.6,2021-01-12
2020-02-28,27.563535935967,5309.9,2021-01-12
2020-03-02,28.3248243924702,5333.52,2021-01-12
2020-03-03,29.2639759601422,5393.17,2021-01-12
2020-03-04,30.4661504203084,5464.89,2021-01-12
2020-03-05,30.6450683330337,5361.1,2021-01-12
2020-03-06,29.3343527473395,5139.11,2021-01-12
2020-03-09,27.2169518881856,4707.91,2021-01-12
2020-03-10,25.5125783893527,4636.61,2021-01-12
2020-03-11,24.5944803109684,4610.25,2021-01-12
2020-03-12,20.4865177083683,4044.26,2021-01-12
2020-03-13,19.5671571349251,4118.36,2021-01-12
2020-03-16,18.9142972147993,3881.46,2021-01-12
2020-03-17,18.1029887180841,3991.78,2021-01-12
2020-03-18,18.2188063382587,3754.84,2021-01-12
2020-03-19,18.6557218451013,3855.5,2021-01-12
2020-03-20,18.796745802588,4048.8,2021-01-12
2020-03-23,17.5416585365853,3914.31,2021-01-12
2020-03-24,19.0745771487746,4242.7,2021-01-12
2020-03-25,19.1445306380016,4432.3,2021-01-12
2020-03-26,20.537465537396,4543.58,2021-01-12
2020-03-27,20.3269976717502,4351.49,2021-01-12
2020-03-30,21.0074703692658,4378.51,2021-01-12
2020-03-31,20.7094187713687,4396.12,2021-01-12
2020-04-01,19.3311935455582,4207.24,2021-01-12
2020-04-02,19.4582196167834,4220.96,2021-01-12
2020-04-03,18.4603875751157,4154.58,2021-01-12
2020-04-06,18.920308621992,4346.14,2021-01-12
2020-04-07,19.7063134282852,4438.27,2021-01-12
2020-04-08,19.5367225750421,4442.75,2021-01-12
2020-04-09,20.2598540145985,4506.85,2021-01-12
2020-04-14,20.1126983081365,4523.91,2021-01-12
2020-04-15,19.8599199424109,4353.72,2021-01-12
2020-04-16,19.9221403573401,4350.16,2021-01-12
2020-04-17,20.8467132882343,4499.01,2021-01-12
2020-04-20,19.7412919273549,4528.3,2021-01-12
2020-04-21,18.3853487488465,4357.46,2021-01-12
2020-04-22,18.7608707415263,4411.8,2021-01-12
2020-04-23,19.4706462354121,4451.0,2021-01-12
2020-04-24,19.5137674338083,4393.32,2021-01-12
2020-04-27,20.4364200404968,4505.26,2021-01-12
2020-04-28,20.1670788303638,4569.79,2021-01-12
2020-04-29,21.1240999880398,4671.11,2021-01-12
2020-04-30,20.5809099175093,4572.18,2021-01-12
2020-05-04,19.5530302204094,4378.23,2021-01-12
2020-05-05,20.3403010794642,4483.13,2021-01-12
2020-05-06,19.7529964163897,4433.38,2021-01-12
2020-05-07,19.9844149091736,4501.44,2021-01-12
2020-05-08,20.5217265937496,4549.64,2021-01-12
2020-05-11,20.0198247263376,4490.22,2021-01-12
2020-05-12,19.8324327548807,4472.5,2021-01-12
2020-05-13,19.0423141818812,4344.95,2021-01-12
2020-05-14,18.8702845783185,4273.13,2021-01-12
2020-05-15,18.96767390552,4277.63,2021-01-12
2020-05-18,20.0952248968814,4498.34,2021-01-12
2020-05-19,19.2324560158135,4458.16,2021-01-12
2020-05-20,19.3257541163557,4496.98,2021-01-12
2020-05-21,19.2236694294505,4445.45,2021-01-12
2020-05-22,19.043173866126,4444.56,2021-01-12
2020-05-25,19.3513046037143,4539.91,2021-01-12
2020-05-26,20.3473697502059,4606.24,2021-01-12
2020-05-27,20.8357004533251,4688.74,2021-01-12
2020-05-28,21.3583873290138,4771.39,2021-01-12
2020-05-29,21.0637538010787,4695.44,2021-01-12
2020-06-01,21.3467015531927,4762.78,2021-01-12
2020-06-02,22.3775024013225,4858.97,2021-01-12
2020-06-03,23.4136166054521,5022.38,2021-01-12
2020-06-04,23.3788108598312,5011.98,2021-01-12
2020-06-05,23.9136085126551,5197.79,2021-01-12
2020-06-08,23.6802084509587,5175.52,2021-01-12
2020-06-09,23.3982275495277,5095.11,2021-01-12
2020-06-10,23.7430864730895,5053.42,2021-01-12
2020-06-11,22.1766197087631,4815.6,2021-01-12
2020-06-12,22.1899197587134,4839.26,2021-01-12
2020-06-15,22.2255808160863,4815.72,2021-01-12
2020-06-16,22.7832180749217,4952.46,2021-01-12
2020-06-17,22.6560240151107,4995.97,2021-01-12
2020-06-18,22.3896773832195,4958.75,2021-01-12
2020-06-19,22.3035592557411,4979.45,2021-01-12
2020-06-22,22.2953549636369,4948.7,2021-01-12
2020-06-23,22.4666915397574,5017.68,2021-01-12
2020-06-24,21.6938203827246,4871.36,2021-01-12
2020-06-25,21.7060145821648,4918.58,2021-01-12
2020-06-26,21.6627537857543,4909.64,2021-01-12
2020-06-29,21.9238141803794,4945.46,2021-01-12
2020-06-30,21.6789305809814,4935.99,2021-01-12
2020-07-01,21.4714587856766,4926.94,2021-01-12
2020-07-02,21.833190236447,5049.38,2021-01-12
2020-07-03,21.8634351273832,5007.14,2021-01-12
2020-07-06,21.9692264200016,5081.51,2021-01-12
2020-07-07,21.7867813954536,5043.73,2021-01-12
2020-07-08,21.8680431408535,4981.13,2021-01-12
2020-07-09,20.9649681313103,4921.01,2021-01-12
2020-07-10,21.3017184304776,4970.48,2021-01-12
2020-07-13,21.3809509769457,5056.23,2021-01-12
2020-07-14,21.1623168091168,5007.46,2021-01-12
2020-07-15,21.6834508568951,5108.98,2021-01-12
2020-07-16,21.4839464997154,5085.28,2021-01-12
2020-07-17,21.3170806672761,5069.42,2021-01-12
2020-07-20,21.4610858071457,5093.18,2021-01-12
2020-07-21,21.9094409866298,5104.28,2021-01-12
2020-07-22,22.4521510787206,5037.12,2021-01-12
2020-07-23,22.2732307656634,5033.76,2021-01-12
2020-07-24,22.0797370843871,4956.43,2021-01-12
2020-07-27,22.2294445293129,4939.62,2021-01-12
2020-07-28,22.5095211320401,4928.94,2021-01-12
2020-07-29,23.0306114268199,4958.74,2021-01-12
2020-07-30,22.3119513841998,4852.94,2021-01-12
2020-07-31,21.9209753570462,4783.69,2021-01-12
2020-08-03,21.8116939325156,4875.93,2021-01-12
2020-08-04,21.9295258773275,4889.52,2021-01-12
2020-08-05,21.9971877594591,4933.34,2021-01-12
