Date,Stock,Market,joined date
2020-01-02,12.1171458570694,6041.5,2021-11-05
2020-01-03,12.1318337015465,6044.16,2021-11-05
2020-01-06,11.9709554296971,6013.59,2021-11-05
2020-01-07,11.9122783737371,6012.35,2021-11-05
2020-01-08,11.8150778318122,6031.0,2021-11-05
2020-01-09,11.9181388117713,6042.55,2021-11-05
2020-01-10,11.9021394893693,6037.11,2021-11-05
2020-01-13,11.8240372733042,6036.14,2021-11-05
2020-01-14,11.6337884300831,6040.89,2021-11-05
2020-01-15,11.6198876179008,6032.61,2021-11-05
2020-01-16,11.6466812163862,6039.03,2021-11-05
2020-01-17,11.5516576484676,6100.72,2021-11-05
2020-01-20,11.5075061848922,6078.54,2021-11-05
2020-01-21,11.540932665455,6045.99,2021-11-05
2020-01-22,11.380689418054,6010.98,2021-11-05
2020-01-23,11.4092019318973,5971.79,2021-11-05
2020-01-24,11.310939274022,6024.26,2021-11-05
2020-01-27,11.1534827103782,5863.02,2021-11-05
2020-01-28,11.2804989861588,5925.82,2021-11-05
2020-01-29,11.2419001486211,5954.89,2021-11-05
2020-01-30,11.2405616465554,5871.77,2021-11-05
2020-01-31,11.3506195436343,5806.34,2021-11-05
2020-02-03,11.3788249734607,5832.51,2021-11-05
2020-02-04,11.4581926393781,5935.05,2021-11-05
2020-02-05,11.4887027954341,5985.4,2021-11-05
2020-02-06,11.6025045292341,6038.18,2021-11-05
2020-02-07,11.5272216933128,6029.75,2021-11-05
2020-02-10,11.554623801368,6015.67,2021-11-05
2020-02-11,11.5057964529332,6054.76,2021-11-05
2020-02-12,11.4109753446101,6104.73,2021-11-05
2020-02-13,11.3022883220778,6093.14,2021-11-05
2020-02-14,11.3232130479986,6069.35,2021-11-05
2020-02-17,11.3005211154688,6085.95,2021-11-05
2020-02-18,11.2601046724938,6056.82,2021-11-05
2020-02-19,11.1933630804469,6111.24,2021-11-05
2020-02-20,11.1046744088247,6062.3,2021-11-05
2020-02-21,11.2651461100569,6029.72,2021-11-05
2020-02-24,11.1668048486689,5791.87,2021-11-05
2020-02-25,11.1631538294169,5679.68,2021-11-05
2020-02-26,11.1946246736293,5684.55,2021-11-05
2020-02-27,10.9670402305171,5495.6,2021-11-05
2020-02-28,10.4882705092445,5309.9,2021-11-05
2020-03-02,10.7464950852155,5333.52,2021-11-05
2020-03-03,10.8256183114011,5393.17,2021-11-05
2020-03-04,11.0290820018928,5464.89,2021-11-05
2020-03-05,11.1005686926812,5361.1,2021-11-05
2020-03-06,10.6563619333506,5139.11,2021-11-05
2020-03-09,10.0287869595577,4707.91,2021-11-05
2020-03-10,9.81636814798109,4636.61,2021-11-05
2020-03-11,9.67548870486171,4610.25,2021-11-05
2020-03-12,8.38797933371356,4044.26,2021-11-05
2020-03-13,8.69193559133816,4118.36,2021-11-05
2020-03-16,8.11848004740768,3881.46,2021-11-05
2020-03-17,8.32721404851446,3991.78,2021-11-05
2020-03-18,8.46276272999103,3754.84,2021-11-05
2020-03-19,8.62120904377573,3855.5,2021-11-05
2020-03-20,8.55814565287137,4048.8,2021-11-05
2020-03-23,8.05468989547036,3914.31,2021-11-05
2020-03-24,8.39851786330687,4242.7,2021-11-05
2020-03-25,8.42142919314126,4432.3,2021-11-05
2020-03-26,8.78213238051125,4543.58,2021-11-05
2020-03-27,8.36945870977084,4351.49,2021-11-05
2020-03-30,8.29882802575913,4378.51,2021-11-05
2020-03-31,8.89913201720526,4396.12,2021-11-05
2020-04-01,9.02855827413841,4207.24,2021-11-05
2020-04-02,8.88963469576073,4220.96,2021-11-05
2020-04-03,8.66497989710778,4154.58,2021-11-05
2020-04-06,8.94565123556708,4346.14,2021-11-05
2020-04-07,9.39588614486694,4438.27,2021-11-05
2020-04-08,9.49304456386039,4442.75,2021-11-05
2020-04-09,9.52808579920451,4506.85,2021-11-05
2020-04-14,9.58699208414301,4523.91,2021-11-05
2020-04-15,9.28525587888834,4353.72,2021-11-05
2020-04-16,8.76726512303204,4350.16,2021-11-05
2020-04-17,9.27228155656577,4499.01,2021-11-05
2020-04-20,9.63296728362876,4528.3,2021-11-05
2020-04-21,9.17451663681268,4357.46,2021-11-05
2020-04-22,9.08768235141334,4411.8,2021-11-05
2020-04-23,8.97774868263671,4451.0,2021-11-05
2020-04-24,8.78642299910192,4393.32,2021-11-05
2020-04-27,8.92042272584541,4505.26,2021-11-05
2020-04-28,8.76906500503035,4569.79,2021-11-05
2020-04-29,9.01364016918379,4671.11,2021-11-05
2020-04-30,8.92086040117001,4572.18,2021-11-05
2020-05-04,8.78407184845079,4378.23,2021-11-05
2020-05-05,8.76964061212989,4483.13,2021-11-05
2020-05-06,8.67605997150385,4433.38,2021-11-05
2020-05-07,8.72898536595934,4501.44,2021-11-05
2020-05-08,8.94148572915195,4549.64,2021-11-05
2020-05-11,8.95365621724428,4490.22,2021-11-05
2020-05-12,9.00021800433838,4472.5,2021-11-05
2020-05-13,8.64006446309599,4344.95,2021-11-05
2020-05-14,8.46980812031378,4273.13,2021-11-05
2020-05-15,8.60132700294167,4277.63,2021-11-05
2020-05-18,8.79121472687197,4498.34,2021-11-05
2020-05-19,8.83452117029059,4458.16,2021-11-05
2020-05-20,8.86393194291988,4496.98,2021-11-05
2020-05-21,8.65580458322841,4445.45,2021-11-05
2020-05-22,8.83784266919545,4444.56,2021-11-05
2020-05-25,8.98561012294007,4539.91,2021-11-05
2020-05-26,9.05694208070271,4606.24,2021-11-05
2020-05-27,9.1760111790854,4688.74,2021-11-05
2020-05-28,9.42455778922305,4771.39,2021-11-05
2020-05-29,9.36989878587442,4695.44,2021-11-05
2020-06-01,9.55209597505985,4762.78,2021-11-05
2020-06-02,10.0159458976478,4858.97,2021-11-05
2020-06-03,10.151442755894,5022.38,2021-11-05
2020-06-04,10.5311080881937,5011.98,2021-11-05
2020-06-05,10.5807889777818,5197.79,2021-11-05
2020-06-08,10.6816470561666,5175.52,2021-11-05
2020-06-09,10.7130115781953,5095.11,2021-11-05
2020-06-10,10.9565394847541,5053.42,2021-11-05
2020-06-11,10.3222042725291,4815.6,2021-11-05
2020-06-12,10.2875912983783,4839.26,2021-11-05
2020-06-15,10.3871031656175,4815.72,2021-11-05
2020-06-16,10.5099261144775,4952.46,2021-11-05
2020-06-17,10.7328622504048,4995.97,2021-11-05
2020-06-18,10.5409006385124,4958.75,2021-11-05
2020-06-19,10.6356473151925,4979.45,2021-11-05
2020-06-22,10.6912908382681,4948.7,2021-11-05
2020-06-23,10.9564573935262,5017.68,2021-11-05
2020-06-24,10.6372217034729,4871.36,2021-11-05
2020-06-25,10.6941547952888,4918.58,2021-11-05
2020-06-26,10.6617061132922,4909.64,2021-11-05
2020-06-29,10.7764162395468,4945.46,2021-11-05
2020-06-30,10.6007367558037,4935.99,2021-11-05
2020-07-01,10.6000292499635,4926.94,2021-11-05
2020-07-02,10.9509574755012,5049.38,2021-11-05
2020-07-03,10.7329216579495,5007.14,2021-11-05
2020-07-06,11.028535727613,5081.51,2021-11-05
2020-07-07,10.9216361812669,5043.73,2021-11-05
2020-07-08,10.9085726585777,4981.13,2021-11-05
2020-07-09,10.7737255344351,4921.01,2021-11-05
2020-07-10,10.8227192100417,4970.48,2021-11-05
2020-07-13,11.0176247122461,5056.23,2021-11-05
2020-07-14,10.9683829059829,5007.46,2021-11-05
2020-07-15,11.1799399831131,5108.98,2021-11-05
2020-07-16,11.1252453044963,5085.28,2021-11-05
2020-07-17,11.1860808957953,5069.42,2021-11-05
2020-07-20,11.3219804994164,5093.18,2021-11-05
2020-07-21,11.488887736284,5104.28,2021-11-05
2020-07-22,11.2773821505004,5037.12,2021-11-05
2020-07-23,11.221164726615,5033.76,2021-11-05
2020-07-24,10.9566783595744,4956.43,2021-11-05
2020-07-27,10.8584436949905,4939.62,2021-11-05
2020-07-28,10.7370911817074,4928.94,2021-11-05
2020-07-29,10.933395034073,4958.74,2021-11-05
