Date,Stock,Market,joined date
2018-01-02,74.6813923485938,5288.6,2020-01-14
2018-01-03,75.9639639639639,5331.28,2020-01-14
2018-01-04,77.1801957258874,5413.69,2020-01-14
2018-01-05,77.2922455165447,5470.75,2020-01-14
2018-01-08,77.7486629096523,5487.42,2020-01-14
2018-01-09,79.0814804205901,5523.94,2020-01-14
2018-01-10,78.4547941278357,5504.68,2020-01-14
2018-01-11,79.0432993659691,5488.55,2020-01-14
2018-01-12,79.4706828483698,5517.06,2020-01-14
2018-01-15,79.0593312816486,5509.69,2020-01-14
2018-01-16,78.9231731087492,5513.82,2020-01-14
2018-01-17,78.7816021931162,5493.99,2020-01-14
2018-01-18,79.5408656493594,5494.83,2020-01-14
2018-01-19,79.8944191218702,5526.51,2020-01-14
2018-01-22,80.0823872692056,5541.99,2020-01-14
2018-01-23,79.8317777695798,5535.26,2020-01-14
2018-01-24,80.1925414981518,5495.16,2020-01-14
2018-01-25,79.3524876670218,5481.21,2020-01-14
2018-01-26,79.9781426194081,5529.15,2020-01-14
2018-01-29,79.4859413884039,5521.59,2020-01-14
2018-01-30,78.5913571827144,5473.78,2020-01-14
2018-01-31,78.8672918089795,5481.93,2020-01-14
2018-02-01,77.8996610339089,5454.55,2020-01-14
2018-02-02,76.4793102159313,5364.98,2020-01-14
2018-02-05,75.0432846895872,5285.83,2020-01-14
2018-02-06,73.6862948936908,5161.81,2020-01-14
2018-02-07,74.6753644868979,5255.9,2020-01-14
2018-02-08,72.3434477016142,5151.68,2020-01-14
2018-02-09,71.2206101827613,5079.21,2020-01-14
2018-02-12,71.9026548672569,5140.06,2020-01-14
2018-02-13,71.6296991552638,5109.24,2020-01-14
2018-02-14,74.1155675056638,5165.26,2020-01-14
2018-02-15,74.8549419767906,5222.52,2020-01-14
2018-02-16,74.8210719557423,5281.58,2020-01-14
2018-02-19,74.2431761786603,5256.18,2020-01-14
2018-02-20,74.7310766801539,5289.86,2020-01-14
2018-02-21,75.657086710882,5302.17,2020-01-14
2018-02-22,76.0202194550611,5309.23,2020-01-14
2018-02-23,67.3903155617293,5317.37,2020-01-14
2018-02-26,66.8021429891005,5344.26,2020-01-14
2018-02-27,66.6837901637737,5343.93,2020-01-14
2018-02-28,65.1839929768087,5320.49,2020-01-14
2018-03-01,64.4013738959766,5262.56,2020-01-14
2018-03-02,64.8856372168643,5136.58,2020-01-14
2018-03-05,65.5976316763289,5167.23,2020-01-14
2018-03-06,67.9630915765454,5170.23,2020-01-14
2018-03-07,67.6703861382454,5187.83,2020-01-14
2018-03-08,68.4680248661292,5254.1,2020-01-14
2018-03-09,67.6034847664518,5274.4,2020-01-14
2018-03-12,67.7765445800963,5276.71,2020-01-14
2018-03-13,67.3711857477358,5242.79,2020-01-14
2018-03-14,67.7111025929545,5233.36,2020-01-14
2018-03-15,68.4597780347961,5267.26,2020-01-14
2018-03-16,68.4384484008503,5282.75,2020-01-14
2018-03-19,67.3137402414809,5222.84,2020-01-14
2018-03-20,67.6630068911495,5252.43,2020-01-14
2018-03-21,68.8098292706997,5239.74,2020-01-14
2018-03-22,68.4616425382224,5167.21,2020-01-14
2018-03-23,67.0907182115729,5095.22,2020-01-14
