Date,Stock,Market,joined date
2020-01-02,2.50985804416408,7604.3,2021-01-10
2020-01-03,2.45753618257479,7622.4,2021-01-10
2020-01-06,2.42669229857668,7575.34,2021-01-10
2020-01-07,2.37329728878498,7573.85,2021-01-10
2020-01-08,2.3574712192056,7574.93,2021-01-10
2020-01-09,2.37261562581662,7598.12,2021-01-10
2020-01-10,2.32905871291273,7587.85,2021-01-10
2020-01-13,2.31186845728234,7617.6,2021-01-10
2020-01-14,2.28251955794484,7622.35,2021-01-10
2020-01-15,2.28194131219767,7642.8,2021-01-10
2020-01-16,2.28045399864003,7609.81,2021-01-10
2020-01-17,2.2646859878246,7674.56,2021-01-10
2020-01-20,2.23364121243666,7651.44,2021-01-10
2020-01-21,2.23951673929499,7610.7,2021-01-10
2020-01-22,2.24823925155043,7571.92,2021-01-10
2020-01-23,2.18463799301966,7507.67,2021-01-10
2020-01-24,2.26607040117154,7585.98,2021-01-10
2020-01-27,2.15961154403408,7412.05,2021-01-10
2020-01-28,2.24714710020322,7480.69,2021-01-10
2020-01-29,2.32732243994536,7483.57,2021-01-10
2020-01-30,2.29144570583075,7381.96,2021-01-10
2020-01-31,2.16794477515414,7286.01,2021-01-10
2020-02-03,2.19580328720852,7326.31,2021-01-10
2020-02-04,2.24163539712327,7439.82,2021-01-10
2020-02-05,2.30750230750231,7482.48,2021-01-10
2020-02-06,2.26823182635009,7504.79,2021-01-10
2020-02-07,2.27331322350278,7466.7,2021-01-10
2020-02-10,2.29465012073703,7446.88,2021-01-10
2020-02-11,2.34283938145939,7499.44,2021-01-10
2020-02-12,2.47148781752206,7534.37,2021-01-10
2020-02-13,2.49419499595606,7452.03,2021-01-10
2020-02-14,2.44807702343061,7409.13,2021-01-10
2020-02-17,2.39829362189154,7433.25,2021-01-10
2020-02-18,2.3370377591474,7382.01,2021-01-10
2020-02-19,2.32284736128152,7457.02,2021-01-10
2020-02-20,2.36844138783703,7436.64,2021-01-10
2020-02-21,2.35711414009103,7403.92,2021-01-10
2020-02-24,2.21893299895293,7156.83,2021-01-10
2020-02-25,2.16647810764773,7017.88,2021-01-10
2020-02-26,2.12577902220622,7042.47,2021-01-10
2020-02-27,2.01247165532879,6796.4,2021-01-10
2020-02-28,1.94671999794874,6580.61,2021-01-10
2020-03-02,1.8736213997017,6654.89,2021-01-10
2020-03-03,1.88883480221352,6718.2,2021-01-10
2020-03-04,1.86036036036038,6815.59,2021-01-10
2020-03-05,1.78053267008656,6705.43,2021-01-10
2020-03-06,1.68567178978685,6462.55,2021-01-10
2020-03-09,1.45819108146432,5965.77,2021-01-10
